 	a66	a87	a97	a87	a97	a79	a12	a43	a21	a12	a18	a94	a11	a0	a11	a70	a94	a62	a75	a5	a36	a18	a83	a54	a5	a62	a88	a70	a13	a83	a96	a88	a0	a11	a27	a82	a97	a10	a97	a99	a97	a30	</S>
enlève	0.0254863	0.0466922	0.044735	0.0355934	0.0333117	0.0467877	0.0309748	0.041287	0.0552532	0.0318527	0.0305309	0.0274474	0.0266753	0.0154044	0.0117253	0.0159639	0.0270843	0.0172145	0.0192958	0.0253663	0.0192136	0.0200071	0.0128741	0.0111135	0.00841309	0.00537747	0.00649591	0.01219	0.0161455	0.00971871	0.0238264	0.0274274	0.0181853	0.0203594	0.020966	0.0252425	0.0181188	0.0154439	0.0202609	0.0181798	0.0203292	0.0195077	0.0219218
les	0.0607781	0.0372638	0.041158	0.0286809	0.021528	0.0241444	0.0252441	0.0260616	0.0200348	0.0101677	0.0126283	0.0136143	0.0145434	0.00981978	0.00752623	0.00529286	0.00946219	0.00899236	0.0128744	0.00901757	0.0111624	0.0140229	0.00697271	0.00528284	0.00408218	0.00667984	0.00527785	0.0158298	0.0144738	0.0119886	0.0200496	0.0382901	0.0401899	0.0344174	0.0402323	0.0277047	0.0347591	0.0464828	0.0478679	0.0401393	0.0454181	0.0651451	0.0246983
miettes	0.106967	0.0710637	0.0657551	0.0292518	0.0190499	0.03847	0.0307907	0.0475336	0.0426856	0.0367773	0.0304807	0.026347	0.0185239	0.0425208	0.0196138	0.0155873	0.0197111	0.0102212	0.0125101	0.0134812	0.0149028	0.0324869	0.0307468	0.0300806	0.0209309	0.0184579	0.0127594	0.0116861	0.00870968	0.00855645	0.00700959	0.0105892	0.0082255	0.00924602	0.00421901	0.00679012	0.0092014	0.00568329	0.00999761	0.00747978	0.0136996	0.0147392	0.00646059
de	0.104831	0.0338594	0.0134721	0.00820786	0.00667493	0.00595664	0.00557549	0.00713444	0.00541793	0.00617278	0.00670175	0.00802062	0.0052138	0.00662474	0.0127047	0.0221181	0.0237005	0.0275848	0.0227669	0.0159358	0.0372299	0.0376706	0.0331388	0.0312114	0.0340943	0.0352953	0.056393	0.028563	0.0201239	0.0407609	0.0256394	0.0271693	0.028669	0.0405153	0.0284676	0.0135507	0.0193127	0.0245237	0.0190151	0.0193357	0.0210279	0.0173737	0.0122441
pain	0.0792061	0.0237726	0.0150034	0.00953131	0.007125	0.0074586	0.00427556	0.00549343	0.00443456	0.00548225	0.00636451	0.0065072	0.00767076	0.00750757	0.0159439	0.0274245	0.0243651	0.0268713	0.0328172	0.0249486	0.0669873	0.0414863	0.0352819	0.035304	0.0383484	0.0399123	0.0422719	0.0245327	0.028398	0.0517881	0.0335486	0.0377406	0.0404674	0.0349646	0.0240244	0.0121669	0.0107514	0.0128161	0.0105506	0.0116035	0.0124825	0.0086531	0.00371596
qui	0.0867289	0.0346635	0.0216207	0.0122475	0.0108593	0.0112756	0.00649702	0.00893198	0.00872271	0.00785947	0.0156311	0.0140048	0.0153833	0.0118809	0.0226223	0.030254	0.0304413	0.0427089	0.0651578	0.0623492	0.0655251	0.0415661	0.0201278	0.01629	0.0129322	0.00948568	0.0126617	0.0156643	0.0299666	0.0533917	0.0367532	0.0324747	0.0244745	0.0141661	0.00945993	0.00663157	0.00781763	0.00981054	0.0181515	0.0141274	0.0126894	0.0105039	0.00548802
sont	0.0677692	0.0457474	0.0275658	0.0172529	0.0161032	0.0134394	0.0136164	0.0147844	0.0129306	0.011862	0.0196793	0.016791	0.0136471	0.00933191	0.0108415	0.00973193	0.0230467	0.0257546	0.0492059	0.0417627	0.0394732	0.038367	0.0238338	0.0176597	0.0158708	0.00805615	0.0128477	0.0178238	0.0272884	0.0287614	0.037342	0.0300871	0.0300477	0.0202689	0.0125792	0.00778297	0.0149299	0.0176546	0.0444606	0.0380038	0.0229646	0.01527	0.0177627
sur	0.0359373	0.0327365	0.0265434	0.0159207	0.0104247	0.00637788	0.00574255	0.00757267	0.00607304	0.00419298	0.00725907	0.00529324	0.0032606	0.00307188	0.00325632	0.00186478	0.00353425	0.00355075	0.0112073	0.0142573	0.012209	0.0155988	0.00954551	0.00878216	0.0100217	0.00872411	0.0135184	0.0148206	0.021841	0.0209936	0.0306909	0.0249023	0.0339566	0.032862	0.041151	0.0322969	0.050933	0.0521852	0.0754196	0.0743513	0.0731503	0.0650832	0.0688854
la	0.023923	0.0227395	0.0213841	0.0137225	0.0084818	0.00640823	0.00462276	0.005829	0.00515144	0.0035736	0.00452491	0.00425944	0.00309515	0.00317847	0.00266266	0.00164934	0.00281565	0.00295893	0.00605417	0.00657225	0.00549172	0.00686685	0.0049453	0.00507718	0.00567025	0.0055722	0.0104098	0.0125078	0.0202209	0.0228169	0.0230641	0.0184641	0.0260283	0.0248674	0.0475968	0.0364275	0.0713447	0.0622914	0.0943274	0.0918595	0.0926621	0.0838735	0.0740075
table	0.0420101	0.0225237	0.0188953	0.0125649	0.00717845	0.00471724	0.00354703	0.00462255	0.00468773	0.00472635	0.00885344	0.00825195	0.00480978	0.00651794	0.006119	0.00435003	0.0058223	0.00643431	0.0147183	0.0161723	0.0148675	0.0202602	0.010958	0.010218	0.0111169	0.0105082	0.0137631	0.0129966	0.0163774	0.0212092	0.020969	0.0241386	0.0233646	0.022308	0.0413408	0.028764	0.0465612	0.0426322	0.0733813	0.0708526	0.0840985	0.0616532	0.110138
</S>	0.039325	0.0350851	0.0392889	0.0373941	0.0289051	0.01685	0.0130925	0.0175183	0.0218386	0.0121601	0.0176655	0.0215884	0.0107326	0.00952306	0.00865555	0.00528187	0.00903445	0.00942098	0.0258129	0.0263654	0.0298916	0.0296085	0.0166289	0.0135771	0.0103823	0.00797464	0.00691621	0.00809301	0.0111022	0.00984948	0.00867912	0.015051	0.0154098	0.0112922	0.0206583	0.014621	0.0313343	0.0253419	0.0443298	0.0500422	0.0739487	0.0642705	0.0754588
