 	a15	a66	a10	a87	a23	a83	a9	a38	a47	a61	a62	a47	a21	a47	a12	a24	a88	a75	a25	a92	a56	a24	a31	a88	a0	a75	a25	a69	a58	a82	a87	a83	a88	a71	a62	a21	a85	a37	a90	a69	a4	a53	a4	a57	a82	a87	a23	a87	</S>
toutes	0.0391425	0.0511508	0.0386776	0.0412126	0.030554	0.0229049	0.0224082	0.02794	0.0284247	0.0241929	0.0254793	0.0282559	0.00982739	0.00914952	0.00859634	0.0142836	0.0129205	0.0153696	0.0188606	0.0149365	0.0160231	0.0154389	0.0145206	0.0141236	0.0232139	0.0269457	0.0134657	0.0122087	0.0177165	0.0162862	0.0155959	0.0186143	0.00958688	0.00579807	0.00828341	0.0141631	0.0122075	0.0148006	0.0270141	0.0316459	0.0284185	0.0176536	0.0252067	0.0240081	0.0189269	0.0204258	0.0188892	0.0147909	0.0197401
les	0.00668292	0.00611904	0.0107452	0.0106548	0.00864039	0.00544433	0.00695108	0.0103363	0.0268391	0.0250867	0.10147	0.0576266	0.0305679	0.033128	0.0646096	0.0955609	0.0458895	0.076896	0.0327448	0.0270154	0.0232904	0.0178444	0.0200504	0.0293247	0.0170309	0.0179339	0.0164771	0.0136775	0.0105041	0.00797068	0.00728524	0.00929483	0.00616519	0.00905635	0.00896492	0.0126996	0.011954	0.00967476	0.00831711	0.004738	0.00624198	0.00463693	0.00534487	0.00541938	0.00335587	0.00579421	0.00800653	0.00932581	0.00661175
oranges	0.00590525	0.0037879	0.00473537	0.00348752	0.00309051	0.00611883	0.0117492	0.00742702	0.0243925	0.0313566	0.0883624	0.0325468	0.0149968	0.0120957	0.0229479	0.0697093	0.0668352	0.0574243	0.0383218	0.0587603	0.0708303	0.0439839	0.0348133	0.0460812	0.02131	0.0122466	0.00784102	0.00526207	0.00434809	0.0037409	0.00429517	0.00284586	0.00421878	0.00427002	0.00435784	0.00975512	0.00924269	0.0186442	0.0123264	0.0168917	0.0161699	0.0135352	0.0112082	0.0137563	0.0132007	0.00945547	0.00774621	0.00676842	0.0068031
qu'	0.0517352	0.0294871	0.0250914	0.0283163	0.017748	0.0121024	0.0108963	0.0160778	0.00934058	0.00917118	0.0111261	0.015107	0.0327703	0.0281988	0.0233753	0.0383388	0.0608826	0.0659023	0.047155	0.0477292	0.0413753	0.0332578	0.032636	0.0320341	0.0139734	0.0135675	0.0155887	0.0192339	0.00919908	0.00920198	0.0117355	0.00596996	0.00298374	0.00492981	0.00823223	0.00297811	0.00521853	0.00361141	0.00368225	0.00330721	0.0067547	0.00690589	0.00623012	0.0118442	0.00952926	0.022246	0.0196352	0.0334796	0.030107
il	0.0475401	0.0259964	0.0120031	0.00977152	0.0043895	0.00351026	0.00462893	0.00490729	0.00400679	0.00473178	0.00461876	0.00677042	0.0148375	0.0158391	0.0169317	0.0192199	0.0219798	0.0281462	0.0199832	0.0330731	0.029159	0.0332665	0.0396427	0.0592802	0.0323171	0.0227119	0.0352143	0.0318795	0.0336636	0.0296967	0.061659	0.0334623	0.0241611	0.0368958	0.0579184	0.00550313	0.0166847	0.00735883	0.00514971	0.00472633	0.00779421	0.00699668	0.00556984	0.0105304	0.00639646	0.0128514	0.0114457	0.0251134	0.0100656
m'	0.047413	0.0142866	0.0125023	0.0135022	0.0114725	0.00658139	0.0066328	0.00619442	0.00807105	0.0110618	0.0131389	0.0159543	0.0175996	0.0295484	0.0382133	0.0439417	0.0457836	0.0377299	0.0378102	0.0611019	0.0510506	0.0413272	0.0312426	0.0380102	0.0240074	0.0107643	0.00965869	0.00904831	0.00764841	0.00598805	0.00730067	0.00663234	0.00659273	0.0068581	0.0156423	0.00795601	0.00590457	0.00858412	0.011711	0.0146954	0.0134283	0.016734	0.0117721	0.0202863	0.0174412	0.0190757	0.0282071	0.0354801	0.0384122
a	0.0416358	0.0185078	0.0222825	0.0211866	0.0193723	0.00940248	0.0098012	0.0087328	0.0121031	0.00750662	0.00958975	0.00754213	0.0142295	0.0180564	0.0206582	0.018811	0.0171096	0.0177625	0.0235331	0.035915	0.0278121	0.0334856	0.0257151	0.0403484	0.020405	0.0110511	0.00846357	0.00789655	0.00763608	0.00530374	0.00720584	0.00483278	0.00785529	0.010744	0.0248193	0.0276079	0.0333061	0.0319384	0.0368773	0.014002	0.018386	0.0277336	0.0280595	0.0251643	0.0211518	0.0252827	0.0324837	0.0281745	0.0525194
données	0.0394446	0.023402	0.0220072	0.0171639	0.0152537	0.00632051	0.00792982	0.00942119	0.0173141	0.00894162	0.0104109	0.00780919	0.0208294	0.0246254	0.0195641	0.00906471	0.00781927	0.00740239	0.00923142	0.00979181	0.00934627	0.0172092	0.0162722	0.0287445	0.0299685	0.0254648	0.0143904	0.0121303	0.0106578	0.00957062	0.0122422	0.00567443	0.00871559	0.00791231	0.0147423	0.0136168	0.0211313	0.0276382	0.019453	0.013564	0.026689	0.0372437	0.0399711	0.0348575	0.038323	0.0534466	0.0449488	0.0417799	0.0705487
étaient	0.0315074	0.0260118	0.0276386	0.0208313	0.0192025	0.0134532	0.0152128	0.0173589	0.0270839	0.0177085	0.0248321	0.0140004	0.0188456	0.0204092	0.0226756	0.0135174	0.0135637	0.00995809	0.0167347	0.0147646	0.0165662	0.0198272	0.013958	0.0157752	0.0183549	0.0205303	0.0156138	0.0106834	0.0170498	0.0146657	0.0171256	0.0125404	0.01094	0.0109666	0.0192924	0.0194222	0.0349631	0.0325107	0.0260866	0.0199283	0.0251595	0.0376781	0.0424519	0.0343609	0.0303787	0.0236591	0.017999	0.0160326	0.0201696
déjà	0.0308981	0.0252065	0.0252022	0.0224079	0.021345	0.00845947	0.00843096	0.0126042	0.0167436	0.0101374	0.0200479	0.0132783	0.0181807	0.0237475	0.0267086	0.0201665	0.0176712	0.0161095	0.0225397	0.0174562	0.0186355	0.0253712	0.0234096	0.0339784	0.0362123	0.0482041	0.0393434	0.0371849	0.0285574	0.0212209	0.0223716	0.0253939	0.0181543	0.0119121	0.0198684	0.0206836	0.0234085	0.0264447	0.0135924	0.00751417	0.0110424	0.00863558	0.0115217	0.0117026	0.00775784	0.0156242	0.0126127	0.01839	0.0239101
