 	a15	a66	a87	a23	a30	a93	a12	a61	a21	a12	a56	a25	a69	a98	a85	a92	a21	a37	a12	a62	a88	a31	a47	a21	a85	a6	a36	a26	a84	a87	a23	a99	a97	</S>
la	0.0364554	0.0438648	0.0492854	0.0632493	0.042501	0.0252143	0.0358237	0.0296521	0.0522365	0.0366677	0.0319578	0.0236047	0.018024	0.0188231	0.0162356	0.0240835	0.0133045	0.0157507	0.012735	0.0131625	0.0127055	0.0120528	0.0185573	0.0182299	0.0228394	0.0404737	0.0326316	0.0393896	0.0313282	0.0267928	0.0358103	0.0285632	0.032818	0.045176
femme	0.00334272	0.0104633	0.013512	0.00772528	0.00706591	0.00744938	0.0158151	0.0180711	0.0442873	0.0622108	0.077851	0.0794959	0.0888708	0.114235	0.135123	0.0835001	0.0457022	0.0541168	0.0577496	0.0338003	0.00841663	0.00473357	0.00848415	0.00385337	0.00231508	0.00147554	0.001232	0.00161489	0.000947884	0.00109316	0.000973651	0.00133289	0.0020379	0.00110137
qu'	0.0155981	0.0383662	0.0492871	0.0330122	0.0372864	0.0794073	0.0570032	0.0588201	0.0679751	0.119268	0.0944054	0.055638	0.05488	0.060719	0.0444111	0.0226342	0.0228185	0.0157231	0.00794984	0.00584522	0.00696339	0.00437325	0.0122661	0.00411451	0.00460556	0.0060574	0.00367518	0.00260657	0.00266598	0.00222151	0.0021365	0.00251793	0.00362952	0.00111875
il	0.106787	0.0991199	0.0652291	0.058129	0.0392222	0.0452981	0.0555337	0.0396275	0.0489216	0.0306048	0.0246452	0.0214856	0.018591	0.0250201	0.0171584	0.0180634	0.0175714	0.0234097	0.0176307	0.00706877	0.00747545	0.00521339	0.00757408	0.00746371	0.00655324	0.0172706	0.0109417	0.00975736	0.0152363	0.0179445	0.022724	0.0244854	0.0198503	0.0483934
est	0.0343063	0.0404954	0.0242766	0.0241106	0.0230966	0.0275673	0.0311396	0.0535108	0.0303318	0.0305433	0.0262121	0.0680256	0.106802	0.0876933	0.0582946	0.0487738	0.0360873	0.0421842	0.0432376	0.0231998	0.00967354	0.00895131	0.01691	0.00409014	0.00552701	0.00871532	0.00855299	0.00585842	0.010694	0.00909311	0.00918603	0.0122001	0.0130223	0.0176374
allé	0.0343682	0.03064	0.0272693	0.0314961	0.035432	0.0426366	0.050187	0.0617743	0.0611428	0.0473035	0.0321635	0.0408992	0.0468442	0.0543064	0.0436365	0.0215052	0.0226883	0.0222553	0.019449	0.0106881	0.0120157	0.015108	0.0241542	0.0130736	0.0166657	0.0307599	0.0171273	0.0142783	0.0154302	0.0124393	0.0184059	0.0179743	0.0172612	0.0386207
épouser	0.0252545	0.0260933	0.0251598	0.0310924	0.0315776	0.0511786	0.0425626	0.0425755	0.0266536	0.0339073	0.0201356	0.0239483	0.0349195	0.0374355	0.0381836	0.0203062	0.0220051	0.0161079	0.016762	0.0156446	0.0289198	0.0265342	0.0377885	0.0305297	0.0319865	0.0371857	0.0408907	0.0366212	0.037371	0.0254423	0.0305437	0.0171027	0.0263186	0.0112619
est	0.0540564	0.0388543	0.0372765	0.0401068	0.043882	0.0421901	0.0379881	0.0450099	0.0382242	0.0328675	0.0197648	0.0163067	0.0146442	0.0200152	0.00908023	0.0118173	0.013269	0.0125214	0.00782767	0.00563049	0.00754995	0.0162303	0.0178385	0.018693	0.0320977	0.0383228	0.0635184	0.0399434	0.0461635	0.0366113	0.037788	0.025843	0.0295526	0.0485148
sourde-muette	0.0323539	0.0247515	0.0248662	0.0268567	0.0224086	0.012995	0.0125501	0.0124786	0.0120788	0.0168201	0.0117953	0.0114111	0.0114692	0.00907931	0.010501	0.0184832	0.0187254	0.0172102	0.0128758	0.0123283	0.0164642	0.0154727	0.012391	0.0201416	0.0310094	0.0289012	0.0608905	0.0762728	0.0846329	0.0869801	0.0787425	0.0601607	0.0531409	0.0427614
</S>	0.0421372	0.0392395	0.0325773	0.03587	0.0254586	0.0175233	0.0208037	0.0175829	0.0205358	0.0249837	0.0233266	0.0229804	0.0191276	0.0133413	0.00666076	0.0160551	0.0188299	0.015898	0.0111099	0.00856113	0.00819731	0.00976365	0.0183243	0.012452	0.0347258	0.0577794	0.0419446	0.0428236	0.0589457	0.049455	0.0596694	0.0477986	0.0612751	0.064243
