 	a66	a87	a23	a87	a23	a30	a70	a96	a93	a90	a25	a98	a85	a6	a36	a56	a31	a88	a71	a38	a34	a90	a25	a98	a15	a7	a0	a21	a12	a62	a88	a83	a96	a61	a21	a12	a47	a62	a21	a5	a37	a26	a82	a97	a87	a23	a38	a26	</S>
cette	0.0102499	0.0149565	0.0156287	0.0168983	0.0131842	0.0257105	0.0191016	0.0426683	0.0687474	0.0331594	0.0356437	0.0370936	0.0255155	0.0265498	0.014377	0.0132907	0.00826843	0.00831363	0.00976895	0.00992563	0.00892203	0.0106268	0.00841085	0.00762171	0.00740513	0.00766477	0.00748836	0.0138881	0.009378	0.0128016	0.00564687	0.00475015	0.00269088	0.00654795	0.00711859	0.00961669	0.00795523	0.00945847	0.00962819	0.0204839	0.0255717	0.0452568	0.0398286	0.0381496	0.0382196	0.0361562	0.0242529	0.046228	0.0791805
femme	0.00695525	0.0104469	0.0186217	0.0186423	0.0284776	0.036954	0.0713785	0.0341364	0.0437217	0.0752736	0.0709478	0.0667217	0.0512193	0.0711232	0.052869	0.0229993	0.0201725	0.0227089	0.0216947	0.0188096	0.0166078	0.0249472	0.0214659	0.0287844	0.0136878	0.0118486	0.0115348	0.00983188	0.00458045	0.00545232	0.0039279	0.00628399	0.00575274	0.00557802	0.00417832	0.00555426	0.00312425	0.00278734	0.00164339	0.00332451	0.00357062	0.0031178	0.00638264	0.00557494	0.00333306	0.00493914	0.00637952	0.00626756	0.00566476
lance	0.0220193	0.0230396	0.018599	0.0287303	0.0329501	0.0434209	0.0480057	0.0848535	0.0746728	0.0589077	0.0469832	0.0360223	0.0491514	0.0270858	0.0300666	0.0272784	0.0172336	0.0186946	0.0222149	0.0239398	0.0126358	0.00549147	0.0202892	0.0178452	0.0140306	0.0131443	0.0087281	0.0135734	0.00707046	0.00792457	0.00460725	0.00262411	0.0030728	0.00434465	0.00498981	0.00652134	0.00404132	0.00560027	0.00972297	0.00829187	0.00992372	0.00960227	0.0109095	0.00959423	0.0102418	0.0107794	0.0165363	0.0089071	0.00508684
des	0.0125162	0.00576725	0.00483093	0.0067252	0.00589937	0.0052554	0.00786675	0.00676114	0.0177018	0.035329	0.0259369	0.0280252	0.0659864	0.0302377	0.0273282	0.0341251	0.0297742	0.0247926	0.0306962	0.0344056	0.0266982	0.0271703	0.0283597	0.0328685	0.0296087	0.0160335	0.0145267	0.0132394	0.0120993	0.0126909	0.00907993	0.0110165	0.00755892	0.00960078	0.0125091	0.0125116	0.0131954	0.01289	0.0142049	0.016658	0.0159512	0.0214785	0.0135242	0.0216807	0.0229837	0.0266235	0.0221297	0.0250299	0.0581171
in	0.015724	0.0130456	0.0147476	0.0136701	0.0155731	0.0167431	0.025379	0.0260779	0.0150034	0.0204894	0.0301074	0.0342506	0.0354971	0.0359193	0.0266627	0.038266	0.0588803	0.045677	0.0303621	0.0307914	0.035711	0.0355398	0.0245606	0.0429892	0.036698	0.0202519	0.0397353	0.0214336	0.0287281	0.0237798	0.0283808	0.0225494	0.0163204	0.016574	0.00786027	0.00856117	0.0048321	0.00416308	0.00360652	0.00615564	0.00534728	0.00291481	0.00231553	0.00332804	0.0029126	0.00295631	0.00223471	0.00298202	0.00371088
jures	0.00924478	0.00409374	0.00452296	0.00449659	0.00533085	0.00486492	0.0134492	0.0160944	0.0140394	0.0160637	0.030327	0.0362488	0.0502472	0.0663353	0.0367089	0.0573575	0.0440684	0.0423925	0.0244162	0.0178887	0.0160697	0.0137225	0.00870239	0.013168	0.0152794	0.0127917	0.0189091	0.0197705	0.0236667	0.0182533	0.0153837	0.0113716	0.00860062	0.0150552	0.0157965	0.0247303	0.0240654	0.0256965	0.0220627	0.0272366	0.0146024	0.0197366	0.0159995	0.0179495	0.0202703	0.0167377	0.0136014	0.0163883	0.0161908
obscènes	0.010922	0.00945261	0.00900907	0.0091342	0.0138911	0.0103826	0.0202902	0.0278116	0.0249317	0.0233383	0.0289088	0.030631	0.0386757	0.043305	0.0285318	0.0353874	0.0256437	0.0227827	0.0180277	0.0116635	0.0122794	0.0115117	0.00986003	0.0128705	0.0104622	0.00904877	0.0144584	0.0177457	0.0173669	0.017301	0.0151925	0.0129724	0.00858364	0.0188433	0.0148707	0.0168166	0.0168391	0.0264217	0.0220408	0.0301701	0.0202652	0.0320273	0.0199859	0.0276825	0.0306208	0.0236045	0.0246411	0.0285803	0.0342163
parce	0.00845574	0.00662973	0.00393635	0.00766838	0.00451728	0.00516094	0.00884059	0.0150368	0.0295397	0.0293654	0.0317145	0.0311144	0.0352988	0.0359163	0.0237169	0.0345646	0.029631	0.0345473	0.02593	0.0209358	0.03319	0.0236971	0.018103	0.0173891	0.0111881	0.00749379	0.00867637	0.0114641	0.00728666	0.0110782	0.00709944	0.00346397	0.00322451	0.00875345	0.0160445	0.023704	0.0340425	0.0370647	0.032212	0.038941	0.0261363	0.0291285	0.0257126	0.018439	0.0187803	0.020508	0.013777	0.021163	0.0497184
qu'	0.0163946	0.00985263	0.00787673	0.0123719	0.00984071	0.00616921	0.0102562	0.0160343	0.0346853	0.0339548	0.0225001	0.0311611	0.0275495	0.0328098	0.0280909	0.033266	0.0449785	0.0320959	0.030004	0.0322603	0.0365394	0.0275051	0.028279	0.0161642	0.0137436	0.0103924	0.00971869	0.0104145	0.0082474	0.00909236	0.00615648	0.00399904	0.00560397	0.00587157	0.00897257	0.0105635	0.0152613	0.014767	0.0174682	0.0122515	0.0134011	0.0225062	0.0191552	0.0314825	0.0234611	0.031259	0.0271455	0.0356993	0.0527258
elle	0.0140579	0.0129893	0.00851299	0.0135629	0.00868251	0.00605754	0.0110663	0.0156665	0.0214654	0.0216209	0.0185669	0.0243224	0.0248038	0.0279563	0.0273539	0.0303733	0.0342961	0.033161	0.0297567	0.0313863	0.0315888	0.0260844	0.0215036	0.0140328	0.013656	0.0123631	0.0119134	0.0143556	0.0129107	0.0186647	0.0162932	0.0109193	0.0123035	0.0180118	0.0240771	0.0258826	0.0231037	0.019738	0.0244113	0.0165327	0.0228025	0.0198293	0.0161981	0.0241282	0.0172862	0.0283854	0.0187088	0.0259705	0.0426858
