 	a87	a23	a79	a20	a58	a82	a38	a30	a73	a41	a94	a41	a94	a98	a41	a24	a32	a24	a90	a94	a41	a73	a2	a57	a87	</S>
tu	0.0214883	0.0212861	0.0542682	0.0230395	0.0327247	0.0337567	0.055807	0.0825142	0.0553614	0.143105	0.0670891	0.0355521	0.0214655	0.00731454	0.00391719	0.00416681	0.00617945	0.00854313	0.0108684	0.0161585	0.0516682	0.0478357	0.0365606	0.0743129	0.0344119	0.0506049
feras	0.0101452	0.00959699	0.0123972	0.0138392	0.0138397	0.0100313	0.0328369	0.0585819	0.0666838	0.117534	0.109814	0.0993572	0.0893571	0.0828892	0.0457559	0.0303815	0.034651	0.0115906	0.0053304	0.00817999	0.0143494	0.0156866	0.0203166	0.0251433	0.0306939	0.0310177
attention	0.0209843	0.0114279	0.00974609	0.0153688	0.0153378	0.0114748	0.0334502	0.058257	0.0579386	0.0770738	0.0937586	0.074352	0.0594701	0.0262768	0.0100431	0.0016694	0.00245785	0.00260078	0.00449499	0.0109237	0.0263777	0.0440655	0.0572962	0.0518424	0.119523	0.103788
à	0.0387522	0.0566954	0.0562199	0.0488645	0.0774631	0.0518709	0.0708111	0.0688895	0.0168359	0.0231954	0.016992	0.0211806	0.0167345	0.0178667	0.0162625	0.0105953	0.0143263	0.0127643	0.0217272	0.0240356	0.0274059	0.0398859	0.0575015	0.0508339	0.055662	0.0866282
la	0.0772472	0.0226598	0.0105055	0.00716588	0.0104693	0.0105017	0.00621035	0.00799438	0.00446308	0.00338237	0.00380103	0.00321626	0.00387678	0.00355288	0.00325733	0.00647503	0.00784367	0.0106024	0.0250559	0.0536131	0.0719293	0.115212	0.139507	0.0881393	0.166045	0.137274
viande	0.215728	0.101157	0.0579942	0.041286	0.0579678	0.0429566	0.0252513	0.0199204	0.00954714	0.0109846	0.0109787	0.020232	0.0306457	0.0149055	0.0276818	0.0188678	0.0137464	0.0150856	0.014605	0.0184477	0.0211459	0.0242462	0.0280695	0.0306046	0.0338245	0.09412
qui	0.143576	0.054995	0.0442376	0.0165938	0.0154026	0.0158213	0.00630056	0.0061687	0.00577476	0.00774664	0.00683144	0.00692958	0.00743549	0.00504077	0.00358723	0.00892641	0.0137335	0.00956861	0.0137541	0.0243938	0.0600186	0.0938103	0.103132	0.0921769	0.114471	0.119573
est	0.170606	0.0540058	0.0285974	0.00898526	0.0226404	0.0245359	0.0160427	0.0117704	0.00581764	0.00451498	0.00397878	0.00817687	0.0048176	0.00503769	0.0037719	0.00657234	0.0158994	0.0201952	0.0552631	0.0993186	0.0984846	0.0727174	0.0653439	0.062348	0.0659278	0.0646298
sur	0.0877395	0.0313071	0.00943621	0.00592118	0.0131844	0.0129718	0.00751009	0.010013	0.00586317	0.00403975	0.00449017	0.00433836	0.0044948	0.00435965	0.00315117	0.00534538	0.0099939	0.0197797	0.0332678	0.0804083	0.113723	0.0632062	0.0428079	0.0901176	0.112583	0.219947
le	0.0546742	0.0200031	0.0143142	0.00711167	0.0122913	0.0160818	0.0124641	0.0155709	0.00946962	0.00653369	0.00540258	0.00425196	0.00489043	0.00430361	0.00354564	0.00542765	0.0126949	0.0188922	0.027072	0.0644717	0.0758266	0.0958628	0.123709	0.112338	0.159367	0.113429
feu	0.104251	0.0321111	0.00760371	0.00383705	0.0092771	0.017882	0.00969755	0.0106626	0.00825061	0.00408982	0.00508534	0.00388736	0.00429881	0.00333214	0.00289468	0.00343833	0.00999194	0.0189258	0.0383359	0.0582541	0.0728797	0.0746843	0.079724	0.104264	0.148412	0.163929
</S>	0.0521611	0.0106796	0.00593867	0.00241764	0.00522442	0.011244	0.00613651	0.00796535	0.0066584	0.00410006	0.00400713	0.00227968	0.0028596	0.00220526	0.0016615	0.00123115	0.00617873	0.00945143	0.015767	0.041221	0.0654278	0.10698	0.0882415	0.157647	0.179902	0.202414
