 	a87	a23	a40	a32	a25	a11	a76	a35	a41	a14	a27	a75	a14	a35	a14	a43	a75	a41	a24	a41	a90	a98	a73	a84	a57	a87	a23	a40	a73	a26	a75	a41	a34	a79	a35	a76	a90	a57	a38	a75	a25	a98	a41	a26	a38	a11	a21	a12	a18	a25	a87	</S>
tout	0.0363545	0.0379977	0.0292156	0.0153725	0.00645551	0.00863626	0.0251201	0.00915039	0.00893756	0.00993574	0.0198834	0.0345587	0.0417615	0.0388002	0.0454256	0.0731589	0.0424768	0.077331	0.0318485	0.0453506	0.0379714	0.0259715	0.0274965	0.0205305	0.0403753	0.0206537	0.0160884	0.00947639	0.00652692	0.00613623	0.00526116	0.00563001	0.00591983	0.00447803	0.00462659	0.00338127	0.00295097	0.00468385	0.00325103	0.00373259	0.00823891	0.00184977	0.00266932	0.00443485	0.00698279	0.00980586	0.0103493	0.00761237	0.00760289	0.00820937	0.00811322	0.0312182
ce	0.00356209	0.0073255	0.0123695	0.013973	0.0243027	0.0203453	0.0173568	0.0253173	0.0309668	0.0346418	0.0219341	0.0274521	0.0248878	0.0221697	0.0189581	0.013652	0.0215733	0.0272335	0.0310761	0.030612	0.0503888	0.0690999	0.0340324	0.0486931	0.024132	0.0278234	0.0236118	0.0360073	0.0207286	0.024553	0.0217213	0.0231745	0.0286261	0.0168792	0.0243334	0.0140116	0.0122742	0.00746365	0.00561169	0.00587673	0.00515915	0.00664731	0.00706168	0.00503702	0.00425339	0.00445131	0.00316089	0.00279252	0.00280326	0.00255862	0.00274834	0.00457415
qu'	0.0245032	0.0244787	0.0564517	0.0244677	0.037734	0.0271308	0.0161275	0.0414915	0.0240679	0.0215552	0.0250977	0.0217065	0.037314	0.0196197	0.0228662	0.0297595	0.0298271	0.0279317	0.0284837	0.0181203	0.0220326	0.0381321	0.0255022	0.0392993	0.0302749	0.0317183	0.0349299	0.0264099	0.0285385	0.0369388	0.0181018	0.0163962	0.0217335	0.0096282	0.012153	0.00466081	0.00560073	0.004205	0.00194296	0.00164718	0.00248952	0.00238371	0.00308819	0.00176147	0.00290808	0.00238248	0.00168462	0.00153217	0.0023839	0.00179745	0.00217199	0.0068357
on	0.0288447	0.0248716	0.0125695	0.0177625	0.0211522	0.0112644	0.0181824	0.00657183	0.0279072	0.0209801	0.00562941	0.0164894	0.00926745	0.0150099	0.0174266	0.0152497	0.0235705	0.00809084	0.0114582	0.0108167	0.0146359	0.0139758	0.0136384	0.0163516	0.00859053	0.0118076	0.00761574	0.0144467	0.00613628	0.0134453	0.0148733	0.0188504	0.0210928	0.0295022	0.0392515	0.0683648	0.041144	0.143874	0.0323222	0.00825843	0.00822026	0.00347369	0.00453621	0.00841311	0.00994352	0.0116044	0.00879231	0.0126296	0.0139	0.0159338	0.0207022	0.020558
lui	0.0320385	0.0112301	0.0123876	0.0115535	0.0114416	0.0110698	0.0165025	0.0125009	0.0328816	0.0383529	0.0134394	0.0122592	0.0139547	0.0127964	0.0193299	0.0112343	0.020158	0.012888	0.0143899	0.0150091	0.0167318	0.0116184	0.0146984	0.0169121	0.017485	0.0234686	0.0165613	0.0329696	0.0124509	0.014485	0.0186918	0.0234071	0.0244766	0.0282506	0.0359567	0.0427563	0.0594786	0.0543791	0.0528629	0.0243869	0.0243005	0.0204514	0.0140452	0.016909	0.00880823	0.0051321	0.00746198	0.00494012	0.00600539	0.00408682	0.004865	0.00554861
disait	0.0204521	0.00864356	0.0126822	0.0152469	0.0152416	0.0130063	0.00819079	0.0114209	0.0171564	0.0356801	0.0140878	0.0110466	0.0127812	0.0082056	0.015998	0.0104394	0.00932129	0.00840459	0.0124719	0.00657013	0.00728861	0.00537578	0.0115337	0.0128246	0.0135392	0.0106648	0.00985691	0.0244225	0.0170674	0.0288535	0.0299278	0.0308278	0.0343291	0.0274609	0.0728551	0.0682736	0.0622993	0.0640076	0.0580327	0.0221851	0.0163245	0.00907503	0.00567045	0.00405005	0.00469676	0.0063712	0.0140623	0.014072	0.010905	0.00952316	0.00979559	0.0167805
avivait	0.0258144	0.0170052	0.0239333	0.013538	0.0130331	0.0131402	0.018277	0.00662241	0.0172867	0.0251286	0.0156226	0.017504	0.0188056	0.0117545	0.0191259	0.0116409	0.01383	0.0168185	0.0213211	0.0215931	0.0222139	0.0157549	0.0226566	0.0230123	0.0227401	0.0229797	0.0160806	0.028016	0.0219082	0.0215701	0.0243191	0.0235212	0.0241884	0.0236	0.0244182	0.0374608	0.0304253	0.0457307	0.0214836	0.00702597	0.00597032	0.0046959	0.00381574	0.00351821	0.00728008	0.0136588	0.0283561	0.02769	0.0267096	0.019522	0.015298	0.0225843
sa	0.0877472	0.0592539	0.0257463	0.0109233	0.00692453	0.0098899	0.0168226	0.00429154	0.0133771	0.0141655	0.0046213	0.00653084	0.00684524	0.00672446	0.00533058	0.00452994	0.00816394	0.00615646	0.00953275	0.00711738	0.0186388	0.0122691	0.00983967	0.0130534	0.00617836	0.00866647	0.00576205	0.0161144	0.00745896	0.00614843	0.00548876	0.00903772	0.00942597	0.0140325	0.0127755	0.0181443	0.0191493	0.0250175	0.0170681	0.0100265	0.0108125	0.010386	0.00735893	0.010632	0.0148434	0.03515	0.0553831	0.0574281	0.0624396	0.0635261	0.0616928	0.051357
colère	0.0428122	0.0466865	0.0235869	0.0134324	0.0085146	0.0100672	0.0159674	0.00533158	0.0151487	0.0208767	0.0109691	0.0173199	0.0179654	0.0172308	0.0108139	0.00879858	0.0164407	0.0137952	0.0185704	0.0187825	0.0258102	0.0180402	0.0179089	0.0191737	0.0104533	0.0130481	0.00999336	0.019615	0.0114615	0.0112578	0.00934316	0.0105896	0.0101369	0.011343	0.00982192	0.0101049	0.0126934	0.016745	0.0157245	0.0110037	0.0142798	0.0111439	0.00691011	0.00933389	0.00956199	0.0155341	0.0334373	0.0378077	0.036527	0.0432718	0.0600856	0.0947283
</S>	0.0512147	0.0409912	0.0144029	0.00692959	0.00597674	0.00596598	0.0117857	0.0027279	0.00508665	0.0057009	0.00581897	0.00717978	0.00849727	0.00808973	0.00788671	0.00774293	0.00651362	0.00689245	0.00715886	0.00858039	0.0116299	0.00801414	0.00835767	0.0077608	0.00619262	0.00586173	0.00424803	0.00702525	0.00289751	0.00306742	0.00282388	0.00333263	0.00481219	0.00878445	0.00581889	0.0129698	0.0099944	0.0242595	0.0104574	0.0114785	0.0168531	0.0192153	0.0230279	0.0278713	0.0357962	0.0368825	0.0754412	0.0908744	0.0867578	0.0791327	0.0849427	0.0382752
