 	a66	a87	a23	a87	a23	a87	a97	a10	a87	a99	a83	a94	a70	a50	a83	a70	a93	a70	a11	a54	a44	a93	a44	a70	a53	a4	a44	a90	a93	a4	a13	a11	a34	a70	a44	a7	a44	a36	a26	a2	a57	a87	a23	a87	a23	a87	</S>
je	0.0209606	0.034742	0.0178106	0.00994037	0.015057	0.0113217	0.00766183	0.0112505	0.00736724	0.00844378	0.0149811	0.0123011	0.0146293	0.0185029	0.00821633	0.0202193	0.0263666	0.0199856	0.023898	0.033268	0.0144527	0.0184741	0.0408097	0.0216896	0.0202114	0.0129889	0.0199274	0.0315828	0.0283703	0.0507063	0.0394672	0.0234765	0.0278277	0.0355259	0.017721	0.0278266	0.0269425	0.0173777	0.0191061	0.0186645	0.0189859	0.0173315	0.015526	0.0154926	0.0191899	0.0215615	0.0418396
te	0.0235605	0.0180942	0.0229153	0.0183408	0.0205687	0.0281851	0.0212643	0.0126479	0.00947021	0.0174132	0.0152642	0.0153907	0.0158537	0.0155327	0.0163903	0.0185607	0.0202466	0.0258642	0.0234874	0.02596	0.0228136	0.0362303	0.0249787	0.0524175	0.0546694	0.0357795	0.0273624	0.0467268	0.0148849	0.0259579	0.0165961	0.0161699	0.0123566	0.00956125	0.01019	0.0121597	0.0146884	0.0216802	0.020525	0.0160565	0.0200471	0.0167785	0.0193195	0.017562	0.0137209	0.0197264	0.0160302
remercie	0.0446714	0.0134214	0.0107005	0.00695246	0.00683886	0.0131319	0.00886881	0.00403674	0.0069163	0.00862494	0.00961412	0.0197423	0.0285902	0.025313	0.0346611	0.0152503	0.0212849	0.0574633	0.0232443	0.0230067	0.0509622	0.113718	0.0226962	0.0631843	0.0274679	0.0138966	0.0114005	0.00722278	0.00770948	0.00572441	0.00412794	0.00364595	0.0028852	0.00578248	0.00702249	0.0104007	0.015624	0.0183737	0.0158891	0.0215166	0.0175108	0.0219094	0.0307051	0.0287583	0.0275041	0.0224824	0.0395461
pour	0.0449104	0.0269487	0.0172862	0.0201263	0.0155171	0.0117856	0.0119115	0.00569018	0.00507873	0.00549209	0.00335241	0.00462982	0.00963529	0.0103974	0.00884861	0.00668884	0.0208402	0.034959	0.0242914	0.0179313	0.0331929	0.0400087	0.0137663	0.0228682	0.00701825	0.0114476	0.0154038	0.0133882	0.0177692	0.0135863	0.00750922	0.00831709	0.00627253	0.0093938	0.0137029	0.015945	0.013949	0.0187129	0.0237855	0.0225895	0.0374989	0.0513331	0.0306237	0.0571876	0.0451756	0.0456451	0.0975878
le	0.0500324	0.0306804	0.0329026	0.0346829	0.0284477	0.024836	0.0217621	0.00811006	0.00690439	0.0075245	0.00464866	0.00626149	0.0116922	0.00898222	0.0102277	0.00700252	0.0124052	0.0160884	0.0131737	0.0130618	0.0218049	0.0402431	0.0133994	0.0366137	0.0131511	0.0179428	0.0250374	0.0156608	0.0264947	0.0188914	0.0202569	0.0191584	0.0201627	0.0282175	0.0312942	0.0307022	0.0187711	0.0314221	0.0278639	0.0217402	0.0302202	0.0333917	0.0187757	0.0232616	0.0189462	0.0228415	0.0243075
bien	0.0348328	0.0226026	0.0289753	0.0276282	0.0234892	0.0272434	0.0308521	0.0224848	0.0212181	0.0111407	0.00853112	0.00917597	0.0117398	0.0086291	0.00955953	0.00672741	0.00677361	0.00573912	0.00709889	0.00761115	0.0109536	0.0119147	0.00810126	0.00808402	0.00800723	0.0156173	0.0210533	0.0192108	0.0218626	0.0153984	0.0181583	0.0256258	0.0247533	0.0256326	0.0417886	0.0421952	0.0460404	0.0290014	0.0355149	0.0351347	0.0339457	0.0322868	0.0296105	0.0267575	0.0265972	0.0254254	0.0292757
que	0.0500152	0.0378838	0.0409483	0.0352441	0.0315976	0.0326577	0.0271608	0.0150067	0.0104039	0.0140322	0.0100927	0.013613	0.0156057	0.00936323	0.00882947	0.00519061	0.0051572	0.00590723	0.00557499	0.00784078	0.00620942	0.0151998	0.0137295	0.00894562	0.011307	0.0182875	0.0122197	0.0117469	0.0111039	0.0105647	0.0144601	0.0116875	0.0127107	0.0121682	0.0156862	0.0176047	0.0263859	0.0209879	0.0282614	0.0355451	0.0360177	0.0505869	0.0373911	0.0344849	0.0474817	0.0365448	0.0605561
tu	0.0718193	0.04872	0.0310876	0.0116927	0.0125214	0.0130283	0.00798491	0.00486349	0.00511348	0.00531592	0.00379701	0.0095168	0.00998993	0.00492498	0.00423195	0.00406989	0.00283053	0.00416761	0.0037525	0.0166926	0.00793532	0.00767666	0.0100434	0.00587958	0.00857809	0.00408845	0.0041895	0.0048877	0.00831006	0.00770138	0.00801361	0.00688059	0.00715986	0.00837504	0.0129198	0.0202563	0.0285188	0.0443924	0.0476772	0.0477015	0.0540586	0.0664433	0.057145	0.060571	0.0647617	0.077248	0.0424662
m'	0.0389895	0.0322979	0.031723	0.0145905	0.0169504	0.0166241	0.00817634	0.00328978	0.00416611	0.00583441	0.00424295	0.00866358	0.0118962	0.00716529	0.00509008	0.00969776	0.00953414	0.00909573	0.010528	0.0166217	0.0124457	0.021253	0.0271969	0.017592	0.0121905	0.0140986	0.0219898	0.0295888	0.0281509	0.0274896	0.0216348	0.0398545	0.0356851	0.0462719	0.0243702	0.0232867	0.00942632	0.015455	0.0130107	0.017495	0.0280322	0.0320838	0.0290454	0.0419605	0.0490623	0.0459468	0.0502056
as	0.031298	0.0166096	0.0154753	0.00735018	0.00760115	0.00810637	0.0050261	0.00254894	0.00259238	0.0054636	0.00350405	0.00728949	0.00575724	0.004125	0.00503662	0.00575544	0.00407666	0.00690075	0.00620648	0.0124489	0.0169475	0.0336586	0.0337648	0.037735	0.0227558	0.0154355	0.0173378	0.0276561	0.0300777	0.0354817	0.0211295	0.0349628	0.0329566	0.0515921	0.0513317	0.0387132	0.0156308	0.0202515	0.0216603	0.0279246	0.0290284	0.0412556	0.0320011	0.0362009	0.0379885	0.0415912	0.0317587
