 	a87	a10	a30	a10	a87	a23	a83	a98	a47	a41	a61	a75	a85	a41	a27	a25	a75	a5	a44	a93	a13	a38	a21	a47	a62	a47	a62	a83	a24	a31	a24	a0	a75	a25	a90	a98	a92	a21	a34	a62	a93	a96	a83	a54	a7	a26	a82	a97	a10	a87	a23	a99	a97	</S>
sa	0.0311507	0.0289497	0.0355214	0.0178978	0.0171803	0.017046	0.0335013	0.0517571	0.0715447	0.0383199	0.0205769	0.0323379	0.0252949	0.0156239	0.021165	0.0158085	0.0262375	0.0318379	0.0320515	0.0171892	0.0308582	0.0220402	0.0196299	0.014314	0.0158845	0.0158712	0.00927491	0.0128783	0.00769581	0.00726864	0.00902693	0.00956491	0.00837049	0.0111501	0.020104	0.0128908	0.0166381	0.0156321	0.0154631	0.0120509	0.0116309	0.00493161	0.00748237	0.00482362	0.00515651	0.00725656	0.00668367	0.00587794	0.00741572	0.00624214	0.0107571	0.00749524	0.0148113	0.031836
co-épouse	0.00165751	0.00806889	0.00999042	0.0359994	0.0401785	0.119067	0.15948	0.138595	0.218684	0.060279	0.0557068	0.0266504	0.0130258	0.0121477	0.00558127	0.00931871	0.00570967	0.00526404	0.00562697	0.00657618	0.00552011	0.00540222	0.00454575	0.00469063	0.00511366	0.00512854	0.00246158	0.00396742	0.00301556	0.00169188	0.0020228	0.00135917	0.00120226	0.00163155	0.00145879	0.00260583	0.00135647	0.000697246	0.0010179	0.000772356	0.0007113	0.00040023	0.000457958	0.000535636	0.0001691	0.000515191	0.000363196	0.000228849	0.000309622	0.000293042	0.000469117	0.000503529	0.000679385	0.001094
la	0.0330281	0.0265404	0.0220041	0.0165505	0.0182763	0.0166019	0.0179117	0.0147145	0.0157077	0.0277003	0.015459	0.0253426	0.0289771	0.0124541	0.0210954	0.0235018	0.0164052	0.014061	0.0172483	0.0196964	0.0179884	0.014577	0.0192065	0.026428	0.0298874	0.0339615	0.0346487	0.0204662	0.0230147	0.0335711	0.0301548	0.0119795	0.0221149	0.0124061	0.01359	0.00512429	0.00600176	0.0037107	0.00433454	0.00332497	0.00446695	0.00453723	0.00403963	0.00893337	0.0146647	0.00633557	0.0171725	0.0209262	0.0201166	0.0223592	0.0224344	0.0301691	0.0328246	0.0212526
traitait	0.0338111	0.0141998	0.0147674	0.00900486	0.00665601	0.0098363	0.0175214	0.0128551	0.016416	0.0318456	0.0389923	0.0388424	0.0321895	0.0249259	0.01509	0.0224698	0.0191891	0.0169288	0.0194189	0.0137272	0.0125398	0.0139846	0.0177688	0.012684	0.0156031	0.0170354	0.0240013	0.00978983	0.0150417	0.0204179	0.0359829	0.0481766	0.03203	0.0272941	0.0363631	0.0182448	0.0262102	0.0207308	0.0135708	0.00903224	0.0101309	0.00227866	0.00237011	0.00532519	0.00707108	0.00249478	0.0107323	0.00499013	0.00792545	0.0112311	0.0147985	0.017549	0.0299922	0.0379212
tout	0.0386353	0.0229043	0.0284471	0.0125804	0.0132591	0.00594357	0.00675578	0.00811335	0.00605209	0.00623931	0.00379714	0.00753852	0.0100599	0.0120519	0.0135893	0.0158595	0.00908392	0.0135681	0.0220865	0.0299726	0.0193544	0.0274237	0.0410634	0.0419677	0.0575188	0.0560781	0.0596307	0.0508094	0.0609666	0.0659925	0.0523499	0.0259802	0.0320873	0.0193735	0.0147987	0.0139158	0.00686191	0.00655359	0.00883256	0.00383206	0.00500256	0.00113619	0.0014931	0.00154017	0.00125848	0.00119614	0.00214851	0.00152696	0.00252581	0.00177414	0.00412827	0.00300409	0.00997292	0.0113643
le	0.0249717	0.0151343	0.0116855	0.00712975	0.00902599	0.00822715	0.00968966	0.00928329	0.00736337	0.00861389	0.0052469	0.00946453	0.00914289	0.00676974	0.0186779	0.015821	0.0220445	0.0211078	0.0225544	0.028348	0.0300681	0.0340107	0.0330476	0.0314569	0.0295851	0.0281461	0.0172208	0.0202531	0.0202927	0.0198163	0.0289802	0.0289301	0.0185625	0.0240399	0.020089	0.0229165	0.0192999	0.0145425	0.0184409	0.0153128	0.0147802	0.0106329	0.0171166	0.0157488	0.0109176	0.0247371	0.0218855	0.0168822	0.0188283	0.0156896	0.0207489	0.0150482	0.0297832	0.0218867
temps	0.0367509	0.025221	0.0211995	0.00825238	0.0058126	0.00442547	0.00487118	0.00645248	0.00525165	0.00762079	0.00455074	0.00811753	0.00656849	0.00452351	0.00857486	0.00931579	0.0130117	0.0136129	0.0145167	0.0157596	0.0170312	0.0296049	0.0340988	0.0235576	0.0320556	0.0292993	0.0203728	0.0191999	0.0241328	0.0293674	0.0345848	0.0430128	0.0372677	0.0327958	0.0349739	0.0348803	0.0221928	0.0153011	0.025099	0.0186576	0.0122256	0.0114306	0.0151766	0.0107114	0.0159836	0.0150032	0.0151811	0.0172144	0.0126219	0.0126796	0.0243208	0.0135394	0.029359	0.0126568
de	0.0447971	0.0215591	0.0198067	0.00985285	0.00750908	0.00519349	0.00766217	0.00995912	0.00783994	0.00992313	0.00596105	0.0138243	0.0161843	0.010997	0.0123866	0.0241518	0.0256186	0.0232703	0.0233521	0.0263517	0.0290691	0.0341305	0.042462	0.0514432	0.0376034	0.0456674	0.0322327	0.0252372	0.027427	0.0370098	0.0244637	0.0131831	0.0216324	0.0197447	0.0237324	0.0102068	0.00944361	0.0104007	0.0138529	0.00738303	0.00915461	0.00951628	0.0101281	0.0100666	0.0130661	0.00998329	0.0104154	0.0108824	0.00805821	0.0098695	0.0128222	0.0103775	0.0280616	0.00507233
stérile	0.0413041	0.0260591	0.0196551	0.00744731	0.00692192	0.00478631	0.0050513	0.00507392	0.00483138	0.00586738	0.00243891	0.00546246	0.00704048	0.0046696	0.00647974	0.0138036	0.0108978	0.0134515	0.0159639	0.0209425	0.0197439	0.0187887	0.0231415	0.0214418	0.0252992	0.0260022	0.019963	0.0173136	0.0217025	0.024768	0.0241354	0.0194274	0.0201326	0.0234618	0.0283461	0.023034	0.0141423	0.0212739	0.0379632	0.0195018	0.0210806	0.0122969	0.0239802	0.0183244	0.0124755	0.0175698	0.0234668	0.0172252	0.0193078	0.0171739	0.03065	0.0237274	0.066342	0.0186482
</S>	0.025487	0.0254408	0.0255134	0.0157051	0.00816067	0.00570883	0.00506289	0.0068603	0.00407872	0.00560803	0.0055937	0.0092348	0.00950947	0.0103998	0.00610029	0.012495	0.00868485	0.0120796	0.0206824	0.0219833	0.0157047	0.0221803	0.0284003	0.0192475	0.0230999	0.0235343	0.0217331	0.0183558	0.0247232	0.0182777	0.0241038	0.0248913	0.0181976	0.0152947	0.0158941	0.0159424	0.0174482	0.0172601	0.020595	0.0166791	0.018202	0.0133354	0.0246626	0.00965167	0.0122501	0.0137096	0.0221615	0.0255565	0.029342	0.0209962	0.0364761	0.0275485	0.041506	0.0586495
