 	a82	a10	a76	a69	a58	a15	a73	a54	a73	a69	a40	a85	a37	a5	a37	a85	a0	a75	a5	a37	a61	a56	a70	a93	a90	a56	a34	a96	a88	a13	a38	a9	a82	a38	a9	a82	</S>
le	0.0383966	0.0440199	0.0398319	0.0447342	0.0708998	0.0976061	0.0615482	0.0403477	0.0430188	0.0404795	0.037603	0.0433151	0.0468816	0.0285831	0.0170988	0.0137506	0.0147091	0.0117957	0.0109597	0.0132778	0.0132536	0.0179542	0.0276995	0.0158728	0.0193405	0.0135751	0.0138678	0.0110312	0.0101673	0.0108882	0.011767	0.012423	0.0126935	0.00888921	0.0118922	0.0101986	0.0196291
sel	0.00182332	0.00592507	0.0135431	0.0142395	0.0233891	0.0555368	0.10149	0.106974	0.187563	0.062094	0.0372565	0.0319051	0.0284652	0.0186134	0.0350581	0.0218278	0.0346355	0.0562813	0.0364127	0.0245198	0.0233496	0.024245	0.0163241	0.00718377	0.00773297	0.00868289	0.00512296	0.00227613	0.00087013	0.00115046	0.000859416	0.00059006	0.000753633	0.000485179	0.000699078	0.000706044	0.00141474
que	0.0273775	0.0254944	0.0290038	0.0393365	0.0549246	0.0603608	0.0361821	0.0441246	0.099938	0.0532606	0.0739501	0.0322396	0.0217349	0.009499	0.0492264	0.0574225	0.0449564	0.0253166	0.0419598	0.0225808	0.0249591	0.0277609	0.0241994	0.0150158	0.0167277	0.00744835	0.00476748	0.0018115	0.00171273	0.00381757	0.00158923	0.00202454	0.0024719	0.00120105	0.00262311	0.00646849	0.00651241
j'	0.0339253	0.0171121	0.0170841	0.0159219	0.0135388	0.0165713	0.0112223	0.00976381	0.0145088	0.0204761	0.0501752	0.0468701	0.0330451	0.0338121	0.0256595	0.0236519	0.0121836	0.00948093	0.0106808	0.00821581	0.00924519	0.0117076	0.0172094	0.0162409	0.0193019	0.0126367	0.0148358	0.0151833	0.0258412	0.0350116	0.0436827	0.042884	0.0515811	0.0370211	0.0322787	0.0660181	0.125421
ai	0.0414009	0.0205502	0.0130149	0.0146092	0.014082	0.00834847	0.00553021	0.00687816	0.00499858	0.0109425	0.0339256	0.0632911	0.0370164	0.0437903	0.0334927	0.0161643	0.0158684	0.0249195	0.0337484	0.0306927	0.0310694	0.0362894	0.0509273	0.0638769	0.0699817	0.0375209	0.030136	0.0187946	0.0119911	0.0174191	0.0120653	0.0157747	0.0195629	0.0124085	0.0125354	0.0251914	0.0611911
mis	0.0181044	0.0199156	0.0161083	0.0136682	0.0232851	0.0232356	0.0108318	0.0182672	0.0086336	0.0122559	0.019865	0.033857	0.0181272	0.0245685	0.0119115	0.00697394	0.0129384	0.0209159	0.0249539	0.0332711	0.0350881	0.0355911	0.0629278	0.0724156	0.0623137	0.0227657	0.0150287	0.014271	0.0135568	0.0286305	0.019148	0.0251091	0.042584	0.0258355	0.028317	0.0628189	0.06191
dans	0.0250234	0.0167827	0.0141042	0.0110755	0.021379	0.0302813	0.0157684	0.0175102	0.0121587	0.0241431	0.0294294	0.0263417	0.014156	0.012173	0.00841565	0.00634005	0.0133771	0.0171443	0.0147994	0.0136745	0.0191056	0.0285555	0.0278978	0.030035	0.030526	0.0215478	0.0205887	0.0133081	0.0121503	0.0457917	0.0273919	0.0394214	0.0624179	0.0399107	0.0662491	0.0853595	0.0856651
la	0.0651939	0.0532752	0.0422944	0.0285546	0.0300651	0.02982	0.0165594	0.0136132	0.00933789	0.022016	0.0228425	0.021508	0.01294	0.00834573	0.00830297	0.00559109	0.00890759	0.00517567	0.0101319	0.0103557	0.0162257	0.018393	0.0197692	0.0265485	0.0254381	0.0186673	0.0286482	0.0283356	0.026765	0.0360397	0.0243909	0.0471617	0.0629141	0.0468819	0.046685	0.0539667	0.0483386
nourriture	0.0179838	0.0182444	0.0111435	0.010634	0.00737326	0.00501398	0.00368259	0.0029455	0.00444481	0.00773358	0.00581227	0.0168415	0.00983856	0.00951262	0.00255749	0.00166558	0.0028137	0.00261104	0.00414186	0.00485037	0.00867043	0.00837175	0.00963517	0.00866649	0.00980078	0.00748533	0.0114227	0.0120564	0.0214522	0.063087	0.0544052	0.0909301	0.115139	0.0870892	0.11056	0.141061	0.0903226
a	0.0415834	0.0287507	0.0240935	0.0217467	0.0291761	0.0298988	0.0228862	0.0199637	0.0164913	0.0357508	0.0469443	0.0351899	0.0248433	0.0297196	0.0137435	0.0111984	0.0140619	0.00742072	0.0157222	0.0170839	0.0358458	0.0351768	0.0437621	0.0237302	0.0293717	0.0230939	0.0171223	0.0162429	0.0234891	0.0282979	0.0222231	0.0296841	0.026581	0.027123	0.0283376	0.0475314	0.0561184
suffi	0.0470872	0.0637885	0.0508702	0.043828	0.0414503	0.0329458	0.0259549	0.0254844	0.0376951	0.0467628	0.0257646	0.0302258	0.0210092	0.0268001	0.0177286	0.0123604	0.0144143	0.0155151	0.0201325	0.0210411	0.0227978	0.0237798	0.021128	0.0131954	0.0123746	0.014114	0.0176342	0.0124391	0.0123377	0.019747	0.0173649	0.0167723	0.0235793	0.0181187	0.0197936	0.0433126	0.0706522
</S>	0.0622511	0.0474413	0.0343961	0.0415845	0.0447424	0.0241121	0.0227315	0.0123635	0.0142493	0.0132146	0.0149518	0.0162352	0.0149647	0.0100917	0.00632926	0.00432887	0.00679644	0.0078859	0.00846551	0.010508	0.0169649	0.0163213	0.0243219	0.0310165	0.0329078	0.0252808	0.0280486	0.0453736	0.0698711	0.0443511	0.0313802	0.0303515	0.029216	0.028165	0.030272	0.0395368	0.0589768
