 	a66	a87	a23	a40	a37	a70	a34	a96	a11	a96	a54	a15	a0	a37	a90	a79	a56	a96	a62	a75	a92	a79	a56	a75	a56	a96	a12	a18	a71	a82	a10	a70	a12	a96	a62	a88	a61	a21	a5	a37	a62	a21	a92	a37	a56	a37	a70	a18	a71	a9	a99	a87	a23	a87	</S>
les	0.0375955	0.0337028	0.0299603	0.0193876	0.0299231	0.0680975	0.0623015	0.0417063	0.0229398	0.0209588	0.0362096	0.0292395	0.0352917	0.0222	0.0233837	0.0278641	0.0207891	0.0139244	0.0142198	0.0277629	0.0136535	0.0183979	0.0208696	0.0215513	0.0224884	0.0171074	0.0197258	0.0169316	0.0105507	0.00992735	0.00923034	0.0142552	0.0144238	0.0152279	0.0138368	0.0188347	0.00740632	0.00838626	0.00830376	0.00953538	0.00942634	0.00718688	0.00696456	0.00620307	0.00459211	0.0051314	0.00500954	0.00778577	0.0029412	0.00428042	0.00349889	0.00407495	0.00630853	0.00701775	0.0114765
oiseaux	0.00477576	0.00818668	0.0105913	0.0132571	0.0234838	0.0437343	0.0453073	0.0547061	0.0310637	0.0353196	0.0178829	0.0129181	0.00903559	0.0125718	0.015326	0.0376385	0.0443618	0.055213	0.06448	0.0526249	0.0741577	0.0593819	0.055357	0.0372721	0.021826	0.0252248	0.0257882	0.0100816	0.00980351	0.0114817	0.00751638	0.00542744	0.00362803	0.00331418	0.00567037	0.00644779	0.00296737	0.00344984	0.00207801	0.00326479	0.00291522	0.00200191	0.00218083	0.00175586	0.00321889	0.00282321	0.00222832	0.00319212	0.00197183	0.00199172	0.00160976	0.00180601	0.00157737	0.00302245	0.00108769
viennent	0.0430559	0.0200612	0.0209769	0.0137497	0.0241048	0.027343	0.0369573	0.0276255	0.0261338	0.0138121	0.0295138	0.0300463	0.0261738	0.0378184	0.0321526	0.0459612	0.0526168	0.0541595	0.0500151	0.0276064	0.035519	0.0362178	0.0270589	0.0241961	0.0252712	0.0522724	0.0325757	0.018857	0.0109702	0.00949244	0.00755351	0.00868106	0.00396833	0.00182342	0.0035038	0.00218349	0.00154782	0.00129493	0.00336351	0.00284583	0.00319955	0.00324483	0.00389648	0.00377195	0.00243278	0.00276517	0.00399127	0.00258022	0.00253614	0.00401995	0.0040793	0.00272177	0.0053881	0.00469408	0.00159768
nombreux	0.047651	0.0191263	0.0131932	0.00816844	0.00845652	0.00857116	0.010187	0.00927781	0.0108024	0.00773368	0.0143333	0.0147772	0.0117969	0.0194947	0.0119343	0.0118353	0.0133994	0.0146101	0.00586977	0.00852756	0.00983971	0.00944951	0.00915077	0.0170285	0.0241748	0.0286187	0.024475	0.0329884	0.0277044	0.0174625	0.0271777	0.0220682	0.0158855	0.0119019	0.0133155	0.0175673	0.0108531	0.0155984	0.0206138	0.0216609	0.0271524	0.0153368	0.011255	0.0151834	0.0107459	0.0146126	0.0248207	0.0250837	0.02404	0.0384024	0.0300609	0.0348394	0.0358877	0.0277621	0.0175365
sur	0.0219998	0.00512546	0.0023324	0.0025548	0.00108833	0.00193693	0.00631263	0.00616533	0.0107745	0.00693898	0.0152435	0.0194668	0.0157485	0.0365093	0.0284014	0.0156335	0.0224425	0.024428	0.0121072	0.0201806	0.0227461	0.0221694	0.0228588	0.0329237	0.0751334	0.0469846	0.0417281	0.0661026	0.0569273	0.0436405	0.0614039	0.0506808	0.0380752	0.0255194	0.0194119	0.0126355	0.00706084	0.00733013	0.00922827	0.00739177	0.00800809	0.00730672	0.00450499	0.0043969	0.00123583	0.00221976	0.00266439	0.0023589	0.00182275	0.00221505	0.00251085	0.00264451	0.0046434	0.00429061	0.00383457
ce	0.00973437	0.00344899	0.00253807	0.00273001	0.00404348	0.00499204	0.00740821	0.0124685	0.0176197	0.00978017	0.0192954	0.017962	0.0186061	0.0364053	0.0273591	0.0297134	0.0399476	0.040153	0.0198675	0.0383119	0.0383263	0.0424247	0.0382971	0.0335525	0.0464113	0.0477894	0.0320872	0.0396624	0.0328779	0.0158096	0.0309763	0.0313383	0.0303647	0.0279244	0.0286252	0.0185438	0.0132404	0.00827442	0.0117683	0.00917109	0.0119085	0.00605249	0.0063411	0.00560012	0.00343474	0.00355857	0.00193709	0.00508757	0.00254835	0.0025587	0.00237911	0.00197873	0.00333571	0.00243279	0.000996372
palmier	0.012672	0.00277936	0.0030966	0.00637968	0.00317861	0.00371497	0.00592106	0.00948212	0.0187865	0.0125399	0.0157439	0.021975	0.036691	0.0866746	0.0659794	0.0384544	0.0422387	0.0277265	0.0236651	0.0487451	0.0655771	0.0412188	0.0488531	0.0166132	0.0338005	0.0346353	0.016521	0.0140519	0.00893234	0.00800081	0.00889359	0.0087773	0.00629211	0.00531376	0.00585219	0.00407878	0.00321531	0.00304841	0.00474029	0.00356276	0.00441393	0.00430156	0.00880174	0.0172241	0.0102658	0.0118034	0.00927951	0.0123299	0.00902192	0.0126016	0.0176891	0.0170934	0.0239858	0.0100265	0.00273863
à	0.0201325	0.00829352	0.00551156	0.00475914	0.000948324	0.00100347	0.0026343	0.00340103	0.00996043	0.00662953	0.0154473	0.021438	0.0263086	0.0504367	0.0442828	0.0396417	0.0576683	0.0430945	0.048904	0.0498775	0.0660766	0.0463624	0.0515347	0.0487351	0.0460338	0.040353	0.0369728	0.0297106	0.0229886	0.0141465	0.0132094	0.0174609	0.00949865	0.00695505	0.00858291	0.00372306	0.00207355	0.00149998	0.003438	0.0014894	0.00202123	0.00101106	0.00188789	0.00404977	0.00310105	0.00253156	0.00144271	0.00463685	0.00247743	0.00345631	0.00666406	0.0101618	0.0102551	0.00808195	0.0070031
huile	0.0266194	0.0117702	0.0089101	0.00537498	0.00121657	0.0019697	0.00282565	0.00310937	0.00608829	0.00406087	0.00864874	0.0105222	0.0151185	0.031638	0.0305426	0.0275998	0.0482232	0.0339594	0.0414333	0.0539517	0.0675716	0.0402322	0.0524391	0.0495414	0.0408246	0.0351238	0.0324783	0.0226716	0.0209848	0.0105668	0.0112755	0.0164914	0.00990872	0.00980534	0.00909406	0.00551873	0.00397506	0.00445048	0.00458869	0.00221973	0.00259553	0.00174995	0.00309133	0.00590285	0.00556382	0.00650886	0.00401234	0.0102133	0.00718159	0.0116665	0.0199284	0.0276682	0.0216293	0.0240355	0.024908
car	0.0322634	0.011717	0.00583804	0.0030749	0.0011186	0.00100252	0.00218915	0.00152877	0.00270643	0.00166983	0.00328953	0.00706345	0.00702269	0.0148609	0.0210776	0.0210704	0.0362291	0.0275369	0.0350706	0.0391244	0.0425469	0.0368743	0.0541182	0.0383437	0.0340499	0.0308386	0.0264182	0.0201556	0.0151801	0.00829367	0.00717296	0.00701947	0.00387991	0.00534226	0.00374139	0.00293342	0.00151778	0.00193892	0.00431427	0.00259677	0.00367273	0.00296449	0.00853316	0.0178714	0.0153765	0.0152652	0.00574104	0.0337579	0.0171389	0.0259637	0.0407233	0.0600986	0.0546347	0.0529311	0.0225965
celui-ci	0.0255834	0.0105271	0.00572456	0.00380634	0.0017572	0.00152255	0.00294185	0.00224979	0.00349976	0.00231533	0.00357859	0.00753176	0.00768829	0.0137963	0.0183589	0.018869	0.030308	0.0229251	0.0315637	0.0257057	0.0237498	0.0365446	0.0646812	0.043762	0.0483713	0.0448744	0.0378314	0.0348751	0.01931	0.011414	0.00814478	0.0064049	0.00420201	0.00463536	0.00354812	0.00291497	0.0012035	0.00205021	0.00368757	0.0026684	0.00326889	0.00379315	0.00978468	0.0218093	0.0151576	0.0198496	0.00795802	0.0438127	0.0173561	0.0225898	0.0294441	0.0388144	0.0516669	0.0488557	0.0207122
produit	0.0274059	0.0103749	0.00606619	0.00349825	0.0015064	0.00192736	0.00420384	0.00286164	0.00452961	0.00265245	0.00527709	0.0125735	0.00982686	0.020238	0.022482	0.0224732	0.0253787	0.0225918	0.0278509	0.022918	0.0190449	0.0313545	0.0486381	0.0539589	0.0528669	0.0603527	0.0558253	0.0532415	0.0351507	0.0203618	0.0214504	0.0142008	0.0109004	0.00890866	0.00599074	0.00404076	0.00196349	0.00396831	0.00649851	0.00623795	0.00677119	0.00743834	0.0131241	0.013572	0.00763971	0.00940272	0.00520346	0.0197549	0.0106337	0.012471	0.0127066	0.0165965	0.0345089	0.035902	0.0226833
de	0.0302442	0.0103298	0.00856824	0.00410354	0.00199993	0.00132129	0.0022829	0.00392617	0.00581042	0.00434083	0.00897767	0.0142452	0.0154169	0.0237391	0.0234447	0.0165737	0.0193967	0.0165372	0.0149623	0.0212174	0.0244386	0.0284569	0.0328345	0.0314801	0.0354752	0.0454398	0.0320178	0.0379174	0.024997	0.0181387	0.0200784	0.0170018	0.0138839	0.0132186	0.0118454	0.0114885	0.0060862	0.0137298	0.0199089	0.0214468	0.0284302	0.0295049	0.0306132	0.0297882	0.0156077	0.0187368	0.00752565	0.017804	0.00813337	0.0108945	0.0114396	0.0154458	0.0281368	0.0248319	0.0157851
meilleures	0.0364067	0.0128638	0.0105862	0.00755221	0.00385395	0.00257821	0.00396001	0.00844898	0.0109418	0.00839225	0.0141723	0.0215639	0.0240027	0.0362339	0.0308322	0.0205525	0.0206095	0.0208283	0.017302	0.0254953	0.0257445	0.0309381	0.0326846	0.0340863	0.0410049	0.0525011	0.0388354	0.0410687	0.023457	0.0162941	0.0149412	0.0134504	0.0120928	0.011072	0.0097052	0.0104629	0.00592999	0.011903	0.0132734	0.0125317	0.0145868	0.0117241	0.014179	0.0217467	0.00858087	0.011333	0.00343661	0.0123821	0.00805535	0.00924276	0.0124555	0.0163271	0.0213348	0.0234971	0.0219643
noix	0.0570198	0.0318876	0.0288912	0.0333329	0.0113538	0.0079859	0.00933426	0.0107217	0.0134776	0.00940642	0.0125226	0.0143462	0.0193598	0.0326471	0.0229553	0.0113345	0.00999413	0.0118436	0.0117449	0.020827	0.0139163	0.0171976	0.0184915	0.0181112	0.0330276	0.0241233	0.0236689	0.0257905	0.00875874	0.0113614	0.00944414	0.0110101	0.00954526	0.0115542	0.010854	0.0139618	0.00898627	0.0171408	0.0188491	0.0117433	0.0169136	0.00757653	0.00883924	0.0160224	0.00802581	0.00977616	0.00427396	0.0136745	0.0134411	0.0169361	0.0215955	0.0301523	0.0266208	0.0490857	0.0585439
</S>	0.0536798	0.0267289	0.0247024	0.0271451	0.00973894	0.00887281	0.010929	0.0126545	0.0196375	0.0134621	0.0170204	0.019153	0.0176305	0.0347448	0.0223366	0.0213256	0.016247	0.0192668	0.0158241	0.0209894	0.0184551	0.0179469	0.019002	0.0209385	0.0229456	0.0335958	0.029196	0.0294437	0.0184622	0.0162116	0.0127716	0.0132254	0.0118805	0.00863589	0.00938048	0.010943	0.00792596	0.0119239	0.0132179	0.0116583	0.0121558	0.00778934	0.00661642	0.016282	0.00763692	0.00939144	0.0103353	0.0196598	0.0169388	0.0173804	0.0186453	0.0206047	0.0182267	0.030187	0.0383
