 	a66	a87	a23	a30	a44	a75	a21	a12	a31	a21	a12	a21	a47	a75	a5	a12	a61	a12	a61	a34	a93	a70	a13	a99	a87	a23	a87	</S>
le	0.0847837	0.170837	0.191741	0.11657	0.0502913	0.0467669	0.0110191	0.00355129	0.00451832	0.00273915	0.00318058	0.00241598	0.00148057	0.00169733	0.00328071	0.00344012	0.00580948	0.00848237	0.021018	0.0278661	0.0379492	0.0377991	0.0400964	0.0377537	0.0232068	0.0231814	0.0159699	0.0225547
chimpanzé	0.00229872	0.0178419	0.0450139	0.0936441	0.0604802	0.0539079	0.0550974	0.0945902	0.160117	0.119665	0.0812952	0.0912888	0.04471	0.0181628	0.00903584	0.0144846	0.007381	0.00906824	0.00731771	0.00435937	0.00175577	0.000882344	0.00121104	0.00055867	0.00115546	0.00141579	0.00273685	0.00052382
a	0.052368	0.0626504	0.066832	0.0600104	0.0495238	0.0309724	0.03248	0.0151839	0.0168136	0.0248645	0.0373091	0.0670078	0.0283451	0.0259694	0.0252953	0.0184735	0.0116479	0.0169408	0.018598	0.0298496	0.0352159	0.0320368	0.038631	0.0232021	0.0240413	0.0317198	0.0898962	0.0341214
un	0.0366255	0.0303665	0.0240842	0.0249855	0.0328967	0.0348808	0.0236564	0.00536625	0.0114799	0.00677591	0.00927827	0.0174616	0.0120151	0.0188982	0.0202683	0.0115395	0.0105201	0.0178683	0.0111819	0.043779	0.0519795	0.0405025	0.0611392	0.052555	0.0632358	0.0486405	0.109671	0.168348
visage	0.028177	0.0170002	0.00957473	0.00944103	0.0101782	0.019663	0.104677	0.0361386	0.0310437	0.0499037	0.0493099	0.0718886	0.033561	0.0276546	0.0195869	0.0151464	0.0205792	0.028899	0.0162485	0.0197207	0.0188772	0.0258658	0.0297515	0.031405	0.033033	0.047567	0.0862677	0.108841
qui	0.028423	0.0251014	0.0245715	0.0249205	0.0296135	0.0401178	0.0730744	0.0440527	0.0282664	0.0273572	0.0164249	0.0120943	0.00527728	0.0142158	0.0151679	0.0198954	0.0240976	0.0301035	0.0311266	0.0414416	0.0469768	0.0416039	0.0605097	0.0375491	0.0344252	0.0501621	0.0686697	0.10476
ressemble	0.0468983	0.0260419	0.0275207	0.0239816	0.0164158	0.0145298	0.0285237	0.00664789	0.00853136	0.00599075	0.00821637	0.00925394	0.00538326	0.0166056	0.0210943	0.0195155	0.0218131	0.0241792	0.0437994	0.0452923	0.0618566	0.0731617	0.084466	0.0561822	0.0457613	0.0654663	0.0812107	0.11166
à	0.0162688	0.0105984	0.0109944	0.012311	0.00731578	0.00917436	0.0193321	0.00750092	0.0109057	0.00865785	0.0152836	0.0208932	0.00764056	0.0145126	0.0223676	0.0205055	0.0196517	0.0258422	0.0377619	0.0376911	0.0664796	0.0816122	0.0826542	0.0778072	0.0639204	0.0784499	0.105294	0.108573
celui	0.0158298	0.0100285	0.00838179	0.00912006	0.00596735	0.00601793	0.0162154	0.00437445	0.00547019	0.00382401	0.00590638	0.00527669	0.00338066	0.00602313	0.0125962	0.0126379	0.0241502	0.0184195	0.0281192	0.0270447	0.0379775	0.0662787	0.0813373	0.0987114	0.102478	0.121082	0.115397	0.147954
de	0.033393	0.0174482	0.00906145	0.00525847	0.00281791	0.00398999	0.01042	0.00603679	0.00750581	0.00691429	0.00826744	0.01001	0.00718151	0.0115689	0.0152745	0.0170106	0.0129469	0.0207995	0.0236815	0.0307006	0.0348853	0.068462	0.0729656	0.117932	0.0869542	0.125008	0.108919	0.124587
l'	0.0468016	0.030352	0.0135185	0.00772822	0.00466073	0.00904745	0.0164303	0.00744048	0.00986373	0.00778798	0.00975424	0.0132255	0.0101165	0.01674	0.0203978	0.0228819	0.0151569	0.024651	0.0264554	0.0329384	0.0361401	0.0573121	0.0670591	0.0912109	0.0742877	0.109176	0.0975784	0.121286
homme	0.0313231	0.0139889	0.00804256	0.00585973	0.00428215	0.00800295	0.016978	0.0165104	0.0115149	0.0127745	0.0106728	0.0120026	0.00365236	0.00895146	0.0187039	0.0213881	0.0153009	0.0266228	0.0255293	0.0355495	0.0569779	0.067008	0.0712062	0.0975857	0.0893661	0.104492	0.106458	0.0992555
</S>	0.0473484	0.02946	0.014912	0.0118282	0.00918579	0.0104682	0.0176117	0.00743625	0.00693641	0.00601602	0.00631024	0.00469245	0.00533916	0.0163389	0.0266631	0.0319531	0.0328426	0.0475798	0.0501745	0.0542876	0.0715062	0.063391	0.0641098	0.0773208	0.0638235	0.0569459	0.0554583	0.11006
