 	a66	a87	a23	a13	a50	a96	a62	a12	a21	a5	a98	a85	a92	a37	a56	a90	a79	a56	a93	a4	a57	a38	a4	a13	a18	a53	a7	a84	a57	a87	a23	a87	</S>
la	0.0332842	0.0442131	0.0340377	0.0293006	0.0166228	0.0175576	0.015549	0.0180041	0.0249936	0.0383385	0.030409	0.0283073	0.0309681	0.0276907	0.0332517	0.0446368	0.0526885	0.0241926	0.0227385	0.0245403	0.027258	0.0201033	0.0103765	0.0198279	0.0429683	0.0561605	0.0281986	0.0260056	0.0329241	0.0157407	0.0441867	0.0254331	0.0594918
femme	0.00100109	0.00374742	0.00439651	0.00291828	0.0155611	0.0157264	0.0336218	0.0643209	0.0806218	0.124877	0.0877954	0.064941	0.0873759	0.0417713	0.0464609	0.0323782	0.0309834	0.0353912	0.024918	0.0307022	0.0259501	0.0224926	0.00920279	0.0149101	0.0199559	0.0204469	0.00316634	0.0138511	0.0107254	0.00656959	0.00890955	0.0106787	0.00363131
qu'	0.0198504	0.0214085	0.0393662	0.0349806	0.05299	0.0594047	0.0604487	0.0754705	0.0890175	0.103994	0.0939466	0.0702568	0.0461255	0.0559876	0.0132274	0.0158311	0.0105858	0.00859741	0.0043244	0.00563729	0.00493564	0.0048843	0.006301	0.00516153	0.00872753	0.00757614	0.012673	0.00784728	0.00681044	0.0124643	0.0127094	0.0198669	0.00859145
il	0.0744475	0.0642762	0.0512486	0.0371552	0.0265019	0.0353604	0.0288038	0.0294634	0.0320035	0.0270078	0.0251823	0.0237135	0.014255	0.0220017	0.0225208	0.0322563	0.0337596	0.024326	0.021512	0.0170454	0.0312127	0.0140606	0.0140991	0.0217446	0.0180391	0.0161353	0.00835979	0.0112585	0.0242629	0.0195817	0.0448176	0.055905	0.0776822
a	0.0451199	0.0321914	0.0184962	0.0143838	0.0106831	0.0173125	0.0250721	0.0222565	0.0305947	0.0404874	0.0343671	0.043362	0.0384638	0.0466723	0.0560056	0.0536099	0.074515	0.0455094	0.0419743	0.0265961	0.017325	0.0170009	0.00475472	0.0130093	0.0086285	0.010572	0.00970897	0.0145457	0.0261958	0.0234566	0.0330513	0.0512328	0.0528455
épousée	0.0551465	0.0297269	0.0178191	0.0114714	0.00869018	0.0105396	0.0129512	0.0163886	0.0181728	0.0233022	0.028279	0.0265191	0.0181625	0.0315693	0.0235375	0.0313891	0.0334362	0.0249102	0.0122969	0.00939508	0.00578778	0.00464911	0.00561626	0.00666819	0.00817752	0.0175084	0.0498153	0.0402761	0.0514884	0.077018	0.0584121	0.0844471	0.146432
n'	0.0469881	0.0338203	0.0378638	0.0286173	0.0287272	0.0316136	0.028403	0.029163	0.0295416	0.0274199	0.0270064	0.0326077	0.0309352	0.0470087	0.0453952	0.0583597	0.0560352	0.0726688	0.0299409	0.0295507	0.012141	0.0239484	0.00759853	0.0135897	0.00880541	0.0106285	0.0208385	0.0165727	0.0156283	0.0286777	0.0186543	0.0249934	0.0462572
a	0.0351584	0.0221287	0.0142992	0.0122716	0.00971479	0.0101444	0.00796492	0.00880476	0.00806126	0.0142818	0.0167768	0.023796	0.0248652	0.0390119	0.0711499	0.0550414	0.0597899	0.0826366	0.0500183	0.0421876	0.0210326	0.0477673	0.00939476	0.0258673	0.0155254	0.0163901	0.0287069	0.0260328	0.0324312	0.0440052	0.0362017	0.0464417	0.0420993
pas	0.0555422	0.0353553	0.0270689	0.0180617	0.0118252	0.00873397	0.00853225	0.00991711	0.00935185	0.0116758	0.0100249	0.00936672	0.0100549	0.020194	0.0211801	0.0293619	0.0314769	0.0205549	0.0143087	0.0127031	0.0107413	0.0135443	0.00608924	0.0188633	0.0119589	0.0166779	0.0273703	0.0331023	0.0552665	0.0688044	0.0676391	0.128882	0.16577
encore	0.0589285	0.0459229	0.0331432	0.0259463	0.0165759	0.0128987	0.0111026	0.0138328	0.0146809	0.0203805	0.0168851	0.0158007	0.0176039	0.0311434	0.0284464	0.0411682	0.040741	0.0240678	0.0151577	0.00884004	0.00889047	0.0110439	0.00408028	0.010245	0.00716461	0.010357	0.0172108	0.0299295	0.0529553	0.0609583	0.0442762	0.132663	0.116959
