 	a66	a87	a23	a53	a54	a6	a37	a6	a26	a76	a79	a44	a98	a44	a38	a75	a14	a44	a26	a75	a5	a37	a66	a11	a21	a18	a11	a24	a21	a5	a18	a61	a75	a85	a44	a90	a76	a90	a44	a98	a15	a94	a98	a15	a7	a26	a57	a87	a23	a99	a97	a57	</S>
l'	0.0149128	0.0182036	0.0354174	0.0428282	0.0334305	0.0656206	0.0658873	0.0529632	0.0374735	0.0317459	0.0214214	0.0120068	0.0171656	0.0171264	0.0191513	0.0360629	0.0227311	0.0182057	0.0201335	0.0187121	0.0220469	0.0175448	0.0233584	0.0166667	0.0138937	0.00947387	0.00933857	0.00864673	0.00603874	0.00716233	0.0113298	0.0112818	0.00921732	0.00961423	0.00787241	0.0117143	0.0139896	0.0157775	0.0157744	0.0154668	0.00990574	0.00649137	0.00683177	0.0132896	0.0104166	0.0163584	0.0092554	0.00551389	0.00950323	0.0107367	0.0115684	0.014135	0.0185853
enfant	0.000540707	0.00113747	0.00230757	0.00372416	0.0140117	0.0192583	0.144891	0.0811299	0.141221	0.101777	0.0355815	0.0837928	0.0888231	0.0432218	0.0223528	0.0112688	0.023373	0.0448974	0.0196416	0.0112524	0.0154669	0.0129466	0.00785666	0.00310279	0.00277594	0.00226899	0.00330793	0.00332667	0.00333022	0.00219085	0.00319131	0.00132205	0.00109127	0.00152238	0.00158748	0.00182558	0.00169399	0.00114715	0.00154449	0.00151626	0.00329404	0.00427631	0.00317067	0.00337744	0.00237892	0.00202134	0.00174228	0.00100691	0.00172635	0.00197527	0.00217602	0.0026059	0.00302842
n'	0.00711292	0.00714003	0.00709547	0.0100854	0.00807735	0.0326161	0.090645	0.0400945	0.0232501	0.0352253	0.0793595	0.0413201	0.0217844	0.0225529	0.015308	0.0140527	0.0179907	0.0166865	0.0159498	0.0140041	0.0183078	0.0189479	0.017893	0.0175236	0.0240024	0.0147606	0.020947	0.0254462	0.0297392	0.0174343	0.0215796	0.0155529	0.012187	0.0181732	0.00899412	0.00802693	0.00475697	0.00423625	0.00487841	0.00321248	0.00506372	0.00822835	0.004921	0.00876132	0.0121868	0.00992729	0.00810282	0.00659446	0.0143498	0.0180297	0.0249261	0.0261347	0.0258236
a	0.0125697	0.00502891	0.00789082	0.00684314	0.0072031	0.0141387	0.0261818	0.0401404	0.0249274	0.0427582	0.0262132	0.0279747	0.0240787	0.0121291	0.0139092	0.0254181	0.0243442	0.0199636	0.0156322	0.0257523	0.018863	0.0179634	0.0299016	0.0202246	0.0259001	0.0334267	0.0321659	0.0364527	0.0432413	0.0363323	0.0164347	0.0138958	0.0114182	0.0114892	0.00602683	0.00640162	0.00341114	0.00591611	0.00650385	0.0071948	0.00927289	0.0145614	0.00675724	0.00884396	0.00661124	0.0129464	0.0167724	0.0143243	0.0186312	0.0295838	0.0218007	0.0162771	0.0373561
pas	0.0560947	0.0517218	0.0608393	0.0540758	0.0294062	0.0194172	0.0153018	0.00874044	0.0067349	0.0104697	0.00822234	0.0132602	0.0170991	0.0194231	0.030502	0.0165889	0.0272284	0.0314654	0.0331877	0.031782	0.0260618	0.021861	0.0223727	0.0239511	0.0317629	0.0263244	0.0336177	0.0276113	0.0275892	0.0250529	0.0298136	0.0212727	0.0166189	0.0117662	0.0108972	0.0119792	0.0135402	0.0131406	0.00880278	0.0100032	0.00688321	0.00433786	0.00201901	0.00295841	0.00103848	0.00280604	0.00256777	0.00207439	0.00222367	0.00368524	0.00444856	0.0031105	0.00624646
pu	0.0092642	0.00689136	0.00618166	0.00646405	0.00552565	0.00774735	0.00602665	0.010435	0.0105977	0.0190468	0.0201397	0.0243361	0.0275123	0.0273087	0.0591677	0.0348439	0.0409155	0.0347225	0.0362743	0.0490761	0.0424755	0.0487231	0.0384619	0.055447	0.0477556	0.0367674	0.0381049	0.0403801	0.0341543	0.0296451	0.033522	0.032687	0.0120514	0.00762397	0.00578182	0.00520933	0.00402423	0.00512331	0.00407578	0.00458339	0.00375166	0.00299985	0.00191861	0.0025611	0.00121665	0.00191892	0.00213839	0.00292679	0.00168142	0.00197826	0.0020846	0.00208828	0.00366136
faire	0.00535033	0.00405788	0.00516955	0.00844508	0.011448	0.0120391	0.00878798	0.0116038	0.0142988	0.0161028	0.0326058	0.024231	0.0199289	0.0194741	0.0284656	0.0407866	0.036679	0.0271805	0.0320913	0.027325	0.0412615	0.0399029	0.0337476	0.0300755	0.0334642	0.033017	0.0204577	0.0163663	0.0134925	0.0198149	0.0235327	0.0405251	0.0151328	0.0106285	0.0131936	0.00761787	0.00536215	0.00806366	0.00587157	0.00764836	0.010569	0.0202167	0.0124819	0.0191015	0.0132885	0.0151313	0.0131113	0.0191324	0.0115844	0.0127428	0.0128668	0.0115582	0.0229676
un	0.00939834	0.00703007	0.00733184	0.00740219	0.00771178	0.00838971	0.0055117	0.00809522	0.00959499	0.012048	0.0170436	0.0140735	0.0117849	0.0158392	0.0298048	0.0301856	0.0355247	0.0219313	0.0299028	0.0232466	0.0388273	0.0393411	0.0350789	0.032194	0.0413608	0.0359632	0.024366	0.0394727	0.0252339	0.0358626	0.0264773	0.0390409	0.0305395	0.020854	0.0209161	0.0139194	0.011705	0.0127122	0.00977811	0.0084647	0.0125815	0.0260707	0.00950259	0.0174522	0.00613157	0.00663702	0.0085808	0.01351	0.00743588	0.00831169	0.00756441	0.00870722	0.0135558
plongeon	0.013926	0.00871271	0.00969209	0.00737176	0.00495724	0.00526709	0.00260394	0.0074038	0.0113028	0.00876438	0.00754866	0.0119799	0.0113666	0.0212707	0.0525557	0.0165148	0.0297002	0.0307686	0.0356209	0.0146767	0.0257771	0.0281527	0.0220999	0.0309797	0.0330028	0.0272379	0.0242755	0.0299507	0.013811	0.026251	0.0217989	0.0272907	0.0319325	0.0240104	0.0231231	0.0265863	0.0345827	0.021648	0.0239599	0.0155909	0.0171426	0.0222012	0.015925	0.0259203	0.0123045	0.0108052	0.010174	0.0159795	0.00903109	0.007939	0.00925876	0.0106954	0.00855725
car	0.013467	0.0224022	0.0338392	0.0311334	0.0288965	0.0357292	0.0174357	0.0292148	0.031621	0.0229503	0.0117326	0.00921887	0.0064004	0.00942346	0.0124934	0.0238995	0.0221735	0.0149145	0.0246227	0.0308727	0.0361987	0.0408112	0.0452913	0.0414097	0.0400989	0.0437312	0.0223362	0.0253434	0.0160132	0.0127369	0.019249	0.0212496	0.0163344	0.0153552	0.0239328	0.0182322	0.0210682	0.0181243	0.0138717	0.00917157	0.00813192	0.0115463	0.00690842	0.00514995	0.00241418	0.00370639	0.00332891	0.00250903	0.00272298	0.00282744	0.00525302	0.00708128	0.00541971
