 	a23	a10	a87	a23	a20	a44	a20	a73	a44	a26	a84	a38	a11	a98	a38	a73	a69	a15	a69	a32	a69	a4	a57	a53	a15	a44	a94	a12	a70	a13	a34	a32	a75	a56	a32	a25	a90	a58	a38	a98	a73	a84	a40	a98	a73	a84	a57	a87	a23	a87	</S>
elle	0.020761	0.0373668	0.0236446	0.0192235	0.0299095	0.0324691	0.0475411	0.0457716	0.0380714	0.0234289	0.0372032	0.0401969	0.0373955	0.101984	0.0611889	0.0372292	0.0407143	0.0252919	0.016765	0.0169161	0.0322479	0.0316456	0.0136192	0.0111411	0.0115084	0.00945013	0.00509925	0.00570027	0.00511774	0.00542636	0.00458838	0.00511572	0.00446759	0.00414592	0.00462844	0.00341095	0.00274733	0.00335924	0.00272448	0.0019949	0.0020492	0.00284132	0.00305912	0.0104932	0.018046	0.0119481	0.0155713	0.00916019	0.00845471	0.00748185	0.0096835
aime	0.00137425	0.00196548	0.0036	0.00317253	0.00172107	0.00419381	0.00574472	0.0214784	0.0205005	0.0530212	0.0330067	0.0631994	0.0516923	0.0724405	0.075789	0.0489346	0.0404053	0.0142767	0.0182887	0.0065053	0.00428449	0.00758935	0.00293069	0.00500807	0.00583649	0.030153	0.0143484	0.0251464	0.0265585	0.0180852	0.0151624	0.0157379	0.0177667	0.0128414	0.00968138	0.0113593	0.00897751	0.00691437	0.00954175	0.00758575	0.00833562	0.00997158	0.0146377	0.0202051	0.018498	0.0168726	0.0166013	0.0287046	0.0278333	0.0289212	0.0125997
le	0.0162896	0.00731858	0.0112509	0.0115105	0.00529303	0.00399059	0.00849013	0.0116604	0.0211865	0.0413248	0.046657	0.0412034	0.0458013	0.0525055	0.0455137	0.0175227	0.0148338	0.0078213	0.00945514	0.00628692	0.00423915	0.00372838	0.00324758	0.00357757	0.00366621	0.0102225	0.00584701	0.0133864	0.0133592	0.0099863	0.00663396	0.00607605	0.00806988	0.00445245	0.00376395	0.00313695	0.00214614	0.00398774	0.00464397	0.00763877	0.0165976	0.0199921	0.0289863	0.0352382	0.0504904	0.0467037	0.049336	0.0381323	0.0340314	0.031725	0.101041
riz	0.0140934	0.00912412	0.00562093	0.00685025	0.0100221	0.0248303	0.0112034	0.00919235	0.00520838	0.00790293	0.0166725	0.0104111	0.0102185	0.0122885	0.0216014	0.023569	0.0235572	0.0176687	0.0184038	0.018938	0.0215307	0.0276587	0.0262648	0.014694	0.00958767	0.0230526	0.0188556	0.0177463	0.0187177	0.0131313	0.0265119	0.0341445	0.0289856	0.0410167	0.0595435	0.0562152	0.0771399	0.0540909	0.0467595	0.0200234	0.0107191	0.0121013	0.0100516	0.00800249	0.00794163	0.00947222	0.00642092	0.00515073	0.00477391	0.00346092	0.00885762
elle	0.0200392	0.00618211	0.00561152	0.00476935	0.00428843	0.00720382	0.0074864	0.00398816	0.00406008	0.00680653	0.0147906	0.012236	0.0121026	0.0122644	0.0249568	0.0230269	0.0147599	0.0155364	0.0183045	0.014769	0.0166938	0.0192094	0.0217255	0.00652406	0.0143417	0.0277051	0.0274647	0.0337354	0.0218485	0.0223319	0.0174915	0.0242752	0.0227857	0.027135	0.0254258	0.0220047	0.0252583	0.0208739	0.0163514	0.00768739	0.00861059	0.0112552	0.0136698	0.0314974	0.0270621	0.0315228	0.0335503	0.045929	0.0437268	0.0459635	0.0531608
ne	0.0129225	0.0068043	0.00590921	0.00422954	0.0035601	0.0041755	0.00329562	0.0053929	0.00354378	0.0060604	0.00836521	0.00895337	0.00763941	0.0120838	0.0199296	0.0225317	0.0165943	0.0110455	0.0158259	0.00997327	0.00944538	0.0129422	0.0142701	0.0107612	0.0255344	0.0282037	0.02425	0.0214937	0.016484	0.0195926	0.0155911	0.0132617	0.0184798	0.0200634	0.0197123	0.0136138	0.0153605	0.0152608	0.0129624	0.0109016	0.0093455	0.0170507	0.0251172	0.0503324	0.0590087	0.0539195	0.0599702	0.0500809	0.0469281	0.0436611	0.0575652
mange	0.0450322	0.0347922	0.0223636	0.0277063	0.0163189	0.0146512	0.00905153	0.0118861	0.00650515	0.0137655	0.0206386	0.0231712	0.0177069	0.023711	0.0265742	0.0198228	0.0193811	0.0188455	0.0243899	0.0181532	0.014944	0.0232848	0.0155805	0.0186286	0.0391379	0.0398293	0.0362295	0.0257402	0.0201481	0.0219419	0.0153791	0.011779	0.00653204	0.0089056	0.00985388	0.00746858	0.0106534	0.0124175	0.0127881	0.00828832	0.00728533	0.0102533	0.00962057	0.0143854	0.0157145	0.016995	0.0185591	0.0220711	0.0279279	0.0332914	0.0498993
rien	0.0394332	0.029586	0.0208814	0.0207539	0.0155113	0.0135062	0.00775438	0.00933297	0.00766651	0.00874414	0.00973918	0.0116005	0.0120287	0.0190793	0.0235636	0.0205912	0.0182018	0.013598	0.0203804	0.0130446	0.010505	0.0192494	0.0109953	0.0123067	0.0291795	0.0278066	0.0283917	0.0329717	0.0272482	0.0254896	0.0226105	0.0178998	0.00961436	0.0122614	0.0135568	0.0140494	0.0170977	0.0209611	0.0189124	0.0122491	0.0121513	0.0149377	0.0167893	0.0191394	0.0174122	0.0195076	0.0226412	0.0332956	0.0358786	0.0399355	0.0499581
d'	0.0495642	0.0230976	0.0184252	0.0117885	0.0102955	0.0101264	0.00756286	0.0129831	0.0171917	0.0175098	0.0183072	0.0171852	0.0191949	0.0188145	0.0222538	0.0164043	0.0120664	0.00736532	0.0224986	0.0101267	0.00707666	0.0106399	0.0082017	0.00951644	0.0139307	0.0237808	0.0190566	0.031729	0.0247931	0.0187378	0.0135137	0.00910584	0.0117704	0.00908119	0.00698498	0.00784456	0.0107703	0.0142276	0.0133661	0.00793452	0.00858189	0.0157293	0.0238359	0.0289766	0.0235782	0.0293088	0.0273003	0.0385149	0.0511289	0.0592627	0.0789589
autre	0.0432955	0.0219433	0.0161716	0.0124942	0.00986884	0.00895696	0.00652806	0.00888325	0.0222962	0.0178137	0.0178762	0.0174634	0.0142445	0.0153576	0.0145093	0.0101284	0.00771017	0.00611736	0.0142747	0.00765529	0.0071566	0.0105757	0.00748246	0.00825574	0.0148609	0.0229804	0.0136928	0.0240443	0.0191034	0.0144136	0.0122973	0.0136863	0.0153733	0.0138161	0.0147616	0.0137029	0.0195746	0.0170688	0.0219187	0.0133357	0.00816256	0.0140851	0.0152859	0.0234111	0.0188699	0.0270485	0.030736	0.039325	0.0481067	0.0696795	0.1136
</S>	0.0186526	0.0132231	0.0117371	0.00927585	0.00928463	0.00603822	0.00532042	0.00558616	0.0169293	0.0273404	0.0125886	0.0148825	0.0124648	0.0117231	0.0126666	0.0087722	0.00730092	0.00825899	0.0100994	0.00535682	0.0126883	0.0142788	0.00713916	0.00705409	0.0119863	0.0259267	0.018693	0.0379193	0.0307232	0.0243584	0.0167298	0.0144841	0.0181498	0.0157072	0.0164049	0.016706	0.0138852	0.0148186	0.012427	0.00884791	0.0125109	0.0163025	0.0175394	0.0326043	0.0240262	0.0301006	0.0327517	0.0452309	0.0525409	0.059119	0.110844
