 	a66	a87	a23	a79	a15	a7	a37	a21	a5	a23	a90	a25	a79	a56	a96	a18	a71	a25	a87	a23	a10	a83	a54	a36	a79	a15	a7	a56	a44	a11	a38	a53	a69	a58	a82	a87	a23	a87	</S>
il	0.0395985	0.0384431	0.0277459	0.0209693	0.022178	0.02817	0.023084	0.0741116	0.0363883	0.0536551	0.0562612	0.064432	0.0286695	0.01519	0.0137271	0.00998557	0.00719732	0.00583346	0.0078168	0.00890975	0.00848825	0.0102351	0.00897365	0.0120281	0.015255	0.00975011	0.00509173	0.00883789	0.0156142	0.0339169	0.0279956	0.0372399	0.0427984	0.0489513	0.0391172	0.0234505	0.0257805	0.017696	0.0264134
a	0.00739257	0.00982367	0.00720379	0.0170289	0.0238349	0.0452638	0.0585928	0.105117	0.0762765	0.0531887	0.0391141	0.0328446	0.0351336	0.0392492	0.0300335	0.0310258	0.019492	0.021568	0.031838	0.0199545	0.0155366	0.0129759	0.0127658	0.00756417	0.00832728	0.0112496	0.0185162	0.019223	0.0255128	0.0190362	0.0241107	0.0157041	0.0213847	0.0119765	0.0180767	0.014675	0.0119147	0.0195846	0.00788968
réussi	0.00755914	0.00476663	0.00414807	0.00571458	0.00488222	0.0216108	0.0474512	0.0981738	0.0952439	0.0782598	0.0645955	0.0426424	0.0429783	0.0467403	0.0331583	0.0222161	0.0235884	0.0307899	0.0452902	0.0206369	0.0113207	0.0043044	0.00415528	0.00239509	0.0036909	0.00639908	0.00669758	0.0120372	0.00661841	0.01334	0.0168537	0.0144048	0.0214863	0.0201403	0.0168839	0.018386	0.0191189	0.0298732	0.0314476
ses	0.0540444	0.0506552	0.0525862	0.0475269	0.0416918	0.0112554	0.0129082	0.0103285	0.0069068	0.0138702	0.0133219	0.0306408	0.0174176	0.0261213	0.0261571	0.0249773	0.0231633	0.0187009	0.0162708	0.016952	0.0151673	0.0256082	0.0361442	0.0517766	0.0792456	0.0347278	0.0479336	0.0391457	0.0216809	0.0212531	0.0160064	0.0188931	0.0144706	0.0094271	0.0108246	0.0109034	0.00881663	0.00805388	0.0144244
études	0.0259354	0.0223751	0.0207541	0.0188605	0.0214035	0.0159553	0.0106853	0.00962685	0.00936974	0.0204584	0.0222632	0.0328107	0.0155607	0.0254321	0.0293682	0.0331225	0.0298004	0.0327284	0.031314	0.038061	0.0359956	0.0355251	0.0323923	0.0266518	0.0243474	0.0221049	0.0290257	0.0231174	0.0413025	0.0333936	0.0271169	0.0235711	0.0309307	0.0253044	0.0279516	0.0268213	0.0247249	0.0206745	0.0231627
parce	0.0271858	0.026708	0.0251181	0.0223748	0.0225791	0.0437104	0.0541311	0.0521293	0.0703923	0.0623993	0.0685695	0.0583513	0.0306749	0.0386733	0.0469565	0.0263514	0.0267604	0.0384652	0.02319	0.0148306	0.0097428	0.00767745	0.00601303	0.00607926	0.00659009	0.00853417	0.0134791	0.00903067	0.0137229	0.0101828	0.00848637	0.0079539	0.0124465	0.0139053	0.0132633	0.0160325	0.0210259	0.0144055	0.0218772
qu'	0.0224839	0.0161321	0.0155828	0.0148479	0.00842341	0.0276584	0.035577	0.041378	0.0471606	0.0439713	0.0446412	0.0414252	0.0346926	0.035686	0.0366482	0.0321371	0.0286515	0.0288852	0.0289913	0.0252953	0.0230223	0.0136842	0.0104969	0.0077149	0.00800473	0.0117394	0.0134801	0.0145423	0.022936	0.0262824	0.024003	0.0213947	0.0189115	0.0254954	0.030806	0.0246766	0.0277368	0.0248132	0.0399906
il	0.0414945	0.0282026	0.0210212	0.00984816	0.00391679	0.00686345	0.0102679	0.0096872	0.0221322	0.0133782	0.0179435	0.0138664	0.0118889	0.0177185	0.0260449	0.0215269	0.0172103	0.0209859	0.0176966	0.0135659	0.018187	0.0108099	0.00837894	0.00934629	0.014369	0.0218591	0.0282566	0.0464402	0.063611	0.0569384	0.041277	0.0422955	0.0510662	0.0480602	0.0414776	0.0422208	0.0328791	0.0432142	0.034053
a	0.060743	0.0497558	0.0282436	0.0262738	0.0150244	0.0175821	0.0189615	0.0161997	0.0153331	0.0198676	0.0231157	0.0159973	0.0146023	0.0131443	0.0144374	0.0149351	0.0123365	0.0120193	0.0185042	0.0233542	0.0222751	0.0212432	0.0163291	0.0184166	0.0200078	0.0247487	0.0220646	0.0266966	0.0281172	0.0412393	0.0389314	0.0404764	0.0461584	0.0376076	0.0371787	0.0308001	0.030731	0.0314169	0.0351305
été	0.0467046	0.0511355	0.0352488	0.0337013	0.0167421	0.0198799	0.0227215	0.0178264	0.0204035	0.0235203	0.0288326	0.0255508	0.0242343	0.0253529	0.0238536	0.0234492	0.0211182	0.021016	0.0230844	0.0220419	0.0208363	0.014267	0.0105324	0.0109461	0.0111617	0.0145284	0.0148154	0.0190001	0.0226444	0.031453	0.0252972	0.0313926	0.0360033	0.0332553	0.0342484	0.0234309	0.0276351	0.0314895	0.060645
