 	a66	a87	a23	a87	a97	a99	a87	a23	a50	a83	a11	a43	a11	a70	a44	a62	a21	a12	a43	a11	a70	a96	a70	a90	a25	a98	a92	a37	a85	a6	a36	a2	a57	a87	a23	a50	a83	a54	a79	a44	a79	a7	a27	a54	a6	a37	a47	a5	a12	a18	a25	a87	a23	a99	a97	</S>
la	0.0307732	0.0234383	0.0177356	0.0123482	0.0105054	0.0101333	0.00894262	0.0122112	0.0135592	0.0111516	0.0286787	0.0134321	0.0166591	0.0115373	0.033909	0.0489207	0.0202051	0.0200045	0.0242988	0.0275238	0.0282969	0.0294345	0.0344673	0.019466	0.0360555	0.0126973	0.0149695	0.0135506	0.00815613	0.00889423	0.0120903	0.012973	0.012489	0.0112321	0.0166416	0.0150837	0.00830256	0.0108307	0.00658997	0.0088525	0.00659033	0.0194519	0.01041	0.00701709	0.0122403	0.0166614	0.0159674	0.0191109	0.0174685	0.0199144	0.0114795	0.0150453	0.0198475	0.0234325	0.0255695	0.0427526
manière	0.00732093	0.0113686	0.0115191	0.00744352	0.0110418	0.00908451	0.0171703	0.0139892	0.00882473	0.0289987	0.0221886	0.0335505	0.0101577	0.0204216	0.0415096	0.0751836	0.0208954	0.0432632	0.0532573	0.015784	0.0141008	0.014631	0.0468923	0.0274317	0.0335302	0.0564167	0.0508827	0.0422837	0.036557	0.0359249	0.0575933	0.0684632	0.00768676	0.00682467	0.0100251	0.0021797	0.00163519	0.00178702	0.00175861	0.00200011	0.00345314	0.00293756	0.00218346	0.00125306	0.00112426	0.00135476	0.0011178	0.00129906	0.00106516	0.000357674	0.000423986	0.000128664	0.000199957	0.00032222	0.000569389	0.000632229
dont	0.0522218	0.0386634	0.0254509	0.030889	0.0205671	0.0106453	0.0117635	0.0101906	0.0142948	0.0182972	0.0183314	0.02656	0.0167185	0.0157928	0.0188613	0.0341282	0.0310463	0.0202151	0.0316627	0.0168591	0.0289793	0.045064	0.0393785	0.0543835	0.0345833	0.0632899	0.0337526	0.0245981	0.0177123	0.015169	0.0239174	0.00873993	0.0125499	0.00904245	0.0142793	0.0130914	0.0207869	0.0109394	0.00507575	0.00321092	0.00178618	0.0013765	0.00393458	0.00127636	0.00165537	0.00137139	0.00268864	0.00513442	0.000752714	0.00143943	0.0011128	0.00226974	0.00508965	0.00689541	0.0124545	0.00905954
il	0.0194144	0.0105772	0.00770709	0.0086182	0.00935071	0.00605692	0.00537995	0.00526411	0.00602003	0.00616186	0.00323713	0.00392325	0.00394594	0.00205109	0.00449483	0.0128494	0.00686897	0.00609604	0.00543926	0.0117623	0.0158543	0.0364686	0.0141645	0.0173002	0.0332713	0.029486	0.0306099	0.0255931	0.0304903	0.0257599	0.0355371	0.0132025	0.0254795	0.0136414	0.020999	0.0354903	0.0410747	0.0224429	0.0152483	0.0148718	0.0366354	0.012558	0.0183733	0.0103867	0.0239251	0.0280458	0.0136488	0.0221886	0.0133839	0.0153824	0.0138543	0.0355416	0.034927	0.0328908	0.0272071	0.0188472
boude	0.021282	0.00756406	0.0030882	0.00278734	0.00481362	0.00527969	0.00704612	0.00438847	0.00512685	0.00780732	0.0035138	0.00352179	0.00148012	0.0016157	0.00138286	0.00410123	0.00200692	0.00387758	0.00419099	0.00664846	0.00764505	0.0166531	0.0168641	0.00734223	0.0103164	0.0511049	0.0350135	0.0410095	0.0263346	0.0369397	0.0531124	0.0534855	0.0593527	0.0488269	0.0522676	0.0433763	0.0263885	0.024482	0.0179715	0.0230174	0.0154095	0.0082981	0.0104363	0.00560757	0.00772176	0.00627638	0.00552609	0.00594508	0.0109425	0.00794336	0.0323685	0.019443	0.0296056	0.0259665	0.0320114	0.0234714
contre	0.0202092	0.00773482	0.00633577	0.00445283	0.00595634	0.0049677	0.00461929	0.0052523	0.0092449	0.00706094	0.0175816	0.0081435	0.0117772	0.00286533	0.00740922	0.0112544	0.0122221	0.00637899	0.00957137	0.0267276	0.0252939	0.0284759	0.0175586	0.0135889	0.0152781	0.0189147	0.0178472	0.0147985	0.0187592	0.0250912	0.048293	0.0258724	0.0290571	0.0392259	0.039167	0.0449109	0.0353635	0.023108	0.0142777	0.0141787	0.0104764	0.0132181	0.0127806	0.00714602	0.0131733	0.0154841	0.005216	0.00736038	0.012781	0.00647424	0.0179425	0.0252836	0.0424184	0.0427629	0.0381106	0.0305461
moi	0.0183641	0.00933797	0.00863413	0.00792655	0.0172911	0.0149381	0.0133842	0.00850193	0.0139336	0.0100999	0.0126446	0.00885478	0.011362	0.00563979	0.00495505	0.00890251	0.00676713	0.00557592	0.00580122	0.0137723	0.0113256	0.0149357	0.00739576	0.00673116	0.0104069	0.0125348	0.0108529	0.0114175	0.0137024	0.0182097	0.0237239	0.0205215	0.0262034	0.0222254	0.0268689	0.0397018	0.0334213	0.0350108	0.0205967	0.0190462	0.0315231	0.0140853	0.0261421	0.0158693	0.0295588	0.0241001	0.0243215	0.0304751	0.0314086	0.012701	0.0377672	0.022858	0.047338	0.0223213	0.0232835	0.0147276
m'	0.0159886	0.0116824	0.0114336	0.00971187	0.00946783	0.00989567	0.00821614	0.00869459	0.0114026	0.00684024	0.0052431	0.00484131	0.00726862	0.0050334	0.00779719	0.0109169	0.00576732	0.0109784	0.00739176	0.0121394	0.0114002	0.0143854	0.00889884	0.00939224	0.0121597	0.0151005	0.0166621	0.0148063	0.0118761	0.00911883	0.00681511	0.00591007	0.00705298	0.00565107	0.00771209	0.0106352	0.0122899	0.0188065	0.0148322	0.0151761	0.026949	0.0105861	0.0211924	0.0188383	0.0298063	0.046584	0.0302431	0.0336345	0.0642682	0.0508181	0.0618219	0.0374267	0.072875	0.0313153	0.0260373	0.0282115
intrigue	0.0118169	0.00794659	0.00627153	0.00575036	0.00695855	0.00917574	0.0084938	0.00820133	0.0102596	0.00862532	0.00574318	0.00476539	0.00674027	0.00702708	0.00894682	0.0108725	0.00859896	0.0145439	0.00878573	0.013798	0.0197414	0.0244773	0.0301995	0.0389246	0.0205455	0.0315611	0.0334238	0.0308736	0.0239252	0.0220168	0.0112823	0.00924017	0.0113661	0.0078397	0.00901345	0.0122406	0.016795	0.0220706	0.0226859	0.0237189	0.0208929	0.0148246	0.0126708	0.0100484	0.0138603	0.0204569	0.0158673	0.0150703	0.022179	0.0153475	0.0228497	0.013487	0.0196006	0.0229976	0.0464521	0.118132
</S>	0.00854238	0.00601449	0.00433832	0.00452939	0.0099522	0.0122832	0.0125219	0.00738043	0.00941972	0.010548	0.00569303	0.0069344	0.00905789	0.0118879	0.00715502	0.0110355	0.0152266	0.0306469	0.0151391	0.0143911	0.0225917	0.0276432	0.0268791	0.0289879	0.0250123	0.033956	0.0308488	0.0328096	0.0282705	0.0263059	0.0235029	0.0256851	0.0295577	0.0169596	0.0153901	0.0172897	0.0219485	0.0200175	0.0166144	0.0140781	0.00862352	0.00497627	0.00823617	0.0122906	0.0125556	0.0108054	0.0196179	0.0112348	0.00832984	0.00844457	0.0144323	0.014032	0.0162459	0.0207689	0.0507396	0.0816204
