 	a66	a87	a23	a87	a10	a87	a99	a83	a93	a56	a21	a92	a5	a36	a56	a90	a98	a85	a6	a0	a21	a85	a6	a36	a61	a88	a38	a88	a9	a99	a87	a23	a87	</S>
celui	0.0541115	0.0305158	0.0681101	0.0180226	0.0236323	0.0173294	0.0283469	0.0202778	0.0295995	0.0153489	0.014215	0.0114151	0.0118139	0.0115055	0.0134075	0.0114073	0.0210437	0.0257681	0.0255736	0.0239682	0.0231695	0.0267935	0.033134	0.0319036	0.024061	0.0331206	0.0545237	0.0402878	0.0567515	0.0384595	0.033676	0.0477551	0.0344583	0.0464933
qui	0.0656411	0.0753507	0.0655079	0.0286663	0.0209289	0.020663	0.0178654	0.0158048	0.0093205	0.0124	0.00776406	0.00962903	0.00837179	0.00941905	0.0139742	0.0305699	0.0192407	0.0108811	0.0118064	0.0126078	0.0150749	0.0299116	0.0314374	0.0420395	0.0275503	0.0235222	0.0232187	0.029149	0.0249989	0.0748514	0.0465318	0.0509538	0.0594018	0.0549464
a	0.0729848	0.0582317	0.0366048	0.0259814	0.0210885	0.022145	0.018276	0.0162966	0.0173429	0.0182193	0.0140155	0.0124733	0.0111563	0.0102739	0.0120562	0.0146692	0.012589	0.0109304	0.0149842	0.0174596	0.0140445	0.0223862	0.0224896	0.0420639	0.0181802	0.019878	0.0264822	0.0290504	0.0283475	0.0474764	0.0339325	0.075003	0.0871497	0.0957372
perdu	0.0768353	0.060908	0.030085	0.0292177	0.0132256	0.0149159	0.0243988	0.0224359	0.0256984	0.0176159	0.0106416	0.00852448	0.00956899	0.00743249	0.0100957	0.0152679	0.0189928	0.0224786	0.0179683	0.0268051	0.0322375	0.0241324	0.0286859	0.0341067	0.0242648	0.0344755	0.03934	0.0333242	0.0387353	0.0334173	0.0343521	0.0672858	0.0553946	0.0571355
la	0.0738538	0.0578673	0.0536869	0.0411323	0.020128	0.0181809	0.0209553	0.0162168	0.015458	0.0181256	0.010203	0.00876048	0.0106413	0.00891412	0.0181624	0.0180256	0.0282484	0.0238698	0.0235958	0.0349973	0.0393732	0.0458639	0.0356864	0.0335133	0.0301573	0.0342915	0.0258485	0.0276868	0.0181858	0.0265506	0.035377	0.0326466	0.0585977	0.0351982
raison	0.0356214	0.0255046	0.0188779	0.02926	0.0230814	0.0250343	0.0228475	0.0250764	0.0296606	0.0259554	0.022054	0.0166204	0.0153285	0.00878543	0.0084145	0.0159562	0.0167436	0.0113114	0.0159741	0.0260207	0.0289672	0.0423876	0.0479669	0.0558352	0.0431708	0.0729489	0.0688177	0.0514213	0.0429308	0.0334698	0.018745	0.0219762	0.0212219	0.0320124
dit	0.0976562	0.0654497	0.0342583	0.0172087	0.00613179	0.00615831	0.0061436	0.00476782	0.00357524	0.00645901	0.00361599	0.00596289	0.00459639	0.00400478	0.00507529	0.0105814	0.00706261	0.00569725	0.00809086	0.00964911	0.0114806	0.0333017	0.0362845	0.0656458	0.0323144	0.0314714	0.0425984	0.0561268	0.0594364	0.0699864	0.0908924	0.0692469	0.0630293	0.0260399
de	0.0715354	0.02696	0.0243411	0.0192873	0.0150694	0.0160599	0.0108489	0.0103946	0.0109289	0.0094888	0.00570035	0.00317989	0.00392399	0.00498166	0.00772155	0.017294	0.019385	0.0151347	0.0223936	0.0190151	0.0224582	0.0268512	0.0515948	0.057473	0.0512918	0.0573466	0.0357646	0.064271	0.0530556	0.0610569	0.0450973	0.0539322	0.0610012	0.0251614
n'	0.0519993	0.0255216	0.0207423	0.01026	0.00549921	0.00430418	0.00360262	0.0030221	0.00330039	0.00620741	0.00229298	0.00153387	0.00167779	0.00213809	0.0021785	0.00397246	0.00364806	0.00551559	0.0109617	0.0161256	0.0249043	0.0551105	0.0423481	0.0338218	0.0345909	0.0318819	0.0450231	0.0608273	0.0623	0.0690667	0.0957442	0.0874464	0.110929	0.0615017
importe	0.0527607	0.0337016	0.0383226	0.016431	0.00770373	0.00637913	0.00496767	0.00403236	0.00424545	0.00567981	0.00215421	0.00126166	0.00189332	0.00252944	0.0050999	0.0113781	0.0136775	0.0129246	0.011712	0.0210545	0.0305347	0.0370934	0.0314209	0.0312347	0.0230232	0.0192005	0.0170725	0.0358246	0.0369468	0.0823134	0.0847879	0.0751157	0.140708	0.0968147
quoi	0.0454641	0.025441	0.0109371	0.00704216	0.0065451	0.00539334	0.00520082	0.00596209	0.00659961	0.00534017	0.00458622	0.00305637	0.0031136	0.00250088	0.00251074	0.003319	0.00440806	0.00832614	0.0160982	0.0211024	0.0287871	0.0507308	0.0580315	0.0702895	0.0667507	0.0668987	0.0474754	0.06052	0.0412604	0.0440079	0.0539543	0.0613043	0.124128	0.0329143
</S>	0.0421831	0.0302985	0.0127697	0.0149126	0.00692788	0.00514172	0.00524755	0.00369383	0.00460907	0.00850202	0.00362066	0.00214871	0.00192562	0.00226571	0.00269121	0.00663401	0.00664253	0.0103	0.0147767	0.0219316	0.0258467	0.0441586	0.0461096	0.0551342	0.0500824	0.041953	0.0391963	0.0724351	0.0541397	0.0675348	0.0614646	0.0592414	0.100404	0.0750769
