 	a84	a10	a87	a23	a62	a88	a71	a62	a21	a5	a21	a85	a5	a36	a56	a96	a93	a4	a57	a3	a87	a40	a47	a37	a21	a85	a47	a36	a25	a69	a58	a40	a54	a47	a36	a2	a57	a87	a23	a50	a83	a71	a50	a88	a71	a11	a21	a12	a18	a4	a70	a83	a71	a9	a87	a23	a38	</S>
il	0.0583861	0.0636391	0.0452166	0.0376568	0.0291621	0.0248168	0.0137355	0.0345556	0.0460023	0.045401	0.0159541	0.0133867	0.00736879	0.00617763	0.00661123	0.0045669	0.00497224	0.0160815	0.0118383	0.00886796	0.0121872	0.0272823	0.0212974	0.0222672	0.0239385	0.0148296	0.026521	0.0223826	0.0149944	0.0176375	0.0119667	0.0115912	0.0180894	0.0148863	0.0103999	0.013339	0.00932107	0.0129646	0.00566989	0.00592279	0.00403304	0.00518387	0.00633745	0.00526701	0.006395	0.00622271	0.00920076	0.00602432	0.00815547	0.00986666	0.0107882	0.014522	0.0136039	0.0117296	0.0131822	0.0165779	0.0130768	0.0279475
n'	0.0178175	0.014833	0.015383	0.0126596	0.0141116	0.0117038	0.0148086	0.0139959	0.0102523	0.0140781	0.0210569	0.0246784	0.0364177	0.0337845	0.0329841	0.0322856	0.0377686	0.0271418	0.0380804	0.0235456	0.0209315	0.0176091	0.022402	0.0306525	0.0319526	0.0396389	0.0242426	0.0198135	0.017562	0.0188639	0.0157415	0.0122282	0.0136465	0.0187438	0.0156084	0.00767339	0.00456431	0.0045165	0.00315358	0.00440718	0.00326874	0.00521081	0.00558437	0.00510182	0.00663533	0.0140534	0.0132016	0.00787289	0.0209501	0.0169665	0.0193501	0.0142067	0.0184945	0.0132906	0.0124186	0.0109852	0.013603	0.00746689
y	0.0142451	0.00864571	0.00895414	0.00910653	0.00875497	0.0151505	0.0167322	0.0211557	0.0250171	0.0184242	0.0757272	0.0349637	0.0408977	0.0194346	0.0116527	0.0134748	0.0171349	0.0192877	0.0407921	0.0263764	0.020467	0.0225444	0.0224115	0.0214748	0.0162048	0.025884	0.0248795	0.020034	0.0224509	0.0241772	0.0305289	0.0274388	0.0277103	0.0329103	0.0395113	0.0238325	0.020356	0.0122078	0.00958965	0.00840191	0.00610463	0.00640602	0.00335278	0.00258805	0.0031918	0.00283489	0.00210969	0.00308439	0.0027878	0.00338649	0.00379195	0.00596494	0.00719072	0.00618491	0.00770623	0.00899899	0.0166367	0.00873572
a	0.0372719	0.0280916	0.0220576	0.0198074	0.0183986	0.0161261	0.0154362	0.0166104	0.0148967	0.012146	0.00797623	0.00784152	0.00681066	0.00678179	0.00475208	0.00549024	0.00452975	0.00860714	0.00965106	0.0107371	0.0147534	0.008181	0.0111215	0.00682512	0.00727144	0.00659213	0.00505446	0.00568085	0.00598472	0.00613447	0.00653489	0.00588997	0.0175452	0.031698	0.0226681	0.0398126	0.0278932	0.0308847	0.0264662	0.0362297	0.046373	0.0325711	0.0341909	0.0316576	0.0266847	0.0312989	0.0198267	0.0138065	0.0131171	0.00950722	0.00899894	0.0158142	0.0150789	0.0135679	0.0132429	0.0192691	0.0217567	0.0359959
plus	0.0506547	0.038619	0.028102	0.0213842	0.0151353	0.0104196	0.00590797	0.00927837	0.00410078	0.00388014	0.0062381	0.00332413	0.00952733	0.00631041	0.0114013	0.00913047	0.014241	0.0197735	0.032604	0.0398884	0.0284086	0.0302585	0.0299127	0.0342962	0.0251469	0.0297631	0.0170583	0.0157699	0.0121341	0.0171996	0.0161604	0.0140065	0.0251348	0.0310941	0.0210381	0.0193212	0.025401	0.0171219	0.0216682	0.0190165	0.026932	0.0189554	0.0145328	0.015798	0.0193541	0.0159739	0.00927666	0.00937098	0.00788646	0.00420811	0.00445884	0.00467136	0.00364402	0.00458354	0.00456175	0.012479	0.0101344	0.0233472
de	0.036278	0.0208701	0.0154826	0.0108633	0.00786324	0.00706295	0.00718935	0.00449147	0.00488318	0.00453136	0.00793144	0.00462892	0.00486559	0.00477754	0.00556889	0.0057106	0.00594958	0.0121765	0.0224047	0.0385029	0.0200234	0.0284422	0.0241619	0.0325422	0.0316216	0.0266207	0.0151789	0.0123579	0.00896022	0.0113159	0.0125226	0.0152741	0.0264479	0.0307786	0.0175858	0.0227788	0.0322359	0.0222144	0.0246777	0.0163774	0.0178847	0.0193043	0.0154958	0.015785	0.0186136	0.0189315	0.0203688	0.0212635	0.0176533	0.0156698	0.0124997	0.0152215	0.0196	0.0161539	0.017614	0.0283291	0.0226466	0.0228145
forêts	0.048963	0.0263191	0.020078	0.0158061	0.0140357	0.0126023	0.0112244	0.00291398	0.00477991	0.00336383	0.00365012	0.00397859	0.00350452	0.00376047	0.00460313	0.005595	0.00845147	0.0130553	0.024036	0.0212139	0.0135329	0.0221806	0.0247266	0.0196046	0.0210757	0.0219451	0.0134441	0.0103915	0.00891365	0.0128472	0.012747	0.0209771	0.0406392	0.0300773	0.0229186	0.0302473	0.0283187	0.022144	0.0200947	0.0129023	0.0157089	0.0193211	0.0151912	0.0146027	0.0166274	0.0184102	0.0212491	0.023507	0.0217762	0.0249923	0.0145055	0.0151916	0.0243092	0.0159936	0.0153411	0.0296797	0.0245776	0.00735272
dans	0.0548787	0.0236169	0.0194867	0.0170016	0.00870431	0.00615295	0.00848154	0.00903344	0.00475885	0.00808251	0.00500432	0.00386353	0.00708652	0.00652965	0.0161064	0.0107072	0.017238	0.022016	0.0407389	0.0424796	0.042122	0.044601	0.0418939	0.0548516	0.0374644	0.0319834	0.0285008	0.0237874	0.0217497	0.0134116	0.00957946	0.0149799	0.0263071	0.0117683	0.0117699	0.0116198	0.00842548	0.00660874	0.00851095	0.00689263	0.00676873	0.00967652	0.00925066	0.00804481	0.00554773	0.00783046	0.00610127	0.00872491	0.012562	0.0118834	0.0109183	0.0140361	0.0104746	0.0110042	0.0163008	0.0215981	0.0186486	0.0218331
le	0.0223287	0.0116673	0.0112583	0.0127706	0.00876887	0.00734375	0.0107127	0.0106487	0.0069301	0.012723	0.00963367	0.00729118	0.0157064	0.0123116	0.0212836	0.0183093	0.0172565	0.0171326	0.0230058	0.0183465	0.0247025	0.0194815	0.0252857	0.0220237	0.0125651	0.0183742	0.0191593	0.0160531	0.0176737	0.0129232	0.013815	0.0179538	0.0240177	0.0161082	0.0144466	0.0195286	0.0196143	0.0260725	0.0251449	0.0224657	0.018642	0.0198157	0.0188371	0.0182312	0.0151917	0.0189701	0.0128353	0.0129301	0.0180247	0.017116	0.0165074	0.0194195	0.0183968	0.0153382	0.0196863	0.0232491	0.0237912	0.0301793
secteur	0.0124766	0.00852075	0.00830387	0.00844179	0.00712503	0.00729035	0.00854551	0.00621528	0.00525517	0.00550004	0.0104426	0.00852695	0.0114483	0.0113811	0.0126613	0.0114685	0.016438	0.0130077	0.0160893	0.0115577	0.0174214	0.010292	0.0197467	0.0190616	0.0140802	0.0195006	0.0157401	0.011263	0.012086	0.0108308	0.0102475	0.0142261	0.0199867	0.0137731	0.0184116	0.0197439	0.0303767	0.0266716	0.0289591	0.0271302	0.0226192	0.0288043	0.0278253	0.0253059	0.0326127	0.0328505	0.0320212	0.0310196	0.0292075	0.0332412	0.0272138	0.0143835	0.0259306	0.019657	0.0150804	0.0197465	0.0136989	0.00853749
