 	a66	a97	a30	a57	a87	a23	a30	a53	a90	a56	a34	a98	a25	a79	a15	a20	a69	a44	a93	a44	a4	a44	a98	a79	a37	a44	a26	a3	a97	a87	a23	a12	a18	a23	a75	a47	a79	a98	a85	a5	a36	a6	a37	a92	a44	a21	a56	a34	a54	a47	a36	a7	a84	a57	a62	a21	a85	a47	a98	a47	a36	a2	a57	a87	a23	a10	a87	</S>
si	0.0114322	0.0132818	0.0216133	0.00912553	0.0120857	0.0251578	0.0264117	0.0176362	0.0157448	0.0092305	0.0108009	0.0112174	0.0219347	0.0259683	0.0153707	0.0247114	0.0511821	0.0398925	0.0480767	0.0221484	0.0317497	0.0250019	0.0321975	0.0277265	0.0235056	0.0235563	0.0197199	0.0363756	0.0279053	0.0186118	0.0180158	0.0159518	0.015907	0.010256	0.0131329	0.00980548	0.0116765	0.0110725	0.0113518	0.0095679	0.0119153	0.00699644	0.00812112	0.0102751	0.00637626	0.00422854	0.00345057	0.00422662	0.00328831	0.0074195	0.00472396	0.00427061	0.00227798	0.00602152	0.00280787	0.00348277	0.00496436	0.00471196	0.00451316	0.00622062	0.00855885	0.0069264	0.00869611	0.00658174	0.00698471	0.00570044	0.00580696	0.0143418
un	0.00374876	0.00356434	0.00369933	0.00370825	0.00419069	0.00455185	0.00603991	0.0125114	0.0236183	0.0187743	0.024574	0.0277595	0.024207	0.0224005	0.0524374	0.037651	0.0457258	0.0270905	0.0280831	0.0375612	0.0216271	0.0208578	0.0230448	0.016276	0.0179962	0.0165033	0.0115813	0.0150222	0.0179345	0.0149751	0.0144873	0.0165223	0.0157446	0.014382	0.0173508	0.0125618	0.0147506	0.0168684	0.0115897	0.00894355	0.0129571	0.0216601	0.0171458	0.0135628	0.0089873	0.00681916	0.00438926	0.00198904	0.00163017	0.00395598	0.00281232	0.00159524	0.00244742	0.00857546	0.00358275	0.0071376	0.00748507	0.00492148	0.0106362	0.0134184	0.0151461	0.0156396	0.0124535	0.0138025	0.014758	0.0169996	0.0140385	0.0105368
cadet	0.00775719	0.00510923	0.00746073	0.00526567	0.00887828	0.0166582	0.0246915	0.0230437	0.0390765	0.0207215	0.0731582	0.05745	0.0276622	0.014097	0.0346524	0.0262604	0.0126067	0.00554831	0.00889312	0.00830423	0.00684792	0.0114029	0.0102718	0.0119433	0.016029	0.0136568	0.0106965	0.0117008	0.0116276	0.00901873	0.00716015	0.00908558	0.0143837	0.00749369	0.00765492	0.00803421	0.00611163	0.009135	0.0101345	0.0112924	0.0044448	0.00427525	0.0161682	0.0281951	0.00839872	0.0377822	0.0272051	0.0178637	0.0153446	0.0111101	0.00867457	0.0173906	0.0083666	0.00848157	0.00597651	0.00439422	0.00468402	0.00305377	0.00462735	0.00693845	0.00703979	0.00707942	0.0102718	0.012053	0.0232949	0.0178293	0.0285409	0.0195389
meurt	0.0530474	0.0561183	0.0338197	0.0229904	0.0435406	0.0174587	0.0102862	0.0230815	0.023362	0.0303938	0.0464464	0.053506	0.0201811	0.0108975	0.0199826	0.00740909	0.00703277	0.00608239	0.00652512	0.00655605	0.00352118	0.00628213	0.00936962	0.00573876	0.00528261	0.00327955	0.00351081	0.00369293	0.00318125	0.00427298	0.00599298	0.00324512	0.0101356	0.00311008	0.00864732	0.0116278	0.00973846	0.00487828	0.0139639	0.00798421	0.0127298	0.0102458	0.0089969	0.0148975	0.0102581	0.014996	0.0116107	0.00803739	0.00685024	0.0100004	0.00927878	0.0085386	0.00890856	0.013227	0.0262129	0.0222368	0.00983287	0.0121986	0.02707	0.00805087	0.0158706	0.0162569	0.00724194	0.0109397	0.0123295	0.0124302	0.0203124	0.0242679
et	0.0167787	0.011912	0.013631	0.00900022	0.0183483	0.0119974	0.0060709	0.0171527	0.0163714	0.0150721	0.0528411	0.0318293	0.0399091	0.0245345	0.0856282	0.051102	0.0228405	0.014979	0.0219229	0.012368	0.0111982	0.0300915	0.0152964	0.00867183	0.0118154	0.00683634	0.00938748	0.0094929	0.00715838	0.00697012	0.0107165	0.00574605	0.0146845	0.00755644	0.00671814	0.0168158	0.0125933	0.00478367	0.00757963	0.0139649	0.0108731	0.0173032	0.0173508	0.0240212	0.0187301	0.0222318	0.00947063	0.0130988	0.0172607	0.0110903	0.0111242	0.00711816	0.00866294	0.00671703	0.00917198	0.00673686	0.00275421	0.00411529	0.00655865	0.00226358	0.00392108	0.00443391	0.00246225	0.0052127	0.0100135	0.00896088	0.0132955	0.0126798
laisse	0.00808539	0.00557215	0.00261695	0.00372439	0.00191801	0.00143892	0.00195697	0.00780799	0.00585776	0.00677332	0.0352093	0.01477	0.0187972	0.0199405	0.0694559	0.0290084	0.0124265	0.0257684	0.0477313	0.038162	0.0183623	0.0283454	0.0228631	0.0133156	0.0178941	0.0120337	0.0132848	0.0204114	0.0130575	0.0156137	0.0232928	0.015441	0.0239593	0.0252185	0.019084	0.040961	0.0368238	0.0188242	0.020952	0.0285274	0.0346393	0.0224042	0.027051	0.0338559	0.0238976	0.0185696	0.00441447	0.00288134	0.00140109	0.00305228	0.00127826	0.00132558	0.000981668	0.00273277	0.00118165	0.00140147	0.00112379	0.00191248	0.00389056	0.00236073	0.00452738	0.003166	0.00357383	0.00236612	0.00334498	0.00295569	0.00223331	0.00218986
des	0.0150211	0.02288	0.0125701	0.0220886	0.0129653	0.0100139	0.00484202	0.00782226	0.00907377	0.00827834	0.0234798	0.0150514	0.0108023	0.0171092	0.0364903	0.0167194	0.0130507	0.0301283	0.0323946	0.0170952	0.00883671	0.0198016	0.0169718	0.0114006	0.0200978	0.0108775	0.0164575	0.0152263	0.0227111	0.0182634	0.0361401	0.0189703	0.0290112	0.0271211	0.0255487	0.0401548	0.039822	0.0240111	0.02784	0.0186636	0.0244765	0.0222115	0.0192846	0.0177603	0.0207226	0.0096729	0.00352867	0.00323371	0.00279381	0.00646169	0.00365526	0.00260427	0.00201049	0.00507549	0.00251737	0.00420306	0.00378146	0.00647386	0.00639048	0.00514485	0.00748806	0.00670102	0.00553981	0.00379114	0.00557017	0.00371215	0.00436283	0.00502826
parcelles	0.0206825	0.017912	0.018658	0.0127141	0.0128983	0.0109622	0.00526943	0.00758431	0.0106675	0.0160913	0.0394016	0.0329435	0.0290953	0.0377228	0.0619954	0.0188486	0.0222279	0.0302655	0.023838	0.013271	0.0121183	0.0236501	0.0148112	0.0163586	0.0210203	0.0124309	0.0229537	0.0159579	0.021977	0.0124598	0.0253251	0.0106835	0.0243222	0.0182068	0.0189384	0.0248833	0.0186122	0.0107826	0.0159736	0.010724	0.0133012	0.0126045	0.0101296	0.0106558	0.0120821	0.0111301	0.00724972	0.00531106	0.00514463	0.00751087	0.00440858	0.0041126	0.00414384	0.00467156	0.00332997	0.00432049	0.0050431	0.00611576	0.0052564	0.00485861	0.0104711	0.00736732	0.00765692	0.00478023	0.00722963	0.00419918	0.00447528	0.0172013
il	0.023808	0.0157724	0.0107955	0.00732243	0.0136556	0.00644874	0.00169583	0.00707474	0.00658701	0.0113172	0.0155591	0.0148208	0.0176403	0.0169911	0.0170912	0.013456	0.0235053	0.0203178	0.0147351	0.0119962	0.00919829	0.0119362	0.0115037	0.0177246	0.0219212	0.0152018	0.0161786	0.0178411	0.0249154	0.0163694	0.0263644	0.021967	0.0245052	0.0215328	0.0224553	0.0259977	0.0285399	0.0272405	0.0259972	0.0239194	0.0218241	0.00936573	0.0149948	0.0161009	0.0109891	0.00893479	0.0050158	0.00326892	0.00188606	0.00408835	0.00258297	0.00288591	0.00231423	0.00421308	0.00203434	0.00327226	0.00751796	0.00642843	0.00775113	0.0130461	0.0166682	0.0121051	0.0295192	0.0153233	0.0189558	0.0140805	0.0161505	0.0467829
ne	0.0249476	0.0303575	0.0232942	0.0125442	0.0250073	0.0091961	0.00188216	0.00597378	0.00948764	0.0193902	0.0214184	0.0216745	0.0201037	0.0218128	0.0203221	0.0143887	0.0195572	0.0133499	0.00981365	0.00959167	0.00897414	0.0134691	0.00819531	0.0149326	0.0166943	0.0124288	0.0162757	0.0139477	0.0173309	0.0119128	0.0175859	0.0141365	0.014647	0.0140648	0.0122299	0.0130133	0.0175176	0.01503	0.0124257	0.0164065	0.0174371	0.00747312	0.0118908	0.0158863	0.00476515	0.00946795	0.0106087	0.00929802	0.00575866	0.00621736	0.00538049	0.0056849	0.00549951	0.00499839	0.0053691	0.00942939	0.0142846	0.00972647	0.00540234	0.00877103	0.018484	0.010613	0.0286903	0.020802	0.0263667	0.0210954	0.0234926	0.0617748
