 	a15	a66	a87	a23	a18	a11	a31	a61	a75	a34	a75	a98	a85	a92	a56	a93	a94	a66	a34	a47	a61	a83	a71	a9	a10	a87	a23	a87	</S>
j'	0.0711801	0.0915641	0.0596907	0.035885	0.0237741	0.0125511	0.0111376	0.00979111	0.0171904	0.0195732	0.0146583	0.0153969	0.0106899	0.0212484	0.022576	0.0178143	0.0182492	0.0323997	0.0382099	0.0482066	0.0525407	0.0614044	0.041245	0.0399161	0.0456458	0.0300123	0.0423154	0.0292937	0.0658401
ai	0.0522624	0.0342894	0.0474996	0.0619697	0.0634218	0.0604534	0.0406279	0.0400118	0.0260481	0.0345405	0.0355351	0.035962	0.030694	0.0249548	0.0289452	0.0250229	0.0294392	0.0295541	0.0284791	0.0276113	0.0253546	0.0223395	0.0228973	0.018106	0.0209523	0.0188077	0.0291719	0.0350199	0.0500286
donné	0.0249409	0.0226333	0.0256978	0.0359031	0.0422871	0.0446977	0.0330692	0.0430596	0.0391728	0.0307593	0.033634	0.0242552	0.0313002	0.0316297	0.021954	0.0212319	0.0204358	0.0272804	0.0218086	0.0184926	0.0209623	0.0421496	0.0372068	0.0282263	0.0589285	0.0378538	0.0477047	0.0894933	0.0432315
à	0.10082	0.0767098	0.0535768	0.0405717	0.0282784	0.0644069	0.0415084	0.0308631	0.0180514	0.0194668	0.0230002	0.0242916	0.0210044	0.017629	0.0272988	0.0243372	0.0222062	0.0231834	0.0266058	0.0292184	0.0341655	0.0314527	0.0379173	0.0218833	0.0267669	0.0240154	0.0274847	0.0239706	0.0593155
mon	0.0736983	0.0388153	0.0304822	0.0196026	0.0157184	0.0215518	0.0274606	0.0146713	0.0176594	0.0217878	0.0255284	0.0334531	0.0249173	0.0250192	0.0239227	0.0238224	0.0315483	0.030027	0.0478002	0.0557467	0.0523847	0.0593463	0.0807203	0.0407387	0.0449326	0.0310143	0.025357	0.0351783	0.0270947
fils	0.0657392	0.0753222	0.0482187	0.0207709	0.0260366	0.0394269	0.0435625	0.0214659	0.0168632	0.0144781	0.0190411	0.0239975	0.0169098	0.0147344	0.013095	0.0123113	0.0209022	0.0156343	0.0296085	0.046735	0.0412346	0.0586568	0.0567597	0.0533476	0.0509661	0.0383633	0.0523534	0.0330633	0.0304017
le	0.148724	0.107211	0.0605909	0.0294677	0.0229629	0.0326419	0.0247918	0.0119877	0.0139591	0.0124929	0.014196	0.0117722	0.00844652	0.00894411	0.0135779	0.0122795	0.016797	0.0158132	0.021925	0.0275355	0.0363189	0.0466299	0.0572386	0.0419267	0.0592347	0.0457883	0.0339548	0.0493845	0.0134066
nom	0.0551565	0.0373557	0.0228994	0.0137769	0.0120307	0.0155059	0.0121855	0.00710286	0.00768024	0.00817361	0.00913517	0.00983977	0.007589	0.00724224	0.0111192	0.0102566	0.0136436	0.0120663	0.0199586	0.0311878	0.0323527	0.0773607	0.108269	0.0835521	0.10929	0.0656342	0.0814321	0.0817307	0.0364726
d'	0.0765768	0.0569064	0.0393636	0.0236213	0.0190493	0.0177675	0.0225531	0.0200457	0.0168364	0.0123446	0.0100165	0.00469309	0.00302657	0.00322242	0.00625045	0.0102194	0.00841006	0.0121706	0.0150307	0.0156133	0.021339	0.05059	0.0444768	0.036377	0.100805	0.0666654	0.0605561	0.120522	0.104951
okwere	0.0747445	0.0361653	0.0287514	0.0176413	0.0152736	0.0153987	0.0190794	0.0188005	0.0126255	0.00640353	0.00577721	0.00231687	0.00161831	0.00196462	0.00487377	0.0126915	0.012049	0.0161421	0.0179862	0.0162397	0.021442	0.0474091	0.0415727	0.0386379	0.104072	0.079306	0.0697254	0.126564	0.134727
</S>	0.102599	0.0276503	0.0138594	0.00743544	0.00549954	0.00485489	0.00781608	0.00515661	0.00456763	0.00245719	0.00187595	0.000700919	0.000679748	0.00123599	0.00247761	0.00891605	0.0137044	0.0266024	0.0282278	0.0315511	0.0459702	0.0729718	0.0782633	0.0680919	0.0952437	0.0930466	0.0621502	0.0961823	0.0902123
