 	a15	a87	a23	a70	a75	a6	a96	a75	a85	a73	a44	a13	a90	a79	a70	a13	a11	a34	a66	a9	a53	a90	a56	a34	a66	a61	a56	a34	a93	a70	a83	a62	a70	a93	a4	a13	a9	a87	a23	a87	a23	a87	</S>
le	0.0403397	0.069559	0.0480799	0.0458539	0.0676923	0.0528793	0.0291899	0.0188459	0.00855263	0.0086496	0.00757387	0.0113818	0.0123069	0.00846477	0.00981298	0.0104295	0.00986756	0.0102706	0.00972424	0.0103889	0.00916631	0.0219136	0.0251475	0.0233827	0.0198554	0.0220034	0.0209092	0.0151088	0.021398	0.017903	0.0174483	0.040419	0.0330164	0.033697	0.0296735	0.0144736	0.0171444	0.0121044	0.0100922	0.0216388	0.0118522	0.0230234	0.0487655
féticheur	0.000792957	0.00329416	0.00480011	0.0115858	0.0295336	0.0196643	0.0394653	0.0667618	0.0604655	0.0390931	0.0699328	0.0920262	0.0959013	0.096224	0.0626982	0.0505332	0.0657015	0.0318169	0.0282693	0.0223973	0.030076	0.0123179	0.0115521	0.0084934	0.00763794	0.00544302	0.00450773	0.0042276	0.00335247	0.00261523	0.00237822	0.00260814	0.00145923	0.00206743	0.00237704	0.000984608	0.00107876	0.000909725	0.000395382	0.00101388	0.00126423	0.00113319	0.00114946
a	0.0151579	0.018632	0.0214654	0.0259901	0.032537	0.0307181	0.0543773	0.08689	0.0655692	0.0508314	0.0321534	0.0640928	0.0629911	0.0516342	0.0638482	0.0578096	0.0525521	0.0444886	0.0262145	0.0282741	0.0111598	0.00986186	0.00938574	0.00763008	0.00456283	0.00235775	0.0024627	0.00363698	0.00200512	0.00421506	0.00330159	0.00275547	0.00312559	0.00134611	0.00272652	0.00231389	0.00202911	0.00277875	0.00508092	0.00467651	0.00591646	0.0181352	0.00230905
neutralisé	0.00954592	0.00755596	0.00597261	0.00366875	0.00589505	0.00765583	0.00997361	0.0182977	0.0320833	0.028782	0.0234956	0.0450853	0.0356727	0.0626193	0.064334	0.0563698	0.0673884	0.0926893	0.0685749	0.0539922	0.0382378	0.016723	0.0132873	0.0169783	0.0129226	0.00819156	0.0110388	0.0125428	0.0141389	0.0132268	0.0100847	0.00495157	0.00416892	0.00476024	0.00435188	0.00558588	0.0059169	0.00759961	0.010793	0.00692189	0.0180266	0.0209557	0.0389432
l'	0.0316675	0.0225468	0.0164228	0.021165	0.0267944	0.0252734	0.044521	0.0426017	0.0491153	0.060127	0.0306357	0.0547463	0.0297929	0.0277192	0.0192274	0.0259823	0.0153757	0.0355224	0.0365488	0.0326952	0.0278838	0.0300714	0.0404984	0.0207717	0.0172094	0.0108157	0.00821401	0.00514096	0.00671899	0.00994237	0.00891404	0.00709821	0.00518337	0.00367013	0.0030206	0.00570536	0.00610385	0.00813455	0.00994257	0.00785021	0.0110178	0.0225552	0.0750565
amulette	0.0303443	0.0165888	0.0121032	0.0137547	0.0170644	0.0223331	0.0284257	0.0451574	0.0670908	0.0536999	0.0488427	0.0668284	0.0314841	0.0389029	0.0259716	0.0206951	0.0297172	0.0381596	0.0356561	0.0301954	0.0255097	0.028263	0.0206052	0.0104712	0.00759321	0.00416997	0.00296417	0.00361446	0.0030742	0.00791798	0.011245	0.0110119	0.0157288	0.00994604	0.0112097	0.0135833	0.00710152	0.0108942	0.0137936	0.0150544	0.023911	0.0364733	0.0328488
de	0.104815	0.0644863	0.0482638	0.0227677	0.0213959	0.0209256	0.028916	0.0427159	0.0419519	0.0573682	0.0397495	0.0392653	0.0123733	0.0102917	0.00631183	0.00883328	0.0130114	0.015081	0.017277	0.0145408	0.0203711	0.0194649	0.0229721	0.00941804	0.0114624	0.00795531	0.00530031	0.00289608	0.00176512	0.00397802	0.00299319	0.00427568	0.00324736	0.00453253	0.00346123	0.00808391	0.0111062	0.020669	0.024049	0.0307942	0.0299449	0.0741019	0.0468163
cette	0.0369028	0.0312637	0.0220004	0.0116088	0.0116073	0.0142409	0.0115567	0.0243651	0.0267444	0.0289537	0.0216054	0.0283043	0.0148423	0.0170211	0.0138414	0.0174701	0.0146982	0.0301085	0.0241867	0.0218073	0.0187838	0.0231492	0.0256885	0.0182312	0.0172936	0.0263113	0.0160481	0.0121896	0.00964046	0.0118522	0.00962512	0.0128156	0.0135067	0.0165465	0.0129607	0.0244771	0.0230417	0.0318915	0.0435662	0.0548211	0.0423393	0.0760086	0.0360826
femme	0.0196235	0.0221064	0.0153387	0.00902175	0.00979126	0.0102957	0.0055196	0.0121378	0.0123915	0.0135727	0.010745	0.0142776	0.0070632	0.0121807	0.00570987	0.00661697	0.00520221	0.01503	0.0182868	0.0111995	0.0111057	0.0153998	0.0154932	0.0146027	0.0126498	0.0194855	0.0113946	0.0114024	0.0134814	0.0127929	0.0147636	0.0235641	0.0205367	0.0227389	0.0221397	0.0296316	0.0565745	0.0890582	0.0728653	0.0849234	0.0696377	0.0703469	0.0493006
</S>	0.0395089	0.0476472	0.0446046	0.0232276	0.0213299	0.0154303	0.0106576	0.0122789	0.00984695	0.0123644	0.0107727	0.0129883	0.00664661	0.00606338	0.00462611	0.00421092	0.00270276	0.0049822	0.00675447	0.0042604	0.00514941	0.0094229	0.0101357	0.00809139	0.00827812	0.0129881	0.00795653	0.00598902	0.00828114	0.00884621	0.00952735	0.0232036	0.0147443	0.0263641	0.0165138	0.0285147	0.048445	0.0703594	0.0676121	0.0828991	0.0444653	0.073309	0.108
