 	a87	a23	a62	a94	a44	a35	a24	a61	a24	a43	a32	a26	a41	a14	a30	a57	a87	a23	a38	a30	a35	a57	a38	a41	a35	a94	a24	a32	a76	a90	a38	a24	a41	a14	a73	a57	a87	</S>
l'	0.0818036	0.085202	0.0428358	0.0393612	0.0559266	0.0307844	0.0343874	0.0235654	0.0237428	0.0162976	0.0189432	0.012557	0.0151353	0.0139889	0.00703539	0.00732157	0.00652157	0.00638769	0.00947204	0.0116889	0.0105234	0.0232131	0.0285171	0.012886	0.0226346	0.0217497	0.0176155	0.018726	0.03519	0.0168628	0.0271864	0.0214497	0.0478793	0.0444187	0.0372211	0.0210474	0.0136388	0.0362822
affaire	0.00507368	0.00889052	0.00598515	0.00966513	0.0104814	0.0211521	0.0229308	0.0159443	0.0226798	0.0274275	0.0536121	0.020802	0.0700295	0.0472576	0.0537278	0.0568616	0.0331751	0.0421645	0.085732	0.0765804	0.058931	0.0547692	0.0927855	0.0215153	0.0152006	0.00888414	0.0109216	0.00556465	0.00987722	0.00447583	0.00304796	0.00126758	0.00273137	0.00415844	0.00427526	0.00316154	0.00272425	0.00553576
est	0.0214697	0.0194281	0.0275182	0.024942	0.036666	0.0619136	0.0518986	0.0400481	0.0418299	0.0246712	0.0179186	0.0293383	0.0191374	0.0150616	0.0300921	0.021572	0.0447771	0.0248784	0.0668681	0.0403598	0.0241703	0.0146458	0.0101358	0.00916823	0.00852246	0.00803908	0.00845999	0.00405972	0.00453918	0.00476714	0.00531456	0.0121623	0.0139868	0.0178828	0.0468875	0.019821	0.0678826	0.0591655
terminée	0.0209158	0.0153725	0.0188917	0.0343461	0.02315	0.0266085	0.0245324	0.0147629	0.0140233	0.0126345	0.0274765	0.029367	0.0168831	0.0272619	0.0308965	0.0389075	0.0399958	0.036023	0.0275562	0.0244784	0.0390138	0.0373863	0.0515974	0.0357243	0.0422973	0.0327579	0.056973	0.0370968	0.0218964	0.0188752	0.0206777	0.00952617	0.00781092	0.00918506	0.0109707	0.0145131	0.020811	0.0288034
ils	0.0553327	0.0435015	0.0440618	0.0450985	0.0525767	0.0263041	0.0249409	0.0224168	0.0136079	0.0149252	0.011424	0.0106604	0.0108888	0.0123395	0.0114814	0.008937	0.00931676	0.0126301	0.0123911	0.013824	0.00858787	0.0112086	0.0129557	0.00905276	0.0168799	0.0158055	0.0169474	0.00807119	0.00814517	0.0136555	0.0226484	0.0272841	0.0270973	0.0348632	0.0365941	0.0533944	0.0754551	0.144695
se	0.0521172	0.0390984	0.0484937	0.0459892	0.0308396	0.0271368	0.0220293	0.0240593	0.0230069	0.0201525	0.0184021	0.020042	0.0189818	0.0202424	0.0319311	0.0256545	0.0314785	0.0356208	0.03856	0.0339209	0.0318543	0.0245423	0.0208558	0.0174328	0.0164515	0.0179642	0.0222084	0.0144499	0.00892153	0.00946572	0.00839904	0.00649917	0.00631918	0.0129318	0.0246308	0.0357347	0.0351664	0.0784151
sont	0.0384172	0.0227934	0.0344637	0.0377651	0.0427605	0.0504994	0.0396231	0.0442093	0.033032	0.0333236	0.0089202	0.0310308	0.0159523	0.031091	0.0301124	0.0104198	0.0202082	0.0264801	0.0383334	0.0332284	0.0184848	0.0186421	0.0107916	0.00889904	0.00675939	0.00561308	0.00418425	0.00311379	0.00280453	0.00365468	0.00339736	0.00440131	0.0043213	0.00979578	0.0159269	0.0387441	0.0862607	0.131541
réunis	0.0281331	0.0186177	0.0240187	0.020664	0.0220623	0.0262384	0.0239876	0.0311174	0.019162	0.0234556	0.0123913	0.024939	0.016264	0.0224862	0.0257194	0.0130811	0.0224098	0.0308044	0.0381636	0.0309202	0.0353067	0.0301157	0.0196482	0.0210963	0.0236745	0.0147782	0.0116589	0.0080168	0.00571162	0.00677908	0.00970893	0.0120003	0.0108484	0.0221767	0.0344282	0.0652569	0.0945252	0.0996336
pour	0.0419649	0.0240238	0.0261168	0.0209199	0.0200886	0.0269914	0.024341	0.0258963	0.0203819	0.0219863	0.0163566	0.020422	0.0142799	0.0126703	0.01882	0.0117267	0.0159106	0.0193648	0.0298446	0.0181059	0.0216897	0.0206259	0.02161	0.0167643	0.0184246	0.0139576	0.0136314	0.0150687	0.0147242	0.0163917	0.0279815	0.0271545	0.0234265	0.0339645	0.0465659	0.0435516	0.077405	0.11685
discuter	0.0380139	0.0311681	0.0281012	0.0255254	0.0258345	0.0232051	0.0194855	0.0204958	0.0163701	0.0178066	0.00965208	0.0100159	0.0117717	0.0149953	0.0156469	0.00955261	0.00911003	0.0173265	0.0283117	0.0288521	0.0315201	0.0385519	0.0393994	0.0292044	0.0372476	0.0274775	0.0364697	0.0293353	0.0269949	0.0305415	0.0253957	0.0200818	0.0168837	0.0204889	0.0324441	0.0386062	0.0460755	0.0720411
