 	a66	a87	a23	a99	a97	a99	a97	a99	a97	a87	a97	a87	a23	a97	a87	a97	a87	a23	a99	a30	a93	a75	a6	a0	a11	a31	a0	a75	a79	a37	a94	a98	a92	a37	a75	a6	a36	a2	a57	a87	a23	a13	a30	a57	a13	a38	a4	a13	a50	a83	a71	a38	a11	a96	a88	a24	a75	a5	a37	a54	a79	a69	a53	a69	a7	a0	a11	a13	a99	a87	a23	a10	a87	</S>
la	0.0112232	0.0153437	0.0149948	0.0199863	0.00823161	0.00579447	0.00654377	0.00445276	0.00337956	0.0080229	0.00948634	0.0130668	0.0107926	0.0114989	0.0135468	0.0158941	0.0287136	0.0262242	0.0815914	0.0373962	0.0162594	0.0186778	0.0155872	0.0319712	0.032947	0.0671155	0.0370283	0.0304092	0.0147924	0.0209148	0.0142869	0.00969284	0.00747237	0.0107305	0.0035537	0.00564669	0.00856742	0.00739762	0.00923791	0.00294638	0.00687542	0.00550912	0.00436452	0.00531743	0.00470284	0.00592705	0.00749782	0.00856896	0.0107702	0.00724672	0.00539668	0.00584269	0.00881532	0.00937779	0.012393	0.00841396	0.00480847	0.00632591	0.00465084	0.00434524	0.00710226	0.00601927	0.00702859	0.00616646	0.00859841	0.00939451	0.0105774	0.00675198	0.00885079	0.0107893	0.0157344	0.0196102	0.0119612	0.0228461
mère	0.002591	0.00318	0.00320606	0.00921133	0.008474	0.00588147	0.0165983	0.0176696	0.0138952	0.0372043	0.0206144	0.0358395	0.0250621	0.024589	0.0232964	0.0290292	0.0336929	0.0535787	0.0501409	0.067539	0.0295518	0.0216277	0.0158545	0.0109446	0.004553	0.00484127	0.00461964	0.00796935	0.0133092	0.0130089	0.020154	0.0139851	0.0230944	0.00947024	0.0156693	0.0124696	0.0120417	0.0181225	0.0116536	0.0171846	0.0181642	0.0144005	0.0228186	0.0150518	0.0134699	0.0120818	0.00797688	0.0100907	0.0150389	0.00962252	0.0125023	0.00536321	0.00508237	0.00547553	0.00819132	0.00696055	0.00437705	0.00647033	0.0064163	0.00636839	0.00513735	0.00529645	0.00585961	0.00284274	0.00291668	0.000252205	0.00112799	0.00112809	0.000465158	0.000635854	0.00126705	0.00096188	0.00346282	0.00130479
fait	0.00424937	0.00370815	0.00477829	0.00508124	0.0034768	0.00417388	0.00474365	0.00458185	0.0053962	0.00595109	0.0055132	0.0136934	0.0146842	0.0152537	0.0125591	0.0259451	0.0382646	0.0300578	0.0250569	0.0200658	0.0121182	0.0205076	0.0269699	0.0432024	0.03826	0.0882131	0.0153838	0.0194276	0.0491612	0.0185402	0.0235948	0.0221496	0.0474165	0.0151226	0.0213283	0.0128408	0.00598903	0.0114705	0.00842664	0.00910248	0.00837103	0.0102672	0.0230496	0.012486	0.0111334	0.0146266	0.0101367	0.0139879	0.0189608	0.0116595	0.00937071	0.00432777	0.00437159	0.00449644	0.00403486	0.00193919	0.00280488	0.00225317	0.0023308	0.00281355	0.00308074	0.00394836	0.00399139	0.00268418	0.00292859	0.0029348	0.00375392	0.00387013	0.00628054	0.00517948	0.00717747	0.00722041	0.0115497	0.005519
pisser	0.00693513	0.00397663	0.00243903	0.00231034	0.00316722	0.00260944	0.00185037	0.00309894	0.00523574	0.00401218	0.00331916	0.00610028	0.00759324	0.00833155	0.00655387	0.00986427	0.00929562	0.011071	0.00900452	0.0113744	0.00503381	0.0140759	0.0116294	0.00704649	0.00362295	0.00212711	0.00488663	0.0185672	0.0320582	0.0659497	0.0465118	0.0566203	0.0626283	0.0609043	0.0522444	0.0412219	0.0256337	0.0326281	0.0295469	0.0370495	0.0158089	0.0178761	0.013324	0.0168856	0.0154283	0.0149446	0.0185979	0.0141586	0.0204173	0.0118928	0.00969113	0.00630657	0.00645001	0.00587627	0.00553939	0.00533742	0.00650652	0.00255799	0.00402492	0.00351632	0.00367657	0.00199469	0.00216704	0.00299954	0.00481674	0.0061001	0.00461894	0.00432487	0.00466435	0.00335669	0.00331605	0.00376421	0.00313848	0.00779142
l'	0.0129289	0.0224158	0.030576	0.0256941	0.0245137	0.032524	0.0211617	0.0268907	0.0307791	0.0194956	0.0219645	0.0174968	0.0214922	0.0198162	0.0181545	0.0186906	0.0166841	0.0126937	0.0136728	0.00938244	0.00709215	0.0163986	0.0153434	0.00941987	0.00841699	0.0153942	0.0190105	0.0171343	0.0162624	0.00883296	0.0168685	0.0142815	0.0181821	0.021861	0.029623	0.0204146	0.0175334	0.0145903	0.0211899	0.0156643	0.0137937	0.011435	0.00952138	0.0123624	0.0137269	0.0143401	0.0178282	0.0115148	0.0133677	0.0113142	0.00948859	0.0101951	0.0124398	0.00856083	0.00875737	0.011348	0.00669832	0.00635777	0.00354215	0.00327913	0.00269413	0.00122798	0.00180847	0.00298197	0.00542449	0.00492979	0.00409707	0.00300607	0.00471852	0.00257805	0.00234449	0.00314327	0.00221134	0.00842131
enfant	0.0198327	0.0144844	0.00838653	0.00737681	0.00886428	0.00591295	0.00416903	0.00427936	0.00565032	0.00422364	0.00545436	0.00409805	0.00391901	0.00476383	0.00371916	0.00442114	0.00373707	0.00370584	0.00419722	0.00482324	0.00785455	0.0180891	0.0117189	0.0144053	0.0212581	0.015371	0.0107648	0.0116151	0.0156686	0.00988577	0.0127254	0.0178019	0.0297326	0.0170704	0.032046	0.0257423	0.0210502	0.0297153	0.0237607	0.0207156	0.0194179	0.0155827	0.0242268	0.0286189	0.0268492	0.0358767	0.0486505	0.0334274	0.0352278	0.0209996	0.017959	0.0144223	0.00801275	0.00580243	0.00523911	0.00326673	0.00292091	0.00439798	0.00261991	0.0049198	0.00730882	0.00507807	0.00620203	0.00736528	0.00956068	0.00685693	0.0126435	0.0114463	0.0141626	0.0105141	0.0101904	0.0168558	0.0132248	0.0171418
avant	0.00634387	0.00582063	0.00445758	0.00483763	0.00402896	0.00403612	0.00331337	0.00305701	0.00314333	0.00362206	0.00447342	0.00387484	0.00322711	0.00389821	0.00322868	0.00413121	0.00403281	0.00356537	0.00375205	0.00496473	0.00819066	0.0204481	0.00852061	0.0158756	0.0301484	0.0254299	0.0268117	0.0355974	0.0353899	0.0353059	0.0397284	0.0255036	0.0388314	0.0306258	0.0345176	0.0372303	0.0365961	0.0556067	0.0226195	0.0281794	0.029561	0.0244056	0.0239145	0.0321004	0.02124	0.014047	0.0132943	0.0140408	0.01136	0.00472853	0.00431054	0.00660195	0.00433922	0.00323868	0.00312366	0.00285093	0.00181247	0.00169851	0.00111806	0.00141702	0.00250537	0.00206186	0.00210805	0.00162605	0.00377498	0.00760345	0.00542301	0.00760049	0.00591634	0.00895293	0.012132	0.0161093	0.0130002	0.019017
de	0.00537207	0.00373281	0.00354159	0.00323849	0.00307456	0.00322597	0.00257024	0.00323323	0.00257184	0.0021836	0.00232031	0.00359151	0.00380488	0.00375912	0.00376517	0.00430436	0.00368709	0.00256165	0.00100497	0.000860127	0.00142496	0.00757297	0.00482217	0.00963478	0.0186879	0.0166257	0.0107518	0.0228602	0.031171	0.0271241	0.0290027	0.0290215	0.0312092	0.0315868	0.0314344	0.0320682	0.0292383	0.0315403	0.0313972	0.0291304	0.0274181	0.0333783	0.0273731	0.0284466	0.0252204	0.0185119	0.0153833	0.0196914	0.0105007	0.0105605	0.0111964	0.0158225	0.0126507	0.0086757	0.00769569	0.00945934	0.00667829	0.00498521	0.00621117	0.00598829	0.00617646	0.0081562	0.00827386	0.00552761	0.00758445	0.00999766	0.0101282	0.0160314	0.0146098	0.0123289	0.0155742	0.0168628	0.0171631	0.0270297
le	0.00773266	0.00492547	0.00481282	0.00358165	0.00376828	0.00397374	0.00244958	0.00340298	0.00274672	0.00221419	0.00223499	0.0040766	0.00439449	0.00415327	0.00451579	0.00524257	0.00360766	0.00305577	0.00117963	0.000866148	0.000585518	0.00413167	0.00375847	0.00750073	0.0112137	0.00826072	0.00695187	0.026682	0.0237853	0.0219221	0.0346014	0.0295822	0.0285069	0.0670265	0.0263148	0.030198	0.0161858	0.0290354	0.0302324	0.0200373	0.0135919	0.0327491	0.0199331	0.027185	0.0173181	0.0117695	0.0131711	0.0264075	0.0090604	0.0103623	0.00789813	0.01623	0.00999427	0.00612361	0.00686735	0.00854772	0.0069511	0.00589774	0.00606063	0.00574956	0.00553148	0.00721688	0.00876711	0.0111038	0.0139794	0.0110123	0.0100222	0.0241145	0.0186535	0.0204506	0.0249336	0.0235515	0.0249962	0.0343511
mettre	0.0102045	0.00769342	0.00572125	0.00452434	0.00617885	0.0038757	0.00331026	0.00288646	0.00205575	0.00328992	0.00212948	0.00395334	0.00316516	0.00321078	0.00353615	0.00431531	0.00478865	0.00485821	0.00374046	0.00300628	0.001708	0.00503651	0.00619004	0.00767013	0.0100351	0.00604021	0.00486932	0.0128255	0.0147458	0.0169832	0.0186576	0.0243751	0.0213334	0.0379778	0.0227709	0.0232813	0.0152059	0.0247567	0.0213684	0.0223098	0.0130035	0.0190531	0.0148743	0.0133299	0.0125938	0.0100703	0.0107656	0.0153406	0.0090354	0.0099072	0.0105622	0.0142549	0.0170804	0.0159668	0.0147462	0.0183357	0.0143352	0.0137822	0.0162827	0.0153075	0.0101545	0.0129124	0.0119483	0.00979143	0.0115821	0.0118612	0.0119765	0.0275623	0.023732	0.028698	0.03726	0.0340727	0.03254	0.0526964
