 	a66	a87	a23	a70	a11	a0	a24	a31	a41	a5	a31	a43	a75	a85	a47	a37	a79	a69	a58	a90	a69	a4	a58	a82	a87	</S>
l'	0.0300158	0.0318713	0.0352698	0.0233776	0.0203577	0.0148972	0.0145368	0.0155709	0.0187239	0.0192025	0.0111292	0.0198746	0.0113571	0.0374013	0.0306441	0.0500029	0.0503085	0.0381832	0.0411112	0.034669	0.0422395	0.0570258	0.0628178	0.0402353	0.133076	0.116101
oiseau	0.0151045	0.0138345	0.0250759	0.0165893	0.0303331	0.0186465	0.0158205	0.0128129	0.013852	0.0243022	0.0436658	0.0372169	0.134873	0.0862332	0.0600592	0.0578611	0.0438917	0.0268247	0.0312097	0.0224042	0.0260305	0.0253739	0.0585077	0.0343399	0.0816743	0.0434625
est	0.0456493	0.0426782	0.0445401	0.0319392	0.0414432	0.0310865	0.042919	0.0264928	0.0176178	0.0121108	0.00981291	0.0139283	0.0154736	0.0205162	0.0428002	0.0435805	0.0585731	0.0480429	0.0648397	0.0396266	0.0563462	0.045361	0.0455306	0.0254694	0.0688641	0.0647577
perché	0.0106714	0.00836677	0.00610389	0.00634331	0.0058228	0.0196849	0.0105098	0.0272949	0.0218831	0.0327718	0.0319972	0.0224186	0.0419104	0.0397884	0.0389062	0.0300626	0.076695	0.0943398	0.203326	0.0869753	0.0574783	0.0353548	0.0234703	0.0118663	0.0197489	0.036209
sur	0.0240533	0.00927516	0.00603024	0.00681608	0.00652118	0.00441996	0.00426191	0.00456169	0.00623711	0.0105002	0.00681183	0.0114106	0.00693897	0.0188637	0.016774	0.0200604	0.0137701	0.0203432	0.0369374	0.0753009	0.0595507	0.0812115	0.0710146	0.08088	0.0997662	0.297689
la	0.0861652	0.0712011	0.0506512	0.0455954	0.0486276	0.0231335	0.0335672	0.0213011	0.0365858	0.033116	0.0261564	0.0286481	0.0163047	0.0186021	0.0204082	0.030605	0.0177616	0.0160813	0.0152139	0.0270113	0.0290795	0.030864	0.0389967	0.0500029	0.0448895	0.139431
plus	0.0685056	0.0453966	0.0315671	0.0523664	0.0415872	0.0688776	0.0595096	0.0361026	0.0375131	0.022671	0.0159685	0.0114713	0.0091609	0.0105793	0.011106	0.0201381	0.0188139	0.0232318	0.0247304	0.039835	0.0550923	0.0567585	0.0473336	0.0816167	0.0382525	0.0718145
jeune	0.0247436	0.020456	0.0208497	0.0166181	0.018016	0.0204986	0.0148666	0.0115867	0.0106074	0.0111979	0.00378531	0.00563742	0.00329804	0.00766745	0.0132777	0.0225512	0.0192234	0.0255216	0.0397761	0.0646872	0.0724718	0.0889864	0.0765165	0.144201	0.0920902	0.150868
palme	0.0297967	0.0230591	0.0178634	0.0232442	0.0227872	0.0431418	0.0382411	0.0258934	0.0201022	0.0195265	0.0139645	0.0138526	0.0208466	0.0104207	0.018862	0.026661	0.0244724	0.0426851	0.0368827	0.0436768	0.0631769	0.0632949	0.0649909	0.113325	0.0783206	0.100911
</S>	0.0442695	0.0375286	0.0308384	0.0324014	0.0358507	0.0313008	0.0264661	0.0105181	0.0198229	0.018208	0.0123929	0.0100382	0.0166388	0.0129518	0.0205127	0.0251902	0.0187993	0.0299764	0.0344672	0.0448132	0.0515781	0.058805	0.065926	0.101995	0.0805521	0.128159
