 	a66	a87	a23	a40	a54	a79	a44	a4	a57	a50	a88	a75	a5	a18	a75	a85	a6	a0	a54	a79	a44	a53	a4	a44	a26	a57	a87	a23	a87	</S>
j'	0.0369676	0.0632807	0.0803069	0.0574481	0.0566194	0.0625769	0.0207348	0.030395	0.0174599	0.0238867	0.0332992	0.023628	0.0341654	0.020084	0.0332122	0.0318023	0.0113707	0.0106318	0.0161846	0.0296646	0.0258244	0.030602	0.0438945	0.0367462	0.0370395	0.0438458	0.0248746	0.0166364	0.0215579	0.0252598
ai	0.0286	0.0188725	0.0233324	0.0313286	0.0754834	0.146861	0.123019	0.0620289	0.043842	0.0336096	0.0233072	0.0140135	0.0161544	0.0159388	0.0179201	0.0182926	0.0166793	0.0189838	0.0216691	0.0164047	0.0222507	0.02202	0.0269779	0.0278536	0.0227926	0.0228244	0.0212512	0.0274152	0.0253516	0.0149216
déjà	0.029447	0.0345595	0.0350989	0.0249293	0.0191963	0.0239365	0.0207155	0.0142782	0.0266478	0.0135666	0.0226121	0.014272	0.00755542	0.012825	0.0186422	0.0185256	0.0235933	0.0189527	0.0162057	0.0240111	0.0264401	0.029006	0.0291478	0.0476019	0.0442159	0.0488447	0.0830101	0.0944354	0.102925	0.0748022
attrapé	0.0229373	0.0212907	0.0236074	0.0325786	0.0203794	0.0213016	0.0183637	0.0120039	0.022652	0.0440094	0.0519219	0.115396	0.0728292	0.0986464	0.056028	0.0419827	0.0874228	0.0621688	0.036556	0.0227172	0.0194251	0.0145886	0.0142744	0.010165	0.00885439	0.0101577	0.0116388	0.00736839	0.0055921	0.0131429
le	0.0548222	0.029711	0.0489578	0.0470746	0.0176006	0.0170908	0.00830361	0.0136602	0.0193574	0.0306433	0.0309838	0.0394993	0.0286271	0.0265122	0.0241652	0.0371617	0.0524028	0.0363505	0.0353975	0.0209804	0.0367186	0.0332723	0.0391064	0.0504947	0.0563176	0.0359238	0.0408672	0.0330253	0.0231641	0.0318082
poisson	0.0310677	0.021	0.0219198	0.0274743	0.0282712	0.0245472	0.0119581	0.0177992	0.0230141	0.0386953	0.0581273	0.0602946	0.0621716	0.0926259	0.0566068	0.0565221	0.0537214	0.0450935	0.0553048	0.0363292	0.0380121	0.0349837	0.0209243	0.0179569	0.0217105	0.00887439	0.0109197	0.00867208	0.00639116	0.00901107
papillon	0.101563	0.100318	0.105711	0.0358156	0.0191092	0.0222043	0.00490136	0.0284073	0.0305387	0.0340346	0.0248303	0.0265184	0.0278137	0.0254528	0.0173811	0.0280177	0.0277657	0.0168406	0.022392	0.0148242	0.019865	0.0160097	0.0157537	0.017642	0.0248779	0.0253557	0.0256587	0.0242518	0.021536	0.0946101
dans	0.10053	0.0767922	0.0756594	0.0273336	0.0109661	0.0206491	0.00746579	0.0222189	0.0271686	0.0145212	0.0181431	0.0137787	0.01623	0.0155413	0.0116339	0.0127884	0.0171681	0.00867803	0.011032	0.00845327	0.0121019	0.0197406	0.0272967	0.0362499	0.0505255	0.049863	0.059807	0.079139	0.0684129	0.0801114
le	0.0432478	0.0327213	0.0181899	0.00687348	0.00459688	0.00547227	0.0033232	0.00623202	0.0120506	0.00944964	0.021608	0.0205358	0.0314962	0.0235782	0.021095	0.0256508	0.0286652	0.0148235	0.0203261	0.0219803	0.0194676	0.0341742	0.0397741	0.0661587	0.0757632	0.0950925	0.0665191	0.0819283	0.0678114	0.0813948
ruisseau	0.0320435	0.0181023	0.0112944	0.00666562	0.00555935	0.00559789	0.0041441	0.0065231	0.00707158	0.00795041	0.0206735	0.0164563	0.0236828	0.018303	0.0204531	0.026358	0.0203602	0.0132866	0.0214141	0.0315328	0.0366866	0.0580807	0.0431121	0.0749303	0.0928575	0.0748922	0.0788446	0.0988939	0.0605531	0.0636764
vouma	0.054168	0.0353184	0.026061	0.0228321	0.0181707	0.0170457	0.0135167	0.0278732	0.0318216	0.0244681	0.0336699	0.0288346	0.0271354	0.0172307	0.0285178	0.0280942	0.0226212	0.0190574	0.023692	0.0310793	0.0320521	0.0298689	0.0242913	0.0230704	0.0502416	0.057077	0.0671967	0.0677952	0.064395	0.0528038
</S>	0.0791679	0.0591499	0.0315166	0.00509854	0.00203441	0.0018511	0.0012253	0.00356926	0.00240052	0.00223211	0.00734264	0.00405741	0.0051351	0.00368444	0.00672321	0.0299644	0.015406	0.0103963	0.0210962	0.0465442	0.0388749	0.0471422	0.0462191	0.0907311	0.0806211	0.0812868	0.0474737	0.0556979	0.0660777	0.10728
