 	a66	a87	a23	a79	a20	a90	a98	a5	a12	a18	a62	a88	a0	a47	a96	a94	a93	a94	a75	a85	a47	a98	a85	a47	a98	a85	a47	a98	a47	a6	a36	a26	a57	a87	a23	a38	a57	</S>
en	0.0531869	0.0697902	0.079739	0.10524	0.122883	0.0406661	0.0469412	0.0399692	0.0422081	0.0298357	0.0208354	0.017564	0.0151341	0.0120316	0.00933658	0.0122361	0.0161652	0.0130642	0.00911679	0.00518493	0.00771656	0.0103905	0.00836247	0.00759247	0.0072482	0.00527052	0.00647287	0.00917785	0.0149465	0.0242656	0.0247678	0.0271973	0.0144937	0.012089	0.0178216	0.0142934	0.0109782	0.0157874
ville	0.00718761	0.0125025	0.0271157	0.0480736	0.0514954	0.0357817	0.0627136	0.0623059	0.10514	0.0673332	0.0512658	0.0188907	0.0290423	0.0461807	0.0431116	0.0536515	0.0295142	0.0205168	0.0230004	0.0246363	0.0490474	0.018364	0.023792	0.0177634	0.00920304	0.0100285	0.013306	0.00319291	0.00425591	0.00378603	0.00176727	0.00390289	0.0056818	0.00366768	0.00408909	0.00265766	0.0048307	0.0012041
il	0.03669	0.0373681	0.0340777	0.0341043	0.0259089	0.0191006	0.0249614	0.0235257	0.0323855	0.0297572	0.0441706	0.0324212	0.0356142	0.0335335	0.042053	0.0386572	0.0239661	0.0224536	0.0305759	0.0331814	0.0281149	0.0197302	0.017384	0.0188078	0.0146386	0.014184	0.0253483	0.0133535	0.00925956	0.0197087	0.0103102	0.0123889	0.0531138	0.0259734	0.0229143	0.0139404	0.0410749	0.00524859
y	0.0212294	0.00656543	0.00358057	0.00552208	0.00338476	0.00212742	0.00130733	0.00447349	0.0068547	0.0091789	0.0193777	0.0173488	0.0239331	0.0115121	0.0135701	0.0303352	0.0272508	0.0354996	0.0219652	0.0265583	0.0173145	0.0225237	0.0352827	0.0314945	0.027849	0.0268053	0.0308826	0.0231514	0.0471686	0.0545248	0.0452471	0.0238793	0.0380648	0.0398963	0.0568448	0.0421408	0.0817417	0.0636135
a	0.0268934	0.0167734	0.00643884	0.0109403	0.0160326	0.0104785	0.0111702	0.0177296	0.0215014	0.0251281	0.02638	0.0275145	0.0245693	0.0168106	0.0197216	0.0391633	0.0356138	0.0631276	0.0603983	0.0451889	0.0402194	0.0327226	0.0124527	0.0131316	0.0160617	0.0179511	0.0184347	0.016121	0.0388456	0.0268063	0.0524161	0.0246721	0.0200996	0.0250487	0.0260199	0.0271903	0.034221	0.0360114
des	0.0187182	0.0134286	0.00893832	0.0112878	0.0151199	0.0236273	0.0228103	0.032127	0.0378695	0.0384561	0.0492214	0.0427333	0.0468618	0.0328209	0.0420695	0.0509068	0.0350684	0.043631	0.0385481	0.0255591	0.0166176	0.0143282	0.00588495	0.00884909	0.00563904	0.00650496	0.00746214	0.0161414	0.0150248	0.0307444	0.0566873	0.0325329	0.0201161	0.0252537	0.0307711	0.0262076	0.0275829	0.0238486
statues	0.00777857	0.00545789	0.00365715	0.00514765	0.00761665	0.0127055	0.0186518	0.022748	0.0302857	0.0377359	0.0285207	0.0336192	0.0226866	0.0151111	0.0173707	0.0199151	0.0167266	0.0195985	0.0289618	0.0189373	0.0196012	0.0213282	0.0211302	0.0213362	0.019124	0.0215839	0.0204062	0.029608	0.0308182	0.0525642	0.0582386	0.0553946	0.0332872	0.0441995	0.0608353	0.0498071	0.0384528	0.0290522
dans	0.0158276	0.00676912	0.00272327	0.00363516	0.0093119	0.017859	0.0238228	0.0219751	0.0244188	0.0220481	0.0306667	0.0371848	0.0504528	0.0336147	0.0467074	0.0536872	0.031955	0.0537926	0.0433979	0.0343523	0.0190488	0.0174415	0.0121463	0.0111723	0.00642923	0.00656435	0.0102025	0.0240962	0.0211391	0.0429346	0.0363721	0.0362865	0.0221591	0.0277421	0.0439701	0.0358983	0.0265452	0.0356493
certaines	0.0271824	0.0228831	0.010774	0.0133046	0.0187811	0.0208951	0.0308251	0.0296924	0.0452232	0.0416773	0.0506442	0.0549253	0.0495935	0.0522841	0.0384519	0.0334088	0.0253403	0.0297006	0.0255533	0.0246778	0.0199353	0.0223842	0.0171137	0.0216538	0.0120084	0.0149712	0.0184388	0.0153163	0.00966914	0.0239575	0.0172759	0.0148053	0.0295114	0.0262599	0.0237004	0.0272843	0.0299767	0.00991952
avenues	0.0321591	0.0590322	0.0213818	0.0256081	0.0125122	0.00373587	0.0117903	0.0293788	0.0337748	0.019524	0.0559514	0.0325367	0.0246527	0.032832	0.0190838	0.0415289	0.0351264	0.0222685	0.0101088	0.00787862	0.007576	0.00626426	0.0117692	0.0106928	0.00683191	0.00781982	0.00972243	0.00674974	0.0247437	0.0208443	0.025987	0.0387817	0.0219851	0.0323279	0.0477787	0.0734564	0.0401646	0.0756395
</S>	0.00962753	0.0286602	0.0142011	0.016641	0.0120018	0.00437215	0.00872012	0.0188372	0.0103743	0.00712415	0.0298817	0.0159121	0.00924572	0.0169623	0.018134	0.0414897	0.0431226	0.0238515	0.0141538	0.0136363	0.011319	0.0147809	0.00746257	0.0108002	0.00835706	0.010834	0.0115742	0.0183812	0.0473169	0.0341079	0.043053	0.0524061	0.0298047	0.0428724	0.0575269	0.0836504	0.0637746	0.0950287
