 	a87	a23	a87	a23	a87	a23	a97	a99	a87	a23	a87	a79	a47	a41	a11	a24	a83	a70	a61	a83	a71	a11	a93	a90	a98	a47	a98	a15	a92	a85	a6	a37	a83	a9	a10	a87	a23	a87	</S>
son	0.0234325	0.0299256	0.0418563	0.0515699	0.0513305	0.028592	0.0647359	0.0304959	0.0416931	0.0626464	0.0454657	0.0457301	0.0423357	0.0267669	0.0281852	0.0120369	0.0118793	0.00901876	0.00908422	0.00978629	0.00728584	0.00640645	0.00631383	0.0118137	0.0140874	0.00809881	0.0089009	0.00899913	0.0111273	0.0215695	0.0267716	0.0350509	0.0351343	0.0307361	0.0205449	0.0263877	0.0197432	0.0122821	0.0221793
père	0.00408799	0.00794881	0.0145074	0.0233815	0.0312757	0.0437475	0.0629008	0.0430298	0.0688584	0.0612986	0.0656181	0.0643642	0.0629083	0.0498505	0.0347312	0.0367994	0.0265988	0.0169387	0.0120962	0.0131479	0.0122032	0.0131682	0.0255842	0.0163909	0.0195523	0.0179703	0.0334404	0.027527	0.0102413	0.00967562	0.00977207	0.00657436	0.00497836	0.010345	0.0052492	0.00879105	0.00806474	0.00887634	0.00750579
lui	0.0270276	0.0375027	0.0344287	0.0479589	0.0641381	0.0423295	0.0492799	0.0540825	0.0383748	0.0293493	0.0263352	0.0371707	0.034164	0.0213244	0.0206196	0.00769761	0.0109489	0.0138932	0.0124236	0.0185729	0.0201871	0.0253676	0.0331492	0.0180936	0.0208285	0.0138804	0.0140092	0.0151443	0.0144416	0.0176602	0.0186795	0.0208567	0.0192975	0.0194473	0.0215503	0.0243481	0.012486	0.0279248	0.0150259
a	0.0218831	0.0136417	0.00758374	0.00699102	0.0109729	0.00785726	0.0117083	0.0241116	0.0166393	0.0152113	0.0256465	0.0221033	0.0353587	0.0279202	0.0197696	0.0100441	0.0185531	0.0328849	0.0255071	0.032449	0.0298069	0.0398389	0.0409125	0.0246003	0.023602	0.050188	0.0491958	0.0436144	0.034886	0.0327532	0.0303449	0.0268168	0.0253678	0.0275984	0.0234649	0.0193788	0.0191909	0.0215215	0.0500811
défendu	0.0307397	0.0365191	0.03961	0.029854	0.0244963	0.0472978	0.0371815	0.0445338	0.0374411	0.0311361	0.0379952	0.0316878	0.0416227	0.0441448	0.028491	0.0458196	0.0195625	0.0224832	0.0251426	0.0199972	0.015443	0.0119398	0.00891291	0.0216398	0.0178218	0.0229479	0.02491	0.0219695	0.0281435	0.0160885	0.0127731	0.01542	0.0133739	0.0152648	0.014081	0.0172132	0.0158544	0.0126069	0.01784
de	0.0206742	0.0160166	0.00949652	0.00807147	0.00933049	0.00996585	0.00833431	0.00824179	0.0101008	0.010077	0.0162548	0.0208646	0.0185262	0.0182815	0.017848	0.0147067	0.0051888	0.0134294	0.0068911	0.0144477	0.00882738	0.0101696	0.0131078	0.00895592	0.0100615	0.0144011	0.0146522	0.0179069	0.0274154	0.0372621	0.0675461	0.0658742	0.0648168	0.0801119	0.0536185	0.0615542	0.0617235	0.0492924	0.0759546
boire	0.0294411	0.0215492	0.0180942	0.0171482	0.0186684	0.0150359	0.0128639	0.0142836	0.0100356	0.00870296	0.0175703	0.014619	0.0155019	0.0166701	0.0169241	0.0170597	0.0144293	0.0202678	0.0173588	0.0240357	0.0149405	0.0168302	0.0181481	0.0111789	0.0198228	0.0197471	0.0269788	0.0280769	0.0299473	0.037052	0.0387285	0.0386079	0.0354341	0.0519909	0.0408412	0.0513231	0.0551982	0.0586501	0.0662438
directement	0.0296742	0.0179675	0.0219143	0.0285742	0.0304727	0.0236211	0.0262568	0.0259201	0.0181231	0.0102113	0.010133	0.00539514	0.00809374	0.00986502	0.0124754	0.0142711	0.00911032	0.0131767	0.0144684	0.0272936	0.0145545	0.0123156	0.0101474	0.00892048	0.0158168	0.0163451	0.0284732	0.0297445	0.0306404	0.0368822	0.031503	0.0340587	0.0582935	0.0578138	0.0619312	0.0397826	0.033472	0.0535362	0.0687516
de	0.0896608	0.0664531	0.0403552	0.0329275	0.0236197	0.013157	0.00883572	0.00857864	0.00327857	0.00341756	0.00366671	0.00362832	0.00249611	0.00259471	0.00194419	0.00234757	0.00262326	0.00338104	0.00195543	0.00723379	0.00701029	0.0166145	0.0252812	0.0334504	0.0595241	0.0396205	0.0252127	0.0217793	0.0264847	0.0271554	0.0215087	0.0295012	0.0319264	0.0540532	0.0485892	0.0463362	0.0380158	0.0585252	0.0672561
la	0.0497716	0.0288687	0.0140293	0.00927059	0.00742342	0.00636914	0.00493403	0.00419164	0.00252397	0.00282089	0.00177372	0.00134276	0.000942503	0.00101121	0.00103742	0.00170937	0.00155822	0.00181499	0.00129722	0.00346808	0.00417625	0.0082078	0.0127051	0.0332822	0.0730437	0.056327	0.0589808	0.0376199	0.0452628	0.0414304	0.0439334	0.0485273	0.036548	0.0576624	0.0508521	0.0600604	0.0486916	0.0818376	0.0546923
bouteille	0.0411726	0.0205994	0.0204544	0.0177156	0.0112786	0.00579785	0.0035543	0.00424772	0.00171329	0.00150957	0.000918405	0.000819771	0.0010675	0.00127575	0.00236345	0.00508053	0.00407415	0.00716871	0.00476899	0.00854906	0.0065105	0.00957846	0.0122607	0.018599	0.0443185	0.0329487	0.050643	0.046473	0.0339007	0.0350884	0.0407607	0.0572933	0.0423506	0.0602758	0.0521242	0.0783739	0.0448462	0.0747032	0.0948214
</S>	0.0707313	0.0623678	0.0580576	0.0495351	0.0382169	0.0128865	0.0160889	0.0190717	0.0089862	0.00729623	0.00508151	0.00220312	0.00348516	0.00379545	0.00324522	0.00361441	0.00351573	0.00922599	0.006127	0.0147189	0.00945797	0.0144558	0.0126143	0.0137667	0.0113878	0.00794518	0.00598609	0.00725571	0.0127332	0.0116421	0.021682	0.0276007	0.0429863	0.0571883	0.0580795	0.0779109	0.0527635	0.0633783	0.0929148
