 	a66	a87	a23	a57	a50	a75	a79	a90	a15	a92	a37	a44	a4	a13	a38	a70	a83	a70	a75	a79	a56	a43	a96	a61	a62	a88	a71	a9	a10	a87	a23	a87	</S>
son	0.0390329	0.0695467	0.0790684	0.0759597	0.0438139	0.020661	0.024278	0.0233485	0.0218752	0.0285714	0.0208573	0.0179166	0.0340329	0.0362573	0.0212334	0.0211713	0.0114348	0.00774424	0.00890049	0.0104277	0.00771032	0.0132129	0.0167315	0.0178523	0.0414757	0.0574493	0.0374212	0.0371563	0.0302625	0.0214849	0.0273114	0.025069	0.050731
ami	0.00450163	0.00435091	0.00674635	0.015938	0.0593434	0.0490091	0.0760155	0.0727689	0.117923	0.076926	0.087812	0.0906946	0.0566011	0.0312135	0.0497442	0.0245967	0.0252296	0.024495	0.022784	0.0187152	0.0166106	0.0136735	0.0120527	0.00576203	0.00401137	0.00344787	0.00280664	0.00274871	0.00417973	0.00607281	0.00475618	0.00545196	0.00301757
lui	0.0780889	0.0725615	0.064	0.0683672	0.122077	0.0802164	0.0600109	0.0539555	0.017149	0.0161032	0.0131614	0.00857331	0.0212353	0.0245681	0.0246717	0.0194305	0.0115723	0.0147685	0.0114857	0.00995159	0.016766	0.0061137	0.00589917	0.00663109	0.00831053	0.0154705	0.015686	0.0209443	0.0208941	0.0222527	0.0139108	0.030829	0.0243444
a	0.0192089	0.00816733	0.00727066	0.00656364	0.0118175	0.0155947	0.0214097	0.0374092	0.0242581	0.012554	0.0160729	0.0224005	0.0240706	0.0139898	0.0148591	0.0133577	0.0309102	0.0146859	0.0215075	0.0235376	0.0484221	0.0305082	0.0384232	0.0169014	0.0472462	0.0563588	0.0442894	0.0398518	0.0464568	0.0466906	0.056753	0.0537627	0.11469
flanqué	0.0386448	0.0651467	0.0596877	0.0425363	0.020525	0.0187618	0.020687	0.0491426	0.0381801	0.0481713	0.0411029	0.0561389	0.0533569	0.0159024	0.0503689	0.024794	0.075342	0.050003	0.0493078	0.0295049	0.023479	0.00484205	0.00893724	0.00298938	0.00856959	0.00624836	0.00567511	0.00748958	0.0101722	0.0134327	0.0165989	0.0130747	0.0311862
un	0.022365	0.0139316	0.0151467	0.0163066	0.0141743	0.014253	0.0145084	0.0357201	0.0482472	0.0449011	0.0390101	0.0361951	0.0216643	0.0170533	0.0245365	0.0306464	0.046444	0.0417726	0.0394541	0.0236806	0.0238962	0.0197797	0.0258262	0.0233606	0.0331781	0.0222427	0.0281783	0.024189	0.026777	0.0437842	0.0523174	0.0388369	0.0776226
bloc	0.0300009	0.0198646	0.0242478	0.0273393	0.0233356	0.0268893	0.0259821	0.0322664	0.0259032	0.0216438	0.0151483	0.0129606	0.00784327	0.0134707	0.0144183	0.0186894	0.0178164	0.0204304	0.0208552	0.0162995	0.0223767	0.0305521	0.0518574	0.0323121	0.0344662	0.0493784	0.0411219	0.040991	0.0427168	0.0516504	0.0789934	0.0489292	0.0592493
de	0.0421206	0.025617	0.0224533	0.0234377	0.0160209	0.010623	0.0114672	0.00740886	0.00741738	0.00621306	0.00771201	0.008603	0.0166043	0.0234448	0.0245714	0.0342344	0.0405069	0.0388951	0.0473746	0.0296857	0.0383235	0.026016	0.0264917	0.0168832	0.031504	0.0301798	0.0427378	0.0332217	0.0497145	0.0642091	0.0558109	0.0928309	0.0476655
terre	0.0342009	0.0165291	0.0150959	0.0124847	0.0121765	0.0121793	0.01327	0.00831225	0.00505752	0.00572736	0.0044221	0.00615602	0.0123152	0.0307551	0.0378028	0.0447175	0.0424165	0.0420633	0.0455232	0.0381322	0.0423225	0.0430307	0.037442	0.0221956	0.0511519	0.0385595	0.0541056	0.0415334	0.0473809	0.049193	0.0472663	0.0651024	0.0213786
ferme	0.0281742	0.0221174	0.021703	0.020491	0.022714	0.0256129	0.0300564	0.0368863	0.0413502	0.0444104	0.0257688	0.028537	0.0303701	0.0181873	0.0256791	0.0264706	0.0324578	0.0277667	0.029963	0.0167064	0.0242176	0.0231364	0.0264306	0.0155134	0.0271411	0.0226839	0.0291236	0.0252253	0.031798	0.0459403	0.0439067	0.0690252	0.0604352
dans	0.0493386	0.0343485	0.0364977	0.0344956	0.0163581	0.0166074	0.0213672	0.0166204	0.0182672	0.0210317	0.0246465	0.0237034	0.0452354	0.0614155	0.0287493	0.0376397	0.0374534	0.0225127	0.0384405	0.0211435	0.0301173	0.0194231	0.0318489	0.0126103	0.0286862	0.0235858	0.0215148	0.0200743	0.0205498	0.0251543	0.0347124	0.0554277	0.0704226
la	0.0350313	0.0257951	0.0236777	0.018894	0.0157885	0.0144156	0.0210748	0.0191388	0.0107554	0.012442	0.0109846	0.0107864	0.0199638	0.0234839	0.0177361	0.0222256	0.0193527	0.0146386	0.028089	0.0215171	0.028338	0.0292139	0.0397166	0.0196766	0.0517069	0.0454826	0.0476332	0.0396842	0.0355992	0.0460837	0.0471633	0.0787649	0.105146
figure	0.0185609	0.0164367	0.0137535	0.00951817	0.00955283	0.0115451	0.0133787	0.0118037	0.00849924	0.00674659	0.00602809	0.00801928	0.00846644	0.0106057	0.0051849	0.00909706	0.00937195	0.00922238	0.016855	0.017071	0.0301648	0.0298139	0.038672	0.0293044	0.046667	0.0597844	0.0542151	0.0632113	0.0570406	0.0779222	0.074769	0.0934869	0.125231
</S>	0.0192225	0.0125631	0.0120621	0.0086985	0.00774242	0.00466787	0.00464026	0.00701753	0.00747228	0.00694154	0.00501051	0.00530447	0.00546371	0.0092091	0.0107736	0.0146934	0.0119907	0.0104147	0.0238604	0.0204041	0.0219668	0.0218734	0.0364724	0.0290351	0.0639416	0.0815497	0.0734885	0.0659749	0.0612674	0.0665218	0.0630545	0.0501141	0.156587
