 	a66	a87	a23	a99	a83	a9	a24	a62	a75	a92	a37	a98	a6	a0	a43	a21	a92	a56	a44	a34	a56	a96	a43	a90	a98	a47	a6	a5	a12	a5	a12	a43	a75	a79	a44	a90	a79	a44	a96	a66	a38	a93	a90	a69	a58	a82	a87	a23	a3	</S>
mon	0.0368907	0.032118	0.0536338	0.0194221	0.036087	0.0271424	0.0420824	0.056319	0.0568649	0.0413614	0.0284514	0.0268509	0.0123153	0.0134977	0.0113688	0.0094574	0.00934995	0.0100264	0.0162853	0.0129439	0.0177149	0.0211215	0.0207747	0.0240336	0.0182576	0.0200548	0.0122401	0.00906346	0.00855933	0.00963318	0.0104034	0.0146124	0.0210475	0.0268401	0.0324139	0.0265544	0.0181501	0.0131117	0.0124481	0.0141894	0.0119305	0.0112086	0.0105848	0.0077031	0.00840727	0.0162098	0.00753477	0.00663993	0.00553424	0.0105542
épouse	0.0053238	0.00485327	0.010174	0.00412083	0.00415714	0.00421053	0.00933003	0.0161579	0.0208622	0.0190847	0.0219045	0.0366798	0.0472439	0.102983	0.031053	0.0625483	0.0424205	0.038958	0.0627182	0.0427897	0.0314506	0.0145424	0.0406172	0.0258011	0.0817514	0.0412844	0.034559	0.0144183	0.0127806	0.00632673	0.00486839	0.00962153	0.00749457	0.0112313	0.00941553	0.0152704	0.00707292	0.00540975	0.00528516	0.00365351	0.00314142	0.00159998	0.0020033	0.00177002	0.00268834	0.0014525	0.00240552	0.00327783	0.00491493	0.00631828
et	0.0148316	0.00842611	0.0155004	0.0106873	0.0118015	0.00986216	0.00789896	0.0123716	0.00942828	0.0112834	0.0129062	0.0164328	0.0192052	0.0324699	0.0467236	0.0728022	0.0591992	0.0595962	0.05154	0.0381538	0.0283502	0.0292055	0.0539468	0.021193	0.0257837	0.0311512	0.0486928	0.0459411	0.0640431	0.02842	0.0139881	0.00505135	0.00322038	0.000943438	0.00189748	0.0010626	0.00165365	0.00184977	0.00121959	0.00138272	0.00287923	0.00336281	0.00609771	0.00601529	0.0062179	0.00503685	0.0070642	0.00617285	0.0149032	0.0121331
moi	0.0196428	0.0140137	0.0116719	0.00652926	0.00905859	0.0131366	0.0108043	0.00707921	0.00662312	0.00663631	0.00470788	0.00477152	0.0071853	0.0108479	0.0200283	0.0373171	0.03603	0.0357665	0.0302237	0.0338307	0.0200748	0.0172916	0.0275038	0.0168587	0.0198417	0.0315572	0.0447408	0.0745173	0.0862664	0.0346896	0.026375	0.0133919	0.0185376	0.0129191	0.0221958	0.0113221	0.0187085	0.016148	0.0123541	0.00779237	0.00704003	0.0110069	0.00944564	0.0132875	0.0140781	0.0117415	0.0184908	0.015817	0.0211345	0.0189668
nous	0.0280186	0.0150455	0.0187518	0.0113098	0.0108019	0.0110812	0.0121709	0.006817	0.00946934	0.00957829	0.00889706	0.0119306	0.0169495	0.0153902	0.0200127	0.0285079	0.043771	0.0442243	0.0557594	0.0482507	0.0594382	0.0363693	0.0353709	0.0357327	0.0244626	0.02434	0.0227431	0.0293064	0.0266451	0.0252759	0.0231503	0.0259856	0.0270744	0.0204904	0.0256913	0.0172571	0.0139249	0.0153314	0.0145416	0.0055638	0.00471261	0.00362153	0.00411305	0.00407229	0.0044609	0.00323099	0.00777547	0.00502818	0.01518	0.0123721
partons	0.0204518	0.0115263	0.0158725	0.00633966	0.00929863	0.0105015	0.00831289	0.00375121	0.00480618	0.0069268	0.00761007	0.00962379	0.020863	0.0239617	0.0296905	0.0312327	0.0612126	0.0602287	0.0595515	0.043493	0.0625874	0.0602316	0.0311991	0.035509	0.0329234	0.0215632	0.0220788	0.0372747	0.0317204	0.0364054	0.0304204	0.0271154	0.0172506	0.0122869	0.0139874	0.0119155	0.00846924	0.0122285	0.0105835	0.00489935	0.00270952	0.00275807	0.00180551	0.00194472	0.00192414	0.00162153	0.00390016	0.00263248	0.00736853	0.00743057
au	0.0234228	0.00908845	0.013553	0.00482525	0.00727155	0.0070233	0.00564666	0.00292133	0.00360394	0.00539698	0.00656109	0.0087159	0.0186642	0.0211959	0.0271085	0.0242492	0.051017	0.0469268	0.0465161	0.0305521	0.0506223	0.0447973	0.0293766	0.0279406	0.035198	0.0172518	0.0177688	0.030099	0.0261458	0.0317046	0.0276342	0.019638	0.0145168	0.00869773	0.0130352	0.0102587	0.0115803	0.0122595	0.0106671	0.00955242	0.0134683	0.0109276	0.0106369	0.0283285	0.0227454	0.0142111	0.0244458	0.0150006	0.0295289	0.0177023
ruisseau	0.0250679	0.013953	0.0187559	0.00428315	0.0100769	0.00842568	0.0100534	0.00583277	0.00799781	0.00782173	0.0140038	0.014366	0.0420693	0.0520445	0.0377229	0.0340067	0.0759576	0.0487899	0.068175	0.0489694	0.0379299	0.0169538	0.0337415	0.0267569	0.0692266	0.0178718	0.0186324	0.0210236	0.021091	0.0159079	0.0161976	0.0147212	0.0159928	0.0111027	0.0178563	0.0147108	0.0118402	0.00898706	0.00762628	0.00606077	0.00440202	0.00492769	0.00233254	0.00508853	0.00391722	0.00301969	0.00653212	0.00362632	0.00643627	0.007113
vouma	0.0179175	0.0139634	0.0124159	0.00900136	0.0109979	0.0120726	0.0133382	0.00941249	0.0161894	0.0134165	0.0142989	0.0164203	0.038719	0.0310031	0.0257931	0.0264294	0.0535931	0.0472354	0.0487823	0.0664167	0.0502537	0.0325923	0.0289374	0.0328317	0.0617973	0.0214585	0.0230785	0.0232437	0.0247396	0.0226557	0.0277506	0.019473	0.0182881	0.0113464	0.0143488	0.00783771	0.00568614	0.00791079	0.00796207	0.00450043	0.00444152	0.00371875	0.00283715	0.00666146	0.00645204	0.00302814	0.00968524	0.00371601	0.00822688	0.0071238
chercher	0.0378027	0.02514	0.0354155	0.0132494	0.021822	0.0200457	0.0285125	0.02287	0.0370662	0.0231684	0.0232515	0.0258743	0.0297167	0.0429659	0.0224109	0.0187791	0.0307417	0.028765	0.0407198	0.0380207	0.0374582	0.0269183	0.0208484	0.025749	0.0341811	0.0219753	0.0153329	0.0143183	0.0132724	0.013989	0.0147611	0.01224	0.00980355	0.00579012	0.00454649	0.00667817	0.00808085	0.00584748	0.00629667	0.00544488	0.00787697	0.00581872	0.00642348	0.0134541	0.0110818	0.0100316	0.0169185	0.0156694	0.0158527	0.0270025
de	0.0294859	0.0225589	0.0305912	0.0165424	0.0215178	0.0175213	0.024056	0.0173096	0.026813	0.0118754	0.0109151	0.0150264	0.0171726	0.0279091	0.0259153	0.0225956	0.0338661	0.0303819	0.0315725	0.031086	0.0281442	0.0274238	0.028297	0.0216638	0.0291656	0.0331279	0.0269509	0.0264034	0.0333273	0.0296536	0.0351643	0.0244065	0.0237965	0.0125229	0.0176147	0.0174395	0.0110522	0.0155385	0.0117536	0.00783113	0.00562355	0.00578894	0.00396769	0.00397133	0.00415667	0.0043074	0.00728447	0.00577595	0.009758	0.0233765
petits	0.0290631	0.0219213	0.0211114	0.0185001	0.0198692	0.0188817	0.0194174	0.0139304	0.0197033	0.0153725	0.0130451	0.0180352	0.0207486	0.0246032	0.0303761	0.0250074	0.0357051	0.0337968	0.0322164	0.0340768	0.028427	0.0356121	0.0329077	0.0237126	0.0243383	0.0342069	0.030764	0.0314278	0.0379862	0.0362479	0.0394179	0.0265915	0.0245082	0.00910972	0.0140538	0.0125188	0.00875585	0.0129436	0.00921514	0.00768736	0.00489322	0.00565288	0.00411706	0.00386839	0.00389621	0.00324415	0.00507895	0.00391446	0.00708134	0.0124396
étangs	0.0460387	0.0272783	0.0249635	0.0247029	0.0229325	0.023399	0.0218303	0.0183298	0.0272867	0.0264471	0.0224123	0.0303625	0.0301158	0.0199577	0.0274324	0.0216478	0.0257852	0.0323948	0.0311803	0.0359539	0.0304059	0.038491	0.0280764	0.0274263	0.0182489	0.020197	0.0182646	0.019302	0.0189642	0.0298444	0.031921	0.0222821	0.0215095	0.00728165	0.00893355	0.00952572	0.00882399	0.0115277	0.00824138	0.00867869	0.00557875	0.00603067	0.0047841	0.00542419	0.00479913	0.00495491	0.00718278	0.00515361	0.00945526	0.0182394
où	0.0290928	0.0238216	0.0139718	0.0216713	0.0216597	0.023138	0.0218514	0.020901	0.0214958	0.017598	0.0150833	0.0166154	0.0199542	0.0207051	0.0226125	0.0222604	0.0220092	0.0257072	0.0207881	0.0314019	0.0172404	0.0203693	0.0212666	0.0180724	0.0139675	0.0177372	0.0161964	0.0169177	0.0189864	0.0264712	0.0249182	0.0194961	0.0200957	0.0170836	0.0198348	0.0174659	0.016141	0.0178852	0.0148621	0.0170141	0.0169985	0.0150735	0.0131354	0.0210769	0.0201639	0.0146449	0.0269955	0.017287	0.0210629	0.0292008
pêcher	0.0261894	0.0181814	0.0172355	0.0198097	0.0176117	0.0169449	0.0101513	0.0119732	0.0091277	0.00975446	0.009775	0.0169428	0.0210043	0.0145893	0.0259059	0.0228451	0.0188232	0.0254963	0.0242492	0.0287055	0.0241402	0.0356865	0.0250923	0.0230555	0.0104967	0.0154371	0.012421	0.0112101	0.0105221	0.0184392	0.0219836	0.0200863	0.0217521	0.015629	0.0202158	0.0172344	0.018409	0.0236532	0.0230196	0.022261	0.0273129	0.0193219	0.0167657	0.0234859	0.0258523	0.0189297	0.0305693	0.0223685	0.0264074	0.0329258
à	0.043068	0.0320054	0.0177215	0.0263565	0.0141579	0.0149938	0.0068843	0.00706836	0.00537229	0.00543674	0.00390922	0.00618742	0.00912227	0.00606907	0.0141922	0.011821	0.00983498	0.0166551	0.01673	0.0217071	0.0156937	0.0239506	0.0147056	0.0207865	0.0115876	0.0165037	0.0157031	0.0181272	0.0138343	0.0287775	0.0263967	0.0268809	0.0283262	0.0311591	0.0334512	0.0256363	0.0307766	0.0344119	0.0342428	0.0311385	0.0334986	0.022056	0.0222132	0.0202027	0.0227436	0.018762	0.0258295	0.0179716	0.0206112	0.0247284
l'	0.0337569	0.0252069	0.0151876	0.0251691	0.014007	0.0159251	0.00728347	0.007065	0.00435523	0.0042912	0.0034749	0.006031	0.0111037	0.00655188	0.0108856	0.00893948	0.00738409	0.011552	0.0120373	0.0156642	0.012814	0.0149529	0.00894552	0.010689	0.00584252	0.00805965	0.00755043	0.00862749	0.00645717	0.0169492	0.0192558	0.0209368	0.0235389	0.029212	0.0323501	0.0277171	0.0388268	0.0399652	0.0364081	0.0377071	0.0514374	0.0348308	0.0364338	0.0299539	0.0344216	0.0299699	0.0399178	0.0284185	0.0283801	0.0335588
écopée	0.0195024	0.013497	0.00652299	0.0156493	0.00891178	0.0101784	0.0084164	0.00645331	0.00486371	0.00635295	0.00590646	0.0101169	0.0181599	0.00872228	0.0107842	0.0085356	0.00883472	0.0133446	0.0162708	0.0194057	0.0148586	0.0221762	0.00811366	0.0117045	0.00504951	0.00607602	0.00502051	0.00560823	0.00366469	0.0119063	0.0125837	0.0164446	0.017503	0.0254966	0.0265122	0.0218485	0.0269788	0.0264327	0.0211349	0.0311054	0.0453111	0.0354694	0.048811	0.0473356	0.0480459	0.0411525	0.0603074	0.0420354	0.0433896	0.0474938
</S>	0.0487041	0.0237759	0.0192679	0.0194595	0.0139073	0.0129572	0.00626985	0.00710307	0.00543119	0.005778	0.00549444	0.00800452	0.012466	0.00627706	0.0129546	0.0106808	0.00952851	0.0132359	0.0142979	0.0137469	0.0160485	0.0155552	0.00992396	0.0135896	0.00660563	0.00643735	0.00543651	0.00686421	0.00559603	0.0156963	0.0211477	0.0181956	0.0233932	0.0184621	0.0208143	0.0239556	0.0334884	0.0389637	0.0380176	0.0437248	0.0522477	0.0341538	0.0315549	0.0352111	0.0325	0.0300909	0.0393147	0.024151	0.0309878	0.0385313
