 	a66	a87	a23	a87	a23	a99	a30	a93	a70	a96	a37	a27	a53	a94	a41	a37	a94	a36	a27	a11	a94	a66	a71	a9	a87	a23	a26	a66	a40	a27	a40	a7	a36	a26	a27	a40	a26	a2	a57	a87	a23	a87	</S>
pourquoi	0.0178495	0.0297276	0.0289111	0.0287113	0.0325973	0.0171017	0.0219556	0.0178277	0.0475261	0.0427562	0.0526369	0.042255	0.0392327	0.0270172	0.035976	0.022612	0.0201588	0.0227499	0.0173656	0.0181212	0.0190497	0.0133802	0.010919	0.00863886	0.00968873	0.00961379	0.0152859	0.0351097	0.0498993	0.0148068	0.0265453	0.0156727	0.0163378	0.0129776	0.0230394	0.0293642	0.0096841	0.0129963	0.0156109	0.0120674	0.00798758	0.0123546	0.0358809
t'	0.0121	0.00876333	0.00822206	0.00656979	0.00714723	0.00719996	0.0177782	0.0274442	0.0260259	0.020454	0.0295482	0.0187694	0.0226859	0.0116925	0.0169167	0.0184806	0.0167348	0.0237629	0.0294561	0.0391387	0.0402846	0.0571648	0.0402315	0.0472636	0.0215927	0.0123478	0.00906407	0.0105882	0.0114071	0.0125002	0.0200198	0.00977467	0.0137113	0.0247868	0.0235641	0.0276527	0.0336543	0.0440757	0.0270935	0.0359533	0.0454861	0.0427713	0.0201215
immisces-tu	0.0184249	0.0129084	0.0100228	0.0120435	0.011495	0.0139218	0.0115177	0.0181545	0.01697	0.0221355	0.014004	0.0121417	0.013224	0.00807643	0.0102057	0.0141272	0.0222998	0.0261256	0.0247992	0.0278864	0.0605497	0.0677811	0.0812784	0.0522077	0.0371162	0.0317176	0.0205793	0.0158586	0.0118564	0.0105062	0.0122622	0.00680973	0.0105552	0.0128455	0.0166999	0.0221764	0.0173983	0.0356281	0.0256327	0.0264207	0.0197294	0.0502273	0.0336793
dans	0.110834	0.0567838	0.066297	0.0445437	0.0333503	0.0377688	0.020537	0.0171349	0.00928698	0.0118023	0.012867	0.0116575	0.00826407	0.0133317	0.0109501	0.016098	0.0169988	0.0156236	0.00715893	0.017476	0.0211622	0.0124325	0.0291756	0.0108638	0.0132043	0.00637194	0.00538916	0.00876421	0.0155681	0.0175331	0.0272657	0.0172206	0.0218826	0.0249266	0.0170507	0.0233469	0.0275012	0.0271725	0.0223155	0.0277973	0.0285796	0.0265245	0.0291868
les	0.0465424	0.0401941	0.0359987	0.0271665	0.0155609	0.0123182	0.00965834	0.0076586	0.00666883	0.0118077	0.0141641	0.0124657	0.010193	0.0191625	0.0183952	0.0248347	0.0230199	0.0232028	0.0141712	0.0154371	0.0187698	0.0170813	0.024272	0.0217448	0.014107	0.0182594	0.0155451	0.0136367	0.0263973	0.0253298	0.0441392	0.0232397	0.0324199	0.0356459	0.0132052	0.027697	0.0146982	0.0406073	0.0226379	0.0364287	0.0315951	0.0396971	0.0542254
affaires	0.0419461	0.0250084	0.0200417	0.0168862	0.012643	0.0128632	0.0147413	0.0107439	0.00639632	0.00664667	0.00870542	0.00720088	0.00738834	0.0115181	0.0109086	0.0166522	0.0315169	0.0292292	0.0211116	0.0260327	0.029831	0.0346748	0.039553	0.0257566	0.0211966	0.0250885	0.0259443	0.049225	0.0347967	0.0494314	0.0896521	0.0395828	0.0572476	0.0366447	0.012903	0.0242379	0.0129304	0.0108833	0.00830421	0.00925892	0.00897656	0.00843449	0.00726537
de	0.0395363	0.0329166	0.0291925	0.0182021	0.0153349	0.00947489	0.0142454	0.0112482	0.0105695	0.0118652	0.00750287	0.00805304	0.00715704	0.00741124	0.0119255	0.0151674	0.0182551	0.0220282	0.0193212	0.0175868	0.0128905	0.0225038	0.0226351	0.0295066	0.011845	0.0159006	0.018753	0.0269937	0.0329441	0.0208105	0.0411635	0.024735	0.0291723	0.0477123	0.0384092	0.0610663	0.0210467	0.0427971	0.0445742	0.0245803	0.024817	0.0342817	0.0238676
tes	0.0503727	0.0353451	0.0258185	0.0266273	0.0227542	0.0207588	0.0300332	0.0301142	0.0290061	0.0246	0.0118133	0.0125811	0.014447	0.0112043	0.0158228	0.0146106	0.00899867	0.0108442	0.00775441	0.00857299	0.00797832	0.00911076	0.00835126	0.0135149	0.00521496	0.00888886	0.00907872	0.0180351	0.0285095	0.0177141	0.0454548	0.0127276	0.0191358	0.0284469	0.0410265	0.0476143	0.024226	0.0456628	0.0542656	0.0336932	0.0330223	0.0339269	0.0423216
petits	0.0517185	0.0311082	0.0223674	0.0227244	0.0245479	0.0169958	0.0177988	0.0138161	0.0141596	0.0115071	0.00729667	0.00838498	0.0125216	0.0162135	0.0151233	0.025231	0.0273259	0.0248743	0.0145045	0.0124109	0.0147639	0.0155852	0.0240145	0.0212234	0.0181208	0.019134	0.021507	0.0216669	0.023886	0.0201293	0.0320286	0.021435	0.0350582	0.0322524	0.0302447	0.0334405	0.0215649	0.0451319	0.0354481	0.0390003	0.0305635	0.0319062	0.0212642
fils	0.0310963	0.0169016	0.0216293	0.0177106	0.0239966	0.0141005	0.0127181	0.00863297	0.00606802	0.0055427	0.00623006	0.00763565	0.0101783	0.0144013	0.0129933	0.023602	0.0320515	0.0432387	0.0207351	0.0135793	0.0191749	0.0167203	0.0321655	0.0446899	0.0249333	0.0270895	0.0396339	0.0388636	0.0279418	0.0361884	0.0425038	0.0420978	0.0468125	0.0319029	0.0130865	0.0156337	0.0109238	0.0378814	0.0149242	0.0313824	0.0228223	0.0307929	0.00879286
