 	a66	a87	a97	a87	a97	a10	a97	a87	a97	a99	a97	a99	a97	a30	a4	a13	a50	a62	a21	a5	a92	a90	a69	a90	a15	a98	a85	a6	a0	a75	a25	a56	a75	a85	a6	a37	a43	a24	a38	a90	a56	a47	a88	a0	a47	a21	a5	a18	a88	a71	a9	a3	a97	a3	a97	a30	</S>
ton	0.0153605	0.0132808	0.0108012	0.00774606	0.0093027	0.00969052	0.00761552	0.00969624	0.00999774	0.0132569	0.0291949	0.0131288	0.0119206	0.0180244	0.0299642	0.0335428	0.0660061	0.0520322	0.0716115	0.0688233	0.0511589	0.0503771	0.0153564	0.0154651	0.00539485	0.00494695	0.00542714	0.00599629	0.00585961	0.00534945	0.00545734	0.00888004	0.010253	0.0126279	0.00887856	0.0109968	0.00355791	0.00386422	0.00493932	0.00634997	0.0104033	0.00754587	0.00855972	0.0088847	0.0138655	0.0139112	0.0101539	0.0120215	0.0129365	0.0105345	0.0147731	0.0176318	0.0193119	0.0140538	0.0242496	0.0182491	0.0407799
ami-là	0.00472839	0.00395524	0.00297892	0.00308223	0.0108958	0.0148508	0.0205631	0.0311298	0.0303147	0.0947248	0.0484424	0.0914145	0.0312955	0.0541474	0.0308968	0.0129359	0.0120848	0.0290804	0.0133776	0.00916012	0.0303517	0.0154551	0.012789	0.0382686	0.0377429	0.0185899	0.0127784	0.0138453	0.0118728	0.0138134	0.0200038	0.0129514	0.0112853	0.0303589	0.0474582	0.0227818	0.0143939	0.0127396	0.00973621	0.0200856	0.015203	0.00368182	0.00247424	0.00272507	0.00166928	0.00117308	0.00100032	0.000892163	0.00114739	0.00068749	0.000512179	0.00145738	0.000482704	0.00140434	0.00266398	0.0043687	0.00109598
va	0.0075129	0.0059753	0.00381425	0.00341484	0.00386975	0.00432247	0.00494369	0.00393625	0.0041938	0.00513859	0.0051695	0.00539161	0.00561245	0.00357445	0.00714566	0.0130803	0.0151567	0.0257009	0.0275551	0.0245485	0.0395504	0.0519553	0.0421611	0.0641218	0.0474181	0.0609169	0.043107	0.0430411	0.0630129	0.0479032	0.0548491	0.0317325	0.0333837	0.0228961	0.00781547	0.0120159	0.00722434	0.00599013	0.00618166	0.00683275	0.00626632	0.00716883	0.00769552	0.00385279	0.00717232	0.00571504	0.00488822	0.00612267	0.00485622	0.00569125	0.00483408	0.0105934	0.00541635	0.0081385	0.0129551	0.0203236	0.00614338
nous	0.0458906	0.0397451	0.0391677	0.0271579	0.0129178	0.0178108	0.0161303	0.0100708	0.0177351	0.0186183	0.0234738	0.0171402	0.0233384	0.0226395	0.0235398	0.0299212	0.0210334	0.00984083	0.0135429	0.00980994	0.0108958	0.0129361	0.0210125	0.0209546	0.0178223	0.0137394	0.0171521	0.0195303	0.019012	0.0200672	0.0249378	0.0149034	0.0168752	0.0103841	0.0108011	0.0118409	0.00804468	0.0117584	0.0193954	0.0126497	0.0132083	0.0124637	0.0122256	0.00649063	0.0153695	0.0178798	0.00712865	0.0124529	0.00937037	0.0145493	0.0178494	0.0140903	0.0158544	0.0192731	0.0188989	0.0190042	0.0196537
chercher	0.0294308	0.02169	0.027039	0.019493	0.0173411	0.0147186	0.0123443	0.00745669	0.0104033	0.00908872	0.0112567	0.013933	0.0172895	0.00594664	0.00501871	0.0160021	0.00854499	0.00613436	0.0107137	0.0222547	0.0120233	0.0286165	0.0543099	0.0326154	0.0280099	0.0353438	0.0444836	0.0454811	0.04484	0.0376164	0.0506366	0.0303093	0.0346087	0.0157847	0.00944718	0.0175028	0.00720255	0.0109182	0.0126306	0.00808038	0.00798806	0.0104228	0.0131719	0.0061582	0.0117202	0.0140891	0.00477865	0.00565382	0.00243425	0.00383106	0.00626254	0.00905847	0.00708338	0.0115835	0.0124681	0.0145029	0.0122321
des	0.01921	0.0190399	0.0143694	0.0122439	0.00871234	0.00781084	0.00774143	0.00669413	0.00952198	0.00911005	0.0169887	0.00928507	0.0184343	0.0135589	0.0161369	0.0296322	0.0235185	0.0277144	0.0179453	0.026006	0.0236355	0.03488	0.0491047	0.0492246	0.0498025	0.0470297	0.0422514	0.039058	0.0443371	0.0280411	0.0165208	0.0172742	0.0131745	0.0106811	0.00472071	0.00599665	0.00341274	0.00400598	0.00516476	0.00485676	0.00745854	0.012617	0.0137512	0.00868685	0.0142292	0.0133848	0.00998967	0.0107232	0.00707461	0.00918125	0.0108354	0.0131226	0.0104683	0.0106979	0.0108893	0.0157762	0.0142667
problèmes	0.0152772	0.0123533	0.0158052	0.0142743	0.0108239	0.0130945	0.0128929	0.0114815	0.0117494	0.0114876	0.0116936	0.0123375	0.0126874	0.00872357	0.00570333	0.0101964	0.00648508	0.00759544	0.00758193	0.0124855	0.0131808	0.0121915	0.025639	0.0741615	0.0554549	0.0926216	0.0469619	0.030119	0.052897	0.0376311	0.0424662	0.0219746	0.025741	0.0161227	0.00857593	0.00887635	0.00665502	0.00613851	0.00738148	0.00464127	0.00357855	0.00454506	0.00879527	0.00460889	0.00772542	0.0166382	0.0110661	0.0148206	0.0110037	0.0127809	0.0127826	0.0115199	0.0138476	0.0109074	0.0131334	0.0137218	0.0143637
dans	0.0275664	0.0174088	0.0122226	0.008097	0.00333259	0.00469964	0.00375088	0.00267976	0.00294423	0.00313243	0.00472894	0.00378804	0.00457005	0.00804758	0.0177394	0.0125958	0.00920935	0.00895158	0.0116792	0.014802	0.029174	0.0252106	0.0555561	0.0918808	0.0504267	0.0656507	0.0356488	0.0267406	0.0415119	0.0279318	0.0188416	0.012123	0.0167371	0.00340706	0.00164298	0.00247579	0.00229191	0.0038859	0.00629556	0.00265159	0.00286562	0.00427377	0.00766986	0.00334372	0.00650874	0.0204882	0.0175238	0.0245402	0.018478	0.0234922	0.0203344	0.0250212	0.0274133	0.0215764	0.0260252	0.0323788	0.0160357
ce	0.0363897	0.0281304	0.0238649	0.018143	0.0109111	0.0101575	0.0103356	0.00667876	0.0079939	0.0093408	0.00898017	0.0119102	0.00947468	0.0143925	0.00805884	0.00766525	0.00492469	0.00240614	0.00455178	0.00474576	0.00567935	0.00712227	0.0247327	0.0417286	0.0211855	0.0397964	0.0204406	0.0167796	0.0292242	0.0188759	0.0229398	0.0146342	0.0131611	0.00440138	0.00297675	0.00448058	0.0055226	0.00684101	0.0119799	0.0105824	0.0114689	0.0121566	0.0157174	0.00839178	0.0176261	0.0233458	0.0292556	0.035888	0.0220679	0.0357032	0.0328926	0.0318504	0.0352592	0.0277938	0.0327767	0.0468208	0.0188451
quartier	0.0157941	0.00745744	0.00782398	0.00668126	0.00492219	0.00574754	0.00465803	0.00272625	0.0038563	0.00328184	0.0051854	0.00781	0.00441022	0.00446906	0.00484535	0.00402716	0.00313868	0.00231641	0.00637288	0.00636013	0.0062521	0.0115584	0.046212	0.0319187	0.0236524	0.0259387	0.0287258	0.0304333	0.0332034	0.0269564	0.0288998	0.0260488	0.0208386	0.0120862	0.00672776	0.00857073	0.00731059	0.00912551	0.00811696	0.00514756	0.00520332	0.0077158	0.0127801	0.0087404	0.014075	0.021195	0.0335494	0.0401766	0.0292808	0.0468908	0.040208	0.0397808	0.0462092	0.031301	0.0535125	0.0345941	0.0251791
</S>	0.0551438	0.0307715	0.00668087	0.00534569	0.00282257	0.00257157	0.00325039	0.00182015	0.00318277	0.00684166	0.00421761	0.0066957	0.00362256	0.0048053	0.00564511	0.00470705	0.00267255	0.00531483	0.00930103	0.0084027	0.00838847	0.00887579	0.0320672	0.0241503	0.0103177	0.0114253	0.0162987	0.016771	0.0145439	0.0120535	0.00554755	0.00757561	0.00591988	0.00455951	0.00207471	0.00229383	0.00302457	0.00540132	0.0066448	0.00735815	0.0137711	0.021693	0.0284108	0.0237477	0.0359417	0.0303824	0.0464889	0.0519455	0.0311681	0.0394093	0.0401514	0.0544712	0.0443467	0.0497163	0.0528477	0.0522186	0.00418238
