 	a23	a87	a23	a79	a7	a11	a54	a47	a92	a37	a34	a62	a75	a44	a79	a7	a2	a40	a54	a47	a36	a2	a57	a87	a97	a87	a40	a2	a11	a90	a69	a4	a57	a53	a90	a79	a44	a84	a38	a47	a2	a26	a36	a2	a57	a87	a23	a87	</S>
il	0.0345927	0.032736	0.0336125	0.0222999	0.0197437	0.0177765	0.0189958	0.0342788	0.0294963	0.0433259	0.0458262	0.0365941	0.0377442	0.0355995	0.0281023	0.0335676	0.0390339	0.0302426	0.0356535	0.0352924	0.0369515	0.0208544	0.03803	0.019664	0.0255144	0.0213214	0.0170999	0.0152579	0.00990245	0.0131446	0.00564091	0.00461186	0.00266342	0.00697391	0.00611584	0.00393239	0.00302754	0.00367836	0.00475035	0.00784432	0.00777685	0.00464563	0.00679516	0.00730383	0.00841355	0.00849822	0.0101805	0.0118292	0.0230632
n'	0.00580127	0.00467141	0.00465733	0.00425509	0.00802857	0.00545911	0.00741052	0.0094631	0.0169042	0.0155781	0.025292	0.0238408	0.0153787	0.0451564	0.0411779	0.0577371	0.0542279	0.039869	0.0409784	0.0967166	0.0723223	0.0625858	0.0520521	0.0763685	0.0479114	0.0372224	0.0108217	0.0142406	0.00661817	0.00649128	0.00325133	0.00278214	0.0032229	0.0034871	0.00375284	0.0044774	0.0030832	0.00463195	0.00368335	0.0049187	0.00413032	0.00465438	0.00624657	0.00643489	0.00661877	0.00840882	0.00677865	0.00612069	0.00407806
a	0.0276212	0.0166925	0.00915863	0.00748299	0.0237838	0.0116394	0.0140749	0.0293126	0.0288856	0.0156959	0.0196322	0.0276792	0.01537	0.0111624	0.0226883	0.017192	0.0288414	0.0237799	0.0363228	0.0524452	0.0325557	0.112759	0.0632438	0.0795141	0.0616833	0.0498134	0.0316763	0.015226	0.0119639	0.00884601	0.00429361	0.00365934	0.00222418	0.00247996	0.00118812	0.00100705	0.000676098	0.00084529	0.00122178	0.0019402	0.00248091	0.00339662	0.00423718	0.0064475	0.0103762	0.0129832	0.00999953	0.0154481	0.0083533
pas	0.0614064	0.0316828	0.020911	0.0115185	0.00874735	0.00856871	0.00823005	0.011473	0.0123746	0.0175145	0.0123542	0.0133165	0.0135847	0.0116656	0.0142635	0.020193	0.014703	0.00725001	0.0083766	0.0161303	0.0182279	0.0112913	0.018889	0.0224049	0.0281675	0.0264102	0.0320067	0.0280067	0.0190602	0.0151835	0.0210734	0.0363146	0.0433974	0.0375305	0.0541246	0.0435687	0.0258163	0.0317544	0.0245737	0.021702	0.0175761	0.0173093	0.0123487	0.0101598	0.00887348	0.0139742	0.00900872	0.00788918	0.0190929
encore	0.0553193	0.03747	0.0209235	0.0106703	0.00713753	0.00843881	0.00673644	0.00906515	0.00807524	0.0147664	0.0120772	0.0131883	0.0147722	0.014413	0.0180747	0.0216296	0.0248639	0.0135827	0.00960198	0.0167432	0.0181334	0.0149276	0.0170631	0.022848	0.0275628	0.022992	0.0229437	0.0127907	0.0158697	0.0129663	0.0298346	0.0180102	0.0316651	0.0417105	0.0378054	0.0245824	0.0226901	0.0188449	0.0221728	0.0252685	0.016304	0.0162693	0.016672	0.0194686	0.0221532	0.0295698	0.0213601	0.0265553	0.0334167
de	0.0310717	0.0223136	0.0203598	0.0150903	0.0125389	0.011505	0.00946535	0.013957	0.0147414	0.0105518	0.00690877	0.00755578	0.0110951	0.0118388	0.0123322	0.0163934	0.0207037	0.0170341	0.016598	0.0146564	0.0157441	0.0194366	0.0167468	0.0248688	0.0262026	0.0266095	0.0258474	0.0260086	0.0234617	0.033338	0.0315759	0.0139049	0.0166995	0.0166012	0.0162119	0.01617	0.0175234	0.0269683	0.0344883	0.0362165	0.0372804	0.032708	0.0353024	0.0271329	0.0302205	0.0250041	0.0184993	0.0160327	0.0164844
femme	0.0392017	0.0200544	0.0202433	0.00900629	0.00851259	0.00829341	0.00387472	0.00889488	0.00642712	0.00468933	0.00729384	0.0088764	0.00812259	0.00817455	0.0173879	0.0191517	0.0197695	0.0221798	0.0290617	0.0301371	0.0163878	0.034597	0.0258506	0.0416368	0.034128	0.038062	0.017902	0.00919176	0.00516685	0.00705806	0.00647301	0.00533391	0.00779827	0.00911869	0.00754099	0.00882863	0.00714735	0.00792318	0.0180388	0.0259872	0.0278333	0.0316468	0.0513681	0.0490112	0.0547327	0.0599343	0.0436121	0.0287025	0.0196352
il	0.034775	0.0170598	0.0170293	0.0114616	0.0111565	0.00858978	0.00416307	0.0100596	0.0054952	0.00376074	0.0054683	0.00508992	0.00360719	0.00516268	0.0111451	0.0125125	0.0126041	0.0170204	0.0165403	0.0216149	0.0211032	0.0293998	0.0184201	0.0270051	0.024011	0.0309007	0.0125219	0.0148782	0.00707748	0.00740443	0.00616475	0.0043514	0.0115818	0.010257	0.0101532	0.0128189	0.0123113	0.0100139	0.0117325	0.0282763	0.0550815	0.0631741	0.0568108	0.0713626	0.0565304	0.060521	0.0401987	0.0307285	0.0208936
ne	0.0302904	0.019083	0.0239356	0.0190225	0.0112119	0.00988438	0.00559726	0.0112699	0.00485815	0.00386385	0.00582561	0.00746129	0.00412041	0.00506058	0.00947126	0.00789404	0.0102229	0.0129582	0.0120205	0.015261	0.0145884	0.0167388	0.0169416	0.0175747	0.0140533	0.0153291	0.0159384	0.0190084	0.00980174	0.0102334	0.0078989	0.00557829	0.00806739	0.0109682	0.0135439	0.0170895	0.0150639	0.0110187	0.0122684	0.0215477	0.026566	0.0306753	0.0382055	0.04494	0.0600348	0.0638224	0.0758806	0.0790564	0.0782536
connaît	0.0261487	0.0197961	0.0288784	0.022907	0.0130253	0.0128416	0.00841523	0.0141242	0.00798628	0.00672906	0.00882693	0.0101586	0.00549425	0.00727873	0.0112132	0.00899373	0.0113672	0.0109156	0.0173172	0.0230255	0.0209756	0.0200516	0.0232185	0.0210146	0.0177126	0.0189119	0.0187468	0.0172765	0.00980661	0.0103995	0.0103979	0.00692083	0.00784357	0.0118006	0.0153728	0.0185241	0.0124084	0.0200063	0.018895	0.0296558	0.0235928	0.0250542	0.0296012	0.0245116	0.0299541	0.0376763	0.048112	0.0657914	0.110324
