 	a66	a87	a23	a62	a96	a0	a56	a12	a75	a98	a85	a6	a36	a85	a6	a37	a43	a96	a62	a88	a38	a70	a13	a71	a9	a99	a87	a23	a99	a97	</S>
j'	0.0376775	0.0614494	0.0486023	0.0625926	0.0611395	0.0340274	0.0640076	0.0452502	0.0514711	0.0375053	0.0384147	0.0587853	0.0867261	0.0255177	0.0168317	0.0123258	0.00829858	0.0165249	0.0135052	0.0210643	0.0201425	0.0238151	0.0174021	0.0157757	0.0151434	0.0174556	0.0173506	0.0161344	0.0161433	0.0140218	0.0248984
en	0.030064	0.020702	0.0184467	0.0220532	0.0176524	0.0253468	0.0229731	0.0446968	0.0428836	0.0296872	0.0189479	0.0203486	0.0196413	0.0211293	0.022083	0.0316127	0.0301591	0.0275912	0.0170599	0.014775	0.0171144	0.0220688	0.0298317	0.039533	0.0516531	0.052214	0.0559016	0.0614309	0.0488621	0.0585475	0.064989
ai	0.0276992	0.0149405	0.0142221	0.00974374	0.00816037	0.00984556	0.00862404	0.0182923	0.0231187	0.016263	0.0070456	0.00791754	0.00481402	0.0093806	0.0158539	0.0189325	0.0176095	0.015378	0.0244147	0.0212205	0.0347113	0.0433966	0.0604272	0.073162	0.0607377	0.0526427	0.0664474	0.0836139	0.0499257	0.117478	0.0639813
assez	0.057561	0.0470188	0.043704	0.029259	0.0216728	0.0131201	0.0107702	0.00701425	0.0142398	0.0211308	0.0490692	0.0523779	0.0588069	0.0377379	0.0246266	0.033646	0.0240365	0.0212787	0.0280376	0.0425439	0.0309739	0.0266392	0.0344296	0.0246951	0.0248157	0.0318257	0.0267415	0.0350127	0.0345483	0.0344305	0.058236
des	0.0796925	0.0409308	0.0331669	0.0237928	0.0245641	0.0155266	0.0137024	0.00935061	0.0134252	0.0197416	0.0193592	0.0311899	0.0374028	0.0371254	0.0297555	0.0453596	0.0226806	0.0406436	0.0403271	0.0557007	0.0468255	0.0203745	0.0182512	0.0174049	0.0255082	0.0415302	0.0381307	0.0389115	0.0315729	0.0419575	0.0460952
doutes	0.0605322	0.045338	0.0404584	0.0299481	0.0262266	0.0306742	0.0243994	0.0180794	0.0199315	0.0221104	0.019657	0.0253206	0.0217547	0.0343131	0.0346909	0.0227638	0.0348468	0.0339971	0.0329526	0.0607657	0.0654906	0.0317192	0.0238811	0.031564	0.0244509	0.0315648	0.0420175	0.0357002	0.0283139	0.0249399	0.0215976
de	0.0922444	0.0504121	0.0440657	0.0389492	0.0399612	0.0417087	0.0316352	0.0305163	0.0412316	0.0334888	0.0170848	0.0171014	0.00860462	0.0113697	0.00662827	0.0111892	0.00932864	0.0113773	0.016477	0.0516731	0.0389361	0.020941	0.0216682	0.0236271	0.0277562	0.0287947	0.0410987	0.0610664	0.0306878	0.0453773	0.0549991
mon	0.0354632	0.0203281	0.0205217	0.0181853	0.0130451	0.0137857	0.00742662	0.00774686	0.00712857	0.00693836	0.00621621	0.00988513	0.0105299	0.0194838	0.0200346	0.0183993	0.0292884	0.0229814	0.0346955	0.0821267	0.0465732	0.0553657	0.0224085	0.0407407	0.0459981	0.0842628	0.0775293	0.0697015	0.051639	0.0532734	0.0482974
père	0.0439643	0.0497552	0.0421593	0.036178	0.0242977	0.0164494	0.0158283	0.0145297	0.016391	0.0158066	0.017886	0.016636	0.0144362	0.0144437	0.0187832	0.0153312	0.0167537	0.0189053	0.0228141	0.0470064	0.0183381	0.0276133	0.00819423	0.017161	0.0191764	0.036045	0.0545009	0.0913183	0.0467352	0.0961804	0.106382
</S>	0.0374702	0.0204545	0.017544	0.0127302	0.00969874	0.00824163	0.00598581	0.00779093	0.00783737	0.00624023	0.00891401	0.0116515	0.0136825	0.00957473	0.0111776	0.010741	0.010178	0.0134225	0.0293145	0.0532586	0.0301871	0.0323565	0.0167627	0.0385474	0.0535831	0.0791413	0.0731569	0.0797704	0.0711907	0.0783997	0.140995
