 	a15	a66	a87	a23	a99	a83	a54	a6	a75	a61	a62	a21	a61	a96	a70	a38	a93	a4	a13	a9	a97	a87	a23	a53	a20	a69	a93	a70	a90	a92	a37	a44	a93	a75	a21	a85	a0	a27	a57	a87	a97	a87	a97	</S>
le	0.0327004	0.0551896	0.0316253	0.031755	0.0261137	0.0312442	0.0335121	0.0282825	0.0315854	0.0214912	0.0215282	0.0185661	0.0093448	0.0164998	0.018282	0.0237327	0.0182072	0.0105836	0.00930751	0.010157	0.0110795	0.0122304	0.0144396	0.0197803	0.0381006	0.0300072	0.023627	0.0259894	0.0212944	0.0358489	0.03929	0.0170067	0.0234161	0.0111425	0.0177208	0.0197734	0.0133303	0.0256912	0.0167587	0.0182112	0.0147019	0.0168039	0.0146742	0.0393735
serpent	0.00095951	0.00176985	0.00215411	0.00336302	0.0028186	0.00291945	0.00705788	0.0177698	0.00811793	0.0192659	0.00990803	0.0103681	0.00822996	0.0294967	0.0402462	0.0917105	0.137156	0.118463	0.15108	0.0768872	0.0539632	0.0451881	0.0259916	0.0191672	0.0220363	0.0204417	0.0100524	0.0127425	0.00651263	0.0133212	0.00530014	0.00325664	0.004298	0.00243581	0.00236694	0.00178155	0.00113976	0.00270719	0.000820638	0.00177492	0.0015948	0.000712229	0.00186798	0.0007852
a	0.00346965	0.00792943	0.0112826	0.016224	0.0107551	0.0129074	0.0194924	0.0329841	0.0161511	0.0126994	0.02124	0.0137528	0.0118775	0.0151368	0.0241838	0.0435652	0.0774888	0.076845	0.0772001	0.0327262	0.0529266	0.023494	0.0171067	0.0361088	0.0428879	0.0658726	0.0431098	0.0194436	0.0191119	0.0454239	0.0415771	0.00565122	0.0132621	0.00218238	0.00352495	0.00272937	0.00652014	0.00826038	0.00291703	0.00301942	0.00198352	0.000872294	0.00143446	0.0026685
avalé	0.0341256	0.0143813	0.0182514	0.0125061	0.0100598	0.00926031	0.0109691	0.0135481	0.0118871	0.0078099	0.0157151	0.0140099	0.0301178	0.0229692	0.016138	0.0301377	0.0339519	0.0211936	0.0533114	0.0391721	0.0856375	0.0427766	0.0420595	0.0303563	0.0247944	0.0614592	0.0379518	0.0165895	0.0210463	0.0293039	0.0299598	0.026719	0.0676709	0.0120094	0.006802	0.00439518	0.00337367	0.00916499	0.00466789	0.00433582	0.00368566	0.00341567	0.00523158	0.00707781
le	0.0257888	0.0205893	0.0224961	0.0200358	0.0126159	0.0129609	0.0109419	0.0130897	0.0162663	0.0179786	0.0216349	0.0291045	0.0249538	0.016865	0.0141358	0.0170846	0.0148071	0.0206898	0.0306101	0.0311335	0.0259665	0.0281786	0.0237394	0.0620947	0.0486243	0.0686503	0.0478214	0.0514418	0.054991	0.0680425	0.0520231	0.0192385	0.00711326	0.00525042	0.00804674	0.00595912	0.00380224	0.00383336	0.00349283	0.0033483	0.00310863	0.0025245	0.00367844	0.00524772
crapaud	0.0212894	0.0143431	0.0162152	0.0193782	0.0185822	0.0221742	0.0289185	0.0271492	0.0455798	0.0344888	0.0626883	0.0570857	0.0378515	0.0208284	0.0136642	0.0141438	0.0136716	0.0114644	0.0119036	0.0109688	0.0108807	0.0147459	0.0183404	0.0783245	0.033375	0.0552046	0.0405876	0.0237567	0.0255595	0.0309457	0.0207201	0.0116128	0.00652866	0.00883437	0.00734222	0.00729441	0.00986368	0.0117447	0.0134086	0.0114819	0.00887985	0.0124356	0.0118952	0.0238481
il	0.0639138	0.024901	0.0399297	0.0268284	0.0158357	0.0157029	0.0194622	0.0175261	0.035788	0.0208257	0.0214383	0.0292431	0.045683	0.0381495	0.0426273	0.0453338	0.0273546	0.0153334	0.0121458	0.0129192	0.005701	0.00636287	0.00876603	0.0060892	0.0139593	0.010955	0.00455823	0.00243643	0.00165938	0.00377735	0.00341919	0.00946622	0.00617011	0.0166318	0.0213245	0.0300398	0.0392792	0.0335593	0.041115	0.0345775	0.0379952	0.0246625	0.0255152	0.0410383
doit	0.0233664	0.0087144	0.0187453	0.0141389	0.00965991	0.00970258	0.0127074	0.0141325	0.0192624	0.0151277	0.0185371	0.0203729	0.0302786	0.0287218	0.0312019	0.0416321	0.0351676	0.0346548	0.0517646	0.0290822	0.0418272	0.0342197	0.046953	0.0508317	0.0488489	0.0509584	0.0383766	0.015754	0.0127168	0.0251321	0.0113334	0.0210806	0.00596363	0.00664903	0.00760918	0.00877829	0.013093	0.00945744	0.0128761	0.0120823	0.0122242	0.00934805	0.0145208	0.0223945
le	0.0247367	0.0149565	0.0253617	0.0235697	0.0113497	0.0161143	0.0202367	0.0159089	0.022409	0.0144531	0.0170876	0.00973978	0.0125582	0.0254999	0.0399276	0.0519138	0.0344861	0.027404	0.0246242	0.0211586	0.0207138	0.0172661	0.0164727	0.0151653	0.0154193	0.0164323	0.017	0.0136324	0.00858197	0.0193597	0.00899519	0.0300521	0.0150079	0.0178619	0.0140393	0.0190369	0.0267561	0.0283136	0.0296392	0.0267437	0.0329042	0.0371801	0.0409844	0.0589459
vomir	0.0173898	0.014376	0.0232414	0.0253981	0.0112215	0.0186551	0.0278765	0.0168476	0.0229453	0.0176121	0.0159861	0.00848877	0.0105081	0.0263863	0.0400818	0.0426539	0.02473	0.017954	0.0135001	0.0151046	0.0152109	0.0131207	0.0152011	0.0132627	0.0112533	0.0116278	0.0132172	0.0123894	0.00789476	0.0166563	0.0100685	0.0166996	0.0105113	0.00985466	0.0115207	0.020847	0.0361024	0.0303448	0.0398101	0.0409809	0.0484583	0.0519165	0.0472925	0.0848015
