 	a66	a10	a87	a97	a62	a12	a93	a56	a96	a61	a12	a96	a93	a75	a47	a96	a88	a90	a25	a98	a6	a56	a88	a38	a4	a13	a57	a3	a99	a97	a9	a82	</S>
le	0.0516224	0.050018	0.0412283	0.0257905	0.0175798	0.0257686	0.016078	0.0226145	0.0163735	0.0166036	0.0171438	0.0240699	0.0183044	0.0211044	0.0176326	0.0132671	0.0248626	0.0268888	0.0346487	0.0341718	0.0156145	0.00909678	0.0212321	0.032438	0.0259688	0.0553448	0.0537427	0.0625302	0.045955	0.0379986	0.0488343	0.0250514	0.0504213
fou	0.00337812	0.0126175	0.0253544	0.0272374	0.0384439	0.0615219	0.0485872	0.0529833	0.0475493	0.0404514	0.0230963	0.0303031	0.0422084	0.0826292	0.0624955	0.0747757	0.0689298	0.032814	0.0458663	0.0318665	0.0395738	0.0238179	0.0154682	0.00661844	0.0047501	0.00651048	0.0020161	0.0102877	0.00536869	0.00854726	0.00920589	0.00954773	0.00517836
lui	0.0973749	0.0908265	0.056314	0.0678069	0.112247	0.0659228	0.0946442	0.0510549	0.0421637	0.0200135	0.0108404	0.00605103	0.00744952	0.00872072	0.00778971	0.00479831	0.00435171	0.00583622	0.00826622	0.00901609	0.0127731	0.0104069	0.0119436	0.00988468	0.00996431	0.0167526	0.0102032	0.0162862	0.0205955	0.0253334	0.0311276	0.0331361	0.0201046
a	0.0322653	0.035566	0.031765	0.0245958	0.0353185	0.0273138	0.0163168	0.0163908	0.0156785	0.0107989	0.0106037	0.00731701	0.0144048	0.0284328	0.0252241	0.0189055	0.0201893	0.0182516	0.0187587	0.013609	0.016887	0.0415866	0.0435349	0.0307336	0.0371073	0.0375127	0.0366019	0.041442	0.0457129	0.0628586	0.0513987	0.0536305	0.079287
donné	0.0412934	0.0367832	0.0285507	0.0255124	0.022621	0.0251109	0.0200403	0.0195114	0.0283457	0.032823	0.0228198	0.0351479	0.0409566	0.0352705	0.0857638	0.0374459	0.0348254	0.0207501	0.0302025	0.0127706	0.0320441	0.0348637	0.0362252	0.0280275	0.0248331	0.0166699	0.0206298	0.0185459	0.0150854	0.0227082	0.0218696	0.0314872	0.0604655
un	0.0679502	0.0522167	0.0451864	0.0375104	0.0292407	0.0327622	0.0355816	0.0319676	0.0402292	0.0306011	0.0214668	0.0165333	0.0226065	0.0161744	0.0159196	0.0234161	0.0202713	0.0148161	0.0133219	0.0115794	0.0165129	0.0150891	0.0213491	0.0337401	0.0379874	0.0415076	0.0319822	0.0307837	0.0211697	0.0317303	0.0347025	0.0376371	0.0664568
coup	0.0361401	0.0333099	0.0308434	0.0305167	0.0301857	0.0327387	0.0326628	0.0390024	0.0557444	0.0602945	0.064597	0.047274	0.0372841	0.030996	0.0290275	0.0261117	0.0343779	0.0266755	0.0189857	0.0135019	0.0174704	0.0107548	0.0160139	0.0224019	0.0187577	0.0174244	0.0194722	0.027273	0.0184345	0.0287912	0.0342912	0.0315813	0.0270638
de	0.0712988	0.0656533	0.0345348	0.0212073	0.02165	0.019312	0.0255505	0.0277446	0.0282602	0.0363561	0.0338074	0.0134163	0.0309744	0.0227203	0.0180759	0.0170921	0.0124284	0.012106	0.0157383	0.0122053	0.0177603	0.0147001	0.0197441	0.0255879	0.0467543	0.0273072	0.0276054	0.0511786	0.0407978	0.049432	0.0643379	0.0496748	0.0249877
bâton	0.0487502	0.0371433	0.0331667	0.0231978	0.0246914	0.0287422	0.0315992	0.035066	0.056144	0.0642919	0.0881394	0.0521164	0.0454083	0.0446217	0.0312732	0.0346948	0.015739	0.0335267	0.0217951	0.0120187	0.0195567	0.0188889	0.0176179	0.0198917	0.0301205	0.0174137	0.0119681	0.0177143	0.011115	0.0121216	0.0238898	0.026522	0.0110541
sur	0.0335658	0.0223346	0.0152828	0.0126666	0.00822962	0.00838853	0.00890932	0.00967719	0.0111093	0.0125333	0.0115482	0.0133889	0.0127998	0.00888587	0.0120845	0.0105702	0.00908009	0.0153536	0.0110908	0.00880165	0.0164413	0.0253435	0.0476614	0.0340994	0.0496166	0.0558566	0.0378661	0.0547735	0.0591967	0.0628675	0.0718623	0.0865396	0.141575
la	0.0415404	0.0227647	0.0139036	0.0106047	0.0079998	0.00776883	0.00994697	0.0134806	0.0156753	0.01778	0.017466	0.00969668	0.013564	0.0157488	0.0121351	0.013008	0.00846076	0.0141241	0.0149516	0.0143366	0.0252093	0.0281073	0.0342488	0.0318608	0.0476654	0.051584	0.0699677	0.0541902	0.0512291	0.0699224	0.0545503	0.0662682	0.12024
tête	0.0230314	0.0104819	0.00876565	0.0059906	0.00477073	0.0057101	0.00582719	0.00637123	0.0110157	0.0121073	0.0121106	0.0092503	0.010073	0.0095754	0.00855474	0.00810467	0.00697732	0.00864348	0.0102872	0.00955113	0.0155311	0.0246027	0.0456123	0.0397009	0.0528767	0.0571134	0.0699903	0.0776001	0.0989668	0.0884867	0.0807712	0.0864469	0.0751013
</S>	0.0669935	0.043254	0.019487	0.0118951	0.00601068	0.00687171	0.00601273	0.00882054	0.00954939	0.00952485	0.0123616	0.0087544	0.00840235	0.00896817	0.0106735	0.00746802	0.0113265	0.0159783	0.0162017	0.0152071	0.0171533	0.0248497	0.0337909	0.0533641	0.0789106	0.0613217	0.0566016	0.0415092	0.0379853	0.0490996	0.0441028	0.0594014	0.138149
