 	a85	a10	a30	a53	a15	a69	a4	a90	a98	a85	a47	a73	a7	a54	a47	a85	a5	a18	a24	a88	a9	a99	a87	a23	a9	a97	</S>
il	0.0502912	0.0538138	0.0513225	0.0950789	0.0965787	0.0661523	0.0623121	0.0438174	0.023561	0.0430431	0.0153915	0.0349887	0.0359073	0.0141701	0.0245229	0.0155471	0.0216987	0.0195543	0.0131054	0.0132318	0.013386	0.0151037	0.0265102	0.018115	0.0210841	0.0216995	0.0900126
est	0.0102464	0.00831491	0.00796224	0.00836956	0.0135143	0.024222	0.0497894	0.0735863	0.0573877	0.0531935	0.0485855	0.0724912	0.0448825	0.0841938	0.0718743	0.0996283	0.0749155	0.0548344	0.0220901	0.0137199	0.00881079	0.00796251	0.0074644	0.0110903	0.0218003	0.0260785	0.0229914
en	0.0136234	0.00673901	0.00490403	0.00443615	0.00663932	0.0111035	0.0177888	0.0282013	0.0315071	0.0328951	0.0351878	0.0394148	0.0910051	0.0451514	0.0135556	0.0149933	0.0236736	0.0196523	0.0366987	0.0258182	0.0344996	0.0613827	0.0748854	0.0598165	0.0772353	0.0703286	0.118863
train	0.0129307	0.00734395	0.00629158	0.00360745	0.00457298	0.0059333	0.00532298	0.00689586	0.0167117	0.0140216	0.0156813	0.0246042	0.0669502	0.0681241	0.0681559	0.0922126	0.10086	0.0555952	0.122394	0.0677495	0.0758341	0.0595996	0.0267946	0.0233471	0.0212875	0.015955	0.0112231
de	0.0645413	0.0117692	0.0067153	0.0120728	0.00822493	0.0155657	0.0406856	0.0898858	0.0513439	0.0233458	0.0194794	0.0201735	0.0222736	0.0069913	0.00521334	0.00508894	0.00920324	0.0168322	0.0358145	0.0272405	0.0426356	0.0513354	0.0560718	0.103949	0.0619296	0.0899344	0.101683
se	0.0351779	0.0150279	0.0115585	0.010778	0.00572253	0.00639003	0.0145611	0.0490908	0.160218	0.157025	0.119307	0.221006	0.117892	0.0279791	0.00906949	0.0023101	0.00359792	0.00256455	0.00236611	0.00260632	0.00267746	0.00255577	0.00436586	0.00352158	0.00274838	0.00481863	0.00506367
gratter	0.0289086	0.0176114	0.0126838	0.0129576	0.00765631	0.0124974	0.0185951	0.0406415	0.0587146	0.0482701	0.0799054	0.0533144	0.0868491	0.0515289	0.0228346	0.0128656	0.0190362	0.0295627	0.0301406	0.0206637	0.0200952	0.0307085	0.0360629	0.0413291	0.0361399	0.0590708	0.111356
le	0.0702629	0.0264491	0.0200361	0.0130846	0.0111886	0.0145759	0.0258867	0.0454117	0.0240549	0.0107951	0.00897802	0.00838342	0.00886795	0.0251554	0.0295804	0.019485	0.0230608	0.0180242	0.0312937	0.0431125	0.0362158	0.0454215	0.0618475	0.0993922	0.0933385	0.110454	0.0756436
flanc	0.0762781	0.0424828	0.0213868	0.012609	0.00893786	0.00972233	0.00809046	0.00965426	0.0104502	0.00490417	0.00940369	0.00544104	0.0119045	0.0228751	0.0213751	0.00835344	0.02556	0.0184275	0.0420668	0.0327829	0.0501424	0.0839756	0.12557	0.110551	0.0762288	0.0921921	0.0586342
</S>	0.101686	0.0628083	0.0371006	0.0288841	0.017598	0.020168	0.0177801	0.0237796	0.017538	0.0111123	0.0101526	0.00621033	0.00907101	0.0116616	0.0138866	0.0121018	0.028296	0.0260955	0.0486897	0.0218428	0.0226275	0.0310733	0.0317462	0.045912	0.0538766	0.0991606	0.189141
