 	a66	a87	a23	a99	a83	a50	a98	a50	a98	a50	a83	a18	a50	a99	a30	a53	a4	a13	a38	a20	a94	a50	a94	a18	a27	a26	a82	a87	a23	a97	a87	a23	a87	</S>
l'	0.0510846	0.0228598	0.0410661	0.0205597	0.0163958	0.0188719	0.0169851	0.0175116	0.0205356	0.0371818	0.0206806	0.0195143	0.0291132	0.0361414	0.0267745	0.0133525	0.0153327	0.0108696	0.0241367	0.0171343	0.015141	0.0224706	0.0346745	0.0415766	0.0469043	0.0496331	0.0563067	0.0442353	0.043564	0.0517972	0.0235875	0.0356637	0.0161566	0.0421871
homme	0.0140324	0.0250372	0.025226	0.014628	0.0103995	0.0325687	0.0155413	0.022653	0.041609	0.0228506	0.0448291	0.0274832	0.0205142	0.0332056	0.0227269	0.0221187	0.0439321	0.0526223	0.0919606	0.0258226	0.0306556	0.0318598	0.0296408	0.0133943	0.0192713	0.0164071	0.0145609	0.0216908	0.0306106	0.0444242	0.0446788	0.0454378	0.0236932	0.0239136
qui	0.0199244	0.019629	0.0423412	0.0377539	0.0559594	0.0487165	0.057604	0.218712	0.0605255	0.0579707	0.0212383	0.0387277	0.0268249	0.0204905	0.0157565	0.00517886	0.0037098	0.00323392	0.00269893	0.00460154	0.00463482	0.00527707	0.00222456	0.00190505	0.00542536	0.00493589	0.00782142	0.0199277	0.0187092	0.0243086	0.0249384	0.0278531	0.0470494	0.0433924
s'	0.0233745	0.0282823	0.0271324	0.0292013	0.0336489	0.0273874	0.0457964	0.0499152	0.0348467	0.0616681	0.0440313	0.0246748	0.020674	0.020736	0.0265731	0.0321683	0.0337237	0.0337585	0.0270972	0.0269833	0.0222758	0.0150163	0.0073417	0.00735522	0.010387	0.0100126	0.01376	0.0213261	0.0277445	0.032098	0.0395762	0.0434783	0.0426405	0.0553143
adresse	0.0201644	0.027775	0.0288052	0.0253003	0.0345371	0.0522881	0.0560948	0.0483871	0.0937284	0.0752204	0.105163	0.0599526	0.0413495	0.0310291	0.0196471	0.0168125	0.0172907	0.0142982	0.0145857	0.0110838	0.0112174	0.00710487	0.00645744	0.00870936	0.00565451	0.00671687	0.00766598	0.0103584	0.0132499	0.0171307	0.0138962	0.0165652	0.0312652	0.0504955
à	0.0223849	0.0157209	0.0127973	0.0147403	0.0199236	0.0147285	0.0127205	0.0123459	0.0138102	0.0164622	0.0149208	0.00933084	0.0103997	0.0103321	0.0122588	0.0117066	0.0121498	0.0123227	0.0113826	0.0165903	0.0136163	0.00866416	0.0121418	0.0344203	0.0217023	0.0397245	0.0397847	0.057219	0.0685405	0.0405065	0.0617587	0.0513123	0.10969	0.163891
ce	0.0364553	0.0248628	0.023069	0.0225934	0.0164714	0.0195026	0.0154373	0.0160133	0.0175165	0.0171374	0.0172677	0.0173278	0.0155171	0.0115614	0.00926068	0.00650428	0.00696202	0.0066846	0.00799482	0.0087534	0.0108388	0.015308	0.0135084	0.0240833	0.0260724	0.0358117	0.0431439	0.0539236	0.049094	0.0560489	0.0578351	0.0581178	0.101647	0.137674
mort	0.0602678	0.026299	0.0403843	0.0313369	0.0175967	0.0270754	0.015927	0.016613	0.0174458	0.0223631	0.0250938	0.0192973	0.01511	0.0136756	0.0128633	0.0129299	0.00878632	0.0108955	0.00627215	0.00729384	0.00482789	0.00663487	0.00301539	0.00790262	0.0122156	0.0297153	0.0343384	0.0369204	0.0595352	0.066537	0.0810451	0.0630951	0.113373	0.0733178
est	0.0196521	0.00963361	0.0106304	0.00939587	0.00577525	0.00788335	0.00520695	0.00831055	0.00684103	0.0084323	0.0131892	0.0146159	0.0118244	0.00898081	0.00638271	0.00451828	0.00581247	0.00614439	0.00528592	0.00469418	0.00331359	0.00544946	0.00286901	0.0158517	0.0129908	0.0361136	0.0478595	0.0486059	0.0574201	0.0716703	0.135245	0.0806685	0.154423	0.15431
son	0.0479499	0.0277611	0.028985	0.0322351	0.0218899	0.0256082	0.0164581	0.0216577	0.0205242	0.0203167	0.0214327	0.0248047	0.0193249	0.0166576	0.013472	0.0114977	0.0140162	0.0160007	0.00935365	0.00735192	0.00590673	0.0123705	0.00365844	0.00697987	0.00912111	0.0155877	0.017516	0.0197276	0.023891	0.0517667	0.0889856	0.071535	0.109078	0.146577
père	0.0603936	0.0400921	0.0396829	0.0427104	0.0300838	0.035897	0.0222698	0.0270256	0.0210841	0.0230064	0.0231157	0.0243938	0.0212068	0.0257771	0.0314715	0.0286461	0.0393948	0.0442316	0.0393697	0.031463	0.0102712	0.0165023	0.00400967	0.00654309	0.0100151	0.0144761	0.0160844	0.0204317	0.026518	0.0313685	0.0414591	0.0484031	0.0515756	0.0510264
</S>	0.0463401	0.026085	0.0267449	0.028381	0.0213028	0.0210557	0.0164135	0.022318	0.0151515	0.0277059	0.020949	0.0219671	0.0162224	0.0142724	0.0115396	0.00699383	0.0082664	0.00770047	0.0120383	0.0132064	0.00824055	0.0136538	0.00849762	0.0159903	0.013042	0.0235278	0.0338921	0.0406973	0.0445087	0.0513055	0.0624525	0.0601537	0.0716205	0.167763
