 	a87	a23	a54	a85	a37	a98	a85	a61	a47	a0	a75	a85	a41	a44	a93	a70	a34	a47	a83	a38	a21	a96	a21	a62	a61	a21	a96	a83	a71	a38	a70	a41	a26	a3	a87	a23	a87	a23	a87	a97	</S>
les	0.0517701	0.0418855	0.0385645	0.0482055	0.0426796	0.0761593	0.112685	0.0819577	0.0735165	0.0352062	0.0194903	0.0155786	0.0110023	0.0101819	0.008816	0.0104401	0.0125888	0.0126476	0.0142512	0.0159899	0.0262358	0.0290128	0.0338199	0.019674	0.00913772	0.00975113	0.0127442	0.0113386	0.0100846	0.00910437	0.00591852	0.00800907	0.00662636	0.00757199	0.00811262	0.00672611	0.00777262	0.0076657	0.00941421	0.00781406	0.0198494
petits	0.00192975	0.00489835	0.0166379	0.0146598	0.0288697	0.0336771	0.077959	0.116013	0.23973	0.0755966	0.0549832	0.0426461	0.0641098	0.0272781	0.0382129	0.0426402	0.0339512	0.0162021	0.010423	0.00506017	0.00591715	0.00294438	0.00447076	0.00388793	0.00510097	0.00303288	0.00181168	0.00506082	0.00186491	0.00204593	0.00136188	0.00145811	0.00123385	0.00107663	0.00139268	0.00130542	0.0016371	0.00230199	0.00187315	0.00278282	0.00196133
enfants	0.00568134	0.00206747	0.00281383	0.00275936	0.00733246	0.00918612	0.00691631	0.0226091	0.0347362	0.0671786	0.0754512	0.0586741	0.103173	0.1139	0.178335	0.0895621	0.0621139	0.0251304	0.0226024	0.0144536	0.0166416	0.0172182	0.0151687	0.0140617	0.00605914	0.00125715	0.0017604	0.000781353	0.000493181	0.000757904	0.000828975	0.000789764	0.00196496	0.00177846	0.00198181	0.00209147	0.00217635	0.00440838	0.00138568	0.00277159	0.000945536
ont	0.009889	0.00594105	0.0113279	0.00470968	0.010505	0.00649832	0.0104987	0.0130582	0.0158264	0.0271889	0.0293632	0.0286862	0.0372396	0.0625081	0.0948944	0.0766222	0.0950314	0.0801163	0.0536409	0.0381479	0.0231855	0.0323923	0.0262084	0.0197127	0.0143339	0.007344	0.0121585	0.00484425	0.00561166	0.0055528	0.00694767	0.00640186	0.00944097	0.0124941	0.0140647	0.0150248	0.0197751	0.0194153	0.0105163	0.0135927	0.00928908
pris	0.0141715	0.00706788	0.00555092	0.00617063	0.0049367	0.0102281	0.0159916	0.0153677	0.0225871	0.0282388	0.0266918	0.0206731	0.0298731	0.0302111	0.0482978	0.0430239	0.0665469	0.0541006	0.0391027	0.0397918	0.0698729	0.0530533	0.0695515	0.0912008	0.0685034	0.0293033	0.0172194	0.00865516	0.003719	0.00264492	0.00450177	0.00392796	0.0043228	0.00290166	0.00338076	0.00494958	0.00452421	0.00776843	0.00576731	0.00761244	0.00799566
l'	0.0203653	0.0155811	0.0129165	0.014631	0.0102655	0.0135222	0.0149715	0.0134703	0.0116203	0.0162277	0.0218368	0.0187457	0.0279104	0.0263447	0.0303343	0.0365486	0.0508071	0.0661581	0.0376259	0.0328788	0.0479757	0.0459358	0.0683133	0.0633117	0.0466078	0.0260815	0.0314391	0.0185833	0.0130292	0.0176036	0.0144639	0.0134051	0.0108742	0.0104869	0.0106478	0.0127185	0.0107589	0.0137873	0.0100789	0.0107343	0.0104019
ebvéndé	0.0267699	0.0180254	0.0201254	0.0224509	0.0294546	0.0278506	0.031248	0.0238466	0.0481112	0.0220261	0.0223273	0.0141814	0.0200825	0.0212507	0.0168996	0.0238909	0.0405039	0.0590346	0.031955	0.0328483	0.0327716	0.037858	0.0505955	0.053296	0.036278	0.01935	0.0148407	0.00745197	0.00769708	0.010111	0.00863621	0.00975358	0.0108041	0.0121356	0.0173679	0.0185941	0.0261463	0.0256696	0.0181112	0.0156969	0.0139518
au	0.0354412	0.027691	0.0350695	0.0295217	0.0283342	0.0150245	0.0140466	0.0186375	0.0203313	0.0231361	0.0498971	0.0266744	0.0348914	0.0358148	0.0231749	0.0220387	0.028067	0.0305154	0.0236297	0.0332039	0.0176362	0.0193289	0.0258796	0.0249324	0.0196471	0.0155582	0.0118616	0.00524542	0.00617972	0.00488526	0.00533684	0.0109579	0.00925415	0.0102286	0.0150976	0.0182035	0.0308142	0.0398383	0.0469301	0.0455499	0.0614934
piège	0.0312659	0.0344613	0.0519562	0.0436263	0.0508067	0.0333145	0.0482705	0.051425	0.0581733	0.029038	0.0343176	0.0196738	0.0208688	0.023099	0.0197742	0.0150607	0.0181178	0.0101578	0.00889271	0.00911772	0.0149677	0.0165933	0.0206542	0.0200988	0.0163085	0.00865002	0.0104063	0.00922396	0.00765428	0.0101119	0.0113065	0.0147044	0.0147429	0.0114565	0.0161836	0.0192268	0.0201981	0.0303635	0.0252382	0.0244995	0.0659933
</S>	0.0343294	0.0376959	0.0326515	0.0455756	0.0322085	0.0256433	0.0241534	0.0184605	0.013825	0.0238384	0.0183573	0.02165	0.0199889	0.0146277	0.0124778	0.0122527	0.0128265	0.00981346	0.0106827	0.0136659	0.0147393	0.0166152	0.0197375	0.0152779	0.0134861	0.00872603	0.0120647	0.00933076	0.00915971	0.00715773	0.00670301	0.0178585	0.0162523	0.0169324	0.0219935	0.0332769	0.0436962	0.0592604	0.0695871	0.0544048	0.0990155
