 	a66	a87	a97	a87	a97	a87	a97	a30	a53	a15	a47	a6	a37	a98	a85	a5	a43	a61	a56	a96	a93	a70	a50	a31	a88	a71	a50	a62	a75	a25	a69	a90	a79	a69	a11	a94	a58	a57	a9	a82	a97	a10	a97	a87	a97	a99	a97	a87	</S>
quand	0.00874062	0.00737704	0.00754491	0.00498825	0.00399675	0.00299469	0.00533907	0.00802052	0.0265051	0.0536137	0.0604807	0.0856007	0.0975341	0.0977188	0.0716465	0.0629474	0.0780645	0.082049	0.0385313	0.0229808	0.0180323	0.00847421	0.00475496	0.00284582	0.00263035	0.00192161	0.00131984	0.00178251	0.00146863	0.00141157	0.00119422	0.00098894	0.000996541	0.00124771	0.00253867	0.00437399	0.0147128	0.0132555	0.0172694	0.0158663	0.011098	0.0101996	0.00954616	0.00768866	0.00614224	0.00344474	0.00232414	0.00239191	0.00340433
le	0.00518738	0.00636382	0.00431332	0.0043139	0.00660102	0.0067897	0.00791008	0.0144103	0.0099474	0.0143572	0.0365979	0.0290465	0.017993	0.0218285	0.0158994	0.0114943	0.0107595	0.0135749	0.016487	0.00929165	0.00958289	0.0146516	0.0112149	0.0130501	0.0196932	0.0165814	0.0205197	0.0190435	0.0152485	0.0378483	0.0442678	0.0518429	0.0337148	0.0364049	0.0235207	0.0319206	0.0394529	0.059899	0.043794	0.02903	0.0148093	0.0186342	0.0259587	0.0198895	0.0218888	0.0202521	0.0217101	0.0168626	0.00554608
fruit	0.0164547	0.0160962	0.0144603	0.0132752	0.0149266	0.0180757	0.0200223	0.0362643	0.0425595	0.0450631	0.0527738	0.0459687	0.0319098	0.0220771	0.0152489	0.0163097	0.0167475	0.025171	0.00766491	0.00764496	0.0110395	0.00929277	0.00981872	0.0161712	0.0358299	0.0235816	0.0166155	0.0241761	0.0208625	0.0203203	0.0180602	0.0173349	0.0211954	0.0115097	0.0114715	0.0132977	0.0281119	0.0270642	0.0322343	0.0222928	0.0108742	0.0138369	0.012867	0.00938667	0.0095803	0.0128728	0.0137708	0.0241821	0.0236344
ibasa	0.044105	0.0205008	0.0126896	0.0214355	0.0184337	0.0338921	0.0273407	0.0206405	0.0247902	0.0159768	0.018942	0.01498	0.00953673	0.0184399	0.0190644	0.0152975	0.024914	0.0102655	0.0101065	0.0229886	0.0290252	0.0205359	0.0322472	0.0364321	0.019218	0.0220555	0.0111643	0.0185487	0.014648	0.00880899	0.00911883	0.00862823	0.0103434	0.00815725	0.00273076	0.00293147	0.00309631	0.00473268	0.00693533	0.00585547	0.00631728	0.0130937	0.0118916	0.0136093	0.0264535	0.0224098	0.0355746	0.0783048	0.112792
se	0.0322877	0.0307547	0.0189887	0.0179637	0.020178	0.0176219	0.0121364	0.0132994	0.00830362	0.00943363	0.0253588	0.0105259	0.0096417	0.019177	0.018689	0.0244115	0.0383571	0.0404194	0.0372299	0.0468078	0.0312867	0.0249728	0.023258	0.028516	0.0232155	0.0198964	0.0123862	0.0204388	0.0195847	0.0134108	0.0127223	0.0200563	0.0123367	0.0161959	0.0110046	0.0106378	0.00736384	0.0146961	0.00820988	0.00759529	0.00674516	0.0131847	0.0184168	0.0227659	0.0261409	0.0388489	0.0242543	0.0339812	0.0262917
décortique	0.0103551	0.00787087	0.0073509	0.00885843	0.0110058	0.0144459	0.0106425	0.0191568	0.02041	0.0219556	0.0190108	0.0226899	0.031716	0.0299235	0.0262371	0.0226438	0.0260315	0.0259457	0.0340971	0.0319825	0.0534517	0.0390162	0.0310883	0.0294818	0.0141413	0.0110943	0.0210488	0.0128378	0.0113033	0.00920983	0.00662391	0.00885023	0.00875869	0.0117612	0.0110183	0.0152152	0.0175458	0.0131074	0.0212363	0.0178006	0.0156334	0.0249261	0.026842	0.0227918	0.0289181	0.0339315	0.0277294	0.0244722	0.0278345
il	0.0642131	0.0446513	0.0286209	0.0184496	0.019834	0.0127698	0.0101971	0.0140116	0.0118018	0.0149646	0.0231275	0.011234	0.0110987	0.0172232	0.0156803	0.017111	0.0183208	0.0392371	0.032063	0.0166991	0.0148342	0.020155	0.00962157	0.0106604	0.0124727	0.00588967	0.0124734	0.00608503	0.00557516	0.00656795	0.00618904	0.00806103	0.0102228	0.00909552	0.00923147	0.0131126	0.0197285	0.0193242	0.0168352	0.0163389	0.0125743	0.0201232	0.0398225	0.0382779	0.0335495	0.0508761	0.0498913	0.0474322	0.03367
devient	0.0122933	0.00557716	0.0044475	0.00412846	0.00498779	0.00313299	0.00213619	0.00331205	0.00153837	0.00187886	0.00363507	0.00368575	0.00301151	0.00421232	0.00333181	0.00904553	0.0042816	0.00896209	0.0134356	0.00675236	0.0104521	0.00862951	0.00628261	0.00519158	0.0089998	0.00711247	0.0106183	0.00787614	0.0111435	0.0163294	0.0225639	0.0208071	0.0289926	0.0235853	0.0423344	0.0534862	0.0593158	0.0605904	0.0581221	0.032676	0.0371333	0.0608441	0.0497678	0.0492446	0.0534903	0.0599766	0.0507498	0.022127	0.0177711
tout	0.0100186	0.00683771	0.00903436	0.009618	0.0101094	0.00845403	0.012188	0.0104437	0.00955128	0.00959523	0.0132313	0.0100083	0.0149617	0.0151926	0.014778	0.0223872	0.0221966	0.0246753	0.00823603	0.00759324	0.0159492	0.0173091	0.0164202	0.0164437	0.0204896	0.0188541	0.0143491	0.0143622	0.0124255	0.00983572	0.00959828	0.00791107	0.00559845	0.00692378	0.00387005	0.00525182	0.00705994	0.0105644	0.014331	0.0136548	0.0191516	0.0170657	0.0387022	0.0574004	0.0565975	0.0608929	0.057711	0.0786054	0.123561
rouge	0.0296618	0.010714	0.00576313	0.005975	0.00869162	0.0043957	0.00711494	0.00686351	0.00413296	0.00413802	0.00931463	0.00353495	0.00556822	0.0118865	0.0129808	0.0130774	0.0186558	0.0260981	0.0102214	0.00592531	0.0158821	0.0183189	0.0100318	0.00977284	0.0153101	0.00907171	0.00515596	0.00460012	0.00323467	0.00198315	0.00175451	0.00147166	0.00349662	0.0050411	0.00478107	0.00881917	0.0131944	0.0181966	0.0304193	0.0276389	0.0294771	0.0261533	0.0456333	0.0577816	0.0504178	0.065321	0.0924244	0.104482	0.115421
