 	a23	a87	a23	a87	a23	a41	a18	a38	a43	a76	a94	a58	a38	a94	a20	a73	a35	a76	a44	a26	a24	a88	a38	a30	a41	a2	a40	a41	a94	a75	a14	a30	a2	a57	a40	a73	a20	a76	a73	a35	a73	a26	a73	a26	a73	a35	a5	a12	a18	a25	a87	</S>
c'	0.0829548	0.0681128	0.0403316	0.0490528	0.0256012	0.0500131	0.0213527	0.0366201	0.0367404	0.032823	0.0164765	0.0186705	0.0134331	0.00899431	0.0105822	0.0184402	0.029762	0.0213673	0.021289	0.00828377	0.010681	0.0106308	0.00712778	0.0218317	0.00815534	0.00743834	0.00689414	0.00723449	0.00491216	0.00830927	0.00431236	0.00492786	0.00679838	0.00530649	0.0122548	0.0222314	0.0153096	0.0169613	0.0167456	0.0118607	0.00883251	0.0127141	0.00688088	0.00963897	0.0146167	0.0135588	0.016974	0.012078	0.0102445	0.0200381	0.0174621	0.0361366
est	0.00490491	0.00536758	0.00644277	0.00571364	0.00597441	0.00774644	0.00928234	0.0234188	0.0126113	0.0281364	0.0293349	0.0266724	0.0357369	0.0140121	0.0565877	0.0253543	0.0399791	0.0326693	0.0421096	0.0206198	0.0567976	0.0324975	0.0113203	0.0146634	0.00928989	0.00534112	0.00979416	0.00707911	0.0112549	0.0127215	0.013613	0.0126029	0.0102956	0.00753864	0.00796523	0.00551588	0.00590663	0.011249	0.0150728	0.0237719	0.0304375	0.0275683	0.0283129	0.0290737	0.0358987	0.0406876	0.0161914	0.0248841	0.0180749	0.0103206	0.0134683	0.0081165
de	0.0211907	0.0103676	0.0105002	0.00586962	0.00769486	0.00477504	0.00387308	0.00483598	0.00606064	0.00692261	0.00571277	0.00375852	0.00547362	0.014564	0.0124415	0.021672	0.0271779	0.0211843	0.0148716	0.0202881	0.0293336	0.0400388	0.046934	0.0337438	0.0314746	0.0289629	0.0387208	0.0288836	0.0256239	0.0449716	0.0403609	0.0245593	0.0172027	0.0121604	0.00535631	0.0066636	0.0176521	0.0165534	0.0131452	0.0163027	0.0105808	0.00755547	0.00748417	0.0149139	0.0189298	0.0177438	0.0186604	0.0238063	0.0373457	0.0239338	0.0389128	0.0322541
l'	0.00240828	0.000899495	0.000576992	0.000553701	0.0013127	0.00155517	0.00213261	0.00374807	0.00355146	0.00344191	0.00264257	0.00179081	0.000672722	0.00339216	0.00491136	0.00998668	0.0111779	0.0135293	0.0107528	0.0153059	0.0338501	0.0377588	0.0557215	0.0338315	0.0211785	0.0289887	0.0393724	0.0190171	0.0272891	0.0449417	0.0352031	0.0178871	0.0156047	0.00743197	0.00585012	0.0189818	0.0222515	0.043867	0.0997573	0.0904306	0.0568997	0.0267781	0.0129366	0.0200846	0.0115566	0.00842896	0.0121678	0.0136046	0.012477	0.0105076	0.0137497	0.00725168
argile	0.00482687	0.00294776	0.00130213	0.00162235	0.00250086	0.00195868	0.00615729	0.00335469	0.00377983	0.00630145	0.0039351	0.00303082	0.000892072	0.00201878	0.00341185	0.00702025	0.00450795	0.011696	0.0112388	0.0192735	0.0269215	0.0280501	0.044585	0.0451362	0.0296786	0.0400881	0.0510468	0.0415509	0.0517429	0.0747161	0.0963064	0.0401862	0.0361752	0.0238767	0.0362173	0.0379425	0.0308738	0.029713	0.0541242	0.0230474	0.019791	0.00679719	0.00510797	0.00265524	0.0015255	0.0015445	0.00282105	0.00220758	0.00333511	0.00477655	0.00425069	0.00143184
dont	0.0194176	0.00989968	0.00459857	0.00878217	0.0106647	0.0117889	0.0170685	0.00578509	0.00904427	0.013249	0.00769418	0.00524994	0.00262261	0.00202261	0.00491185	0.0138752	0.0127541	0.0199347	0.0150512	0.0124947	0.022549	0.0205507	0.0230589	0.0289861	0.00624533	0.0145503	0.0209629	0.0443956	0.019292	0.107837	0.0941084	0.085986	0.0599941	0.0232023	0.0346271	0.0244055	0.0220347	0.0149948	0.020696	0.0194209	0.0150052	0.00730989	0.00800906	0.00464337	0.00430673	0.00517482	0.00735894	0.00555294	0.00692155	0.00806722	0.00738991	0.0054534
on	0.0349604	0.0100782	0.0133457	0.00445853	0.00493326	0.00685899	0.00466245	0.00606932	0.00651399	0.00430664	0.00203329	0.00303456	0.00101731	0.00229692	0.00330462	0.00424102	0.0079165	0.00488836	0.00452007	0.00407119	0.00668022	0.0189976	0.0139491	0.0182736	0.00850811	0.0189632	0.0221581	0.0301033	0.0123401	0.0549812	0.0427247	0.0318723	0.017652	0.0130562	0.0149986	0.0102385	0.0188237	0.0275357	0.022847	0.0414021	0.0344402	0.0144835	0.0110856	0.0201092	0.0216915	0.0282232	0.0455473	0.0431944	0.0483069	0.0732506	0.048263	0.0317882
se	0.0166817	0.00919924	0.00745738	0.00712356	0.00739326	0.00704419	0.00501876	0.00322115	0.00481742	0.00513732	0.00346301	0.0046209	0.002869	0.00264186	0.00303713	0.00741401	0.0118458	0.00757646	0.00669107	0.00726907	0.012728	0.0223101	0.0226554	0.0299476	0.0155685	0.0369685	0.0432884	0.0490347	0.0329845	0.0679017	0.0662894	0.0619433	0.042646	0.0352265	0.0386321	0.0218783	0.0629008	0.0314052	0.0232436	0.0222215	0.0185776	0.00589123	0.00519209	0.0063677	0.00575285	0.00649523	0.0121145	0.0108413	0.0105014	0.0168109	0.0108489	0.0203101
sert	0.0260124	0.011353	0.0118905	0.0144024	0.0169893	0.0103646	0.00864083	0.00905552	0.0120218	0.0114324	0.00988553	0.00790626	0.00788019	0.00698466	0.00645675	0.00545771	0.00678979	0.00519453	0.00577384	0.00737675	0.0138133	0.0250604	0.0195468	0.015771	0.0163808	0.0197371	0.0244387	0.0286547	0.033298	0.0469895	0.055149	0.0523315	0.0477987	0.0375802	0.022436	0.0160957	0.0341056	0.028452	0.0279123	0.0406056	0.0338378	0.020114	0.0143185	0.0123521	0.00816831	0.0126126	0.0147959	0.014056	0.0159188	0.0172826	0.0140927	0.0144249
pour	0.0509807	0.0262173	0.0165557	0.00866845	0.00821977	0.00827037	0.0051533	0.0043766	0.00676459	0.00575867	0.0019187	0.00330998	0.00212985	0.00186146	0.00139916	0.00112174	0.00202757	0.00163801	0.0023943	0.00249877	0.00364998	0.0123589	0.00898331	0.0119653	0.0125041	0.0164749	0.0149995	0.0177928	0.00985851	0.0146008	0.0168437	0.0162947	0.00924177	0.00874664	0.0215599	0.0180827	0.0310522	0.0230713	0.0211116	0.0322282	0.0317179	0.0336425	0.0277505	0.0342095	0.0256511	0.0370722	0.0432915	0.04783	0.0492651	0.062305	0.0498802	0.0746987
