 	a85	a87	a23	a87	a82	a87	a23	a87	a23	a79	a69	a94	a90	a92	a96	a76	a41	a44	a13	a75	a5	a21	a66	a83	a93	a96	a62	a70	a34	a0	a75	a5	a66	a11	a75	a5	a96	a61	a47	a93	a13	a93	a56	a66	a62	a83	a38	a75	a5	a96	a50	a83	a9	a38	a54	a6	a36	a2	a57	a87	a23	a87	a23	a87	a23	a87	</S>
le	0.015003	0.0122207	0.0138645	0.00949372	0.0136257	0.0149269	0.0132592	0.0145719	0.0220924	0.0387606	0.0364012	0.0220893	0.026372	0.0181324	0.0294726	0.0273225	0.022122	0.0217988	0.025166	0.0201844	0.0178747	0.0130048	0.0180915	0.0269223	0.01982	0.0206285	0.0307548	0.0167716	0.0199159	0.0231291	0.0147986	0.0119613	0.0193701	0.0157423	0.0111016	0.0156282	0.0114028	0.00770575	0.0071959	0.00617719	0.00777546	0.00581397	0.00542937	0.00531765	0.00445573	0.00552919	0.00491012	0.00278852	0.00338108	0.00414261	0.00281105	0.00224434	0.00212234	0.00383229	0.00728684	0.00647655	0.00788752	0.011213	0.0122111	0.0159552	0.0212053	0.0159816	0.0196331	0.0185882	0.0151735	0.0163557	0.0266022
soldat	0.00281763	0.00470463	0.00568608	0.00522467	0.00901335	0.00949117	0.0159686	0.0156267	0.0248998	0.0514984	0.0492649	0.0657646	0.0500433	0.0564552	0.0426022	0.0560159	0.0546253	0.107336	0.0153587	0.0162594	0.0112205	0.00664406	0.0038254	0.00244341	0.00215786	0.00227217	0.00382863	0.00374809	0.00508279	0.00580367	0.00583747	0.00481703	0.00811968	0.0137073	0.00958105	0.0102877	0.0100327	0.0121424	0.0160397	0.0121501	0.0226052	0.0218474	0.0332394	0.0250767	0.0174648	0.0205149	0.0119075	0.00747951	0.00591673	0.00494527	0.00198301	0.00202699	0.00145975	0.00105546	0.000767711	0.00149289	0.000932489	0.00156776	0.000853903	0.000752031	0.000693285	0.000734542	0.00124228	0.000989285	0.00116579	0.00186146	0.00102567
qui	0.0131263	0.0110625	0.0112022	0.00861953	0.0112078	0.0121383	0.00992539	0.0130293	0.0116666	0.0143717	0.00937194	0.0116183	0.0100804	0.0107964	0.0214495	0.0200635	0.0238942	0.0242003	0.0193454	0.01942	0.0325715	0.0196629	0.0187714	0.0210139	0.0241732	0.0164622	0.0156613	0.019781	0.0290759	0.0301282	0.0263212	0.0240029	0.0222106	0.020509	0.0438267	0.0242636	0.0339619	0.0330528	0.041037	0.0227465	0.036102	0.0230262	0.0214096	0.0121221	0.0226278	0.00818978	0.00705129	0.00467789	0.00426118	0.00267368	0.00215108	0.00240917	0.00193964	0.00237768	0.00330853	0.00395697	0.00464973	0.00377896	0.00187039	0.00258921	0.00151894	0.00211426	0.00439228	0.0038101	0.00310564	0.00683243	0.0012306
est	0.0330539	0.0211069	0.0162597	0.0134775	0.00944319	0.00629024	0.00500401	0.00559547	0.00418838	0.00382403	0.00207422	0.00608442	0.00249311	0.00277371	0.00629909	0.00565934	0.0119032	0.0117029	0.0205578	0.0273881	0.0208771	0.0132346	0.0212409	0.0164889	0.0201845	0.0191739	0.0124965	0.0426245	0.02922	0.0236875	0.0378202	0.0330069	0.0308196	0.0277232	0.0384722	0.0324987	0.0253155	0.0238885	0.0236847	0.0153704	0.0123257	0.00842434	0.012687	0.0201255	0.0171327	0.0094637	0.0133661	0.0101629	0.011136	0.0082832	0.00465913	0.005642	0.0054971	0.00509778	0.00570487	0.00445803	0.00519998	0.0052491	0.00606116	0.00856865	0.00735304	0.0102171	0.0101246	0.0133377	0.0089109	0.0183766	0.0294274
en	0.019797	0.0154644	0.0132084	0.0134366	0.0130743	0.0108832	0.0173642	0.0182767	0.0228771	0.0325474	0.0272142	0.0332648	0.0197617	0.015853	0.0213518	0.0188105	0.0185217	0.0197798	0.0261956	0.0238349	0.0255826	0.0229088	0.0154422	0.0266272	0.0213867	0.029977	0.0213608	0.0295832	0.0191177	0.0137681	0.0362116	0.0222356	0.0162149	0.0154789	0.0165375	0.0156937	0.0172814	0.0190819	0.0190564	0.0154151	0.0132289	0.0121975	0.0112747	0.0215911	0.0150507	0.0128531	0.0120704	0.0125232	0.0138604	0.00697096	0.00230438	0.00403935	0.00392597	0.00240577	0.00239988	0.00158025	0.00150394	0.00184156	0.00168391	0.00109826	0.00328621	0.00188733	0.00254431	0.00247594	0.00265359	0.00721367	0.00505631
train	0.00633426	0.00560918	0.00476516	0.00516995	0.00471909	0.00609331	0.00778285	0.010131	0.011936	0.0161525	0.0205883	0.0145026	0.0168015	0.0169292	0.0158479	0.0173253	0.0153648	0.0134892	0.029807	0.0384858	0.0378816	0.0230244	0.017736	0.0333471	0.0321324	0.0262866	0.0274923	0.0575052	0.021838	0.0220898	0.0512168	0.0305279	0.0228969	0.0152403	0.0243411	0.0196037	0.0268802	0.0215671	0.0153318	0.0102583	0.0142096	0.0157606	0.0114213	0.00550671	0.00515513	0.00419486	0.00262587	0.00321807	0.003489	0.00164195	0.00170099	0.00413768	0.00212264	0.00328215	0.00415533	0.00614174	0.00522481	0.00922816	0.00576872	0.00515367	0.00918546	0.00697421	0.0112817	0.00924944	0.0136417	0.011223	0.009273
de	0.012762	0.00657199	0.00425829	0.00278205	0.00260254	0.00271745	0.00276253	0.00288935	0.00181714	0.00239662	0.00278549	0.00422964	0.00595449	0.00549409	0.00826279	0.0101577	0.0129091	0.0146757	0.0138163	0.0353806	0.0397371	0.0156994	0.0302957	0.0195916	0.0178817	0.016196	0.0316161	0.0219535	0.0363338	0.0401985	0.0245069	0.0603991	0.0457275	0.069901	0.0622841	0.0435417	0.0497622	0.0112515	0.01023	0.00834863	0.0125306	0.00899043	0.00927136	0.00269461	0.00300719	0.00153722	0.00113659	0.000418735	0.000575676	0.000244637	0.000337663	0.00059603	0.000387456	0.000892454	0.0032769	0.00776076	0.0101099	0.00908816	0.00474364	0.00968188	0.0119323	0.00875713	0.0157014	0.0128831	0.011458	0.0300941	0.0112103
frapper	0.0139337	0.0110618	0.00991878	0.00816894	0.00887805	0.00863138	0.0100648	0.00878547	0.00485115	0.0102108	0.006402	0.0057574	0.00766865	0.00569082	0.00733748	0.00918204	0.0116166	0.0127335	0.0104479	0.0293145	0.0319835	0.0133258	0.0172141	0.0246811	0.0169608	0.0188014	0.0265196	0.023888	0.0334645	0.0204131	0.0349174	0.0620459	0.035503	0.0311919	0.0489692	0.0238944	0.0307918	0.0324735	0.0254253	0.0287055	0.0326189	0.0354974	0.0238624	0.0129152	0.015604	0.0134574	0.00572461	0.00262949	0.00342081	0.00168062	0.00212504	0.0057209	0.00279841	0.00270178	0.00379166	0.0041163	0.00414349	0.0061341	0.00212511	0.00334749	0.00770467	0.00373902	0.00361475	0.00322932	0.00376058	0.0078353	0.00387562
la	0.0121904	0.0116535	0.00786173	0.0076038	0.00655981	0.00571765	0.00583786	0.00784137	0.00735159	0.00437626	0.00319501	0.00400491	0.00334973	0.00215928	0.00348034	0.00523876	0.0116276	0.0118799	0.016656	0.0254538	0.0220934	0.020585	0.0151044	0.0193281	0.0289686	0.0223076	0.0327588	0.0297629	0.0268866	0.0304303	0.0358323	0.0361707	0.0215537	0.0277795	0.032963	0.0296981	0.0251778	0.0136418	0.0153252	0.0173594	0.0206847	0.0145809	0.0103149	0.0116022	0.00855569	0.00526304	0.00297097	0.00199415	0.00219285	0.00158337	0.00171842	0.00317154	0.00251168	0.00300029	0.00629068	0.00446715	0.00641123	0.0192657	0.0090919	0.0138262	0.023557	0.0201455	0.0289185	0.0259404	0.0314465	0.0355012	0.0172269
vieille	0.00950859	0.0102673	0.00741908	0.00621087	0.00613388	0.00690799	0.00552709	0.00624673	0.00694799	0.0102196	0.00698312	0.00388681	0.00343837	0.00301215	0.00643254	0.0111417	0.0135892	0.0152411	0.0161574	0.0176845	0.0213398	0.018512	0.0178157	0.0176755	0.0297584	0.0202252	0.01969	0.0259088	0.024089	0.0257542	0.0315207	0.032223	0.0272918	0.0289318	0.025017	0.0325772	0.0360425	0.0171704	0.0236698	0.0219066	0.018776	0.0151806	0.0173477	0.0307444	0.0180721	0.0138996	0.00885958	0.00549848	0.00852302	0.00442843	0.00447021	0.00531813	0.00461493	0.00569	0.00962532	0.00325061	0.00452633	0.00733097	0.00527389	0.00666962	0.0171054	0.00883707	0.0152502	0.0159818	0.0146235	0.0320044	0.0280223
