 	a66	a87	a57	a87	a23	a90	a98	a92	a56	a93	a56	a75	a5	a21	a12	a62	a31	a88	a71	a11	a70	a93	a56	a75	a85	a6	a36	a2	a57	a87	a23	a10	a38	a50	a75	a92	a79	a92	a12	a47	a61	a31	a88	a71	a75	a5	a36	a43	a11	a10	a87	a23	a99	a26	</S>
l'	0.0143945	0.0203362	0.0215281	0.0302144	0.0337901	0.0362025	0.0128716	0.0134459	0.0175103	0.0500091	0.0271372	0.0833523	0.0457083	0.0334084	0.0243304	0.0249809	0.070466	0.0254835	0.0117311	0.0235327	0.0319321	0.0147705	0.0275335	0.0119877	0.0134113	0.0128424	0.0166023	0.0143774	0.0082623	0.00455915	0.00886151	0.00674271	0.00625629	0.00514175	0.0123494	0.00753914	0.00851495	0.00680443	0.00414827	0.00401031	0.00413297	0.00415563	0.00335294	0.0043244	0.00619393	0.00521445	0.00832456	0.0114594	0.0114822	0.0111874	0.00958487	0.0117045	0.0141958	0.0151777	0.0324284
enfant	0.00497491	0.00634313	0.0114755	0.0218357	0.0205319	0.0159703	0.0208667	0.0553773	0.0260497	0.0151831	0.0168162	0.0164746	0.0159319	0.0127941	0.020088	0.018428	0.0165369	0.0158148	0.0156933	0.0151545	0.0286985	0.0163242	0.0291243	0.0334646	0.0346545	0.0350091	0.0314403	0.037496	0.0463966	0.0253004	0.0341498	0.0122655	0.00994296	0.0219807	0.0182342	0.0227953	0.0490312	0.0289202	0.0096412	0.0135542	0.0198338	0.00679279	0.00462666	0.00620364	0.00882598	0.00371817	0.00498785	0.0046398	0.0041946	0.00337983	0.00392669	0.00639984	0.00564218	0.0106908	0.00537323
d'	0.0120417	0.0143891	0.0124537	0.0183422	0.00767908	0.00478258	0.0117068	0.00760341	0.00846892	0.0106022	0.0625443	0.0543426	0.0702078	0.0920095	0.036118	0.0147519	0.0321635	0.012832	0.0282417	0.0236556	0.0193435	0.0179563	0.026852	0.0180621	0.0223406	0.0289384	0.022052	0.0279933	0.0154322	0.0213867	0.019585	0.0266701	0.0167798	0.0219688	0.0145876	0.010016	0.00687187	0.00435144	0.00280051	0.0047631	0.00434146	0.00416283	0.00618878	0.00598974	0.00774695	0.00546593	0.0056564	0.00867348	0.00498042	0.00472939	0.0102879	0.0125107	0.0104162	0.0177376	0.00742435
ondongo	0.059861	0.0211922	0.0159072	0.0138873	0.00527832	0.00301787	0.00486569	0.0040942	0.00357064	0.00656343	0.017197	0.010637	0.0145593	0.0202972	0.02437	0.0165509	0.017364	0.00765581	0.0143979	0.0116288	0.00842322	0.00850831	0.0139206	0.0131188	0.0222117	0.0214648	0.0247419	0.0201524	0.018189	0.0238556	0.0158422	0.0144948	0.0117706	0.00942064	0.0128745	0.0104716	0.0208532	0.0224214	0.0269645	0.0198016	0.0388226	0.0253649	0.0196799	0.00942673	0.012481	0.0111851	0.0107367	0.0123681	0.0253798	0.0288977	0.0263211	0.0297667	0.0331832	0.0313093	0.0526794
a	0.0227223	0.0173028	0.0155467	0.0157712	0.0131054	0.0122971	0.0124603	0.0115222	0.0111319	0.00648686	0.00987917	0.00589085	0.0104542	0.00935016	0.0109269	0.00726528	0.00628594	0.00852158	0.021874	0.0207165	0.0223515	0.0204381	0.0298962	0.0436732	0.0532665	0.0496253	0.0628633	0.0495567	0.0630888	0.0736985	0.0506333	0.0349276	0.0325401	0.0285932	0.0223895	0.020183	0.0116991	0.0140541	0.00862135	0.0128353	0.00457417	0.0046618	0.00210386	0.00180698	0.000783317	0.000844806	0.00119351	0.00101243	0.00200556	0.00287924	0.00340079	0.00343565	0.00276696	0.0057046	0.00838036
commis	0.0108106	0.00452147	0.00442479	0.00416985	0.00259156	0.00252093	0.00344459	0.00300562	0.00312991	0.00390365	0.00981268	0.00545739	0.012282	0.0139542	0.0214742	0.0108541	0.00929635	0.0129626	0.0208294	0.0206047	0.0178879	0.0233715	0.0310716	0.0455892	0.0449596	0.0531685	0.0603462	0.0486651	0.0614145	0.0693572	0.0634507	0.058625	0.056316	0.0368457	0.0220143	0.0175302	0.00775096	0.00654977	0.00506873	0.008158	0.00419553	0.00374441	0.00455143	0.00392336	0.00361309	0.00320513	0.00418579	0.00345283	0.00726402	0.00868485	0.00595357	0.00671852	0.00816728	0.00569578	0.00845332
le	0.009052	0.00595598	0.00545921	0.00488118	0.00323256	0.00325598	0.00501164	0.00422455	0.00463255	0.00357073	0.010001	0.00624137	0.0131547	0.0185741	0.0306085	0.013638	0.0108437	0.014926	0.0221468	0.0224589	0.0179784	0.0268737	0.0327446	0.0427589	0.0431051	0.04027	0.0323903	0.027022	0.0415114	0.041837	0.0393622	0.0416491	0.0367911	0.0244136	0.0139316	0.0115131	0.00622269	0.00488157	0.0042425	0.00752349	0.00587218	0.00605768	0.00773302	0.00890264	0.0108114	0.0158958	0.0186362	0.0158556	0.0197336	0.0240423	0.0255956	0.0230181	0.0220256	0.0223805	0.0245479
délit	0.0210911	0.0102117	0.00930914	0.00895515	0.00646237	0.00618991	0.00596771	0.00541407	0.00508189	0.00492201	0.0161046	0.00772778	0.0227965	0.0351604	0.0309573	0.0171135	0.00961392	0.0156838	0.0276688	0.0333669	0.021859	0.0353579	0.0381426	0.0269191	0.0221899	0.0286086	0.03214	0.0363632	0.0289056	0.0393781	0.0333475	0.0346902	0.0433256	0.0326596	0.0225704	0.016112	0.00900206	0.00641738	0.00536199	0.0153198	0.0105543	0.0101641	0.0119843	0.0109147	0.00696199	0.00673879	0.00828845	0.0085185	0.00744275	0.00954555	0.0205888	0.0119722	0.0152547	0.0189748	0.0136268
de	0.0166569	0.0158375	0.010004	0.0068288	0.00234841	0.00146281	0.00378226	0.00295588	0.00292244	0.00558618	0.00974802	0.00612081	0.0130138	0.018707	0.02426	0.018674	0.0190634	0.0245364	0.0386904	0.0390789	0.036948	0.0555662	0.0654076	0.0476251	0.0369486	0.0412876	0.0341436	0.0232022	0.0331777	0.0423727	0.0291226	0.0222536	0.0213326	0.015575	0.00879383	0.00663432	0.00550842	0.00643196	0.00709635	0.0103346	0.0170852	0.0120165	0.0117814	0.0062425	0.00787683	0.0074116	0.00874658	0.00882811	0.00959191	0.0141856	0.0155236	0.0123907	0.0130144	0.0122613	0.0130034
voler	0.0312904	0.0199281	0.0165148	0.0124719	0.00923496	0.00438775	0.00747935	0.00692979	0.00462992	0.00586089	0.00671213	0.00343281	0.00858618	0.00987158	0.00946778	0.00843425	0.00727623	0.00869799	0.00914741	0.00704609	0.0127031	0.0181772	0.0274955	0.0281004	0.0261166	0.0380752	0.0410817	0.0196598	0.0492904	0.090202	0.0390451	0.0314248	0.0338136	0.0319616	0.0210713	0.0182947	0.0130787	0.00917789	0.0157814	0.0181069	0.0192535	0.0197518	0.0129384	0.00871197	0.00877668	0.00583539	0.00989997	0.00774049	0.0093174	0.00997516	0.0168197	0.0169788	0.0155357	0.034759	0.0236481
