 	a85	a87	a23	a79	a94	a26	a94	a30	a26	a43	a75	a35	a26	a35	a75	a14	a44	a84	a11	a75	a14	a30	a2	a57	a87	a23	a40	a30	a26	a75	a41	a27	a25	a24	a71	a38	a14	a35	a94	a24	a35	a41	a24	a75	a14	a30	a2	a57	a87	</S>
notre	0.0552153	0.0492498	0.0338663	0.028737	0.024559	0.0173259	0.0220893	0.0159718	0.0213976	0.0201461	0.0164443	0.0192964	0.0195193	0.0158942	0.0129768	0.0146499	0.0183863	0.0122041	0.0149851	0.00651693	0.00679323	0.00628129	0.00747744	0.00723354	0.00724	0.0136515	0.00781945	0.014226	0.0143856	0.0140556	0.0181179	0.0211855	0.0239392	0.0144138	0.0143451	0.0114992	0.0110975	0.00955649	0.0119665	0.00947542	0.0197941	0.0283902	0.0226057	0.0301978	0.0243605	0.0324699	0.0309058	0.035609	0.0318693	0.0596061
vie	0.00202683	0.00497238	0.00808007	0.0497482	0.0261323	0.061567	0.1236	0.160309	0.0700637	0.0574681	0.0445148	0.0399433	0.0165876	0.0314926	0.0167706	0.0831428	0.0342429	0.00753701	0.0213701	0.00525513	0.0146669	0.0101348	0.0151967	0.00541146	0.00958068	0.00574016	0.00337718	0.00520118	0.00578877	0.00546813	0.00883087	0.00989774	0.00858029	0.00624412	0.00503945	0.00304434	0.00345744	0.00185949	0.000650878	0.000504531	0.00057527	0.000798193	0.000295398	0.000742576	0.000351878	0.000586204	0.000516972	0.000467207	0.000836353	0.0013303
a	0.032272	0.0186956	0.0194907	0.0254795	0.033157	0.0338602	0.0401624	0.0458094	0.0248823	0.0242539	0.0310855	0.0447373	0.049883	0.0322632	0.0364773	0.0455787	0.071384	0.021564	0.0441418	0.0206564	0.00845688	0.00995077	0.00489068	0.00511476	0.00540887	0.0107695	0.00785843	0.0103758	0.02153	0.0118875	0.0115198	0.00783654	0.00831945	0.00501725	0.00554959	0.00401452	0.00281115	0.00243607	0.00339818	0.00570509	0.00730154	0.00812021	0.00495915	0.0066043	0.0107135	0.0220436	0.0205936	0.0193012	0.0244375	0.0272406
été	0.0161149	0.00857563	0.00675482	0.00406942	0.00920153	0.00777757	0.00981789	0.012821	0.0272832	0.0154551	0.0286175	0.0343856	0.0734595	0.035274	0.0206414	0.0157138	0.0169556	0.0186905	0.0188778	0.0189964	0.0203275	0.0485032	0.0213117	0.0226781	0.0463417	0.0581995	0.0416712	0.0284864	0.0266133	0.0309674	0.0268491	0.0196605	0.0174473	0.0129976	0.0168366	0.0152284	0.0202501	0.017329	0.0239451	0.02047	0.0108247	0.0125304	0.00565208	0.00754846	0.00471438	0.00442588	0.00607757	0.00425027	0.00332954	0.00504977
bouleversée	0.0125384	0.0121803	0.0111726	0.012591	0.0143748	0.0159994	0.0194876	0.021958	0.0390917	0.0185206	0.0173524	0.0201042	0.0263356	0.0249153	0.0164759	0.0245357	0.0151802	0.0130244	0.0201498	0.0155951	0.0229703	0.0422767	0.0331627	0.0488965	0.0394865	0.0429307	0.0578294	0.0260806	0.018207	0.0149849	0.0185855	0.021125	0.0282801	0.0258953	0.0348505	0.0299302	0.0289361	0.0238108	0.0175317	0.0153329	0.0109508	0.00470268	0.0024581	0.00227719	0.00143887	0.00183082	0.00402094	0.00316212	0.00215913	0.00431297
par	0.0303137	0.0215869	0.0182692	0.0216606	0.0168427	0.0158155	0.00779702	0.00788907	0.00946571	0.00546769	0.00576931	0.00775473	0.0133427	0.00770454	0.00902517	0.0089247	0.0119663	0.0131094	0.0115312	0.0121607	0.01326	0.0201141	0.0243263	0.0485106	0.0459554	0.0750638	0.091228	0.0626097	0.0619149	0.0355306	0.0216603	0.0183014	0.00907463	0.00945548	0.0106929	0.00792958	0.00687553	0.00957997	0.00967017	0.0122859	0.0174497	0.0135945	0.0122202	0.0146647	0.0128181	0.013759	0.0194081	0.0134699	0.0112937	0.0208861
l'	0.0257297	0.0168033	0.0169428	0.0159667	0.0155633	0.013293	0.0196619	0.013214	0.0107835	0.0106506	0.00888166	0.00943981	0.0176443	0.00988912	0.00999857	0.0150962	0.0158397	0.0139692	0.0176149	0.0160893	0.0139191	0.0255884	0.0277713	0.0415105	0.0505257	0.0684361	0.0655956	0.0546075	0.0430312	0.0315534	0.020434	0.0120702	0.01532	0.010732	0.0160017	0.012777	0.00619392	0.00667597	0.0116603	0.0155746	0.0138512	0.0155954	0.011716	0.013675	0.0126754	0.0129573	0.0163054	0.016259	0.0146892	0.0292262
arrivée	0.0207135	0.01599	0.0143488	0.0135452	0.0116403	0.0156024	0.00895572	0.0171071	0.0174198	0.015029	0.0074231	0.0136533	0.0280977	0.0158302	0.0150097	0.0190619	0.0149783	0.0129018	0.015739	0.0118188	0.0186998	0.0301232	0.028991	0.0486763	0.0438392	0.0700948	0.0752337	0.0488485	0.0243457	0.0206792	0.0156625	0.0137042	0.0164902	0.0152541	0.0203826	0.0145387	0.00917199	0.0117322	0.0122001	0.0156001	0.0153239	0.012063	0.00995003	0.0131299	0.0150237	0.0119209	0.0141769	0.0162433	0.0121965	0.0208381
des	0.0192608	0.0102705	0.0101006	0.0100623	0.0117015	0.00911665	0.00856466	0.0125875	0.0112981	0.0144014	0.00993335	0.0145574	0.0230316	0.0172028	0.02335	0.0260269	0.0317078	0.0227621	0.0225488	0.0176612	0.0231792	0.0394479	0.0223031	0.0323447	0.0479303	0.0286502	0.036176	0.0204988	0.0152475	0.0151723	0.0122843	0.00821914	0.00591675	0.00423922	0.00528837	0.00683099	0.00691026	0.00602036	0.00958258	0.0107665	0.0129649	0.0159092	0.0163289	0.0322206	0.0392353	0.0304913	0.0353008	0.0372799	0.0404114	0.0567034
blancs	0.0267664	0.0198658	0.0180672	0.0168333	0.0140228	0.0103481	0.0109433	0.0116517	0.0112006	0.0111484	0.0113713	0.0163381	0.0132889	0.0125211	0.0148794	0.0187629	0.0291251	0.0178575	0.0180107	0.0171964	0.0259028	0.0340832	0.0220026	0.0212745	0.0320115	0.0228683	0.0257238	0.0233573	0.0175331	0.0208222	0.0215064	0.0158944	0.0171999	0.0134478	0.0154732	0.0195634	0.0111096	0.0186042	0.0143109	0.0156163	0.0171305	0.0170753	0.0118104	0.0380795	0.0316167	0.022861	0.0332121	0.0266003	0.0364787	0.0366312
