 	a66	a87	a23	a87	a23	a30	a4	a57	a75	a41	a24	a75	a85	a79	a56	a12	a96	a11	a34	a43	a75	a25	a92	a25	a79	a94	a90	a69	a58	a82	a87	a23	a87	</S>
le	0.0253267	0.0248826	0.0434735	0.0295057	0.0181197	0.0150174	0.0107063	0.0159847	0.0117046	0.012338	0.00966678	0.0180267	0.0207789	0.0313772	0.0179677	0.0167186	0.0176277	0.0116698	0.0148719	0.0131975	0.0154432	0.0174189	0.0203391	0.0272422	0.030201	0.0419015	0.0647948	0.0693133	0.0813477	0.0636502	0.0381481	0.0585366	0.0389453	0.0537565
chasseur	0.00302767	0.00937294	0.00924583	0.0144428	0.0146682	0.0159954	0.0217681	0.038126	0.0738629	0.040512	0.0706814	0.0700749	0.0424478	0.0357824	0.0374675	0.0492196	0.0410576	0.0325527	0.06325	0.0892995	0.0519445	0.0411151	0.0345309	0.043578	0.0184303	0.0105389	0.00274129	0.00231949	0.00218362	0.0059261	0.00277074	0.00405244	0.00459437	0.0024191
a	0.0222574	0.0237676	0.020608	0.0224353	0.030617	0.0134613	0.0252206	0.0325362	0.0526395	0.0388818	0.0363649	0.0376737	0.0454009	0.0282883	0.0538434	0.0611337	0.0795074	0.0556286	0.0777667	0.0482088	0.0272086	0.0346056	0.0145415	0.0251605	0.0177194	0.00883521	0.00786653	0.00561593	0.00806647	0.0140046	0.00854656	0.00670389	0.0107534	0.0041307
tué	0.027847	0.0135001	0.00709081	0.00767662	0.0132916	0.0133668	0.0184677	0.0110125	0.0121859	0.0119182	0.025672	0.0251954	0.0253856	0.033145	0.0411506	0.0839791	0.0590153	0.0700572	0.103056	0.18162	0.0686908	0.0501656	0.0199385	0.0231306	0.0115831	0.00907508	0.00465643	0.00518741	0.00346243	0.00523015	0.00318191	0.00512553	0.0035941	0.00234505
une	0.0158329	0.0158656	0.0176293	0.0148641	0.0181653	0.0300221	0.0218181	0.0254781	0.0202613	0.026894	0.0329876	0.0272265	0.0437601	0.0827885	0.0919032	0.0674989	0.0731421	0.0530167	0.0490138	0.0596695	0.0328197	0.0413085	0.0355056	0.0258662	0.014537	0.013016	0.00755795	0.00772426	0.00650224	0.00612703	0.00408952	0.0070087	0.00436133	0.0057384
antilope	0.0129971	0.0118717	0.0153589	0.0109949	0.0134532	0.0190123	0.0115187	0.00959592	0.00809743	0.0121103	0.0186354	0.0189674	0.0252139	0.0643264	0.0825863	0.0379941	0.06377	0.0462415	0.0432955	0.0564554	0.0471139	0.0566382	0.0471373	0.033324	0.0395668	0.0347191	0.0191898	0.0239252	0.0194218	0.0167932	0.0122566	0.0278657	0.0230397	0.0165126
dans	0.0250278	0.0226771	0.035299	0.0222606	0.0220359	0.0300332	0.0143417	0.01711	0.0132351	0.0214948	0.031537	0.0293574	0.0380451	0.0497485	0.0255597	0.0115549	0.016517	0.010876	0.011528	0.0221469	0.0198089	0.0465757	0.0562965	0.0429015	0.0398581	0.0406408	0.0332444	0.0363256	0.0361912	0.0329629	0.0259662	0.0464242	0.0325464	0.0398721
la	0.0321217	0.0252014	0.0246742	0.0261035	0.0254167	0.0290549	0.034148	0.050783	0.039738	0.0438181	0.0266864	0.0197729	0.0292069	0.0261611	0.0128356	0.0103348	0.00837053	0.00732074	0.0153981	0.0216748	0.0147159	0.0212034	0.0236658	0.0262619	0.0275277	0.0292343	0.0328837	0.0337694	0.051383	0.044393	0.0407097	0.0550259	0.0401116	0.0502932
plaine	0.0179726	0.0127234	0.0187475	0.0134765	0.0130003	0.0123622	0.0147004	0.014813	0.015976	0.0153608	0.0150887	0.00932827	0.0124069	0.0186776	0.0275139	0.0574153	0.0364815	0.0266436	0.0372729	0.0632318	0.0559766	0.045833	0.0286457	0.043407	0.0381339	0.0395233	0.0274781	0.0427363	0.0415111	0.0352865	0.0321841	0.0379508	0.0293319	0.0488087
</S>	0.0260666	0.0235975	0.0372107	0.0387897	0.0248965	0.0236913	0.0213253	0.0265115	0.0213129	0.0243859	0.0162526	0.0179027	0.0226004	0.0240213	0.0285037	0.0166082	0.0332772	0.017671	0.0233635	0.0244892	0.0199687	0.02104	0.0170822	0.0268104	0.0296771	0.037987	0.0392221	0.0441483	0.0408776	0.0367863	0.0358657	0.0382518	0.0442784	0.0755269
