 	a66	a87	a38	a75	a85	a5	a12	a43	a75	a85	a5	a75	a85	a92	a56	a79	a44	a75	a56	a94	a31	a43	a0	a24	a88	a71	a58	a4	a13	a3	a97	a3	a97	a99	a97	a87	a97	a30	</S>
je	0.0344939	0.0585696	0.0254028	0.0253105	0.0292718	0.0140581	0.0132576	0.00857879	0.00688046	0.0104824	0.00737543	0.0108498	0.0102979	0.0232651	0.0176625	0.0242311	0.0326439	0.0413819	0.0373153	0.0578588	0.0291764	0.0497292	0.0308232	0.0256148	0.0393963	0.0143105	0.0287216	0.0162231	0.0378413	0.0295983	0.0295905	0.0224046	0.0250835	0.0181051	0.0264039	0.0198731	0.0206135	0.0237563	0.023547
travaille	0.0130749	0.0129104	0.0282214	0.0386028	0.0659061	0.0832495	0.082309	0.0688194	0.057065	0.0381604	0.0382311	0.0378274	0.0558049	0.0441886	0.0395532	0.0148443	0.0227543	0.00974947	0.0159762	0.00749025	0.00572122	0.0118318	0.00597534	0.00533298	0.0130182	0.00993662	0.00899637	0.0163964	0.00820595	0.00792745	0.0063827	0.0109867	0.0117272	0.0138783	0.0132191	0.0134903	0.0174472	0.0210613	0.0237264
dans	0.0346804	0.0109144	0.0161284	0.0111454	0.0145131	0.014381	0.0453656	0.0427881	0.0548598	0.0491799	0.0360362	0.0290145	0.0505082	0.0392664	0.0379854	0.0131446	0.0143643	0.012108	0.00810132	0.00701345	0.010271	0.0057018	0.00498703	0.0146615	0.0126978	0.0229886	0.0164668	0.0198927	0.0191299	0.0217827	0.0203135	0.0319626	0.0303609	0.0307089	0.034657	0.0331454	0.0306853	0.0525215	0.0455665
notre	0.0633082	0.0157755	0.00810324	0.00729537	0.00699246	0.0086474	0.0120715	0.014434	0.0126964	0.0126358	0.00821895	0.00904282	0.0122854	0.0244515	0.0300211	0.0288291	0.0420507	0.048372	0.0335752	0.0458605	0.0485981	0.0267598	0.0368046	0.0679276	0.036457	0.0369806	0.0251169	0.0247397	0.0251786	0.0322024	0.0222655	0.0269898	0.0332902	0.0204154	0.024262	0.0156705	0.0199446	0.0203461	0.0113834
champ	0.064113	0.0228387	0.0370342	0.032709	0.0195055	0.0203783	0.0193512	0.02254	0.0155494	0.0161536	0.00787711	0.00595347	0.00631325	0.0165134	0.0534478	0.111761	0.146447	0.0755077	0.035739	0.0328067	0.0378284	0.0103428	0.00745265	0.0170946	0.00814821	0.0115945	0.0139749	0.0138859	0.00782411	0.0167301	0.00928634	0.013125	0.0108718	0.0072921	0.0120608	0.0149527	0.00731723	0.00994652	0.00773145
de	0.115032	0.0844324	0.0909566	0.0621975	0.0516664	0.0173762	0.0319542	0.011618	0.0185459	0.0319463	0.0150569	0.00720762	0.01178	0.00695025	0.00494656	0.00348019	0.00641706	0.0162515	0.0166035	0.0321319	0.0429913	0.0211314	0.0153909	0.0127727	0.00580354	0.0057872	0.00944248	0.00908299	0.00869035	0.0127935	0.0082184	0.0233631	0.0145462	0.0194129	0.0180798	0.0356643	0.0343421	0.0372477	0.0286886
canne	0.0478789	0.0309553	0.0290366	0.0195903	0.0250863	0.0121847	0.0235216	0.0149463	0.0215911	0.0298959	0.0144698	0.0124921	0.0132783	0.0123885	0.00995089	0.0108747	0.0231901	0.02784	0.0261583	0.0428246	0.0270089	0.0279276	0.0172114	0.0228314	0.028816	0.0118235	0.0397484	0.0242096	0.0272474	0.0312053	0.0168105	0.0579615	0.0187479	0.0389392	0.0332182	0.0340676	0.0353934	0.0455598	0.013118
à	0.0420007	0.0318073	0.0223999	0.0196185	0.0179608	0.00593343	0.00772476	0.00350415	0.00712402	0.00843646	0.00767331	0.00412398	0.00835928	0.00647992	0.0054576	0.00395462	0.00766098	0.0113844	0.0168009	0.0219511	0.0189454	0.0170703	0.00758876	0.0114771	0.0102706	0.00448394	0.0132257	0.0112136	0.0149186	0.0188547	0.016502	0.0654845	0.0479246	0.0811468	0.0700325	0.107909	0.0586774	0.118611	0.0453069
sucre	0.0119149	0.00801082	0.00661095	0.00570892	0.00653434	0.00339709	0.00445622	0.00336085	0.00605335	0.0071027	0.00583187	0.00445973	0.00832914	0.00641582	0.00789062	0.00625941	0.00809229	0.0134374	0.0175921	0.0180891	0.0165624	0.0175253	0.0128142	0.0216484	0.0181797	0.0182342	0.0301587	0.0284721	0.0332809	0.0315526	0.0496457	0.074671	0.0579803	0.0830759	0.0899674	0.0742981	0.0898427	0.0532962	0.0392468
</S>	0.0420132	0.0193967	0.0152297	0.0120906	0.012493	0.00696541	0.00970237	0.00684106	0.0110254	0.0122649	0.012158	0.00784442	0.0136863	0.00901882	0.00894136	0.00444738	0.00835356	0.0134064	0.0165488	0.0150093	0.0183747	0.0112319	0.00950204	0.0239364	0.00885635	0.00998476	0.0174254	0.0203835	0.018093	0.0236467	0.017692	0.0538689	0.0394446	0.0598552	0.0786589	0.0885296	0.0822307	0.0817672	0.0790816
