 	a66	a87	a10	a87	a23	a97	a87	a40	a41	a96	a94	a4	a50	a70	a4	a93	a13	a83	a41	a18	a43	a75	a56	a96	a98	a32	a38	a0	a62	a75	a90	a15	a98	a44	a11	a34	a56	a98	a14	a41	a26	a0	a75	a79	a37	a70	a93	a70	a13	a57	a3	a9	a87	a23	a87	a23	a87	</S>
on	0.0479044	0.0739444	0.0342623	0.0315098	0.0175576	0.0192897	0.0150033	0.0325768	0.0521662	0.0473221	0.0336245	0.0304736	0.0219441	0.0249168	0.0254893	0.0271183	0.0158837	0.0265945	0.0253594	0.0362489	0.023241	0.0285984	0.0191577	0.0220253	0.0271663	0.0275154	0.0349259	0.0193307	0.0111748	0.00767919	0.0112153	0.00742423	0.00665338	0.00535699	0.00345179	0.00208601	0.00193393	0.00175638	0.00124526	0.00156786	0.00168539	0.00165269	0.00160606	0.0023167	0.0026272	0.00288222	0.0040745	0.00548619	0.00512605	0.00834201	0.00811865	0.00826915	0.00591582	0.00704187	0.00557364	0.00729652	0.00500269	0.0142871
l'	0.0052136	0.00364125	0.00504828	0.004291	0.00675006	0.00514339	0.00475887	0.00383655	0.00809441	0.00584514	0.011617	0.0146493	0.0312903	0.0237607	0.0352215	0.0410454	0.0620178	0.0568132	0.0658567	0.0899606	0.0361622	0.0601404	0.0457686	0.0567681	0.0225987	0.0129387	0.022838	0.0108719	0.0162746	0.0123586	0.0124448	0.00599103	0.00749734	0.0110941	0.0117145	0.00842312	0.00725588	0.00479494	0.00506953	0.00594986	0.00674543	0.00596098	0.00727884	0.00804173	0.00832153	0.00974375	0.0101625	0.00868007	0.0120667	0.00495644	0.00659913	0.00694902	0.00708954	0.00569676	0.00627694	0.00713404	0.00856159	0.00792482
a	0.0169558	0.00472053	0.00611521	0.00542295	0.00762741	0.00572955	0.00402904	0.00414515	0.00863518	0.00579105	0.0205138	0.0375827	0.0332807	0.0359547	0.0520138	0.0358794	0.136981	0.0622603	0.103453	0.0791262	0.0124021	0.0450236	0.039499	0.0183022	0.0188154	0.0102654	0.0203331	0.0123723	0.0174638	0.0103608	0.00654012	0.00522864	0.00416274	0.00734513	0.00520746	0.00515535	0.00387029	0.00250113	0.00216336	0.00199935	0.0018341	0.00116456	0.00145352	0.00127563	0.00232843	0.00185289	0.00354072	0.00282501	0.00302342	0.00383487	0.00668901	0.00566329	0.00723493	0.00710789	0.00916464	0.00952374	0.00744201	0.00881227
fait	0.0103989	0.00671967	0.00806857	0.00676292	0.00825175	0.00812897	0.00562053	0.00357449	0.00242375	0.00237552	0.00400351	0.00842128	0.0198134	0.0209491	0.0205033	0.0232205	0.0351305	0.0221795	0.019511	0.0149645	0.0131382	0.022161	0.0203082	0.02594	0.0300016	0.0161612	0.0304433	0.0161121	0.0253037	0.0254404	0.0224869	0.0304165	0.0213106	0.0235053	0.016904	0.00980212	0.0248194	0.0298325	0.0366564	0.0281807	0.0487905	0.030274	0.0269546	0.0291908	0.0263759	0.0197918	0.0205928	0.0144638	0.0114486	0.0125433	0.00823476	0.00603318	0.00533992	0.00349215	0.00445408	0.00374431	0.00218172	0.0061481
taire	0.0271901	0.00991263	0.00824104	0.00709207	0.00685855	0.00713036	0.00631198	0.00614598	0.00835126	0.00472721	0.00625909	0.0116473	0.037851	0.026582	0.0217926	0.0174034	0.0242729	0.0125578	0.0162801	0.0150812	0.0224733	0.028695	0.0325157	0.0279436	0.0167386	0.0246117	0.0290266	0.0459552	0.0286793	0.0432262	0.0295023	0.0432919	0.0223569	0.0191164	0.0231468	0.0144313	0.0204311	0.0239132	0.0182132	0.0153065	0.0152018	0.0120875	0.0163084	0.0105804	0.00613308	0.00980889	0.00901355	0.00782136	0.00702159	0.00994783	0.00509199	0.00684771	0.00590273	0.00927607	0.0100071	0.0148417	0.0123651	0.0204802
pendant	0.0169424	0.00971644	0.0101146	0.00876415	0.0106306	0.0167052	0.0181001	0.0262403	0.0387682	0.021554	0.0285531	0.0337874	0.0426623	0.0509404	0.0399794	0.0325291	0.0521237	0.0250333	0.0292201	0.0196793	0.0186927	0.019177	0.0522705	0.0320862	0.0182225	0.019994	0.0296047	0.0168161	0.0149022	0.0082652	0.0239251	0.0345804	0.038107	0.0124205	0.0203682	0.007262	0.00649896	0.00731021	0.00549091	0.0044643	0.00499911	0.00606304	0.00520565	0.00291033	0.00218158	0.00214278	0.00224082	0.00226545	0.00437617	0.0057364	0.00283307	0.0048101	0.00327178	0.00489495	0.00510683	0.00688541	0.00424447	0.00732951
les	0.0307464	0.0303083	0.0285812	0.0210432	0.0230252	0.0265328	0.0149623	0.00867434	0.0157957	0.0125323	0.0188825	0.00868075	0.00965266	0.01409	0.0145054	0.00873572	0.0148759	0.0135131	0.0240779	0.01722	0.0155682	0.0176639	0.0161965	0.0208988	0.0242413	0.025826	0.0334263	0.0179863	0.0316865	0.0173435	0.0257446	0.0310089	0.0349889	0.0306323	0.0306417	0.0152824	0.012468	0.0127342	0.011155	0.00928696	0.010618	0.0131716	0.0110918	0.0068779	0.00430519	0.00576358	0.0168678	0.012555	0.00741615	0.0259523	0.0107526	0.0158024	0.0072303	0.0111333	0.0122385	0.016473	0.00866236	0.0118722
palabres	0.0314954	0.0322575	0.0216364	0.01749	0.0139106	0.0118521	0.0112786	0.012813	0.0115306	0.0130913	0.00766023	0.00375419	0.00483503	0.00749957	0.00925698	0.0093702	0.0145434	0.0156527	0.0169817	0.018517	0.0197476	0.0252316	0.0236647	0.0165227	0.0149524	0.0167538	0.041341	0.0356456	0.0247624	0.00822411	0.0155899	0.0230699	0.027538	0.0133335	0.0195246	0.00480149	0.00449978	0.00716703	0.00728976	0.00505674	0.00845637	0.00981669	0.0143255	0.0143127	0.0125479	0.0158894	0.0276522	0.0223355	0.0179251	0.029847	0.022306	0.0228037	0.0170812	0.0215129	0.0240487	0.0322042	0.0264115	0.0203804
car	0.0333607	0.0266312	0.0187435	0.0175275	0.0186369	0.0100742	0.00905061	0.0150101	0.00775788	0.00900296	0.00497657	0.00362812	0.00487561	0.00465702	0.00415159	0.00597409	0.00533398	0.00603791	0.00701695	0.00612596	0.0120032	0.0131569	0.0143887	0.0143197	0.0143532	0.02033	0.0327165	0.0350343	0.0125275	0.00891057	0.00929068	0.0161512	0.0153273	0.0103009	0.0091208	0.00350887	0.00454739	0.00581755	0.00563542	0.00508934	0.00586993	0.00690354	0.00801738	0.007347	0.00755657	0.0107604	0.0254171	0.0271956	0.017662	0.0434603	0.0265682	0.0401834	0.0268742	0.0434435	0.0466989	0.0663818	0.0604111	0.0481456
il	0.0369814	0.0255853	0.0171575	0.0178993	0.0210908	0.00987434	0.00825417	0.0147303	0.00750373	0.0077509	0.00709386	0.00637454	0.00729165	0.00735651	0.00743207	0.0088714	0.00859286	0.00902916	0.0098357	0.00897277	0.0153047	0.0124937	0.0175053	0.0150591	0.0169512	0.0148497	0.020051	0.0326185	0.0181364	0.0114705	0.0117435	0.0136216	0.0101354	0.0111196	0.00715119	0.00597535	0.00513304	0.0052361	0.00588436	0.00599273	0.00710041	0.00897043	0.0207656	0.0188274	0.0191047	0.0146213	0.0182238	0.0205642	0.0232281	0.0364192	0.0321529	0.0368015	0.0433035	0.0364978	0.0486011	0.0454054	0.0319184	0.033383
