 	a23	a50	a98	a9	a53	a94	a24	a75	a14	a44	a26	a38	a90	a56	a47	a62	a83	a90	a12	a21	a12	a43	a21	a12	a21	a94	a98	a41	a56	a98	a92	a44	a13	a62	a98	a83	a9	a87	</S>
il	0.0513111	0.0629414	0.0951899	0.171107	0.122286	0.0879182	0.0452329	0.0327665	0.0224084	0.0201775	0.0145083	0.0107864	0.00840968	0.0121216	0.00874523	0.0058827	0.00651307	0.00572289	0.00608566	0.00788044	0.0110631	0.0105071	0.0103719	0.0146503	0.00906295	0.0130218	0.0199393	0.00694606	0.00610907	0.00413614	0.0058271	0.00884484	0.00858635	0.00621676	0.00978513	0.0138219	0.00913055	0.00886803	0.0251159
faut	0.00613438	0.00546591	0.00838429	0.0106417	0.0118588	0.0189877	0.03652	0.0505452	0.0613335	0.0705387	0.0779176	0.101809	0.0257861	0.0234884	0.0475009	0.0327917	0.0387004	0.0279462	0.0361613	0.0274811	0.0135965	0.0132364	0.0154813	0.0125623	0.0146092	0.0164605	0.0132234	0.0140715	0.0190912	0.0170948	0.0229683	0.0194662	0.0213951	0.0156844	0.0104505	0.0117018	0.0106354	0.00908387	0.00919413
faire	0.0314674	0.0108138	0.0113717	0.00434242	0.0053843	0.0050917	0.00566351	0.0064825	0.0116527	0.0110152	0.0117086	0.0101443	0.00480864	0.00997543	0.00794333	0.0108645	0.00833517	0.00500836	0.00744552	0.0109218	0.0147157	0.0193654	0.026299	0.0100336	0.0163047	0.0291461	0.0199338	0.023473	0.0207167	0.0201811	0.0276898	0.0435458	0.044482	0.03734	0.0657376	0.0872438	0.0798735	0.113151	0.110327
attention	0.0102189	0.00697035	0.00795286	0.0115794	0.0150456	0.0124856	0.016174	0.0319148	0.0220527	0.0711128	0.0718217	0.0395786	0.043682	0.0325433	0.0402473	0.0488347	0.0361351	0.0374086	0.0219037	0.0230602	0.027209	0.0357476	0.0461501	0.0536323	0.0530129	0.03841	0.0215191	0.0180365	0.0110799	0.0077157	0.0100151	0.00979863	0.00783005	0.00645795	0.0084603	0.0119696	0.00864283	0.00767216	0.0159179
à	0.0272488	0.00738745	0.00545256	0.00411319	0.00430979	0.00416837	0.00585835	0.00793251	0.00705573	0.0108692	0.0143291	0.00947826	0.0140756	0.0100154	0.0104451	0.0193587	0.010891	0.0131412	0.0122874	0.0112661	0.0116286	0.0210043	0.033047	0.0446488	0.0554297	0.0822811	0.0740835	0.0623634	0.0473941	0.0465088	0.0401571	0.0374916	0.030961	0.0376347	0.0304708	0.0290062	0.0329324	0.0351698	0.0381034
ce	0.0628875	0.0201546	0.0223566	0.0103893	0.0101569	0.00585973	0.00888524	0.00592623	0.0100111	0.00816711	0.0114379	0.0122984	0.0145297	0.0211915	0.0253141	0.0287176	0.0211982	0.0190626	0.0183111	0.0179263	0.0174059	0.0232956	0.0305051	0.0241006	0.0284528	0.0369499	0.0371433	0.0346497	0.0371227	0.0348965	0.0362406	0.0383628	0.0421912	0.0386775	0.0311489	0.0393939	0.0384789	0.0357838	0.0404183
que	0.0882796	0.0335533	0.0261797	0.015514	0.0123273	0.00607897	0.0129959	0.00963909	0.0175974	0.0128007	0.0195299	0.0129105	0.0166761	0.0198971	0.0161133	0.0232047	0.0275166	0.022939	0.0262295	0.0296318	0.0358464	0.0341742	0.0308236	0.0286965	0.0188714	0.0184381	0.020365	0.01189	0.0164275	0.0159992	0.0338686	0.0497652	0.0311848	0.0323656	0.0258324	0.0423561	0.0498204	0.0284547	0.0252057
l'	0.0743304	0.0355875	0.0173579	0.00784835	0.00914835	0.00773403	0.0104658	0.010098	0.00939084	0.00705347	0.0149083	0.00818505	0.0121895	0.00832478	0.00976643	0.00888489	0.00963958	0.00896217	0.00953533	0.00988919	0.0181193	0.0209393	0.0231628	0.0331034	0.0438201	0.0400087	0.0431812	0.0233919	0.0297538	0.0271605	0.0406767	0.0686734	0.064219	0.0451867	0.0348544	0.054011	0.0573398	0.0330248	0.0100735
on	0.0603552	0.0285896	0.0392481	0.0343701	0.033013	0.0207869	0.0221336	0.0203553	0.0218477	0.0169501	0.0202675	0.00779307	0.010804	0.00859693	0.00728373	0.00921555	0.00949799	0.00609327	0.00825462	0.0100918	0.0135693	0.0125418	0.013226	0.0151878	0.0109512	0.0132866	0.0174097	0.0087451	0.0226108	0.0184648	0.0307311	0.0301013	0.0210706	0.0313941	0.0576876	0.05685	0.0582643	0.082762	0.0895979
vous	0.0652172	0.0359549	0.023517	0.019198	0.0206655	0.00664326	0.00759697	0.00736178	0.00644207	0.00378402	0.00491598	0.00154848	0.00231502	0.00164647	0.00141772	0.00185501	0.0019873	0.00164063	0.00253909	0.00420844	0.00875211	0.0103199	0.0117318	0.0145026	0.0141634	0.0230001	0.0295865	0.0174132	0.0419422	0.0333146	0.0386018	0.0313474	0.029608	0.0331146	0.0685221	0.0645991	0.0724455	0.118571	0.118009
