 	a87	a10	a87	a10	a87	a23	a50	a34	a90	a15	a98	a92	a37	a12	a61	a47	a32	a11	a62	a34	a98	a44	a84	a98	a44	a58	a2	a57	a87	a23	a87	a23	a83	a62	a31	a0	a11	a62	a96	a76	a69	a84	a53	a93	a70	a0	a24	a11	a10	a87	a23	a87	</S>
cette	0.0253846	0.0257484	0.0295774	0.0271918	0.0267354	0.0199943	0.0109658	0.0106174	0.0128558	0.032238	0.0426471	0.0350651	0.0254377	0.0251382	0.0230348	0.0207363	0.0147918	0.0167752	0.0201445	0.0225046	0.0347638	0.0386484	0.0202679	0.0162134	0.0186388	0.0194115	0.0181176	0.0102997	0.00713195	0.0107682	0.00898086	0.0137603	0.0175759	0.0214798	0.0267588	0.0186744	0.020249	0.0178868	0.0180247	0.00956615	0.00929513	0.00657225	0.009002	0.0129937	0.0104133	0.0103255	0.0156723	0.0154553	0.0145554	0.00940861	0.0159192	0.0136621	0.0219233
affaire	0.00192408	0.00210342	0.00315712	0.00521254	0.00729197	0.0102222	0.0110422	0.0378881	0.0434417	0.123883	0.116762	0.0775253	0.0383159	0.0343007	0.0235984	0.0540039	0.0115529	0.0182103	0.0258025	0.0260576	0.0357349	0.0396889	0.0463109	0.0335733	0.0169895	0.0279723	0.0236082	0.0199218	0.00843432	0.00969275	0.00584664	0.00940688	0.00669322	0.00440337	0.00730936	0.00349046	0.00321307	0.00221352	0.00212001	0.00184183	0.00260318	0.00141059	0.000739452	0.000900975	0.000581197	0.000502116	0.000901983	0.00144684	0.00115162	0.00110892	0.00194091	0.00230746	0.00364324
sera	0.0276842	0.0213213	0.0313542	0.0295621	0.0187309	0.0177783	0.0155856	0.0131542	0.0106616	0.0126838	0.0146809	0.0191053	0.0114834	0.00857571	0.0117406	0.0180986	0.0175641	0.0271393	0.0580839	0.0478823	0.0497279	0.0288028	0.0245716	0.0302314	0.0384207	0.021009	0.0375769	0.0301663	0.023272	0.0187003	0.0147093	0.0120935	0.00681445	0.0039831	0.00378607	0.00355567	0.00275604	0.00216555	0.00405094	0.00351814	0.00238006	0.00364486	0.00323827	0.00440729	0.00347359	0.00478533	0.00672194	0.0157253	0.0247891	0.0223828	0.0421072	0.0398049	0.0337573
traitée	0.02423	0.0234232	0.0127991	0.0109211	0.00928465	0.00843541	0.0165793	0.0132838	0.0100389	0.00449461	0.00613493	0.0185401	0.0113302	0.0110811	0.0144299	0.0209781	0.0367835	0.0484224	0.0554923	0.0679224	0.0404496	0.0418455	0.038415	0.024142	0.0210826	0.0202904	0.0159345	0.0223282	0.0176387	0.0198446	0.0204762	0.0153783	0.0185293	0.0200914	0.0363226	0.0363109	0.0192357	0.0314549	0.00898134	0.00563438	0.00633761	0.0051	0.010861	0.005551	0.00778539	0.008732	0.00836154	0.00695692	0.00697323	0.00920155	0.00967582	0.00854997	0.00692309
aujourd'	0.0485271	0.0373069	0.0279762	0.0282004	0.0222922	0.0235056	0.0218949	0.0165629	0.00945563	0.00700769	0.00725344	0.00714638	0.00854513	0.0348749	0.0570041	0.0357184	0.0479963	0.0531488	0.0370071	0.0425011	0.0217225	0.0241892	0.0190651	0.0103878	0.0133971	0.0083786	0.00995264	0.0084449	0.0109477	0.00821849	0.00789512	0.00527582	0.00581797	0.00731135	0.00738658	0.00937423	0.0121312	0.0148299	0.0182683	0.0110481	0.00965646	0.00605038	0.00774009	0.00755047	0.00648225	0.00754661	0.00774565	0.0107019	0.0167624	0.0176773	0.0306604	0.0203887	0.0430696
hui	0.0151682	0.012094	0.00946497	0.00993104	0.0107046	0.0103964	0.0157507	0.0174902	0.0152827	0.0100368	0.00966852	0.0183098	0.0315872	0.0591427	0.0752677	0.0504995	0.0692835	0.0485384	0.0273203	0.0270064	0.0221684	0.0286058	0.0294605	0.0152805	0.0134075	0.0149071	0.00970751	0.0161158	0.012134	0.0117522	0.0179979	0.00962965	0.0158209	0.0171027	0.0223538	0.0151242	0.0165998	0.011746	0.0174793	0.0159802	0.00863843	0.00705599	0.0091988	0.00935387	0.00771847	0.0115186	0.00846706	0.00968046	0.00791771	0.0125265	0.0120103	0.00993768	0.00965858
et	0.0183346	0.0101325	0.00856236	0.0093129	0.00869088	0.00740995	0.00731818	0.00610409	0.00658279	0.00580687	0.00987979	0.0152466	0.0181372	0.04402	0.0698195	0.0550631	0.0543753	0.0684146	0.0423071	0.0462859	0.0457017	0.0526406	0.0472764	0.0298734	0.0310558	0.0218971	0.0186561	0.0198261	0.0205071	0.0198629	0.0162875	0.0130236	0.0163157	0.0139381	0.0128336	0.00890023	0.00958918	0.00679889	0.0110805	0.00752257	0.00363328	0.00119803	0.00178423	0.00315184	0.00154134	0.00400549	0.005622	0.00438921	0.00555651	0.00623635	0.00919734	0.00772762	0.0105655
celle-ci	0.0171878	0.0101501	0.0114429	0.0105616	0.00727565	0.00542055	0.00448275	0.00438652	0.00384793	0.00323589	0.00606233	0.00518954	0.0113051	0.0305711	0.0364757	0.0260115	0.0201366	0.0291818	0.0286765	0.0267008	0.0303593	0.0258703	0.0259578	0.0265869	0.0271096	0.0194	0.0276757	0.0348844	0.0314282	0.0378573	0.0292513	0.0265638	0.029004	0.0307013	0.0221474	0.0218784	0.0175857	0.0145652	0.0177241	0.0175014	0.00989376	0.00517214	0.00661981	0.0108495	0.00545583	0.0148328	0.0189596	0.0194387	0.01587	0.0178463	0.019845	0.0187452	0.0241163
un	0.0231439	0.0134407	0.0141155	0.0147821	0.0110667	0.0125673	0.0114477	0.00953316	0.00490675	0.00636045	0.011375	0.012528	0.0177136	0.0279181	0.0317955	0.0289481	0.0346264	0.0306745	0.0265393	0.02971	0.0280573	0.0293723	0.0234928	0.0195894	0.0189405	0.0124543	0.015426	0.0175774	0.0227189	0.0207345	0.0219674	0.0179498	0.0163951	0.0201996	0.0126859	0.0116357	0.00941327	0.00888363	0.00832063	0.00927683	0.00429064	0.00518202	0.00579946	0.0108992	0.00622651	0.0163562	0.016857	0.0214441	0.0362476	0.0318732	0.0395828	0.0349396	0.052018
autre	0.0144683	0.0198451	0.0212701	0.0226033	0.023036	0.0217643	0.0215132	0.0170658	0.00883006	0.00918878	0.0162816	0.0153014	0.0119302	0.0319732	0.0243756	0.0189946	0.0155571	0.0213141	0.0190604	0.0219997	0.0264369	0.0316683	0.0266508	0.0212181	0.0177309	0.0216588	0.0183778	0.0335268	0.0249051	0.0409548	0.0276183	0.0325813	0.0304036	0.0266072	0.020463	0.0138282	0.00851903	0.00888202	0.00733862	0.0074494	0.00354984	0.00447886	0.00490212	0.0113352	0.00469623	0.011019	0.0163962	0.0210376	0.0145573	0.0152764	0.0232134	0.0214035	0.0249423
