 	a66	a87	a97	a10	a87	a97	a87	a97	a38	a90	a98	a92	a56	a93	a25	a92	a56	a96	a18	a71	a24	a88	a9	a99	a97	a87	a97	a82	a62	a5	a79	a44	a93	a90	a79	a44	a40	a98	a47	a79	a15	a69	a15	a47	a37	a98	a15	a7	a26	a57	a97	a99	a97	a3	a97	a99	a97	a87	a97	a87	a97	</S>
cette	0.0176912	0.0145824	0.0196641	0.0123337	0.0103109	0.00902579	0.00896572	0.00708717	0.0119207	0.0124127	0.0115215	0.0152508	0.0137807	0.0265751	0.0395218	0.0684524	0.0867389	0.0519677	0.0637624	0.0451151	0.0489847	0.0519528	0.0254926	0.0283795	0.0288156	0.0263451	0.0149084	0.0125846	0.011978	0.0105648	0.0121706	0.0179338	0.00751424	0.00521084	0.00642111	0.00585216	0.00467044	0.00366352	0.0072277	0.00504891	0.00949781	0.00699171	0.0033546	0.00445963	0.00272842	0.00519948	0.00655936	0.00673536	0.00390677	0.00333379	0.00388912	0.00394582	0.00431042	0.00401559	0.00275557	0.00443016	0.00336037	0.00500012	0.00366878	0.00504479	0.00535157	0.0190605
fille	0.00107192	0.000950166	0.00259625	0.00314374	0.00819791	0.0136937	0.0277065	0.0281043	0.0942202	0.0553959	0.147257	0.102508	0.0901103	0.0904164	0.0548568	0.0542075	0.0516074	0.0269596	0.0138664	0.0167048	0.00879138	0.00587741	0.00530409	0.00251461	0.00136374	0.00256302	0.00213629	0.00271895	0.00304363	0.00629048	0.00472338	0.00304044	0.00468285	0.00305289	0.00218192	0.00507983	0.00208421	0.00349799	0.00646603	0.00589994	0.00998833	0.00746446	0.00237405	0.00279797	0.00186588	0.00238073	0.00246488	0.0018292	0.000802892	0.000410716	0.000167581	0.000279537	0.00020084	0.000140144	0.000317662	0.000117676	0.000181279	0.000127813	9.28333e-05	0.000193976	0.000217819	0.000695467
est	0.0214993	0.0114513	0.0130332	0.0163494	0.0127683	0.0135054	0.0130981	0.00912815	0.00841659	0.00968809	0.0111645	0.0139115	0.0173073	0.0170835	0.0138946	0.0239193	0.0260807	0.0368599	0.029534	0.0227741	0.0288181	0.0354226	0.0274535	0.0305859	0.0354361	0.0387489	0.028008	0.0310549	0.0714346	0.0544032	0.0458505	0.0352302	0.0227443	0.0130539	0.0122824	0.016995	0.00819361	0.00633585	0.0073564	0.00567326	0.00539112	0.00320574	0.00258445	0.00603127	0.00556709	0.00935775	0.00678919	0.00632714	0.00381131	0.00297394	0.00234618	0.00221192	0.000951662	0.00130269	0.00166751	0.00175828	0.00160115	0.00169534	0.00399628	0.00663286	0.0151931	0.0120556
calme	0.0362204	0.0175108	0.00889118	0.0101035	0.0102336	0.00609232	0.00628347	0.0066015	0.005903	0.00593091	0.0055864	0.00572379	0.00778883	0.00978802	0.0126407	0.010783	0.0270186	0.0279035	0.0142248	0.0133126	0.0118972	0.0266169	0.014199	0.0198994	0.0216851	0.0200716	0.0289621	0.0210911	0.0216166	0.020084	0.0286338	0.0400393	0.0329757	0.0363429	0.0282758	0.0324923	0.0170251	0.0190561	0.0136988	0.0131807	0.00839391	0.0107385	0.0130988	0.0318517	0.0249256	0.0149181	0.00848688	0.00995311	0.0172548	0.012111	0.0126872	0.0114221	0.0152845	0.0173649	0.013908	0.00892712	0.0156637	0.010445	0.00674495	0.00469009	0.00499496	0.00975042
si	0.0238622	0.0175519	0.0152284	0.0195925	0.0228474	0.0197579	0.0166398	0.011392	0.0102485	0.00755061	0.00560812	0.00866379	0.0116066	0.013726	0.0212998	0.0164154	0.0139337	0.0176832	0.0250623	0.030342	0.0276856	0.030231	0.0354773	0.03515	0.0325123	0.0361193	0.0313077	0.028574	0.0246585	0.0270388	0.025824	0.0292533	0.0213488	0.0277554	0.0372337	0.0235404	0.0232428	0.0179628	0.0112856	0.00698489	0.00532114	0.00496241	0.00712471	0.00937157	0.00743636	0.00721891	0.0057874	0.00541827	0.00906078	0.00483909	0.00438376	0.0030977	0.00334466	0.00297545	0.00342437	0.00574752	0.00423159	0.00641462	0.00451672	0.00603274	0.00513611	0.0219562
bien	0.0158061	0.00884514	0.0100734	0.0103239	0.0100274	0.0112814	0.00807457	0.00843222	0.00533885	0.0081825	0.0047862	0.00902789	0.00824751	0.0115094	0.0161166	0.0101162	0.00828176	0.0192924	0.0314941	0.0226579	0.0256713	0.0311128	0.0301962	0.0482665	0.0441436	0.0362867	0.0364159	0.0458462	0.0382347	0.0392484	0.0411961	0.0415864	0.0387724	0.0318442	0.0332892	0.0244085	0.0191165	0.019429	0.00750583	0.00495339	0.00405202	0.00335018	0.00373583	0.00836084	0.00603219	0.00683863	0.00520321	0.00472212	0.00820365	0.00617016	0.00578462	0.00331307	0.00364563	0.00474882	0.00538073	0.00694104	0.00444881	0.00506663	0.00474825	0.00627459	0.00523011	0.0123094
qu'	0.0141599	0.0100088	0.00764596	0.0101611	0.00735725	0.00813196	0.00813069	0.00778254	0.00568234	0.00693105	0.0050882	0.00482227	0.00613365	0.00696799	0.0108789	0.00828103	0.0102024	0.0215277	0.0224345	0.0258942	0.0306457	0.0481779	0.0476217	0.0514726	0.0483415	0.0395295	0.0547769	0.0365547	0.0319464	0.0250786	0.0341353	0.0288424	0.0280415	0.0222396	0.0429769	0.0364972	0.031782	0.0279471	0.0144931	0.0111628	0.0069933	0.0039274	0.00539595	0.00709375	0.00484461	0.00562874	0.0041607	0.00269404	0.00433875	0.00236645	0.00321941	0.00210722	0.00274741	0.00237354	0.00317451	0.00387721	0.00288756	0.00366277	0.0033788	0.00739512	0.00715167	0.0100954
il	0.0175811	0.0130052	0.00960367	0.0081983	0.00272746	0.00397428	0.00200875	0.00217759	0.00298238	0.00428282	0.00235616	0.00371366	0.00386511	0.00541926	0.00984646	0.0158596	0.0174357	0.022344	0.0256182	0.0339256	0.0291793	0.0396495	0.0417663	0.0595481	0.0706491	0.0580737	0.0641971	0.0370157	0.0400622	0.029062	0.0340575	0.0218329	0.0293867	0.0209808	0.0379114	0.0154734	0.0123927	0.0093004	0.0115947	0.00644434	0.00684633	0.00602105	0.00519803	0.00449037	0.00444568	0.00745625	0.00701692	0.00497443	0.00400117	0.00232804	0.00345714	0.00292728	0.00426351	0.00482555	0.00387388	0.00494764	0.00492122	0.00567144	0.0052838	0.00878669	0.0118644	0.0108962
te	0.0206314	0.0226986	0.0146374	0.0171641	0.012576	0.010729	0.0104023	0.0129178	0.00683948	0.00894974	0.00316415	0.00324722	0.00291139	0.00420472	0.00513855	0.00849056	0.012449	0.0128715	0.0205659	0.0229168	0.0166869	0.035164	0.0290891	0.0354223	0.0248524	0.0189925	0.0270661	0.0184024	0.020142	0.020954	0.0234425	0.0192564	0.0414867	0.0332965	0.0490262	0.0333648	0.0260127	0.0159287	0.0171374	0.0170292	0.0131764	0.0107348	0.0106139	0.0105646	0.00964806	0.00981212	0.00884906	0.00605476	0.00685345	0.00522468	0.00717025	0.0057374	0.00809074	0.00682667	0.00728314	0.0123578	0.00939682	0.0139523	0.00951785	0.0193476	0.0233021	0.0292272
faut	0.0187269	0.0195542	0.017286	0.0164111	0.0165898	0.0100777	0.0119207	0.0156716	0.00932437	0.0094512	0.00594166	0.00574358	0.0052143	0.00558088	0.00667082	0.00902069	0.00814188	0.0114866	0.0205924	0.0173446	0.0180169	0.0304795	0.0303718	0.0300663	0.0246005	0.0207246	0.0255356	0.018453	0.0181224	0.01697	0.020102	0.0237461	0.0305125	0.0257581	0.0304215	0.0237792	0.0260375	0.0209011	0.0117896	0.0129942	0.0112462	0.00995332	0.0114194	0.0164266	0.00958207	0.0115375	0.00945225	0.00862262	0.0125134	0.00925438	0.0112412	0.00923232	0.00987253	0.00809357	0.00704771	0.0102487	0.00875711	0.0103901	0.0106874	0.0214292	0.024284	0.0585751
