 	a23	a38	a75	a41	a14	a66	a26	a83	a25	a87	a23	a26	a24	a71	a38	a26	a41	a14	a35	a11	a75	a76	a35	a66	a26	a24	a25	a38	a75	a14	a73	a57	a87	</S>
il	0.129783	0.16037	0.111548	0.0952769	0.0513898	0.0311388	0.0176087	0.0187165	0.0151418	0.0202154	0.0149152	0.00999953	0.0087364	0.00670089	0.00960434	0.00684506	0.010141	0.00983281	0.00818394	0.00606317	0.00585419	0.00773794	0.015423	0.00770278	0.0169179	0.0285418	0.0141033	0.0142398	0.0331194	0.0258438	0.0297228	0.014264	0.0219131	0.0224046
n'	0.00403416	0.00808591	0.0146611	0.0418508	0.0497647	0.0487683	0.0514726	0.0659758	0.0372459	0.0270161	0.0145827	0.0283794	0.0246626	0.0231182	0.0330759	0.025744	0.0382214	0.0483914	0.0216665	0.0154312	0.0139605	0.0131446	0.0139683	0.0471288	0.0450141	0.0224293	0.0371657	0.023907	0.0183949	0.0268041	0.0345641	0.0405464	0.0219531	0.0188702
y	0.0250023	0.0386329	0.025164	0.0269135	0.0327157	0.0172518	0.0363059	0.0675803	0.0241779	0.0230472	0.0166599	0.0197957	0.0217051	0.0123014	0.0128823	0.0104651	0.0156192	0.0392	0.0178997	0.0130482	0.0216228	0.0116532	0.00829117	0.013191	0.0115418	0.0165242	0.0198819	0.0198875	0.0600053	0.06561	0.0771369	0.0382784	0.0694654	0.0705427
a	0.0293702	0.0315169	0.0278231	0.0358094	0.0401615	0.0527536	0.056372	0.0607721	0.05805	0.0657398	0.048186	0.0281745	0.0234516	0.0172106	0.0173453	0.0169264	0.0116578	0.0164087	0.017926	0.0143551	0.0176129	0.015068	0.00965075	0.0281298	0.0251208	0.0193796	0.0240568	0.0220812	0.02713	0.0270105	0.0393975	0.0182028	0.022903	0.0342454
pas	0.0887247	0.0756148	0.0618199	0.0433059	0.0439488	0.0437373	0.0518033	0.0252078	0.0422229	0.0327071	0.032903	0.0216039	0.0167909	0.0125166	0.0135708	0.0149166	0.013028	0.0137026	0.013654	0.0123135	0.0128923	0.0132436	0.0103205	0.0209799	0.0179443	0.0173662	0.0146761	0.0147004	0.0208692	0.0188745	0.0259167	0.0387633	0.0456115	0.0537488
d'	0.0666226	0.0435254	0.0329337	0.0254994	0.0249196	0.0260368	0.0235625	0.015948	0.02152	0.0196783	0.0196438	0.0164595	0.0126007	0.00962282	0.0108662	0.00920051	0.0103166	0.0132924	0.0123654	0.0109917	0.0132234	0.016937	0.0204039	0.0238074	0.0242452	0.0376404	0.0281961	0.0360595	0.0670269	0.0445325	0.0569238	0.0499204	0.0723837	0.083094
acheteur	0.0638623	0.0383335	0.0388835	0.0323197	0.0352737	0.0306149	0.0344306	0.0276528	0.0251122	0.0313311	0.0204608	0.0130529	0.0124926	0.0146387	0.0256122	0.0214594	0.0205246	0.0328603	0.0314072	0.02017	0.0262685	0.0488939	0.0360934	0.0322875	0.0247906	0.0224982	0.015917	0.0143408	0.0381962	0.0219648	0.0301202	0.0215628	0.0475289	0.0490441
pour	0.0776943	0.0309878	0.0325666	0.0182083	0.0144106	0.0100693	0.0140553	0.0106736	0.0131886	0.0173082	0.0117812	0.0131077	0.0126973	0.0109933	0.0119335	0.00934233	0.0133712	0.0176106	0.0167138	0.0175214	0.0183622	0.0388908	0.0489586	0.0279876	0.0356418	0.0664313	0.0425518	0.0593	0.0655598	0.041987	0.0448946	0.0350147	0.0538851	0.0462998
ces	0.0430041	0.0189312	0.0210628	0.0154374	0.0238596	0.0178164	0.0183017	0.0150541	0.0165241	0.0192729	0.0138881	0.0181486	0.0159771	0.0137304	0.0114705	0.0100496	0.0113309	0.0187051	0.0141778	0.0151289	0.0139597	0.0270003	0.0327147	0.0221114	0.0375723	0.0696011	0.0482616	0.0469545	0.0716965	0.0428598	0.0523837	0.0409049	0.0732563	0.0688519
marchandises	0.0292049	0.0135642	0.0171944	0.0115951	0.0178022	0.0146101	0.0180793	0.0178736	0.0169957	0.012532	0.00936987	0.0144892	0.0116144	0.00674344	0.00819556	0.00652511	0.00825767	0.0296942	0.0172587	0.0143878	0.026129	0.0405365	0.0565899	0.0330451	0.0391988	0.069744	0.0528467	0.0563926	0.0799039	0.0550416	0.0551646	0.050152	0.0529668	0.0363009
</S>	0.0908154	0.035028	0.0367582	0.019512	0.0201027	0.00665074	0.0124168	0.0125102	0.00892118	0.00608753	0.00596193	0.00562903	0.00426559	0.00374049	0.00316562	0.0035561	0.004561	0.00468903	0.00348329	0.00368498	0.00409243	0.0049339	0.00672196	0.00928923	0.0245655	0.0644221	0.0395019	0.0641258	0.0812435	0.0702615	0.0815355	0.0923517	0.103946	0.0614692
