 	a23	a87	a23	a79	a58	a82	a57	a84	a20	a73	a2	a84	a57	a84	a20	a58	a90	a69	a58	a57	a53	a20	a73	a2	a75	a73	a2	a57	a10	a20	a73	a32	a90	a69	a4	a98	a71	a9	a38	a24	a9	a87	</S>
il	0.104985	0.0788827	0.0648705	0.0831963	0.0216571	0.0185718	0.0135482	0.0146605	0.0166223	0.0220666	0.0213537	0.0302134	0.0133481	0.0304109	0.0161359	0.0146804	0.0258988	0.0223649	0.0192534	0.00980974	0.0171385	0.00676601	0.00556074	0.005249	0.00651348	0.00601817	0.00654219	0.00993257	0.010832	0.0121138	0.0140067	0.040651	0.0679413	0.0149022	0.0120178	0.0141773	0.0159163	0.0116403	0.00983624	0.00986853	0.0165813	0.0152652	0.0279994
n'	0.00862424	0.00785237	0.00781542	0.00741199	0.0178451	0.0248155	0.0266179	0.0283816	0.0328043	0.0723876	0.0532295	0.0426588	0.0267452	0.0388713	0.0185918	0.0309601	0.039084	0.0273519	0.036714	0.0254566	0.0200493	0.0142834	0.0164191	0.0170048	0.0133382	0.0202601	0.0132153	0.0127721	0.0165061	0.0133704	0.00893485	0.0163753	0.0142929	0.0120724	0.0143069	0.0102591	0.0224511	0.0185517	0.0287719	0.0275806	0.0278929	0.0296018	0.0374707
y	0.0683044	0.0649368	0.037503	0.0240911	0.0379957	0.027581	0.0267009	0.0267989	0.0207623	0.0236671	0.0219807	0.027545	0.0315094	0.0227446	0.0158279	0.0210577	0.0604222	0.0304002	0.04595	0.0417815	0.028076	0.0184858	0.0109294	0.00774821	0.0051317	0.00419043	0.00670716	0.00639562	0.00390303	0.0056306	0.00251464	0.00202421	0.0010871	0.00290013	0.00605122	0.0108348	0.0163662	0.0158717	0.0226474	0.0218453	0.0245073	0.0462062	0.0523854
a	0.0220247	0.0308431	0.0409068	0.0285791	0.0461223	0.0363866	0.0223439	0.0290722	0.0317945	0.0269219	0.0258794	0.0246936	0.0425412	0.0207798	0.0497161	0.0395861	0.042907	0.0313253	0.0343589	0.0392803	0.045499	0.0279751	0.0347258	0.0221702	0.0135292	0.00912943	0.00809598	0.00984209	0.00740189	0.0081782	0.0106089	0.00775596	0.00929005	0.0107393	0.0104192	0.00935418	0.00869298	0.00974641	0.0107632	0.0140874	0.0146628	0.0137125	0.0175576
pas	0.0521676	0.047228	0.0464463	0.0436921	0.0430506	0.0350683	0.0324028	0.0314995	0.0389929	0.0241493	0.0367766	0.0249486	0.0308599	0.0272877	0.0317139	0.0256739	0.0230892	0.0254065	0.0258229	0.0233911	0.0279732	0.0246271	0.0257112	0.0202682	0.0240001	0.0230557	0.0162497	0.0284447	0.0198904	0.0146092	0.0166448	0.011888	0.0058377	0.00392688	0.00251806	0.00210868	0.00200474	0.00217107	0.00304094	0.00813054	0.00945331	0.0157662	0.022012
assez	0.0503867	0.0423077	0.040366	0.0289631	0.0320695	0.0294325	0.0253546	0.0235492	0.0204922	0.0204984	0.0189715	0.0172755	0.0205233	0.0197333	0.023071	0.0239645	0.0231858	0.0236729	0.0241245	0.0233268	0.0217087	0.0196225	0.016277	0.0135612	0.0135927	0.0106856	0.0102804	0.0102288	0.0113298	0.0120376	0.011704	0.0106638	0.00995887	0.0132781	0.0121452	0.0177548	0.0186952	0.0236533	0.0233833	0.0371263	0.0465962	0.0454561	0.0589915
de	0.080939	0.0417834	0.029702	0.0233409	0.0231033	0.0156385	0.0107366	0.00496608	0.00859869	0.0108706	0.00746668	0.0126535	0.0175279	0.0154356	0.0228377	0.0218015	0.0204092	0.0190802	0.0154753	0.0215001	0.0166759	0.0190868	0.0263657	0.0226659	0.0258383	0.018694	0.0159467	0.0165919	0.0179684	0.0212775	0.0264027	0.0213199	0.0134751	0.0080452	0.00489269	0.0101754	0.0111739	0.0178372	0.0168027	0.0491191	0.0703609	0.0642873	0.0611302
sel	0.0343168	0.0193088	0.0127086	0.00928281	0.015094	0.0133792	0.0113129	0.00804571	0.00818662	0.0126811	0.00919801	0.0151777	0.0160022	0.0173565	0.020999	0.0209465	0.0272825	0.0211177	0.0181328	0.0220811	0.0120429	0.0115401	0.0202732	0.0186227	0.0266403	0.0270466	0.0165836	0.0166224	0.0142429	0.0148235	0.0140931	0.0146062	0.0174113	0.0154725	0.0156148	0.0309935	0.0293477	0.0404625	0.0473515	0.0629236	0.0859462	0.0665406	0.048188
dans	0.100917	0.0526798	0.0331248	0.0246028	0.0142924	0.0119023	0.0114244	0.00945133	0.00925575	0.0100215	0.01326	0.0154005	0.00879536	0.0183885	0.0157766	0.0118948	0.00995547	0.00941505	0.00721248	0.00807072	0.00521387	0.00696322	0.00988041	0.00829448	0.00830963	0.00444281	0.00500836	0.00777064	0.00595496	0.00477273	0.00829487	0.0112365	0.0102792	0.00509389	0.00527892	0.0150534	0.0404921	0.0291936	0.0480465	0.060923	0.0833494	0.0951358	0.12517
la	0.0807248	0.0388192	0.0169403	0.014557	0.0109357	0.00789178	0.00850173	0.0059125	0.00508199	0.00823534	0.00583429	0.00878491	0.00600071	0.0139615	0.0111545	0.00808602	0.0119335	0.00759953	0.00742007	0.00887208	0.0062023	0.00648819	0.0132354	0.0126225	0.0153231	0.00914567	0.00629568	0.0110669	0.00766069	0.00436811	0.00780751	0.010873	0.00829308	0.00476032	0.00545312	0.0208525	0.0702297	0.035681	0.0631722	0.0771188	0.0914928	0.101559	0.123051
