 	a66	a87	a23	a18	a25	a53	a4	a70	a50	a62	a83	a18	a53	a90	a93	a54	a92	a37	a79	a44	a4	a13	a9	a99	a87	a23	a26	a83	a34	a5	a37	a18	a27	a30	a57	a87	a23	a87	</S>
la	0.036241	0.0406513	0.0362484	0.0375291	0.0486515	0.0347577	0.0394473	0.0485696	0.0391964	0.0408573	0.0369465	0.0342969	0.0182221	0.0185992	0.0221926	0.014376	0.0174498	0.0178066	0.026261	0.0252956	0.0351943	0.0229557	0.0178944	0.02858	0.0155754	0.0181713	0.0152861	0.0159769	0.0118603	0.0169904	0.0196816	0.0210545	0.0168857	0.0117046	0.0119242	0.0148316	0.0193638	0.0154483	0.0370253
manière	0.0018403	0.00412942	0.00274973	0.00320948	0.005918	0.0104691	0.0243196	0.0298692	0.0540515	0.0517248	0.0766549	0.114236	0.0778176	0.0713697	0.0565195	0.0496432	0.0826071	0.0434786	0.0649038	0.0269016	0.0305544	0.0356622	0.0239126	0.0101047	0.0105993	0.0051734	0.00409143	0.00245833	0.00246079	0.00260545	0.00293692	0.00432316	0.00117346	0.00176302	0.000850507	0.00138063	0.00185439	0.00394401	0.0017385
dont	0.0600819	0.0377601	0.0439295	0.026138	0.0306587	0.0350617	0.0214144	0.0327195	0.0217887	0.0263321	0.0170918	0.0393945	0.0249724	0.0387656	0.0507734	0.0378474	0.0223115	0.0153685	0.00858269	0.0100789	0.00805735	0.00842251	0.00915184	0.00830687	0.0105079	0.0065419	0.00496229	0.00570383	0.00782149	0.0105909	0.0112962	0.0203902	0.030163	0.0324604	0.0465426	0.0428939	0.0448615	0.059711	0.0305428
cet	0.030295	0.0252191	0.0145807	0.0130094	0.0247434	0.0305471	0.0222156	0.015399	0.021704	0.0290226	0.022174	0.0247393	0.0168052	0.0319172	0.0534874	0.0155688	0.00916151	0.00685557	0.00372402	0.00581906	0.00798137	0.0157387	0.0299263	0.0222271	0.0517563	0.0315412	0.0238638	0.0216912	0.037819	0.0308629	0.0294204	0.0498217	0.0149556	0.0218729	0.0336834	0.0344084	0.038946	0.0555876	0.0309081
enfant	0.0434364	0.033388	0.0256953	0.0270228	0.0266775	0.0171401	0.00814625	0.0143101	0.0171447	0.0204264	0.0226315	0.0232062	0.0276558	0.0377036	0.0449609	0.0252604	0.00854872	0.0101292	0.00678681	0.0132991	0.0135642	0.0153133	0.0111539	0.0387023	0.0385202	0.0326959	0.0227965	0.0174078	0.0178369	0.0135256	0.00853905	0.0176417	0.00914157	0.0284715	0.0345774	0.0469719	0.0358503	0.0602954	0.0834245
est	0.0295576	0.0249269	0.0369654	0.0334856	0.0322803	0.0192846	0.0120031	0.0124304	0.0154545	0.0231357	0.0229781	0.0225502	0.0266049	0.0256954	0.0230046	0.0241652	0.0145714	0.0129665	0.0142226	0.0104337	0.0192206	0.0143223	0.00663117	0.0182634	0.0289457	0.0344867	0.0193553	0.0217884	0.020597	0.0144611	0.0161947	0.0440946	0.0214738	0.0305756	0.0405041	0.0449358	0.044724	0.0456608	0.0770479
fatigué	0.0645269	0.0385334	0.0407716	0.0336103	0.0333194	0.0261715	0.0104128	0.00418706	0.00552842	0.00653221	0.0117761	0.0103165	0.0120867	0.0103421	0.0106747	0.0142307	0.0124784	0.0192344	0.0272447	0.0279166	0.0398046	0.0361713	0.0175391	0.0299784	0.0252949	0.0188222	0.0158174	0.0194805	0.0267723	0.013452	0.0147639	0.0331669	0.0208944	0.03442	0.0452037	0.0450287	0.0415887	0.0361494	0.0657568
montre	0.0462982	0.021054	0.0236516	0.0229146	0.0272792	0.0144989	0.00617366	0.00323546	0.00476009	0.00788639	0.0109989	0.0115432	0.0142226	0.0167375	0.0184442	0.0218017	0.0185843	0.0256993	0.0277221	0.0289653	0.028668	0.0145222	0.0106213	0.0207772	0.0348198	0.0263733	0.0393739	0.0251373	0.028476	0.0189465	0.0163182	0.0254305	0.0223553	0.0486344	0.0514831	0.0522268	0.0466291	0.0379084	0.0788274
qu'	0.0259642	0.0138357	0.0126629	0.0116191	0.0127704	0.0086497	0.00513546	0.00619079	0.00937007	0.0149844	0.022572	0.0178762	0.0216744	0.0254801	0.0306107	0.025879	0.0214363	0.0246033	0.0301562	0.0276249	0.0172569	0.0118444	0.0135805	0.0158084	0.0177741	0.017178	0.0233276	0.0223265	0.0243358	0.0282085	0.0274451	0.0327127	0.0414971	0.0576013	0.053085	0.0584827	0.0524389	0.0508101	0.0651906
il	0.0235573	0.0197935	0.0163528	0.0128593	0.00908792	0.00694134	0.00728489	0.0202494	0.0229735	0.0315426	0.0355378	0.0354865	0.0300299	0.0389752	0.0431719	0.0252737	0.0150763	0.0147882	0.0197942	0.025105	0.0205093	0.0171741	0.0142563	0.0221551	0.0127556	0.0215957	0.0172976	0.0164893	0.0194698	0.0142087	0.0188078	0.0313122	0.0209583	0.052214	0.037051	0.0541241	0.044181	0.0471358	0.0644228
