 	a15	a66	a87	a23	a99	a40	a36	a5	a61	a88	a40	a76	a98	a92	a41	a75	a5	a43	a75	a5	a61	a31	a88	a31	a88	a75	a5	a18	a43	a75	a5	a36	a61	a12	a23	a27	a82	a87	a23	a87	</S>
maman	0.0504725	0.0359558	0.0283735	0.0217532	0.0298331	0.0561691	0.0711692	0.116659	0.0946795	0.0428926	0.023585	0.0172833	0.0136697	0.0122405	0.010164	0.00967984	0.0122441	0.0102991	0.0108058	0.0109226	0.0110529	0.0108726	0.0106631	0.0132771	0.0114884	0.0102489	0.00826179	0.0138701	0.0117379	0.0104346	0.00889758	0.00772942	0.0107974	0.0131843	0.0141415	0.0188074	0.0145952	0.0177264	0.01952	0.0180238	0.0658186
a	0.0212873	0.0244009	0.0321884	0.0268096	0.0377715	0.0285718	0.0205028	0.0218056	0.0187106	0.0228326	0.0373866	0.0255753	0.0272698	0.0156359	0.00825982	0.0214135	0.0125526	0.0167543	0.00942141	0.0136152	0.0114527	0.00622105	0.00782206	0.00841224	0.00829238	0.0103457	0.00910342	0.0216695	0.0173663	0.0302401	0.0501972	0.047251	0.0405333	0.0495865	0.0337583	0.0387311	0.0386464	0.0375886	0.0363135	0.0317954	0.0219076
mis	0.0579357	0.0308994	0.028043	0.0227483	0.018615	0.020662	0.0148067	0.01309	0.0138671	0.0351105	0.045317	0.0372998	0.0562408	0.0456136	0.0282208	0.04051	0.0241433	0.0312985	0.0208016	0.0235469	0.0217704	0.0143107	0.0164448	0.00956319	0.00861245	0.00881861	0.00588654	0.00754537	0.00672451	0.00995315	0.0188032	0.0153469	0.0221203	0.0337102	0.0186401	0.0224115	0.024891	0.0303833	0.0381615	0.0381119	0.0190204
le	0.0353681	0.028545	0.0176681	0.0206633	0.0132564	0.0118695	0.0114604	0.0106469	0.0141569	0.0210642	0.0162289	0.0160344	0.0197211	0.0170892	0.0161658	0.0146766	0.00930449	0.0119948	0.00972406	0.0105105	0.00983057	0.011072	0.0117371	0.0106508	0.0193058	0.0204149	0.0200093	0.0125448	0.0198794	0.0233003	0.0386534	0.0237116	0.0296131	0.0636545	0.0353016	0.0617727	0.0489014	0.0619997	0.0438427	0.0561857	0.0514701
manioc	0.0309437	0.0217526	0.0184628	0.017943	0.0163042	0.0139315	0.0233174	0.0316571	0.042713	0.0495315	0.0523655	0.0600566	0.0507024	0.0426251	0.0421506	0.0387766	0.049341	0.045266	0.0437213	0.036568	0.0273925	0.0270958	0.0223358	0.0216401	0.0158357	0.0128335	0.010729	0.00751854	0.0101611	0.0104769	0.013971	0.00788574	0.00746618	0.00970057	0.00641069	0.0102613	0.0106439	0.00862579	0.0134158	0.0129233	0.00454704
dans	0.0700462	0.0410185	0.0316885	0.0268565	0.0258444	0.0157537	0.0236033	0.0264766	0.0306535	0.0243309	0.0271607	0.0243586	0.0266313	0.0190439	0.0225544	0.0276057	0.0237774	0.0248169	0.0312808	0.0316629	0.0231851	0.0217671	0.0165734	0.0193674	0.015484	0.0245215	0.030654	0.0210074	0.0131331	0.016445	0.0198509	0.0195076	0.0143664	0.0114412	0.0204611	0.012294	0.0183055	0.0257284	0.0259749	0.0218216	0.032946
un	0.077396	0.0374881	0.032169	0.0214435	0.0265303	0.0115477	0.00916731	0.00865641	0.013907	0.0151982	0.0204021	0.014617	0.00938198	0.00770701	0.00708374	0.0121724	0.00963293	0.0121708	0.0125432	0.017485	0.0213166	0.0197523	0.0198093	0.0207824	0.0166462	0.0207682	0.0187877	0.0171359	0.0113394	0.0173551	0.0239306	0.0446177	0.0324832	0.0383989	0.034795	0.0380743	0.04158	0.0449825	0.0585433	0.0520165	0.0301852
panier	0.0310679	0.0143768	0.0113645	0.00905279	0.00947313	0.00506898	0.00348554	0.00314821	0.00664995	0.0112464	0.0119253	0.0122585	0.0112707	0.0111302	0.0108777	0.0222763	0.017031	0.0191104	0.0208827	0.0243097	0.0220396	0.0230117	0.0175196	0.0176704	0.0129384	0.00988413	0.0132769	0.00773055	0.00871591	0.0183766	0.0256807	0.0612877	0.0680154	0.060665	0.0769716	0.0636658	0.0678777	0.0623644	0.0467827	0.0351627	0.0143559
pour	0.0229006	0.0139518	0.00769341	0.00679458	0.00789142	0.00496761	0.00354484	0.00325484	0.0053704	0.00565568	0.00480715	0.00396013	0.00287309	0.00218527	0.00226403	0.00282392	0.00343555	0.00298714	0.00356723	0.00285864	0.00438543	0.00683465	0.0121762	0.0143813	0.0190705	0.0237503	0.012627	0.00727134	0.00385842	0.00785863	0.0221674	0.043472	0.0531381	0.0446343	0.0613719	0.0755782	0.0950979	0.0866954	0.127377	0.121499	0.0429684
faire	0.0190364	0.0110901	0.0053558	0.00488615	0.00592634	0.00261981	0.00282386	0.0025182	0.00600361	0.0115247	0.0120166	0.0115956	0.0102049	0.00649458	0.00779642	0.0127825	0.0122002	0.0136175	0.0130566	0.0124939	0.0164982	0.0182372	0.0231816	0.0233378	0.029301	0.0319003	0.0198088	0.0182916	0.0155649	0.0244384	0.0510637	0.0373091	0.0456751	0.0379466	0.0484575	0.0487055	0.0648973	0.0589185	0.0964488	0.0781296	0.0278443
