 	a84	a10	a87	a23	a12	a62	a75	a85	a92	a37	a61	a62	a18	a62	a21	a12	a96	a88	a50	a62	a21	a85	a6	a37	a6	a37	a26	a84	a87	a23	a9	</S>
cet	0.0481247	0.0669039	0.0351659	0.0229627	0.0265591	0.0237444	0.021881	0.0262227	0.0251249	0.0199183	0.0182821	0.0186571	0.0228388	0.0200638	0.0192728	0.017481	0.0299472	0.0290053	0.0589967	0.0286816	0.0406156	0.0293481	0.0350794	0.0298741	0.0269054	0.0331417	0.0370358	0.0313296	0.0337353	0.0407446	0.0305356	0.0518206
endroit	0.0128462	0.0316348	0.033636	0.0621769	0.0771583	0.0730461	0.104261	0.0803169	0.0697645	0.0848562	0.0726159	0.055395	0.0506958	0.0257987	0.0172877	0.0139758	0.0172153	0.0138862	0.013656	0.00828004	0.00600216	0.00719738	0.0194868	0.00898549	0.00448129	0.00204404	0.00531258	0.00965311	0.00268996	0.00344156	0.00511773	0.00708496
où	0.052383	0.023393	0.0273986	0.0242317	0.0261474	0.0293508	0.0390353	0.0273475	0.0261492	0.0193629	0.017979	0.0174729	0.00847931	0.0105604	0.00550034	0.0111965	0.00579141	0.0106652	0.00639717	0.00677656	0.0125718	0.0127145	0.0125623	0.0183932	0.0280819	0.057018	0.0636203	0.0769917	0.0860018	0.0656315	0.100627	0.0701679
nous	0.0688161	0.0335654	0.0172754	0.00768955	0.00731586	0.00755598	0.0101835	0.0121928	0.0158935	0.0136387	0.0263791	0.0421034	0.0450012	0.0629786	0.042246	0.0807859	0.0651682	0.075894	0.088775	0.0822617	0.034535	0.0186805	0.0137983	0.0149563	0.0167854	0.0160383	0.0125456	0.0120449	0.0147624	0.0128036	0.0197415	0.00758829
avons	0.0395306	0.0184175	0.0107601	0.00504907	0.0055528	0.00697962	0.0100161	0.017641	0.0289171	0.0364535	0.040725	0.0513724	0.0485489	0.0634319	0.067754	0.0693443	0.0659459	0.0655645	0.0715515	0.074475	0.0478034	0.0246677	0.0159286	0.0160167	0.01376	0.00982106	0.00742966	0.0130005	0.0124159	0.0107952	0.0162014	0.0141289
l'	0.0284576	0.0167101	0.0146367	0.0117718	0.0110197	0.0194314	0.0243973	0.0340508	0.0449261	0.0514865	0.0859239	0.0845377	0.0420427	0.0282916	0.0152281	0.026277	0.0293021	0.0319331	0.0352362	0.030965	0.0418365	0.0393651	0.0334813	0.0289797	0.0255516	0.0258353	0.0207175	0.0206206	0.0176196	0.0213046	0.0155748	0.042488
habitude	0.0266368	0.0155188	0.0146657	0.0156149	0.0180698	0.0292313	0.0364357	0.0397549	0.0336684	0.0365043	0.0398722	0.0414011	0.0339348	0.0246875	0.017773	0.0198374	0.0204929	0.0232436	0.0281739	0.0248468	0.0294228	0.028361	0.0315861	0.0346449	0.0342457	0.0709736	0.0517951	0.028238	0.0340451	0.0384744	0.0178642	0.0599853
de	0.0615059	0.0230088	0.0119158	0.00771254	0.00570009	0.00661242	0.00757921	0.00816555	0.00923261	0.00787473	0.00516269	0.00951524	0.012322	0.0192987	0.0349389	0.0346745	0.0468573	0.0358168	0.0615531	0.0384324	0.0627341	0.047035	0.0322114	0.0358417	0.0447424	0.0509199	0.0358229	0.0476089	0.0632521	0.0583077	0.044941	0.0287037
tendre	0.0390545	0.0201465	0.0136705	0.00461053	0.00192686	0.00214623	0.00312755	0.00351974	0.0060381	0.00833212	0.00590222	0.0121515	0.0149608	0.0211113	0.0375105	0.0319688	0.0666827	0.0392185	0.0705999	0.0611827	0.0622809	0.0475571	0.0465851	0.0496298	0.0479138	0.0370749	0.0293253	0.0369041	0.0546933	0.043798	0.0542083	0.026168
des	0.018013	0.00700422	0.00382338	0.00164535	0.00078802	0.00054103	0.000551992	0.000847453	0.00101614	0.00145494	0.00138148	0.0019122	0.00238564	0.00342071	0.00471408	0.00769274	0.00719915	0.00959107	0.00975694	0.0129711	0.0224514	0.0274101	0.0204599	0.0368317	0.0719974	0.128752	0.119854	0.101224	0.1633	0.0715819	0.103165	0.036263
filets	0.0252514	0.00756897	0.00524338	0.00218144	0.00107078	0.000901422	0.0012203	0.00156932	0.00246294	0.003073	0.00317345	0.00411897	0.00363961	0.00534805	0.00767922	0.0116235	0.0112753	0.0094564	0.0117656	0.0192951	0.0307495	0.044154	0.0215528	0.0381817	0.0598232	0.0790052	0.0724782	0.0910961	0.149705	0.096679	0.109899	0.0687582
de	0.0486202	0.0177266	0.0140982	0.00689716	0.0054353	0.00749578	0.0101125	0.0103152	0.0185962	0.0160872	0.0103622	0.0144969	0.00977591	0.0184481	0.016001	0.0306931	0.0235627	0.0338882	0.0276568	0.0375458	0.075021	0.0685793	0.0536429	0.0793036	0.053594	0.0392897	0.036029	0.0436447	0.0499539	0.0411572	0.0432574	0.0387122
chasse	0.0581897	0.0367596	0.0422425	0.0319175	0.0243943	0.0259551	0.0300235	0.0211578	0.0370147	0.0321556	0.0211408	0.0339207	0.0218417	0.0319475	0.0290306	0.0334203	0.0296533	0.028815	0.0230281	0.0268897	0.0486435	0.0408451	0.0334517	0.0456173	0.0327363	0.0196968	0.0169688	0.0249714	0.0246238	0.0252317	0.0296378	0.0380777
est	0.0375149	0.0348252	0.0371942	0.027174	0.0202413	0.0171486	0.0229489	0.0186076	0.0299375	0.0363845	0.026438	0.0427974	0.0283606	0.0346698	0.0273065	0.033171	0.0279931	0.0209476	0.0211863	0.0244765	0.0270444	0.0223451	0.0222409	0.0309617	0.0308963	0.0331375	0.0381579	0.0398412	0.0504793	0.0498918	0.035383	0.0502972
toujours	0.0478574	0.0424098	0.0429441	0.0423195	0.0332915	0.0238155	0.0234227	0.0183311	0.0280358	0.0324152	0.0220446	0.0251592	0.0208532	0.02108	0.0267357	0.030734	0.0289114	0.0272523	0.0227975	0.0260963	0.0242024	0.0199597	0.0227791	0.0321403	0.0335613	0.0337427	0.0287527	0.0350346	0.0326104	0.0445315	0.0404205	0.0657578
giboyeux	0.0418525	0.0385887	0.0367852	0.0323136	0.0208374	0.0141416	0.0137582	0.0119097	0.0194413	0.024165	0.011097	0.0176404	0.0161315	0.0232083	0.0239657	0.0304843	0.0277139	0.0367378	0.0288178	0.0251354	0.0498959	0.0398876	0.0419633	0.0539009	0.02916	0.0319667	0.0300112	0.0381545	0.0346331	0.0391471	0.0398878	0.0766665
</S>	0.0544432	0.0634086	0.0569833	0.0533353	0.0451645	0.0333164	0.0305611	0.0344831	0.0446826	0.0463383	0.0215533	0.0272335	0.0293442	0.0344202	0.031412	0.0346831	0.0323747	0.0307252	0.023409	0.0219932	0.021784	0.0167037	0.0188324	0.0278579	0.0162264	0.0171767	0.0156575	0.0177115	0.0179201	0.0211342	0.0213898	0.037741
