 	a23	a85	a87	a23	a87	a23	a87	a23	a40	a73	a26	a24	a43	a11	a76	a90	a58	a53	a76	a73	a2	a54	a73	a84	a57	a87	</S>
il	0.140018	0.136279	0.104066	0.0908342	0.0455009	0.0537469	0.0246568	0.0256033	0.0150767	0.015787	0.00728742	0.00874199	0.018322	0.0104311	0.00902301	0.00820755	0.0100335	0.0130389	0.0168281	0.0169116	0.0349248	0.0241483	0.0419678	0.0569603	0.0211836	0.0202164	0.0302043
n	0.0199048	0.0162775	0.0148492	0.0136877	0.014401	0.0178409	0.0199678	0.0158708	0.0238174	0.0234358	0.0178916	0.0194813	0.0528055	0.10536	0.121379	0.103024	0.0754714	0.0534917	0.0207214	0.0204056	0.0166878	0.0154789	0.0183888	0.0194716	0.0308991	0.0519125	0.0770765
'	0.0290338	0.0167786	0.0130782	0.0117331	0.0120188	0.015999	0.0236949	0.0317993	0.0289932	0.0247868	0.0235937	0.0169979	0.0345084	0.0226567	0.022212	0.0111832	0.0100097	0.0159574	0.0336038	0.0215341	0.0317273	0.0635063	0.0857928	0.0928971	0.103974	0.0993313	0.102598
y	0.0224213	0.0134838	0.0118032	0.0111008	0.0115159	0.00976288	0.00954985	0.00813939	0.0143303	0.0134073	0.0122597	0.00673312	0.00813366	0.00787248	0.0129319	0.00540678	0.00429223	0.0130825	0.0236155	0.0623165	0.0709038	0.110378	0.1444	0.0839092	0.10473	0.103098	0.100421
en	0.052783	0.0327994	0.0297977	0.029804	0.0274078	0.0298561	0.0364767	0.0269546	0.0229709	0.0227609	0.0186831	0.0161517	0.0154912	0.0114702	0.0109386	0.00923612	0.00693876	0.00633654	0.00580665	0.0113526	0.0176002	0.0664191	0.105943	0.117015	0.097437	0.0835458	0.0880232
a	0.0387506	0.0307674	0.0250627	0.0271558	0.0408131	0.0404694	0.0445204	0.0357994	0.0456343	0.0549733	0.0810487	0.0626747	0.0320461	0.0255481	0.0223932	0.0229347	0.0152581	0.0169021	0.0108656	0.0223262	0.0199492	0.0353381	0.0496746	0.030765	0.0441142	0.0405217	0.0836937
pas	0.129766	0.102574	0.0733869	0.0559306	0.0569622	0.0574461	0.0658636	0.0585665	0.0391246	0.018283	0.0137867	0.00975496	0.0106705	0.00642604	0.00722515	0.00581144	0.003102	0.00267802	0.00388661	0.00802954	0.00983798	0.0248334	0.0427276	0.0470097	0.0461794	0.0385277	0.0616097
assez	0.101246	0.0741077	0.0617697	0.0523715	0.0521726	0.0542925	0.0555803	0.0460347	0.0276424	0.0122397	0.00899248	0.00662303	0.00693801	0.0115923	0.0106267	0.00884474	0.00548911	0.00461846	0.00514611	0.00942159	0.0129837	0.0351237	0.0479012	0.0416596	0.0643567	0.087963	0.0942629
pour	0.0974232	0.0502154	0.0411698	0.0315048	0.0329936	0.0345707	0.0299901	0.021538	0.0131014	0.00816637	0.00799177	0.00533983	0.00765501	0.0113328	0.0118102	0.0104224	0.00811971	0.012322	0.0176816	0.0249678	0.0305799	0.0394309	0.0551906	0.0949059	0.0826382	0.0882521	0.130686
moi	0.153389	0.115338	0.10307	0.0688188	0.0664091	0.0555518	0.0422072	0.0296252	0.0186928	0.00998992	0.00830908	0.0055461	0.00669825	0.00821974	0.00839154	0.00917943	0.00845081	0.00878913	0.0127809	0.0237297	0.0130394	0.0172657	0.0204174	0.0223313	0.0303618	0.049929	0.0834689
</S>	0.175198	0.0869316	0.0666461	0.0521086	0.0344912	0.0221643	0.013681	0.0152939	0.0130103	0.00830136	0.00781525	0.00318269	0.00741591	0.0047878	0.00381955	0.00203429	0.00415194	0.0107209	0.0166482	0.0337911	0.0513856	0.0322928	0.0477173	0.0830164	0.0435895	0.0441948	0.115609
