 	a87	a23	a87	a79	a90	a82	a38	a15	a94	a70	a66	a61	a12	a61	a75	a96	a98	a47	a37	a98	a92	a37	a98	a15	a20	a84	a57	a40	a47	a37	a83	a62	a31	a0	a11	a75	a25	a69	a4	a53	a15	a44	a38	a70	a66	a18	a13	a99	a87	a23	a87	a23	a87	a23	a87	</S>
le	0.0115792	0.00951404	0.00751062	0.0108629	0.0164088	0.00527876	0.0122851	0.00472694	0.0196557	0.0347394	0.0337178	0.0558339	0.0751345	0.0883875	0.0655739	0.0482004	0.0471574	0.0393335	0.0240102	0.0162656	0.0139035	0.00682601	0.0173572	0.0247604	0.0363375	0.0214713	0.0102506	0.00559712	0.00666331	0.0063654	0.00399217	0.0052151	0.00579711	0.00506551	0.00657863	0.00446002	0.0090542	0.00548765	0.0098579	0.0142363	0.0110491	0.0127502	0.00654414	0.00732906	0.00984029	0.00837719	0.00738396	0.011438	0.00817299	0.0101216	0.00812759	0.00719284	0.00661376	0.012465	0.00859125	0.0185503
véhicule	0.00532233	0.00722878	0.0224107	0.0298351	0.0363226	0.0647563	0.073487	0.077404	0.0289861	0.0307794	0.0463516	0.0555664	0.066297	0.0381955	0.04059	0.0123346	0.0189998	0.0277595	0.0132002	0.0310702	0.0178732	0.0132451	0.0161122	0.0186518	0.0236869	0.0306713	0.026344	0.0281333	0.0147826	0.0160148	0.00521054	0.00641626	0.00694629	0.00577505	0.00739531	0.00723211	0.00426526	0.00396637	0.00371076	0.0019673	0.00191482	0.00275982	0.00120058	0.000550968	0.000988047	0.000764746	0.000520427	0.000672824	0.000652472	0.000416414	0.000358389	0.000418083	0.000439058	0.000718897	0.000912716	0.00141424
de	0.0319004	0.019062	0.0166975	0.0139673	0.0190322	0.010073	0.0274807	0.0103051	0.0279762	0.0496593	0.042257	0.0505034	0.0466487	0.0443175	0.0632593	0.0221851	0.0311253	0.0258043	0.0254252	0.0165489	0.0417966	0.0224214	0.0175083	0.0241939	0.0144988	0.032779	0.0231063	0.025208	0.0267275	0.0282197	0.0153953	0.0130473	0.00890286	0.00612376	0.00547106	0.00533977	0.00967194	0.0111126	0.00957466	0.00628125	0.00518192	0.00466488	0.00181771	0.00211209	0.004222	0.00258663	0.00174953	0.00443161	0.00287478	0.00364229	0.00220648	0.00259028	0.00477164	0.00452053	0.00750354	0.00351559
nono	0.0264106	0.0156797	0.00983314	0.00591473	0.00745012	0.00401874	0.0102967	0.00262713	0.0132296	0.0281741	0.0188215	0.0239904	0.025839	0.0268823	0.0348855	0.0140773	0.0124392	0.00742967	0.00688145	0.00883835	0.00990356	0.00966152	0.00802136	0.00998717	0.0156589	0.0227292	0.0241993	0.0237791	0.0173983	0.032814	0.0205278	0.03167	0.0288803	0.0281043	0.0329686	0.0343105	0.0287399	0.0125036	0.0156522	0.00707569	0.00687452	0.00697318	0.00415331	0.00901013	0.00807316	0.00998332	0.0153685	0.0129399	0.0132489	0.0218712	0.0262813	0.0331322	0.0249015	0.0225291	0.0345559	0.0317991
est	0.0285237	0.0190962	0.0180553	0.0162537	0.0151152	0.0145672	0.0180372	0.020184	0.0325406	0.0333053	0.0226754	0.0167104	0.00839491	0.00894936	0.0107579	0.0034094	0.00645216	0.00687035	0.0112617	0.0149331	0.0190273	0.0177464	0.0128423	0.0179452	0.0130608	0.0252139	0.0290364	0.0261564	0.021063	0.0260413	0.0317862	0.0238559	0.017032	0.0164109	0.0252201	0.0159133	0.0121743	0.00572828	0.00738695	0.00456114	0.0051675	0.0052027	0.00521206	0.00726101	0.00437895	0.00770042	0.00736918	0.0116969	0.00743691	0.0195574	0.0287411	0.0295468	0.0434249	0.0204547	0.0589766	0.0435775
irréparable	0.0260493	0.0213333	0.0169298	0.0193184	0.0209089	0.0161085	0.0217376	0.0147861	0.0213683	0.0254004	0.0164134	0.0114117	0.00662357	0.00524	0.00707124	0.00732733	0.00791193	0.00668426	0.0113994	0.0124502	0.0186746	0.0184669	0.0188566	0.0238333	0.0249806	0.0500359	0.0548143	0.0355988	0.0304489	0.0307538	0.0312129	0.0310414	0.0265551	0.0190241	0.0289529	0.0335685	0.0225307	0.012838	0.014523	0.00952108	0.00890866	0.00948044	0.00658495	0.00955034	0.00720279	0.0083386	0.0079483	0.01675	0.00512888	0.00778243	0.0110576	0.0141018	0.0145617	0.0109663	0.0133738	0.0155586
pour	0.0221541	0.00961357	0.00740931	0.0105961	0.0139376	0.00884998	0.00429001	0.00226031	0.0050656	0.0104404	0.0104691	0.00970222	0.0188311	0.0208452	0.0182982	0.0113811	0.0165769	0.0114861	0.0145934	0.0110603	0.0225759	0.0192191	0.017996	0.0229091	0.0145389	0.0220324	0.02009	0.00967922	0.0133354	0.00995301	0.0114819	0.010419	0.00904261	0.0116162	0.0195738	0.011113	0.0254688	0.0172982	0.0208719	0.0133074	0.0127308	0.0141078	0.0103551	0.015318	0.0187479	0.0195213	0.0121676	0.0249454	0.0228559	0.0348634	0.0246208	0.0357306	0.0404207	0.0283408	0.0501969	0.0746948
de	0.0229063	0.0119863	0.0150765	0.0136918	0.0167048	0.0134869	0.00906687	0.00697032	0.00678527	0.00674906	0.00577732	0.00476483	0.00365033	0.00620814	0.00450968	0.00752791	0.00548052	0.0103568	0.0142684	0.0260234	0.0219126	0.0215907	0.0268475	0.0338727	0.0198377	0.0272586	0.0236837	0.0148959	0.0200303	0.012904	0.0188281	0.0135261	0.0161085	0.0174719	0.0219385	0.0186158	0.0250866	0.0210398	0.0252852	0.0153091	0.0115716	0.0139842	0.0142869	0.0108688	0.0113717	0.0152228	0.00878829	0.0249361	0.0215739	0.0285191	0.0245067	0.0343905	0.0412208	0.0316617	0.0457809	0.0332813
bon	0.0139307	0.0125361	0.0146851	0.01302	0.0150491	0.00890882	0.00760438	0.00664424	0.00870451	0.00841333	0.00752569	0.00737966	0.00493494	0.00682453	0.00741195	0.00710453	0.00944688	0.0115748	0.0126813	0.0219306	0.0178951	0.0161854	0.0204162	0.0308571	0.0239146	0.0211002	0.0180629	0.0152263	0.016703	0.0138627	0.0153366	0.0120965	0.0119205	0.0111855	0.012335	0.0114186	0.011762	0.0113152	0.0134654	0.00968353	0.00909089	0.0104771	0.0121821	0.0116922	0.0133561	0.0222355	0.0132157	0.046376	0.0216225	0.0340818	0.0508086	0.05092	0.0590969	0.0381403	0.0463875	0.0392633
</S>	0.0105528	0.00944151	0.0103193	0.00999408	0.0108198	0.00845008	0.00811461	0.00843971	0.00828224	0.00735643	0.00706491	0.00560402	0.00308806	0.00475101	0.00627046	0.00693401	0.00889711	0.0101526	0.0114352	0.0172559	0.0158959	0.0137605	0.017141	0.0217356	0.0179032	0.019504	0.0214604	0.0175785	0.019937	0.0171012	0.0219288	0.0207658	0.0203826	0.0176366	0.0198356	0.0198886	0.0179648	0.0175549	0.0185649	0.0136502	0.0112587	0.0137721	0.0155469	0.0185393	0.0144247	0.019662	0.0147838	0.0298101	0.0194639	0.0301145	0.0391707	0.042255	0.0511584	0.0360313	0.0458144	0.0547802
