 	a66	a10	a38	a98	a85	a47	a79	a98	a47	a36	a56	a43	a75	a85	a47	a7	a98	a47	a37	a94	a38	a82	a10	a97	a82	a10	a97	</S>
les	0.0640603	0.0852249	0.0357921	0.0281711	0.0358523	0.0505957	0.0497317	0.0504545	0.0750931	0.0561477	0.0493526	0.0189098	0.0180248	0.0191334	0.0128791	0.00861772	0.0138951	0.0069802	0.0200861	0.0248825	0.0242754	0.0250722	0.0307251	0.0292969	0.031143	0.0313651	0.0331972	0.0710404
enfants	0.0193288	0.0213115	0.034719	0.0301016	0.048099	0.0516307	0.0936509	0.140582	0.163909	0.091464	0.0839088	0.0345112	0.0619212	0.0457166	0.0131446	0.00430582	0.00301025	0.00175011	0.0017329	0.00989429	0.00184666	0.000647703	0.00128598	0.00898506	0.00788527	0.0114208	0.00982254	0.00341338
sont	0.239932	0.0916761	0.0713653	0.0231939	0.0134106	0.0238958	0.0283813	0.0288719	0.032578	0.011593	0.00944677	0.00523323	0.0221474	0.0279638	0.0146783	0.00539293	0.0049295	0.00238018	0.00401224	0.019026	0.00630955	0.00774877	0.0128168	0.0822343	0.0600911	0.065152	0.0682185	0.0173211
en	0.00930186	0.00924965	0.00848638	0.00672546	0.00622515	0.0151317	0.0102434	0.00717255	0.00552817	0.00749283	0.00575723	0.0125409	0.0316104	0.0472466	0.0578581	0.078361	0.0760966	0.0839531	0.104058	0.0546874	0.0403407	0.0621549	0.0474331	0.0562671	0.0219133	0.0414809	0.0427059	0.0499778
train	0.0249766	0.0128168	0.00903722	0.00808822	0.0126181	0.043769	0.0490057	0.0221324	0.0203553	0.0182489	0.0246471	0.0308475	0.0387863	0.0396528	0.0533326	0.0436926	0.0374161	0.0359505	0.0611394	0.0492637	0.0329707	0.0156446	0.0395527	0.0641513	0.0385973	0.0631389	0.0639456	0.0462221
de	0.0971372	0.0490203	0.0300549	0.0206988	0.0127082	0.0241117	0.0118438	0.00781443	0.0167789	0.0247845	0.0227342	0.0113827	0.00618535	0.00838444	0.00631755	0.00824009	0.0135906	0.00980824	0.0235118	0.0257645	0.0223617	0.0238908	0.0657085	0.0727691	0.088687	0.0641634	0.0737573	0.15779
cueillir	0.0815728	0.0255165	0.0215707	0.0116459	0.0256804	0.0426589	0.0396234	0.045797	0.0919501	0.0996052	0.0885449	0.0498531	0.0503094	0.0330116	0.0237969	0.021034	0.0175626	0.0114201	0.0193783	0.0183185	0.0112777	0.0143209	0.015022	0.0183961	0.0260354	0.019309	0.0347552	0.0420331
les	0.10141	0.0832536	0.075189	0.0209051	0.0103793	0.00608591	0.00395282	0.00514909	0.0109856	0.0123026	0.011607	0.0106844	0.0176613	0.0192661	0.0279228	0.0276906	0.0334617	0.024219	0.033696	0.0316204	0.0413746	0.0364624	0.0630606	0.0577901	0.0633002	0.0336704	0.0587522	0.0781478
mangues	0.113993	0.0622187	0.0354118	0.0197489	0.0080881	0.00498462	0.00247533	0.00160526	0.00219088	0.00333006	0.00456369	0.00500574	0.00499934	0.00529603	0.00789801	0.0114883	0.0215402	0.0253181	0.038683	0.0561197	0.0351153	0.0319289	0.071934	0.0737179	0.0808428	0.0613931	0.097228	0.112882
</S>	0.0900339	0.0466126	0.0231942	0.0158202	0.00698335	0.00509778	0.00257272	0.00125736	0.00186478	0.0046945	0.00570802	0.00496266	0.00313789	0.00445656	0.00707973	0.00834691	0.0170613	0.0214278	0.0301961	0.0452291	0.0322259	0.0247928	0.07154	0.0687926	0.0960219	0.0707433	0.134697	0.155449
