 	a97	a79	a4	a96	a75	a92	a85	a15	a20	a7	a15	a98	a79	a37	a75	a6	a36	a26	a18	a71	a0	a62	a96	a5	a18	a70	a31	a88	a62	a18	a82	a3	a97	a3	a97	a99	a97	a3	a87	</S>
la	0.0750552	0.0498521	0.0391428	0.0188683	0.0314745	0.041256	0.0400463	0.0466214	0.0527575	0.0189954	0.021588	0.0126723	0.0194034	0.00773234	0.0119484	0.0230571	0.0238279	0.0300337	0.0266828	0.0360579	0.0304566	0.0229849	0.0279596	0.0240966	0.0219749	0.0210947	0.0157486	0.0142345	0.0158724	0.0134345	0.0095931	0.00781308	0.00982849	0.0113589	0.0118534	0.0204952	0.0120878	0.0178983	0.0124901	0.0516513
femme	0.00252355	0.00514495	0.00596151	0.0133277	0.016227	0.0652383	0.0723437	0.0997878	0.098887	0.0513024	0.05344	0.0272053	0.033949	0.0354868	0.0404599	0.0512721	0.0615851	0.0712001	0.0893484	0.0464158	0.020702	0.0131655	0.00417121	0.00367937	0.00178201	0.00179252	0.00103202	0.000488151	0.000547295	0.000787964	0.000623251	0.000665381	0.00128118	0.00110758	0.000812706	0.00107317	0.00059992	0.00150203	0.00153546	0.00154502
a	0.0171857	0.0207135	0.0701189	0.092348	0.0794451	0.0622609	0.0655283	0.040651	0.0360266	0.0432593	0.0235554	0.0121322	0.0129246	0.0126581	0.0315008	0.0339167	0.051087	0.0752341	0.0443905	0.0401966	0.0219082	0.0196064	0.0128532	0.00971544	0.00602376	0.0063784	0.00389506	0.00392129	0.00525106	0.00584708	0.00329898	0.00253458	0.00233075	0.00494688	0.00387715	0.00255354	0.00326444	0.00536957	0.00717496	0.00411611
porté	0.0154453	0.0126485	0.0136327	0.0177836	0.0200053	0.0304851	0.0406976	0.0490441	0.0466979	0.0778187	0.0595909	0.0634337	0.0355236	0.0870295	0.0843504	0.0427984	0.036358	0.0268829	0.0194023	0.0254865	0.0172438	0.0110087	0.017831	0.0135324	0.00957557	0.0101156	0.00527071	0.00532767	0.00351792	0.00704448	0.00458597	0.00895316	0.00991435	0.00831373	0.0098726	0.00978023	0.0104931	0.0116416	0.0113076	0.0095548
une	0.0787901	0.0558659	0.0652641	0.0667832	0.0469881	0.0470997	0.0357129	0.0199342	0.0240065	0.0213648	0.0246286	0.0224135	0.0226131	0.0252784	0.0333357	0.0232105	0.0311963	0.0277836	0.0229731	0.0295436	0.0296072	0.0234535	0.0222309	0.0265658	0.0179965	0.0170082	0.0114984	0.0100898	0.0113425	0.00866723	0.00651453	0.00722136	0.00790207	0.00983213	0.010595	0.0116627	0.00841739	0.0129765	0.0101278	0.0115048
robe	0.0146552	0.010061	0.0166362	0.0202089	0.0185559	0.0243905	0.0241254	0.0245143	0.0248302	0.0314962	0.0472952	0.055145	0.0560442	0.0699663	0.0877211	0.0627011	0.0412664	0.0282269	0.0210627	0.0227545	0.0203388	0.0138697	0.0165235	0.0191166	0.011953	0.0172929	0.0145255	0.0171356	0.0159078	0.0154551	0.0172954	0.0126292	0.012671	0.0221361	0.00972741	0.0170961	0.00871511	0.0163991	0.0128456	0.00670883
noire	0.0227458	0.016407	0.0286222	0.0261606	0.0239459	0.0266956	0.023929	0.0171356	0.0199374	0.0154613	0.0215323	0.0251095	0.0228599	0.0275395	0.050379	0.0488681	0.0614541	0.0463728	0.0373791	0.0330866	0.0323694	0.0243616	0.0304613	0.0281951	0.0226381	0.02927	0.0192973	0.0262025	0.0177021	0.0183765	0.0189679	0.0126027	0.0134528	0.0261954	0.0106392	0.0217026	0.00915012	0.0155676	0.0151838	0.0120425
car	0.0761893	0.0657125	0.0539116	0.0373116	0.024321	0.0273639	0.0169513	0.00849595	0.0123947	0.0103411	0.0103129	0.00911254	0.0142447	0.00765501	0.0221811	0.0216604	0.0319593	0.0267494	0.0161535	0.0262143	0.0196752	0.0186649	0.0234197	0.0260133	0.0300684	0.0168232	0.0145213	0.0217861	0.0154581	0.0170288	0.0185283	0.0156959	0.0168888	0.0250955	0.0200585	0.03424	0.0210243	0.0332111	0.0354601	0.0571026
elle	0.0308701	0.0276287	0.0389474	0.036783	0.0368535	0.0336252	0.0183627	0.0149894	0.0150061	0.0190999	0.0144485	0.0226519	0.0198921	0.0212667	0.0345977	0.0256241	0.0212304	0.013227	0.0122864	0.0114976	0.0103186	0.00949728	0.01119	0.0124516	0.0137335	0.0122893	0.0182655	0.0281458	0.0272617	0.0298998	0.0290747	0.0241518	0.023683	0.0411661	0.0290658	0.0407185	0.0354077	0.0475399	0.0428568	0.0443944
est	0.0259626	0.0258529	0.0330889	0.0328788	0.0340494	0.0389478	0.0278041	0.0217045	0.0182384	0.0287829	0.0235501	0.0350134	0.0268126	0.0362734	0.0400984	0.0373373	0.0388222	0.0284596	0.0254885	0.0203917	0.0171575	0.0183141	0.023561	0.0193707	0.0198862	0.0163625	0.0177818	0.0143045	0.0189705	0.0195069	0.0133173	0.0139274	0.0143862	0.0179119	0.0188086	0.0227756	0.0209603	0.0275919	0.031447	0.0341006
