 	a23	a10	a54	a36	a2	a93	a70	a31	a21	a12	a18	a82	a87	a23	a20	a7	a15	a79	a7	a93	a4	a57	a58	a13	a4	a13	a24	a31	a75	a79	a7	a53	a93	a94	a96	a66	a20	a7	a84	a87	</S>
dans	0.0396535	0.0441217	0.0500478	0.0748436	0.130608	0.0573365	0.0515657	0.0281557	0.0251653	0.0167639	0.0149256	0.00891458	0.00455513	0.00407686	0.00369287	0.00492144	0.00895629	0.00392853	0.00612271	0.00758297	0.00957963	0.00968607	0.0172797	0.0278303	0.015702	0.0257291	0.011078	0.0215193	0.0193505	0.0221713	0.0217131	0.0228983	0.0141563	0.0203857	0.0216971	0.0171162	0.0170728	0.021837	0.0259137	0.0214515	0.0298934
ce	0.0288163	0.0328873	0.0157793	0.0154766	0.0226531	0.0215388	0.0179421	0.0240481	0.0322183	0.0391625	0.0337618	0.0442383	0.0736888	0.0280726	0.0307434	0.0402794	0.0205563	0.0157822	0.00842773	0.0100748	0.0104252	0.012598	0.0143022	0.0250385	0.0176758	0.0116926	0.0197692	0.0172369	0.0125484	0.0185032	0.018851	0.0183963	0.0271561	0.0299369	0.0307963	0.0288442	0.0175272	0.0252604	0.0225938	0.0313951	0.0333049
village	0.0169017	0.00521098	0.00618387	0.0122181	0.023869	0.0320212	0.0197783	0.0192936	0.019818	0.0245622	0.0243055	0.0651757	0.0987257	0.0986915	0.0910066	0.110615	0.0841783	0.0370503	0.0246484	0.0382087	0.0255155	0.0185586	0.0129034	0.0159376	0.00665873	0.00370489	0.00444523	0.00410226	0.00338399	0.00414403	0.00331999	0.00270582	0.00436017	0.00384656	0.00391936	0.00597509	0.00242526	0.00589617	0.0035984	0.00713655	0.00499987
on	0.071957	0.0382888	0.0205174	0.0137883	0.0107125	0.024507	0.0156088	0.0355723	0.0385758	0.0350319	0.0140501	0.0300709	0.0459919	0.0159081	0.0223292	0.0337287	0.0196434	0.0389254	0.034498	0.0232515	0.0302418	0.0206545	0.0144814	0.0161669	0.0148618	0.0093331	0.0139679	0.00901103	0.0191322	0.0149435	0.00657675	0.0162991	0.0109381	0.0165223	0.0165721	0.03195	0.0170235	0.0266504	0.0219024	0.0290771	0.0607369
va	0.0397708	0.0283207	0.0237308	0.0273571	0.0320708	0.0437046	0.0344717	0.0246213	0.0260786	0.0252227	0.0204562	0.0208045	0.0196785	0.012629	0.0227795	0.0286954	0.024124	0.0271996	0.0390937	0.0450372	0.0446092	0.0270981	0.0302177	0.0188693	0.0206999	0.0113755	0.0093937	0.0123301	0.00665638	0.00634428	0.00799069	0.0110177	0.0140631	0.0161303	0.0257827	0.0372761	0.0261811	0.0221255	0.0232171	0.0390259	0.0237488
élire	0.0372743	0.0208994	0.0116136	0.00993159	0.0123417	0.016026	0.0139948	0.00834721	0.0102601	0.0136125	0.0114777	0.0121769	0.0115372	0.00880611	0.013417	0.0131608	0.0120908	0.0203635	0.029599	0.0299771	0.0544302	0.0417495	0.0363369	0.0204366	0.0177921	0.013355	0.0100919	0.0136794	0.028337	0.0316097	0.0286522	0.050576	0.0258646	0.0693466	0.0811699	0.0380138	0.0382475	0.0313745	0.0215258	0.0132449	0.0172587
le	0.0637225	0.0441987	0.0192434	0.0110405	0.00878183	0.00730365	0.00423817	0.00932467	0.0159271	0.0202371	0.0108368	0.0432925	0.0466389	0.027797	0.0455012	0.0402168	0.0200304	0.0338503	0.0176505	0.0125406	0.0218921	0.0224632	0.0178237	0.0207049	0.013161	0.0102738	0.00986859	0.012514	0.017586	0.0216704	0.0206713	0.024888	0.0182501	0.0278227	0.0307652	0.0255843	0.0243694	0.0332257	0.0398649	0.0346665	0.0495615
chef	0.0837656	0.0450657	0.0295452	0.0174619	0.0178179	0.0152889	0.0171807	0.0329868	0.0356312	0.0397667	0.0228866	0.0374708	0.0270183	0.0123142	0.0188167	0.0209464	0.0157768	0.0254891	0.0221107	0.0239786	0.0254108	0.0306515	0.027869	0.0337617	0.0205639	0.0152169	0.0129598	0.0126516	0.0119415	0.0141847	0.0139943	0.0169988	0.00932816	0.0213286	0.0217447	0.0126392	0.0189976	0.0189223	0.0275317	0.0223207	0.0496637
de	0.0565935	0.0315894	0.0231163	0.010847	0.00994294	0.00705934	0.00921617	0.0109302	0.0117866	0.0152498	0.0114997	0.0183075	0.0112379	0.00580519	0.00882525	0.00911508	0.00677778	0.0132405	0.0131031	0.012629	0.0127605	0.0150778	0.0124938	0.0130775	0.0126448	0.0110863	0.00959715	0.00882876	0.00981089	0.0117407	0.0110768	0.0210134	0.0161022	0.0393625	0.0515695	0.0453309	0.0625971	0.0659248	0.0804842	0.0642054	0.128343
village	0.0345421	0.017156	0.0136316	0.00786221	0.0061759	0.00568152	0.00726165	0.00834802	0.00843036	0.0104049	0.00820079	0.0152805	0.0103888	0.0056368	0.0103282	0.0105705	0.00872539	0.0132407	0.0140747	0.0142754	0.0156284	0.0195175	0.0170117	0.0184723	0.01741	0.015643	0.0150188	0.0133645	0.0164703	0.0212981	0.0179529	0.0299726	0.0225232	0.0422995	0.057689	0.0550934	0.0656186	0.0691072	0.0732962	0.0567091	0.109688
aujourd'	0.0388125	0.0168485	0.0109262	0.00793286	0.00610705	0.00500357	0.00467217	0.00517055	0.00511112	0.00627858	0.00328472	0.00623875	0.00484473	0.0039979	0.0048146	0.00538535	0.00365715	0.00571726	0.00680193	0.00835715	0.0122033	0.0147581	0.0158037	0.0160745	0.0157863	0.0137182	0.0124361	0.0108237	0.021252	0.0275746	0.0246583	0.0338573	0.0358137	0.0478832	0.0637121	0.0659241	0.0713025	0.0823901	0.0831956	0.0716854	0.0991845
hui	0.0278208	0.0113672	0.0109564	0.00991346	0.0074727	0.00474097	0.00419972	0.00392589	0.00503485	0.0086023	0.00567383	0.00683462	0.00566433	0.00559586	0.00830857	0.00833983	0.00843978	0.012215	0.0108057	0.0110932	0.0112509	0.0146713	0.0125471	0.0130437	0.0132872	0.0117009	0.0101148	0.0113209	0.0151489	0.0221665	0.0204389	0.0319771	0.0337219	0.0652965	0.0816236	0.0790265	0.0999893	0.092252	0.0739691	0.0517035	0.0577445
</S>	0.0444968	0.0308114	0.0233378	0.0210453	0.0176831	0.00738881	0.0037892	0.00329026	0.00419698	0.00455641	0.00310704	0.00476457	0.00531929	0.00429991	0.0053662	0.00551431	0.0059089	0.00754014	0.00939981	0.0097325	0.00996889	0.0101868	0.0120052	0.0118485	0.0135088	0.0118133	0.0118714	0.0118563	0.0243361	0.0314411	0.0330312	0.0456568	0.0524675	0.0613687	0.0690877	0.0581752	0.0556431	0.0656745	0.0625739	0.0608727	0.0650633
