 	a23	a85	a87	a23	a13	a20	a30	a37	a94	a24	a32	a71	a0	a24	a41	a24	a41	a24	a18	a61	a24	a43	a41	a0	a11	a47	a61	a75	a41	a35	a25	a56	a44	a38	a62	a61	a75	a41	a76	a73	a2	a57	a87	a23	a5	a18	a38	a41	a14	a73	a44	a84	a57	a87	</S>
il	0.0235104	0.0179198	0.0098214	0.032737	0.0283262	0.0377496	0.0167469	0.0261789	0.0606827	0.0827462	0.0861389	0.0568304	0.0972196	0.0169173	0.0644403	0.0437693	0.0145743	0.0313013	0.015518	0.0101563	0.0119624	0.00774192	0.00552568	0.00606959	0.00352391	0.00383582	0.00466892	0.00377896	0.00620405	0.00384913	0.00325264	0.00355315	0.00344276	0.00339197	0.00372307	0.0035835	0.00363609	0.00302726	0.00273132	0.00261238	0.00163044	0.00185756	0.00212287	0.00528992	0.0060597	0.00638936	0.0109295	0.0132774	0.00594185	0.012743	0.0111598	0.0189538	0.0151954	0.00877779	0.0162722
a	0.00114405	0.00165857	0.00168204	0.00107418	0.00135868	0.00255033	0.00272438	0.0111703	0.0134628	0.0179041	0.0173094	0.0183083	0.0212917	0.0247048	0.0321009	0.0337522	0.0345473	0.0437981	0.0610927	0.0515574	0.0513565	0.0563602	0.0456481	0.0319016	0.0193796	0.0149996	0.0381844	0.0291232	0.0235585	0.0149109	0.0145872	0.00871394	0.0105236	0.0113084	0.00899686	0.0115747	0.00906514	0.00585685	0.00400857	0.00431063	0.00319164	0.0045668	0.00710761	0.00759835	0.0115806	0.0136116	0.0122002	0.0107794	0.0140547	0.0147546	0.0189983	0.0190386	0.0192781	0.0179594	0.0177193
trouvé	0.00971614	0.00608756	0.00513519	0.00297591	0.00267073	0.00243149	0.00364766	0.0107942	0.0118483	0.0180812	0.0163456	0.0243478	0.0274825	0.0314581	0.0282459	0.0382429	0.0511142	0.0354645	0.0558194	0.0529982	0.0501903	0.0615686	0.0494921	0.0156796	0.00962778	0.0110596	0.0156552	0.0059151	0.0125437	0.00444746	0.00960137	0.00561016	0.0058734	0.00428881	0.00615649	0.0102723	0.00702816	0.00300272	0.00410644	0.00520235	0.00371245	0.00266062	0.0032044	0.00333777	0.00906875	0.00740132	0.0122593	0.0273128	0.0343831	0.0241353	0.0293745	0.0309029	0.0206573	0.023571	0.0357894
une	0.0636501	0.046176	0.0240083	0.0283352	0.0235318	0.0190722	0.0172407	0.0413878	0.00933163	0.0121464	0.00938453	0.0101784	0.0186799	0.031327	0.0267732	0.019081	0.0231485	0.0144523	0.0211893	0.0180011	0.0223712	0.0192509	0.0278636	0.0124913	0.013244	0.0134498	0.0177038	0.0117531	0.0170248	0.0143051	0.0169144	0.00878619	0.0124579	0.0141628	0.0211348	0.0193538	0.0203501	0.0225437	0.0306078	0.0132569	0.0123471	0.0241625	0.0266777	0.0147265	0.0159482	0.0196998	0.0110496	0.00504078	0.00651648	0.00480185	0.00531492	0.00549946	0.00525028	0.00608178	0.0107617
astuce	0.0136737	0.00778602	0.00527498	0.0025125	0.00202133	0.00149285	0.00226816	0.00917813	0.00305424	0.00341562	0.00416559	0.00976131	0.012572	0.0323667	0.0335549	0.0345766	0.0363724	0.0296759	0.028699	0.0243374	0.0293259	0.0224805	0.0416652	0.0365663	0.0419932	0.036316	0.0492122	0.0373438	0.0270871	0.0277094	0.0252982	0.0243288	0.0229557	0.029097	0.0174415	0.0174728	0.0137403	0.0185207	0.0184149	0.0117289	0.00851729	0.0130088	0.011049	0.0133461	0.0172073	0.0182745	0.0152178	0.00750705	0.00990936	0.00433898	0.00725208	0.00897422	0.00662973	0.00853803	0.00477206
pour	0.0205442	0.0125493	0.006676	0.00579565	0.00530129	0.00342207	0.00329161	0.0197451	0.0280309	0.029479	0.0285301	0.0393589	0.0670403	0.0231225	0.0447491	0.0546393	0.0285026	0.0339541	0.0216322	0.0189323	0.0306363	0.015345	0.0242033	0.0196476	0.0112214	0.0185467	0.01758	0.013984	0.022814	0.0149668	0.00785068	0.00573691	0.00694747	0.0111195	0.0112592	0.00551306	0.00425733	0.00882779	0.00816815	0.00321655	0.00344755	0.00468124	0.00585735	0.0096279	0.0101729	0.00959592	0.00998196	0.00905912	0.0144763	0.0120021	0.0171032	0.0357168	0.0353407	0.0206338	0.045165
faire	0.0316447	0.0227579	0.0217159	0.016891	0.0143826	0.0136436	0.0119146	0.0174007	0.0193462	0.0124726	0.0165852	0.0258739	0.0375313	0.015161	0.0373628	0.040018	0.0220926	0.0288533	0.0260192	0.0204965	0.0346769	0.0140089	0.0213043	0.0223705	0.0101928	0.0175451	0.0232979	0.0125997	0.0250401	0.0277332	0.0159957	0.00788242	0.0110412	0.00926408	0.0121463	0.00553575	0.00620879	0.0121423	0.0119143	0.00396255	0.00475257	0.00699904	0.00686052	0.00994375	0.00814425	0.00837671	0.00958924	0.00826928	0.0139735	0.0119387	0.0179946	0.0243903	0.0270607	0.0344978	0.0501828
faire	0.0309498	0.0230921	0.0215127	0.0100036	0.00666749	0.00733626	0.00561956	0.0145205	0.0131354	0.00886961	0.0119861	0.0216291	0.0404435	0.0163795	0.0301302	0.0303635	0.0179831	0.022625	0.0201664	0.0252813	0.0346324	0.0176434	0.0221497	0.0187559	0.0112912	0.0119361	0.0173779	0.0123326	0.0165644	0.0216028	0.019306	0.0122851	0.0138039	0.0117072	0.015293	0.0116207	0.0131786	0.0199253	0.0197583	0.0108018	0.0109356	0.0148764	0.00969695	0.0208227	0.0181972	0.0168511	0.0178307	0.0162415	0.0183157	0.0165931	0.018738	0.0203397	0.0231778	0.0275451	0.0391772
son	0.049164	0.0444676	0.0416968	0.0263304	0.0124345	0.0123474	0.00969101	0.00797966	0.00624667	0.0073673	0.00760993	0.0114631	0.0124057	0.00993176	0.0113215	0.0147143	0.011001	0.010342	0.0160768	0.016938	0.0228643	0.0144549	0.0263857	0.0192193	0.0150646	0.0167709	0.0249056	0.0183654	0.0163258	0.0219565	0.0272472	0.015787	0.016458	0.016111	0.0168796	0.0140381	0.00994559	0.0171028	0.0138647	0.00713267	0.00581693	0.00940482	0.00673081	0.0153892	0.0147997	0.01611	0.0153948	0.0144207	0.0209787	0.0174804	0.0195522	0.0235976	0.0307974	0.0388359	0.0602819
travail	0.0218166	0.0172359	0.0144993	0.0151761	0.0139462	0.0162509	0.0141533	0.00798829	0.00721499	0.00603885	0.00689153	0.00856154	0.0137671	0.0124097	0.0160438	0.0174489	0.016151	0.0174332	0.0215435	0.0173762	0.0173168	0.019746	0.0158362	0.0169487	0.00935404	0.0135725	0.0138543	0.0125809	0.0155961	0.0150668	0.0127389	0.00800284	0.00993538	0.0111554	0.0133234	0.0119168	0.00978213	0.0160209	0.0144138	0.00780982	0.00544559	0.0129782	0.012944	0.0290839	0.0343624	0.0451466	0.0432452	0.0380806	0.0421701	0.0297453	0.0380845	0.0389001	0.0296847	0.0345993	0.018611
