 	a66	a82	a30	a93	a56	a62	a47	a62	a56	a75	a56	a25	a98	a85	a47	a92	a37	a98	a85	a6	a37	a98	a47	a6	a36	a2	a57	a87	a23	a97	a87	</S>
cette	0.0577877	0.0488657	0.0386037	0.0531804	0.0796617	0.0931351	0.061189	0.0293243	0.0224723	0.0273265	0.0251298	0.0233811	0.0201824	0.0158433	0.0154863	0.0136592	0.0170182	0.0226387	0.014032	0.0354164	0.021547	0.0172977	0.014625	0.0175589	0.0127002	0.0100115	0.0122954	0.0135017	0.0092016	0.0277751	0.0442497	0.0849024
femme	0.0158909	0.0282701	0.0707084	0.0390375	0.0323367	0.019523	0.0389151	0.0276379	0.0216439	0.0485533	0.058035	0.0702738	0.0591729	0.0633405	0.0777101	0.0647177	0.0589722	0.0630666	0.0296999	0.0370667	0.0244335	0.00430512	0.00136961	0.00218009	0.00206606	0.00232625	0.00409861	0.00278958	0.00273334	0.00661524	0.0186561	0.00385416
qui	0.0313393	0.0197047	0.0237573	0.0343358	0.0413285	0.0537707	0.0895005	0.0909417	0.0793226	0.0460878	0.0696251	0.072097	0.0616605	0.0917282	0.0404353	0.0258745	0.0125038	0.00657059	0.00955154	0.00866945	0.0110812	0.00259313	0.00372831	0.00228232	0.00645506	0.00573171	0.00652917	0.00586726	0.00923056	0.0118621	0.0232593	0.00257511
a	0.0620226	0.0403151	0.0341317	0.0318924	0.0248301	0.0250591	0.0413563	0.0365805	0.0317823	0.0213089	0.0400687	0.0512813	0.0830068	0.0727897	0.0650298	0.0445596	0.0352469	0.020884	0.032752	0.022354	0.0215453	0.0205667	0.0171995	0.0125018	0.00890929	0.00995185	0.00622853	0.00573024	0.00737818	0.0101818	0.0204355	0.0421195
quitté	0.041324	0.0383706	0.0277016	0.0198286	0.0229823	0.0339898	0.0497067	0.0503153	0.0521869	0.0297206	0.0405973	0.0746209	0.0772239	0.0543054	0.0455106	0.0359368	0.0415971	0.0216549	0.0233145	0.0286532	0.017329	0.0172045	0.0227153	0.021187	0.0210806	0.0106422	0.00829842	0.012373	0.00731285	0.0134531	0.0139255	0.0249378
son	0.0430295	0.0274851	0.0247312	0.0306173	0.0293617	0.0241123	0.0199232	0.0254575	0.0270356	0.0289999	0.0460478	0.0332717	0.0633595	0.0337382	0.0353112	0.0210998	0.0228646	0.0146941	0.0180537	0.0330637	0.0176095	0.0254001	0.027802	0.0433593	0.038312	0.0578444	0.0311971	0.0302269	0.0344077	0.0194934	0.0255227	0.0465672
mari	0.0278959	0.0223898	0.0251223	0.0159659	0.0139712	0.0171552	0.0182244	0.0226717	0.0327128	0.0285648	0.0526616	0.0767937	0.0859855	0.0698496	0.0928036	0.0465777	0.0431223	0.0385909	0.0346285	0.0330855	0.0153094	0.0202152	0.0170408	0.0123327	0.0149027	0.0161059	0.0158528	0.0143755	0.0154231	0.017113	0.0182179	0.0243383
a	0.0400239	0.0294978	0.0177268	0.0101757	0.00845795	0.0173567	0.014699	0.021095	0.0308269	0.0185969	0.0274051	0.0372457	0.0507752	0.0429913	0.0265734	0.0240728	0.0208997	0.0248653	0.0283599	0.0356863	0.0214945	0.0329599	0.0433485	0.0559546	0.0520356	0.0462234	0.0394264	0.0385593	0.0390578	0.0349722	0.0287211	0.0399156
un	0.0294908	0.0254075	0.0115884	0.00557134	0.00404232	0.00790728	0.0069517	0.0105057	0.0116391	0.00637906	0.010919	0.0110536	0.0177583	0.0197618	0.0172785	0.0181717	0.0208809	0.030103	0.0183244	0.0362849	0.0154418	0.034964	0.0502708	0.0847521	0.0669305	0.0554214	0.05552	0.0469759	0.0335551	0.0627296	0.0832391	0.0901802
grave	0.0371009	0.0307799	0.0175184	0.0076758	0.00567125	0.00638739	0.00631432	0.00813503	0.0105925	0.00904966	0.0166121	0.0198759	0.0272243	0.027714	0.0241866	0.027031	0.0303397	0.0306625	0.0182415	0.0233608	0.0136287	0.041413	0.0370795	0.0401546	0.0307912	0.0235851	0.0615541	0.0435696	0.0340129	0.0666177	0.0833413	0.139778
problème	0.041636	0.0375052	0.0216612	0.00997529	0.00786606	0.00680594	0.00649313	0.00578687	0.00599345	0.00464713	0.00665569	0.00779304	0.0184328	0.015829	0.0216599	0.0198721	0.030194	0.0360657	0.0261455	0.0331407	0.0334453	0.0486665	0.0458041	0.0336391	0.0356381	0.0416266	0.0462846	0.0313001	0.0255058	0.0450619	0.0568833	0.191986
</S>	0.0558583	0.037401	0.0197238	0.0218078	0.016885	0.012857	0.0108229	0.00973716	0.00867309	0.00861867	0.00643823	0.00323602	0.00670402	0.00544307	0.00609671	0.00618607	0.008836	0.0112004	0.0114226	0.0224554	0.0201229	0.0366962	0.037332	0.0424772	0.0482368	0.0524498	0.0753497	0.0562472	0.0473271	0.0495212	0.0653439	0.178493
