 	a23	a38	a30	a35	a14	a2	a57	a54	a35	a14	a41	a26	a24	a25	a40	a30	a41	a26	a24	a25	a11	a75	a14	a35	a14	a94	a76	a90	a84	a40	a98	a14	a35	a41	a25	a87	a23	a87	</S>
les	0.0405758	0.0170674	0.0159416	0.0117122	0.015549	0.0109275	0.017662	0.0279646	0.0395182	0.0963495	0.109818	0.0701862	0.053618	0.0799275	0.0381896	0.0535091	0.0136957	0.0175842	0.0150203	0.0109591	0.0112764	0.0069949	0.0110455	0.0263469	0.0184572	0.0136494	0.0199646	0.00974004	0.0115265	0.0149197	0.00761621	0.00608321	0.00461261	0.00722183	0.00891369	0.00666018	0.0142459	0.0158237	0.0291256
enfants	0.00717671	0.00472459	0.00809912	0.022501	0.0323309	0.0366415	0.0431552	0.0756669	0.0757164	0.0508908	0.0607767	0.0554774	0.079708	0.0396071	0.0528011	0.043304	0.0317927	0.0188985	0.0186127	0.0160338	0.0403325	0.0108146	0.0161888	0.0146755	0.0239779	0.0158639	0.025178	0.0121396	0.0100042	0.0137819	0.00422473	0.00393195	0.00359387	0.00544889	0.00375793	0.00491009	0.00460824	0.00733243	0.00531969
de	0.0701872	0.0636993	0.0993727	0.0828703	0.0549977	0.0476995	0.0403199	0.0251823	0.0186353	0.0226974	0.0269103	0.0510284	0.0461205	0.018561	0.0202029	0.0265447	0.0352642	0.0160748	0.0122131	0.0118076	0.0212978	0.00900119	0.0110283	0.013128	0.0116821	0.0101096	0.0119142	0.0103605	0.00778653	0.00706083	0.00494102	0.00630514	0.00906751	0.0119003	0.011472	0.011674	0.0105721	0.0183528	0.011957
l'	0.0063353	0.0127764	0.0096854	0.00663283	0.00551483	0.00946503	0.00598902	0.0116408	0.0062125	0.012233	0.00672839	0.00618832	0.0109912	0.0100678	0.0184835	0.0191261	0.0310428	0.038949	0.0188664	0.0325245	0.0248966	0.0517875	0.0523236	0.083487	0.054357	0.064792	0.107783	0.0365715	0.0340059	0.039572	0.0272788	0.0332883	0.025846	0.0167057	0.0166628	0.0145669	0.00956008	0.0105644	0.0164975
époque	0.0295513	0.0295294	0.0376579	0.0302673	0.0197734	0.0156748	0.0149185	0.0116095	0.0090214	0.00952963	0.0137281	0.0163376	0.0229041	0.0285551	0.0125718	0.0069163	0.0103574	0.0229009	0.040085	0.0303967	0.0775925	0.104588	0.0424712	0.0587823	0.0454292	0.0362187	0.0690315	0.0405651	0.0321227	0.0192224	0.00767371	0.00705255	0.0053728	0.00475016	0.00689946	0.00497119	0.00705126	0.00633127	0.0115879
actuelle	0.0330993	0.0420636	0.0275084	0.0206564	0.0242667	0.0166561	0.0299905	0.0208846	0.0244601	0.0192661	0.0283352	0.0292668	0.0396318	0.0384586	0.0212762	0.0102292	0.0209229	0.0479442	0.0441704	0.0452997	0.0896384	0.0545125	0.0277853	0.0292497	0.0286707	0.0197	0.0234021	0.0256352	0.0204592	0.0291188	0.0111334	0.00818132	0.00708773	0.00355066	0.00457157	0.00350324	0.00871551	0.0110981	0.00959984
ne	0.0208273	0.030236	0.0227402	0.0164111	0.014802	0.0123222	0.0124725	0.0126381	0.0109762	0.00596229	0.007751	0.00711159	0.00688411	0.0108644	0.00740935	0.00823685	0.012287	0.0274172	0.0176151	0.0203351	0.0265947	0.0140534	0.0155393	0.0121692	0.0123149	0.00944778	0.0109224	0.0215723	0.0435316	0.11207	0.0954169	0.0846578	0.0596309	0.037806	0.0304615	0.0339729	0.0337618	0.0368621	0.0239148
respectent	0.0502016	0.0463554	0.0390787	0.0301768	0.0303345	0.0206794	0.0276679	0.0233122	0.0138779	0.00840881	0.0124124	0.0167623	0.0155186	0.0116853	0.0128918	0.0178502	0.0265704	0.0183536	0.0100826	0.012483	0.00906942	0.00387167	0.0044445	0.00795318	0.0110326	0.00789555	0.0111388	0.0120261	0.0221666	0.033382	0.0419632	0.0477134	0.0308899	0.0345368	0.0390418	0.0372377	0.0457094	0.0584608	0.0967633
plus	0.0918625	0.0448362	0.0444659	0.039859	0.0309676	0.0299371	0.0314962	0.0303871	0.0235813	0.0251283	0.0274931	0.0371024	0.0325341	0.0252902	0.0264153	0.0245721	0.0368286	0.022271	0.0202103	0.017262	0.0229441	0.0104262	0.0129121	0.0099029	0.010378	0.00905836	0.00851406	0.00752353	0.010414	0.0135453	0.0196099	0.0242134	0.019754	0.0267232	0.0279889	0.0202156	0.0241648	0.0196868	0.0395246
les	0.0527586	0.0391336	0.0474814	0.0580835	0.0465716	0.0492917	0.0472784	0.0460338	0.0333183	0.0340367	0.0233683	0.0230088	0.0179253	0.0167964	0.0146749	0.0163279	0.021782	0.01679	0.0193427	0.0146986	0.0177352	0.0102297	0.0150664	0.01238	0.0129707	0.0115632	0.0102006	0.0121061	0.023006	0.0311852	0.0204087	0.0199357	0.0200326	0.0158877	0.0169261	0.0216091	0.0245662	0.0286476	0.0368408
