 	a85	a66	a87	a23	a57	a13	a83	a70	a4	a53	a69	a15	a0	a11	a0	a11	a70	a90	a79	a37	a70	a88	a71	a9	a53	a69	a32	a54	a69	a58	a13	a82	a87	</S>
cette	0.0544785	0.0696208	0.0347063	0.0328693	0.023117	0.0239239	0.0260143	0.0270244	0.0296108	0.0308579	0.0200952	0.0291183	0.0228342	0.0390144	0.0326874	0.024139	0.0423893	0.02323	0.025333	0.0140247	0.0198676	0.00764622	0.00578977	0.0108242	0.0262504	0.0352372	0.0575129	0.0198388	0.0364355	0.0275259	0.0374123	0.0312476	0.0138574	0.0454653
femme	0.014338	0.0121124	0.0202101	0.029483	0.0309287	0.0370151	0.0287437	0.0327292	0.0707546	0.0624337	0.0432853	0.0299745	0.0228865	0.0279347	0.0284911	0.0333857	0.0332664	0.0554942	0.0679429	0.0388933	0.0266935	0.0222306	0.0270255	0.0494236	0.056784	0.0220244	0.007641	0.0106146	0.00726897	0.00351026	0.00424732	0.00515981	0.0117021	0.0253711
a	0.0310538	0.0397716	0.0434121	0.0459005	0.0436977	0.0550802	0.059938	0.0494471	0.033025	0.0349756	0.0217394	0.0426499	0.0293863	0.0164826	0.0191414	0.0112599	0.0103292	0.00852489	0.0105578	0.0170468	0.00633325	0.00715531	0.00699842	0.0101101	0.0188043	0.016096	0.0209759	0.021531	0.0248727	0.0219022	0.0526674	0.0403571	0.0756281	0.053148
laissé	0.0203319	0.0160916	0.0152936	0.014561	0.0095931	0.0100673	0.0161685	0.0246761	0.0280302	0.0337249	0.0373877	0.0348095	0.0580795	0.0418773	0.0556088	0.0479936	0.0585762	0.060816	0.0480206	0.0356236	0.0293734	0.0446543	0.0744694	0.0231348	0.012509	0.0174377	0.0131556	0.0150651	0.0228727	0.0135084	0.0145153	0.0120898	0.0113696	0.0285139
son	0.0486024	0.046891	0.0502532	0.0407578	0.0337724	0.0396747	0.0417816	0.0384765	0.023821	0.0214477	0.0173484	0.0196363	0.0235166	0.0280054	0.0233219	0.0216979	0.0267273	0.0277788	0.0284678	0.0219957	0.020437	0.0137637	0.0115286	0.0164842	0.0165945	0.0161574	0.0224701	0.022792	0.0348834	0.0240546	0.0327136	0.0330331	0.0192028	0.0919106
panier	0.0620023	0.04488	0.044519	0.0277489	0.0228995	0.0257845	0.044348	0.0286928	0.0343804	0.0336908	0.051766	0.036223	0.0461336	0.0273424	0.0420901	0.0209368	0.0206927	0.0236086	0.0221079	0.0333508	0.0186641	0.0163466	0.0074834	0.00711182	0.0074133	0.00662365	0.0154865	0.0204602	0.0286837	0.0248451	0.0368789	0.0345015	0.0283343	0.0539688
de	0.0236964	0.0126156	0.013423	0.00936277	0.00823582	0.0105792	0.0176507	0.0196927	0.0238585	0.0223065	0.0511998	0.0351071	0.052799	0.0305292	0.0330446	0.0216869	0.0213789	0.0259252	0.0245813	0.0170183	0.021221	0.014207	0.00826969	0.0157172	0.00977694	0.0112716	0.0146022	0.0306908	0.0434047	0.0432081	0.0535827	0.0414537	0.0565927	0.16131
manioc	0.0359277	0.0295322	0.0295362	0.0239217	0.0268319	0.0270247	0.0298196	0.0286288	0.0220295	0.0226902	0.0413281	0.056389	0.0496827	0.0318087	0.0330061	0.025614	0.0226064	0.0178645	0.0190329	0.0260181	0.0212307	0.0232684	0.0132466	0.0115361	0.0136641	0.0105992	0.0156033	0.0223566	0.0163334	0.0180666	0.0341792	0.0376398	0.053154	0.109829
dans	0.033851	0.0198211	0.0197018	0.0146249	0.0162728	0.0185109	0.024715	0.022014	0.0224634	0.0246168	0.0431473	0.0320394	0.0251258	0.0172922	0.0133798	0.0095635	0.0131743	0.0115217	0.0129362	0.0104617	0.0158531	0.0101529	0.00848235	0.0122085	0.0137662	0.0179405	0.0331962	0.0389499	0.0453997	0.0545588	0.0620043	0.075618	0.0609322	0.145704
la	0.0187723	0.0137324	0.012623	0.0121758	0.0133057	0.00959327	0.0103713	0.00767814	0.0106171	0.0111524	0.0109965	0.0068252	0.00652437	0.00514197	0.00448799	0.00381473	0.00410323	0.00404494	0.00546735	0.00642792	0.0113412	0.00993829	0.0115125	0.0188265	0.0271258	0.0427326	0.0796252	0.0443808	0.0777378	0.0759349	0.110213	0.118963	0.0686552	0.125158
cuisine	0.012654	0.00701552	0.00580109	0.00435572	0.00414833	0.00357852	0.00610158	0.00439925	0.00687995	0.00651005	0.00757355	0.00514127	0.00606262	0.00572403	0.00662675	0.00531057	0.00574086	0.00538677	0.00680256	0.00805873	0.0148071	0.0149801	0.015235	0.024298	0.0209894	0.0415152	0.0576702	0.0600574	0.0996735	0.094851	0.115693	0.0968514	0.0702708	0.149236
</S>	0.0211	0.0117087	0.00890014	0.00693974	0.00751383	0.00674478	0.00763664	0.00662863	0.00794465	0.0113105	0.017312	0.0162062	0.0128438	0.00944857	0.00899769	0.00635711	0.00744711	0.00591225	0.00803676	0.00895588	0.0176207	0.0136983	0.0135592	0.0221415	0.0236484	0.0289014	0.0580521	0.0548108	0.0712203	0.0625621	0.0858483	0.0815354	0.0564906	0.211966
