 	a82	a10	a82	a38	a62	a21	a56	a90	a25	a21	a85	a5	a61	a56	a44	a98	a41	a36	a61	a21	a85	a6	a43	a61	a88	a66	a9	a3	a97	a3	a97	a3	a82	a97	a82	</S>
pendant	0.0986157	0.111076	0.11201	0.0691746	0.0546272	0.0346821	0.0359063	0.0247554	0.0160501	0.0140621	0.0118722	0.00801056	0.00628834	0.00794901	0.00670833	0.00802727	0.00908095	0.00865439	0.00489476	0.0126155	0.012062	0.00983034	0.0155881	0.0215271	0.0232648	0.0206503	0.0167235	0.0170336	0.0186764	0.0171475	0.0180792	0.0300678	0.0218081	0.0368408	0.0184546	0.0471845
la	0.0214779	0.0257665	0.0234749	0.0108982	0.0115691	0.00846563	0.02042	0.0251683	0.0202151	0.0286847	0.0513707	0.0482234	0.0410553	0.0938053	0.0754265	0.0933163	0.110912	0.0686463	0.0237193	0.0276409	0.0266393	0.0108865	0.00633387	0.00881528	0.00705088	0.00879043	0.00454594	0.00653594	0.0130112	0.00650384	0.0156361	0.0110938	0.00714542	0.010089	0.0138376	0.0128292
grande	0.0688249	0.0277072	0.0236195	0.0112309	0.00636524	0.00569008	0.00863368	0.00742088	0.00851658	0.0094191	0.0152371	0.00628292	0.00819544	0.0148984	0.00846941	0.0144596	0.0160421	0.0159689	0.017829	0.0161065	0.0479974	0.0629134	0.0426329	0.0720491	0.0403804	0.0401688	0.0583532	0.0383359	0.031208	0.0314576	0.0484117	0.0306597	0.0443078	0.0395004	0.0400982	0.0206081
saison	0.0514388	0.0218992	0.0188845	0.0215426	0.0174014	0.02616	0.0267013	0.0216537	0.0408897	0.0381653	0.0481348	0.0339749	0.036187	0.0523395	0.0542529	0.0830772	0.0429449	0.0370791	0.0138916	0.0137082	0.0224388	0.0212316	0.0257519	0.0322255	0.0214016	0.0130098	0.0158289	0.0162362	0.0114545	0.015357	0.0244786	0.0209848	0.0189382	0.0158548	0.0151999	0.00928131
sèche	0.0316846	0.0237873	0.0251537	0.0226236	0.0180813	0.0188318	0.0222138	0.018245	0.0150433	0.0105454	0.0151946	0.0113143	0.0078198	0.0280194	0.033156	0.0462625	0.0605306	0.0761548	0.056013	0.0519781	0.0422542	0.0390082	0.0444575	0.0313095	0.0322076	0.0161434	0.0159992	0.0154469	0.0112176	0.0125743	0.0230491	0.0295666	0.0275671	0.0180525	0.0247544	0.0237389
les	0.0559219	0.0446892	0.0519623	0.055579	0.0541666	0.0398504	0.0433378	0.0282636	0.0264656	0.0135908	0.0155067	0.00639464	0.00479557	0.0126365	0.00873642	0.0191282	0.0243335	0.0270944	0.0246818	0.0352355	0.0346006	0.0502304	0.0457799	0.0410434	0.0291985	0.0171609	0.0174725	0.0165447	0.00978452	0.0116497	0.019227	0.0188352	0.0176797	0.0276781	0.0170284	0.0337161
femmes	0.0711368	0.0681887	0.0706474	0.0642668	0.0536887	0.0561897	0.0599247	0.042384	0.0275453	0.0150933	0.015944	0.00993157	0.00655947	0.00847739	0.00762077	0.0136349	0.0162764	0.0243794	0.034092	0.030097	0.0208657	0.0222812	0.0224581	0.0209185	0.0136685	0.0156486	0.016416	0.0151628	0.0159672	0.014314	0.0203449	0.0190594	0.0203438	0.0217005	0.0240991	0.0206736
sèchent	0.0688368	0.0549158	0.0526049	0.034031	0.0251636	0.0374655	0.0151376	0.0100076	0.00627561	0.00391581	0.00383	0.00481309	0.0035058	0.00269405	0.00199584	0.00210915	0.00250995	0.00481502	0.00995898	0.0150731	0.0134241	0.0173257	0.0227182	0.0267951	0.0266913	0.0335339	0.035471	0.0397685	0.0478569	0.0336479	0.0592456	0.0486858	0.0409205	0.0549924	0.0657669	0.0734972
du	0.0485616	0.03446	0.0437647	0.0339258	0.0285721	0.0359383	0.0218319	0.0231124	0.0121508	0.00647875	0.00538249	0.00556892	0.00398805	0.00466543	0.00368922	0.00562652	0.00609682	0.0139786	0.0208452	0.0190854	0.0145142	0.0159677	0.0228587	0.0324994	0.0322498	0.0355781	0.0370608	0.028881	0.0260946	0.0365352	0.0441408	0.050851	0.0630866	0.0544292	0.0591733	0.0683566
poisson	0.0243406	0.0203777	0.0243914	0.0177077	0.0132279	0.0178882	0.0118052	0.00843688	0.010476	0.00805359	0.00548482	0.00697351	0.00647396	0.00551966	0.00566243	0.00555798	0.00569857	0.0104489	0.0274326	0.0322466	0.0276206	0.0307209	0.0276123	0.0304651	0.0410746	0.0410482	0.0313381	0.0416972	0.0521177	0.0398239	0.0657529	0.0745586	0.0515629	0.0435415	0.0630948	0.0697666
</S>	0.0452768	0.0325946	0.0367936	0.0188553	0.0149677	0.018571	0.00686188	0.00635251	0.00459682	0.00536298	0.00593689	0.00509983	0.00359985	0.00259318	0.00276357	0.00254832	0.00244909	0.0034198	0.0128148	0.0229575	0.0200579	0.0210887	0.0213143	0.0172896	0.0253595	0.0274547	0.0282215	0.0338176	0.0440691	0.0346627	0.0854138	0.0854412	0.0568139	0.0806142	0.0724543	0.0915113
